0
가장 아름다운 순간이 어떤 순간일지 기대되네요 ㅎ  
그대를 사랑합니다의 아류작 같은 느낌이지만.....너무나 기대되는 작품!!  
원숙한 사랑을 완성된 사랑을 하고 싶다 ~~  
보러가고 싶은데 개봉극장이 넘 없어요T-T  
남편하고 꼭 보고 싶은 영화네요~  
충분히 공감하고도 남을 영화  
예고편보다가 눈물이 터져 버렸네...ㅠㅠ 정말 영화가 기대되네요...  
보고 싶은데 할아버지 할머니가 못 보게 하겠죠...ㅠㅠ  
주현님인데 무슨 수식어가 필요하리! 폭풍 내면연기 보겠구나!  
개봉전 평점: 9.44
전체 댓글수: 9
