0
기대안하고 봤는데 오호. 재밌네요. 나름 새티스파이.ㅋ 재밌게 봤어요.  특수한 무기로 악당을 후미에서  칠때 상당히 짜릿했음.ㅋ  
"아, 이거 또 3편 기다려야 하네...  "
뿌리깊은 원한과 복수로 점철된 내용 속에 언뜻언뜻 비치는 중동 문화는 감독이 원했건 원치안했건 간에 서방세계와 중동국가의 대리전을 보는 듯하다.  
그냥 저냥 심심할때 기대안하고 보면 나쁘지 않음.. 액션이나 sf적인 요소는 별로 없이 잔잔하게 이야기를 풀어가기때문에 좀 지루할 수 있슴.. 다음편이 나올거 같은 황당한 마무리..  
"현실이될수도있는 영화,배우들이 왜이렇게 다 멋잇냐..  "
우리가 알던 sf는 없다.  
불면증 있으신분에게 강추합니다  
영화라기보단 그냥 드라마같네  
개봉전 평점: 6.50
전체 댓글수: 8
