0
하아..비쥬얼이 대박..ㅠㅠ  
재밌게 잘봤다. 정말 자세하게 실용적인 내용이 은근히 많다.  
ㅋㅋㅋ와 진짜 오랜만에 어른이 볼만한 진짜 로맨틱 코미디가 등장!ㅋㅋㅋ  
"수상 경력이 많은 영화던데 어떤 영화일지 궁금, 배우가 개성있는듯  "
재미있어요 ^^ 볼만합니다  
아직까지 외국에서만 가능한 어른용 코미디 영화  
로맨틱 코미디로서 내용은 준수한 편. 그러나 배우들의 매력이 없다. 적나라와는 거리가 멀다. iMDB 5.9  
적나라한 영화  
개봉전 평점: 7.75
전체 댓글수: 8
