0
쓰레기들이네 포스터 보면 무슨 지구인vs외계인 전쟁영화처럼 보이는데 진짜 제작비 전혀 안 들고 인간들 대화하는것만 찍은 쓰레기영화 개 빡친다  
■ 지루하다~ 엉성하다~ 재미없다~ ■ 박푱시기는 밥은 먹고 다니냐? ㅋㅋㅋ  
이걸보느니 외계인 하나 안나오는  외계관련 영화 1997 에 나온 콘택트란 영화를 보겟다 OO거 ㅋㅋㅋ 그영화는 명작이다 OO  
C급영화로써는 나름 볼만했다  
개봉전 평점: 3.25
전체 댓글수: 4
