0
저것은 박쥐인가 몬스터인가  
진심 예고편 CG부터가 망작삘인데;;  
흥미로울듯 ... 공상과학영화는 내취향인데..  
"와우내,, 크리처물 극호  "
SF 액션 크리쳐...ㅋ 괴수인가여~  
어쩐지 캡틴 마블 보다 더잼날듯하다  
개봉전 평점: 8.33
전체 댓글수: 6
