0
가족의 죽음을 대하는 한 사람의 두 가지 위로방법.  
어제 보고왔는데 뭔내용인지 어렵고 태어나서 본영화중에 제일 재미없던 영화로 등극.  
또또또 친일파 벌래들 다 쳐기어나왔네 칵~~~퇘 줄서서 밥이나 쳐묵쳐묵해라  
???!? 방귀인가.  
개봉전 평점: 6.50
전체 댓글수: 4
