0
남자 진짜 못함 ㅡㅡ 그리고 베드신 장면에 왜 다 음악을 넣지 않나 ㅡㅡ 마음에 드는게 없다  
신인배우인줄 안 정희가 이름바꾼 서원이네..  
진서연의 몸사르지 않는 연기~감동입니다..  
요즘같은 ip영화에 진서연 이 나온거에 10점 남자들은 거의 쒸레기 급들이지만 진서연 굿!! 다른 영화사에서좀 보고 배워라  
와우~ 이런쓰레기 ip시장에서 단비같은존재 진서연!!~ 남자들만 캐스팅 잘했어도 더 고평가 받을 작품인데 아쉽네 !! 하튼 요즘 사골 여자들만 나오다 진서연 배우가 살린다~  
진서연+서원 이런조합 실화임?  
이건 무조건이다~ IPTV 비쥬얼 원탑 진서연 복귀작@@  
좋네요...좋아요....굿...  
다음엔 10월10일 개봉되있던데...인터넷에 좀 풀어주세요  
개봉전 평점: 7.89
전체 댓글수: 9
