TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE
박수건달,2013-01-09,3893216,0.0595
베놈,2018-10-03,3888096,0.0
조선명탐정 : 사라진 놉의 딸,2015-02-11,3872015,0.0677
역린,2014-04-30,3849433,0.0281
매드 맥스: 분노의 도로,2015-05-14,3842441,0.0471
남한산성,2017-10-03,3829891,-0.0239
데드풀 2,2018-05-16,3784602,0.0101
암수살인,2018-10-03,3772620,-0.1125
국가부도의 날,2018-11-28,3754983,-0.0224
미이라,2017-06-06,3689325,0.0057
분노의 질주: 더 익스트림,2017-04-12,3653238,0.0152
너의 이름은.,2017-01-04,3637122,0.0497
인턴,2015-09-24,3610642,0.4357
라라랜드,2016-12-07,3597193,0.3462
귀향,2016-02-24,3586523,-0.0659
리얼 스틸,2011-10-12,3579666,0.0787
신의 한 수,2014-07-03,3562123,0.0649
코코,2018-01-11,3510017,0.2181
부러진 화살,2012-01-18,3450941,0.0137
끝까지 간다,2014-05-29,3450143,0.0764
비긴 어게인,2014-08-13,3427464,0.2533
스파이,2013-09-05,3423920,0.0609
그것만이 내 세상,2018-01-17,3417629,0.0903
이끼,2010-07-14,3408144,0.0193
돈,2019-03-20,3389046,0.0994
포화속으로,2010-06-16,3385706,-0.0179
맨 인 블랙 3,2012-05-24,3379762,0.0264
어바웃 타임,2013-12-05,3375735,0.3851
슈퍼배드 3,2017-07-26,3324861,0.2363
데드풀,2016-02-17,3317196,0.0261
아이 캔 스피크,2017-09-21,3280243,0.1053
스타워즈: 깨어난 포스,2015-12-17,3273879,0.0296
분노의 질주: 더 세븐,2015-04-01,3247558,
터미네이터 제니시스,2015-07-02,3239371,-0.0185
그래비티,2013-10-17,3227452,-0.0086
마녀,2018-06-27,3189091,0.2405
탐정: 리턴즈,2018-06-13,3148038,0.2357
캐리비안의 해적: 낯선 조류,2011-05-19,3130046,0.0264
퀵,2011-07-20,3125069,0.0483
감기,2013-08-14,3119023,-0.0411
나우 유 씨 미 2,2016-07-13,3100113,
하모니,2010-01-28,3068544,0.0037
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,3049894,0.0412
스물,2015-03-25,3044134,0.0615
토르: 다크 월드,2013-10-30,3039889,0.0349
방자전,2010-06-02,3035116,0.0615
인크레더블 2,2018-07-18,3033052,0.2368
레드: 더 레전드,2013-07-18,3004647,0.055999999999999994
오싹한 연애,2011-12-01,3001530,0.0588
드래곤 길들이기 2,2014-07-23,3000056,0.0279
형,2016-11-23,2982022,0.0684
친구 2,2013-11-14,2971475,-0.0065
26년,2012-11-29,2963449,-0.0175
서치,2018-08-29,2949944,0.7917
고지전,2011-07-20,2945137,0.0054
엑스맨: 아포칼립스,2016-05-25,2938818,0.0265
