,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
11879,퍼니 게임,2009-10-08,미카엘 하네케,right_only
12077,푸른 강은 흘러라,2009-10-08,강미자,right_only
5069,북극의 눈물,2009-10-15,"허태정,조준묵",right_only
7463,알제리 전투,2009-10-15,질로 폰테코르보,right_only
1248,까칠한 그녀의 달콤한 연애비법,2009-10-22,니샤 가나트라,right_only
4606,바스터즈: 거친 녀석들,2009-10-28,쿠엔틴 타란티노,right_only
11816,파주,2009-10-28,박찬옥,right_only
2416,더 코브: 슬픈 돌고래의 진실,2009-10-29,루이 시호요스,right_only
8270,여행자,2009-10-29,우니 르콩트,right_only
1596,내 눈에 콩깍지,2009-11-05,이장수,right_only
10346,집행자,2009-11-05,최진호,right_only
10604,청담보살,2009-11-11,김진영,right_only
34,19-Nineteen,2009-11-12,장용우,right_only
65,2012,2009-11-12,롤랜드 에머리히,right_only
10542,천국의 우편배달부,2009-11-12,이형민,right_only
824,귀없는 토끼,2009-11-19,틸 슈바이거,right_only
4767,백야행,2009-11-19,박신우,right_only
5244,브로큰 임브레이스,2009-11-19,페드로 알모도바르,right_only
1346,나는 행복합니다,2009-11-26,윤종찬,right_only
2031,닌자 어쌔신,2009-11-26,제임스 맥티그,right_only
2343,더 문,2009-11-26,던칸 존스,right_only
4560,바람,2009-11-26,이성한,right_only
11212,크리스마스 캐롤,2009-11-26,로버트 저메키스,right_only
12782,홍길동의 후예,2009-11-26,정용기,right_only
1995,뉴 문,2009-12-02,크리스 웨이츠,right_only
6736,시간의 춤,2009-12-03,송일곤,right_only
6798,시크릿,2009-12-03,윤재구,right_only
7977,에반게리온: 파,2009-12-03,"마샤유키,츠루마키 카즈야",right_only
8972,위대한 침묵,2009-12-03,필립 그로닝,right_only
378,감자심포니,2009-12-10,전용택,right_only
1323,나는 곤경에 처했다!,2009-12-10,소상민,right_only
1787,너와 나의 21세기,2009-12-10,류형기,right_only
3362,로망은 없다,2009-12-10,"박재옥,수경,홍은지",right_only
4088,모범시민,2009-12-10,F. 게리 그레이,right_only
8086,엘라의 계곡,2009-12-10,폴 해기스,right_only
8167,여배우들,2009-12-10,이재용,right_only
8208,여자 없는 세상,2009-12-10,송재윤,right_only
8937,웰컴,2009-12-10,필립 리오레,right_only
10213,줄리 & 줄리아,2009-12-10,노라 에프론,right_only
520,걸프렌즈,2009-12-17,강석범,right_only
1219,기죽지 마라,2009-12-17,김형진,right_only
5546,사람을 찾습니다,2009-12-17,이서,right_only
7206,아바타,2009-12-17,제임스 카메론,right_only
9546,일렉트릭 미스트,2009-12-17,베르트랑 타베르니에,right_only
10158,좋아서 만든 영화,2009-12-17,"고달우,김모모",right_only
10539,천국의 속삭임,2009-12-17,크리스티아노 보르토네,right_only
10804,친구사이?,2009-12-17,김조광수,right_only
6168,셜록 홈즈,2009-12-23,가이 리치,right_only
9799,전우치,2009-12-23,최동훈,right_only
11752,파르나서스 박사의 상상극장,2009-12-23,테리 길리엄,right_only
8559,올웨이스 비보이,2009-12-24,권우탁,right_only
11836,판타스틱 Mr. 폭스,2009-12-24,웨스 앤더슨,right_only
12013,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,유야마 쿠니히코,right_only
7555,앨빈과 슈퍼밴드2,2009-12-30,베티 토머스,right_only
1471,나인,2009-12-31,롭 마샬,right_only
3127,러브 매니지먼트,2009-12-31,스티븐 벨버,right_only
1080,극장판 파워레인저: 엔진포스 vs 와일드 스피릿,2010-01-07,,left_only
1126,극장판파워레인저 엔진포스VS 와일드스피릿,2010-01-07,모로타 사토시,right_only
7005,쏘우 - 여섯 번의 기회,2010-01-07,,left_only
7007,쏘우-여섯번의 기회,2010-01-07,케빈 그루터트,right_only
8713,용서는 없다,2010-01-07,김형준,right_only
8506,오페라-투란도트(메트로폴리탄),2010-01-10,프랑코 제피렐리,right_only
8714,용서는 없다,2010-01-10,,left_only
1848,노다메 칸타빌레 최종악장,2010-01-13,,left_only
7245,아스트로 보이-아톰의 귀환,2010-01-13,데이빗 보워스,right_only
3555,리틀 애쉬 : 달리가 사랑한 그림,2010-01-14,폴 모리슨,right_only
3556,리틀 애쉬: 달리가 사랑한 그림,2010-01-14,,left_only
131,500일의 썸머,2010-01-21,마크 웹,right_only
62,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,2010-01-22,서태지,right_only
63,2008 서태지심포니 위드 톨가 카쉬프 로열 필하모닉,2010-01-22,,left_only
2734,동쪽의 에덴 극장판 1: 더 킹 오브 에덴,2010-01-28,,left_only
2735,동쪽의 에덴 극장판 ① 더 킹오브 에덴,2010-01-28,카미야마 켄지,right_only
2880,들어는 봤니? 모건 부부,2010-01-28,마크 로렌스,right_only
2881,들어는 봤니? 모건부부,2010-01-28,,left_only
4600,바비,2010-01-28,,left_only
6812,식객2 : 김치전쟁,2010-01-28,"백동훈,김길형",right_only
6813,식객: 김치전쟁,2010-01-28,,left_only
9136,유희왕,2010-01-28,츠지 하츠키,right_only
1823,네이키드 보이즈 싱잉,2010-02-01,"로버트 쉬록크,트로이 크리스찬",right_only
4601,바비,2010-02-04,에밀리오 에스테베즈,right_only
8507,오페라-호프만의 이야기,2010-02-06,"게리 할버슨,바틀렛 쉐어",right_only
12748,호프만의 이야기,2010-02-06,,left_only
1824,네이키드 보이즈 싱잉,2010-02-08,,left_only
679,공자 춘추전국시대,2010-02-11,후메이,right_only
8905,원피스 극장판: 스트롱 월드,2010-02-11,사카이 무네히사,right_only
8906,원피스 극장판: 스트롱월드,2010-02-11,,left_only
9035,유 윌 미스 미,2010-02-11,,left_only
9116,유윌 미스 미,2010-02-11,아만다 스테르스,right_only
11895,퍼시 잭슨과 번개 도둑,2010-02-11,크리스 콜럼버스,right_only
11897,퍼시잭슨과 번개도둑,2010-02-11,,left_only
4764,백신의 시대,2010-02-18,,left_only
5509,뼈를 깎는 사랑,2010-02-18,,left_only
11690,틈사이,2010-02-18,,left_only
11976,폐인킬러,2010-02-18,,left_only
223,P.S 온리 유,2010-02-25,딜런 키드,right_only
226,P.S. 온리 유,2010-02-25,,left_only
4528,밀크,2010-02-25,구스 반 산트,right_only
11157,쿵푸 허슬: 무적 파이터,2010-02-25,,left_only
11997,포스 카인드,2010-02-25,올라턴드 오선샌미,right_only
11999,포스카인드,2010-02-25,,left_only
8504,오페라-장미의 기사,2010-03-06,"바바라 윌리스 스위츠,나데니 엘 매릴",right_only
9715,장미의 기사,2010-03-06,,left_only
5575,사랑은 언제나 진행중,2010-03-11,바트 프룬디치,right_only
12157,프롬 파리 위드 러브,2010-03-11,피에르 모렐,right_only
12159,프롬파리 위드러브,2010-03-11,,left_only
8932,웨이 백,2010-03-17,,left_only
2627,"도와줘,에로스",2010-03-18,이강생,right_only
9162,육혈포 강도단,2010-03-18,강효진,right_only
9163,육혈포강도단,2010-03-18,,left_only
5183,불타는 내 마음,2010-03-25,최원섭,right_only
5184,불타는 내마음,2010-03-25,,left_only
6750,시리어스 맨,2010-03-25,"에단 코엔,조엘 코엔",right_only
6751,시리어스맨,2010-03-25,,left_only
7168,아마존의 눈물,2010-03-25,"김진만,김현철",right_only
7770,어밴던드,2010-03-25,,left_only
6228,소명 2-모겐족의 월드컵,2010-04-01,신현원,right_only
6229,소명 2: 모겐족의 월드컵,2010-04-01,,left_only
7771,어밴던드,2010-04-01,나초 세르다,right_only
9940,정사 - 그녀의 비밀연애,2010-04-02,,left_only
9948,정사 : 그녀의 비밀연애,2010-04-02,카타오카 슈지,right_only
8505,오페라-카르멘(메트로폴리탄),2010-04-04,"게리 할버슨,리처드 이어",right_only
10896,카르멘,2010-04-04,,left_only
1360,나를 믿어줘,2010-04-10,,left_only
55,1st 지드래곤 콘서트 - Shine a Light,2010-04-15,,left_only
5882,샤인 어 라이트(1st 지드래곤 콘서트),2010-04-15,정치영,right_only
12301,핑거프린트,2010-04-22,,left_only
754,구르믈 버서난 달처럼,2010-04-28,이준익,right_only
6618,스트리트 워,2010-04-28,,left_only
755,구르믈 버서난 달처럼,2010-04-29,,left_only
5012,부끄러움,2010-04-29,,left_only
7319,아이언 맨 2,2010-04-29,,left_only
7325,아이언맨 2,2010-04-29,존 파브로,right_only
11044,케로로 더 무비 5: 기적의 사차원섬,2010-04-29,"사토 준이치,야마구치 스스무",right_only
11045,케로로 더무비 5: 기적의 사차원섬,2010-04-29,,left_only
12302,핑거프린트,2010-04-29,해리 바실,right_only
2262,대한민국 1%,2010-05-05,조명남,right_only
12430,하하하,2010-05-05,홍상수,right_only
2263,대한민국 1%,2010-05-06,,left_only
12431,하하하,2010-05-06,,left_only
6752,시몬 보카네그라,2010-05-09,,left_only
8502,오페라-시몬 보카네그라(메트로폴리탄),2010-05-09,지안카를로 델모나코,right_only
2476,더 헌터,2010-05-13,,left_only
3391,로빈후드,2010-05-13,,left_only
9014,위험한 여자,2010-05-14,,left_only
5934,서태지밴드 라이브 투어 <더 뫼비우스>,2010-05-21,서태지,right_only
12469,할 수 있는 자가 구하라,2010-05-24,,left_only
1151,금단의 유혹,2010-05-27,,left_only
5240,브로큰 데이트,2010-05-27,,left_only
5317,블러디쉐이크,2010-05-27,김지용,right_only
6972,싱글맨,2010-05-27,톰 포드,right_only
1888,노스페이스,2010-06-02,필립 슈톨츨,right_only
4704,방자전,2010-06-02,김대우,right_only
8122,엣지 오브 다크니스,2010-06-02,마틴 캠벨,right_only
9050,유령작가,2010-06-02,로만 폴란스키,right_only
1889,노스페이스,2010-06-03,,left_only
4705,방자전,2010-06-03,,left_only
8123,엣지 오브 다크니스,2010-06-03,,left_only
9051,유령작가,2010-06-03,,left_only
10713,축구의 신 마라도나,2010-06-03,,left_only
10714,축구의 신: 마라도나,2010-06-03,에밀 쿠스트리차,right_only
175,A 특공대,2010-06-10,,left_only
176,A-특공대,2010-06-10,조 카나한,right_only
196,H2: 어느 살인마의 가족 이야기,2010-06-10,,left_only
197,H2: 어느 살인마의 가족이야기,2010-06-10,롭 좀비,right_only
817,귀 鬼,2010-06-10,"김조광수,여명준,조은경,홍동명",right_only
819,귀鬼,2010-06-10,,left_only
3222,레고: 클러치 파워의 모험,2010-06-10,,left_only
3223,레고:클러치파워의 모험,2010-06-10,하워드 E.베이커,right_only
3924,맨발의 꿈,2010-06-10,,left_only
11525,토마스와 친구들 - 극장판 2,2010-06-10,그렉 티어넌,right_only
8501,오페라- 햄릿 (메트로폴리탄),2010-06-12,브라이언 라지,right_only
12547,햄릿,2010-06-12,,left_only
6616,스트리트 댄스,2010-06-16,,left_only
6621,스트리트댄스,2010-06-16,"맥스 기와,다니아 파스퀴니",right_only
8325,엽문2,2010-06-16,엽위신,right_only
12024,포화 속으로,2010-06-16,,left_only
12025,포화속으로,2010-06-16,이재한,right_only
6107,섹스 파티 그리고 거짓말,2010-06-17,"데이빗 멘케스,알폰소 알바세테",right_only
6111,"섹스, 파티 그리고 거짓말",2010-06-17,,left_only
8320,엽문 2,2010-06-17,,left_only
11527,토마스와 친구들 - 극장판2,2010-06-17,,left_only
12199,플랜 B,2010-06-17,알란 폴,right_only
8140,여대생 기숙사,2010-06-23,스튜어트 헨들러,right_only
148,"60년 전, 사선에서",2010-06-24,,left_only
149,"60년전, 사선에서",2010-06-24,박성미,right_only
1476,나잇   데이,2010-06-24,,left_only
1477,나잇&데이,2010-06-24,제임스 맨골드,right_only
2170,"단지처, 오후의 정사",2010-06-24,나카하라 슌,right_only
2171,단지처: 오후의 정사,2010-06-24,,left_only
2815,뒤에서 앞에서,2010-06-24,,left_only
2816,뒤에서앞에서,2010-06-24,마스모토 쇼이치로,right_only
3925,맨발의 꿈,2010-06-24,김태균,right_only
8141,여대생 기숙사,2010-06-24,,left_only
5095,분홍 돌고래,2010-07-01,,left_only
5096,분홍돌고래,2010-07-01,조연수,right_only
8332,영도 다리,2010-07-01,전수일,right_only
8333,영도다리,2010-07-01,,left_only
12200,플랜 B,2010-07-01,,left_only
12293,필립 모리스,2010-07-01,,left_only
12294,필립모리스,2010-07-01,"존 레쿼,글렌 피카라",right_only
12373,하얀 리본,2010-07-01,,left_only
12378,하얀리본,2010-07-01,미카엘 하네케,right_only
8680,요짐보,2010-07-02,,left_only
7135,아더와 미니모이 2 : 셀레니아 공주 구출 작전,2010-07-07,,left_only
11287,킬러 인사이드 미,2010-07-07,"마이클 윈터바텀,존 커랜",right_only
7136,아더와 미니모이 2 : 셀레니아 공주 구출 작전,2010-07-08,뤽 베송,right_only
11288,킬러 인사이드 미,2010-07-08,,left_only
12126,프레데터스,2010-07-08,,left_only
7154,아르미다,2010-07-10,,left_only
8503,오페라-아르미다 (메트로폴리탄),2010-07-10,"게리 할버슨,메리 짐머만",right_only
9015,위험한 여자,2010-07-11,카타오카 슈지,right_only
8666,요녀전설 : 사악한 욕망,2010-07-12,,left_only
8667,요녀전설: 사악한 욕망,2010-07-12,카메이 토루,right_only
1915,노트 : 아내와 남교수의 금지된 사랑,2010-07-13,,left_only
1916,노트: 아내와 남교수의 금지된 사랑,2010-07-13,오누마 유이치,right_only
9301,이끼,2010-07-14,강우석,right_only
2315,더 레블 - 영웅의 피,2010-07-15,트룩 찰리 응우엔,right_only
2316,더 레블:영웅의 피,2010-07-15,,left_only
3648,마법사의 제자,2010-07-15,,left_only
9302,이끼,2010-07-15,,left_only
9482,인셉션,2010-07-15,,left_only
3649,마법사의 제자,2010-07-21,존 터틀타웁,right_only
3693,마음이2,2010-07-21,이정철,right_only
4051,명탐정 코난: 천공의 난파선,2010-07-21,야마모토 야스이치로,right_only
9483,인셉션,2010-07-21,크리스토퍼 놀란,right_only
3690,마음이 2,2010-07-22,,left_only
4042,명탐정 코난 : 천공의 난파선,2010-07-22,,left_only
10074,제프 벡 로니 스콧 라이브,2010-07-22,,left_only
10075,제프 벡 로니스콧 라이브,2010-07-22,스튜어트 왓츠,right_only
11821,파코와 마법 동화책,2010-07-22,나카시마 테츠야,right_only
11822,파코와 마법동화책,2010-07-22,,left_only
711,관능 소설가의 아내,2010-07-27,,left_only
718,관능소설가의 아내,2010-07-27,카미노 후토시,right_only
1008,극장판 도라에몽: 진구의 인어대해전,2010-07-28,쿠스바 고조,right_only
8464,오션스,2010-07-28,"자끄 페렝,자크 클로드",right_only
1009,극장판 도라에몽: 진구의 인어대해전,2010-07-29,,left_only
1454,나의선택-잊혀진 가방 그 못다한 이야기,2010-07-29,,left_only
7349,아키하바라의 하녀카페:완전한 사육,2010-07-29,후카사쿠 켄타,right_only
8465,오션스,2010-07-29,,left_only
9608,잊혀진 가방,2010-07-29,김상철,right_only
1691,내 첫사랑을 너에게 바친다,2010-08-05,신조 타케히코,right_only
6580,스텝 업 3D,2010-08-05,존 추,right_only
6585,스텝업3D,2010-08-05,,left_only
8098,엘리베이터,2010-08-05,,left_only
11582,투 아이즈,2010-08-05,앨버트 반 스트리엔,right_only
11598,투아이즈,2010-08-05,,left_only
1739,내니 맥피 2 - 유모와 마법소동,2010-08-11,,left_only
1740,내니맥피 2: 유모와마법소동,2010-08-11,수잔나 화이트,right_only
2905,디센트: Part 2,2010-08-11,존 해리스,right_only
2906,디센트:PART2,2010-08-11,,left_only
8467,오션월드 3D,2010-08-11,장-자크 망텔로,right_only
32,18禁린코,2010-08-12,,left_only
1214,기적의 오케스트라 - 엘 시스테마,2010-08-12,"마리아 슈토트마이어,파울 슈마츠니",right_only
1215,기적의 오케스트라-엘 시스테마,2010-08-12,,left_only
1452,나의 할아버지,2010-08-12,,left_only
1502,남의 섹스를 비웃지마,2010-08-12,,left_only
1514,남쪽으로 튀어,2010-08-12,,left_only
2107,다이브,2010-08-12,,left_only
2121,다중인격소녀ISOLA,2010-08-12,,left_only
2497,더코드,2010-08-12,,left_only
2538,데메킹,2010-08-12,,left_only
2705,돌핀 블루,2010-08-12,,left_only
4728,배터리,2010-08-12,,left_only
7498,애디언텀 블루,2010-08-12,,left_only
8468,오션월드 3D,2010-08-12,,left_only
9391,이케맨 뱅크,2010-08-12,,left_only
9798,전염가,2010-08-12,하라다 마사토,right_only
10743,츠야코와 료칸의 정사 2,2010-08-12,,left_only
12321,하나오니 1: 운명의 장난,2010-08-12,,left_only
837,그 남자와의 밀애,2010-08-17,,left_only
3516,리시와 난폭한 황제,2010-08-19,,left_only
3655,마법천자문 - 대마왕의 부활을 막아라,2010-08-19,,left_only
3656,마법천자문: 대마왕의 부활을 막아라,2010-08-19,윤영기,right_only
3823,맛있는 사랑,2010-08-19,,left_only
6690,스페이스 침스 - 자톡의 역습 3D,2010-08-19,존 H. 윌리엄스,right_only
6691,스페이스 침스-자톡의 역습 3D,2010-08-19,,left_only
9521,인플루언스,2010-08-19,이재규,right_only
11292,킬러스,2010-08-19,,left_only
12641,헬 라이드,2010-08-19,,left_only
4401,미스터 좀비,2010-08-26,,left_only
4411,미스터좀비,2010-08-26,이수성,right_only
8998,위커맨,2010-08-26,,left_only
9384,이지어 위드 프랙티스,2010-08-26,,left_only
10207,죽이고 싶은,2010-08-26,"김상화,조원희",right_only
10208,죽이고싶은,2010-08-26,,left_only
12127,프레데터스,2010-08-26,님로드 안탈,right_only
5010,부기맨3,2010-09-01,,left_only
1860,노르웨이의 숲,2010-09-02,,left_only
3080,라임라이프,2010-09-02,데릭 마티니,right_only
4294,뮤턴트 - 변종 바이러스,2010-09-02,,left_only
11293,킬러스,2010-09-02,로버트 루게틱,right_only
11944,페이퍼 하트,2010-09-02,니콜라스 자세노벡,right_only
11948,페이퍼하트,2010-09-02,,left_only
923,그랑프리,2010-09-09,,left_only
8149,여덟 번의 감정,2010-09-09,,left_only
1482,나탈리 그랑제,2010-09-13,,left_only
2248,대서양의 남자,2010-09-13,,left_only
7301,아이들,2010-09-13,,left_only
9451,인디아송,2010-09-13,,left_only
3309,레지던트 이블 4: 끝나지 않은 전쟁,2010-09-16,,left_only
3310,레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,폴 W.S. 앤더슨,right_only
6408,슈퍼 배드,2010-09-16,"피에르 꼬팽,크리스 리노드",right_only
6423,슈퍼배드,2010-09-16,,left_only
7731,어린 창녀의 노래,2010-09-16,,left_only
7939,엉클 분미,2010-09-16,아핏차퐁 위라세타쿤,right_only
3625,마루사의 여자,2010-09-23,,left_only
3626,마루타이의 여인,2010-09-23,,left_only
4484,민보의 여자,2010-09-23,,left_only
6436,슈퍼의 여인,2010-09-23,,left_only
7026,아게망,2010-09-23,,left_only
8908,월 스트리트: 머니 네버 슬립스,2010-09-23,,left_only
9704,장례식,2010-09-23,,left_only
10107,조용한 생활,2010-09-23,,left_only
10232,중환자,2010-09-23,,left_only
11415,탐포포,2010-09-23,,left_only
61,2008 서태지 심포니 앙코르,2010-09-25,,left_only
1861,노르웨이의 숲,2010-09-30,노진수,right_only
3052,라이브 인 3D 휘성 : 잇츠 리얼,2010-09-30,정성복,right_only
5180,불청객,2010-09-30,이응일,right_only
8150,여덟 번의 감정,2010-09-30,성지혜,right_only
3317,레터스 투 줄리엣,2010-10-06,게리 위닉,right_only
9764,적인걸: 측천무후의 비밀,2010-10-06,서극,right_only
3318,레터스 투 줄리엣,2010-10-07,,left_only
9765,적인걸: 측천무후의 비밀,2010-10-07,,left_only
4634,바흐 이전의 침묵,2010-10-14,,left_only
6950,심야의 F.M.,2010-10-14,김상만,right_only
6951,심야의 FM,2010-10-14,,left_only
7250,아오이 소라의 '바디걸',2010-10-14,,left_only
8065,엔드 콜,2010-10-14,,left_only
12466,할,2010-10-14,윤용진,right_only
12467,할 (Haːl),2010-10-14,,left_only
10910,카멜리아 부산프로젝트,2010-10-15,,left_only
2190,달콤한 영어 선생님,2010-10-21,,left_only
4635,바흐 이전의 침묵,2010-10-21,페레 포르타벨라,right_only
5112,불륜 그리고 맛있는 섹스 2,2010-10-21,,left_only
6528,스케이트 오어 다이,2010-10-21,미구엘 꾸르트와,right_only
8909,월 스트리트: 머니 네버 슬립스,2010-10-21,올리버 스톤,right_only
6804,시크릿닌자,2010-10-28,,left_only
9915,젓가락,2010-10-28,서세원,right_only
3230,레드,2010-11-03,로베르트 슈벤트케,right_only
6242,소와 함께 여행하는 법,2010-11-03,임순례,right_only
3231,레드,2010-11-04,,left_only
5548,사랑 활동의 내구성,2010-11-04,,left_only
5605,사랑활동의 내구성,2010-11-04,성일석,right_only
6243,소와 함께 여행하는 법,2010-11-04,,left_only
6508,스즈미야 하루히의 소실,2010-11-04,,left_only
11479,테라 3D: 인류 최후의 전쟁,2010-11-04,아리스토메니스 치바스,right_only
11480,테라:인류 최후의 전쟁,2010-11-04,,left_only
7840,언스토퍼블,2010-11-10,토니 스콧,right_only
5315,블러드헌터,2010-11-11,,left_only
5386,비스트 스토커 2 - <증인> 두 번째 이야기,2010-11-11,임초현,right_only
5388,비스트스토커2  두번째이야기,2010-11-11,,left_only
6509,스즈미야 하루히의 소실,2010-11-11,"이시하라 타츠야,타케모토 야스히로",right_only
7841,언스토퍼블,2010-11-11,,left_only
8080,엘 시크레토 : 비밀의 눈동자,2010-11-11,후안 호세 캄파넬라,right_only
8081,엘 시크레토: 비밀의 눈동자,2010-11-11,,left_only
9229,음란한 게이샤,2010-11-18,,left_only
9244,음란한 스튜디어스,2010-11-18,,left_only
7305,아이리스: 더 무비,2010-11-22,,left_only
2417,더 콘서트,2010-11-24,,left_only
2821,듀 데이트,2010-11-24,토드 필립스,right_only
6510,스카이 라인,2010-11-24,"콜린 스트로즈,그렉 스트로즈",right_only
6515,스카이라인,2010-11-24,,left_only
9389,이층의 악당,2010-11-24,손재곤,right_only
2418,더 콘서트,2010-11-25,라두 미하일레아누,right_only
2822,듀 데이트,2010-11-25,,left_only
9390,이층의 악당,2010-11-25,,left_only
12421,하트 비트,2010-11-25,자비에 돌란,right_only
12424,하트비트,2010-11-25,,left_only
3032,라스트 엑소시즘,2010-12-01,다니엘 스탬,right_only
6499,스위치,2010-12-01,"조쉬 고든,윌 스펙",right_only
8839,워리어스 웨이,2010-12-01,이승무,right_only
94,2AM SHOW,2010-12-02,,left_only
2374,더 스위치,2010-12-02,,left_only
3033,라스트 엑소시즘,2010-12-02,,left_only
8840,워리어스 웨이,2010-12-02,,left_only
95,2AM SHOW,2010-12-09,정성복,right_only
1152,금병매,2010-12-09,,left_only
4190,무간도 IV - 문도,2010-12-09,,left_only
10122,존 레논 비긴즈-노웨어 보이,2010-12-09,샘 테일러-우드,right_only
10128,존레논 비긴즈-노웨어보이,2010-12-09,,left_only
5780,새미의 어드벤처,2010-12-15,,left_only
5782,새미의 어드벤쳐,2010-12-15,벤 스타센,right_only
12498,해리 포터와 죽음의 성물 - 1부,2010-12-15,,left_only
12500,해리 포터와 죽음의 성물1,2010-12-15,데이빗 예이츠,right_only
2072,다시 사랑할 수 있을까?,2010-12-16,,left_only
4472,미키의 동영상,2010-12-16,,left_only
9295,이겨라 승리호,2010-12-16,,left_only
1086,극장판 포켓 몬스터 DP - 환영의 패왕 조로아크,2010-12-23,,left_only
1087,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,유야마 쿠니히코,right_only
6517,스카이모퍼-외계로봇의 침공,2010-12-23,,left_only
12380,하오의 비밀정사,2010-12-23,,left_only
2985,뜨거운유혹-미용사의불륜,2010-12-30,,left_only
3931,맬리스 인 원더랜드,2010-12-30,,left_only
11640,트레져 헌터,2010-12-30,,left_only
1024,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,2011-01-05,스기시마 쿠니히사,right_only
2730,동자 대소동,2011-01-05,"남기남,정창욱",right_only
947,그레이티스트,2011-01-06,,left_only
1025,극장판 메탈베이블레이드 VS 태양 : 작열의 침략자 솔블레이즈,2011-01-06,,left_only
80,20세기 소년 ; 최종장 - 우리들의 깃발,2011-01-13,츠츠미 유키히코,right_only
81,20세기소년:최종장-우리들의깃발,2011-01-13,,left_only
1849,노다메 칸타빌레 최종악장,2011-01-13,"카와무라 야스히로,타케우치 히데키",right_only
3122,러브   드럭스,2011-01-13,,left_only
3123,러브 & 드럭스,2011-01-13,에드워드 즈윅,right_only
6790,시즌 오브 더 위치: 마녀 호송단,2011-01-13,도미닉 세나,right_only
6791,시즌 오브 더 윗치: 마녀 호송단,2011-01-13,,left_only
9465,인비져블 2 : 귀신소리찾기,2011-01-13,,left_only
9466,인비져블 2: 귀신소리찾기,2011-01-13,유준석,right_only
4466,미친 개들,2011-01-18,,left_only
4952,보리스 고두노프,2011-01-22,,left_only
1176,금지된 정사,2011-01-27,,left_only
10095,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,김석윤,right_only
10097,조선명탐정: 각시투구꽃의 비밀,2011-01-27,,left_only
11748,파란만장,2011-01-27,,left_only
12900,흑사회,2011-01-27,,left_only
9261,음란한 춘정,2011-01-31,,left_only
64,2010 빅뱅 라이브 콘서트 빅쇼 3D,2011-02-02,,left_only
9245,음란한 스튜디어스 2,2011-02-10,,left_only
9335,이브의 정사,2011-02-10,,left_only
5924,서유기 리턴즈,2011-02-17,신동엽,right_only
5928,서유기리턴즈,2011-02-17,,left_only
7147,아따맘마 - 극장판,2011-02-17,야스미 테츠오,right_only
7148,아따맘마 극장판,2011-02-17,,left_only
10704,최후의 툰드라- 극장판,2011-02-17,,left_only
10705,최후의 툰드라-극장판,2011-02-17,"장경수,김종일,이승재",right_only
11754,파리 36의 기적,2011-02-17,크리스토퍼 파라티에,right_only
11755,파리 36의 기적: 코러스 2,2011-02-17,,left_only
12697,"혜화, 동",2011-02-17,민용근,right_only
12698,"혜화,동",2011-02-17,,left_only
5166,불륜정사,2011-02-18,,left_only
67,2012 - 슈퍼노바,2011-02-24,,left_only
1456,나이스숏 2011 촌철살인,2011-02-24,,left_only
6428,슈퍼쇼3 3D,2011-02-24,,left_only
10681,촌철살인,2011-02-24,"이용승,강진아,엄태화,박형익",right_only
9919,정글 피쉬 2 - 극장판,2011-03-03,,left_only
9928,정글피쉬2,2011-03-03,"김정환,민두식",right_only
1377,나비효과 3: 레버레이션,2011-03-10,,left_only
1378,나비효과: 레버레이션,2011-03-10,세스 그로스먼,right_only
8194,여은행원의 불륜밀회,2011-03-10,,left_only
8933,웨이 백,2011-03-17,피터 위어,right_only
9262,음란한 치한택시,2011-03-17,,left_only
11630,트러블 러브,2011-03-17,,left_only
2678,돈 카를로,2011-03-19,,left_only
4915,변절 - 반란의 시작,2011-03-22,,left_only
6931,실종: 충격적 사실들,2011-03-24,,left_only
9251,음란한 여변호사,2011-03-24,,left_only
10258,지구대표 롤링 스타즈,2011-03-24,,left_only
10259,지구대표 롤링스타즈,2011-03-24,임상준,right_only
12047,폰티풀,2011-03-24,,left_only
804,굿바이 마이 스마일,2011-03-26,,left_only
4585,바람의 노래,2011-03-26,,left_only
9433,인 더 콜드 콜드 나잇,2011-03-26,,left_only
10392,착한 살인자들,2011-03-26,,left_only
10660,초롤케의 딸,2011-03-26,,left_only
11347,타운십 스토리,2011-03-26,,left_only
12048,폰티풀,2011-03-26,브루스 맥도널드,right_only
12377,하얀나비,2011-03-26,,left_only
12725,호수길,2011-03-26,,left_only
6985,써커 펀치,2011-04-06,,left_only
6230,소명 3 - 히말라야의 슈바이처,2011-04-07,,left_only
6231,소명 3 : 히말라야의 슈바이처,2011-04-07,신현원,right_only
6986,써커 펀치,2011-04-07,잭 스나이더,right_only
8024,에일리언 Vs. 헌터,2011-04-07,,left_only
8674,요시코의 금지된 사랑과 섹스,2011-04-07,,left_only
11761,"파리, 사랑한 날들",2011-04-07,미카엘 코헨,right_only
11762,"파리,사랑한 날들",2011-04-07,,left_only
7163,아마겟돈: 카운트다운,2011-04-14,,left_only
2309,더 라이트: 악마는 있다,2011-04-20,미카엘 하프스트롬,right_only
3666,마셰티,2011-04-20,,left_only
4174,몽정애,2011-04-20,,left_only
5767,상실의 시대,2011-04-20,,left_only
