TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
써니,2011-05-04,5,2,18,124.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,1.0,514.0,23.6050583657588,0.0,0.0,7328820
스파이더맨: 홈 커밍,2017-07-05,7,3,27,133.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1.0,458.0,42.2052401746725,15235.0,0.0,7257973
1987,2017-12-27,12,4,52,129.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,0.0,1220.0,53.7090163934426,13877.0,0.0,7231638
베를린,2013-01-30,1,1,5,120.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,1238.0,36.3182552504039,0.0,0.0,7166199
마스터,2016-12-21,12,4,51,142.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,1347.0,38.0259836674091,18671.0,0.0,7150541
터널,2016-08-10,8,3,32,126.0,한국,(주)쇼박스,드라마,12세이상관람가,0.0,545.0,44.190825688073396,14152.0,1.0,7118592
어벤져스,2012-04-26,4,2,17,142.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,1258.0,22.2901430842607,0.0,0.0,7074867
내부자들,2015-11-19,11,4,47,130.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,1309.0,40.35064935064929,12198.0,1.0,7071763
인천상륙작전,2016-07-27,7,3,30,110.0,한국,씨제이이앤엠(주),전쟁,12세이상관람가,0.0,2063.0,42.5428986912264,35317.0,0.0,7049643
럭키,2016-10-13,10,4,41,112.0,한국,(주)쇼박스,코미디,15세이상관람가,0.0,2144.0,36.294776119403,15767.0,0.0,6965706
은밀하게 위대하게,2013-06-05,6,2,23,123.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,12880.0,27.477018633540396,0.0,0.0,6953800
곡성,2016-05-12,5,2,19,156.0,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,0.0,806.0,37.5992555831265,15570.0,0.0,6878264
범죄도시,2017-10-03,10,4,40,121.0,한국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,0.0,1208.0,47.2533112582781,7567.0,0.0,6851297
늑대소년,2012-10-31,10,4,44,124.0,한국,씨제이이앤엠(주),멜로,15세이상관람가,0.0,1166.0,28.951972555746103,0.0,0.0,6654837
