movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역,_merge
,,,,,,,,,,,,1918크루티대전투,Kruty 1918,알렉세이 샤파레프,2019-06-05,"우크라이나,볼셰비키,학도병,자유투쟁","1917년 러시아 제국의 붕괴로 우크라이나는 독립 공화국을 설립한다. 하지만 이듬해인 1918년, 레닌이 이끄는 볼셰비키당의 붉은 군대는 우크라이나의 수도인 키예프를 차지하기 위해 전쟁을 선포한다. 이에 대항하기 위해 우크라이나는 학군단을 모집하고, 평범한 대학생이던 안드리, 발레리, 그레고리는 학도병에 자원한다. 고작 300여 명에 불과한 학도병들은 우크라이나의 자유와 독립을 지키기 위해 이들은 키예프에 있는 크루티 역에서 무라뵤프가 이끄는 4천 여명의 군사와 목숨을 걸고 맞서 싸운다.",,right_only
,,,,,,,,,,,,1942최정예특수부대스페츠나츠,,레나트 다블레티아로프,2016-12-01,,,,right_only
,,,,,,,,,,,,19금만남의목적,( 19geum man-na-mui mok-jeok ),이세일,2016-08-18,"짝사랑,소개,계획,몰래카메라,정사",민중과 가희는 대학 커플이면서 근태와도 친구이다. 근태는 가희를 짝사랑하며 가희에게 자신의 사랑을 고백하려 식사를 같이 하자고 하며 그녀의 환심을 사려한다. 그런 근태의 마음을 아는 가희는 자신은 민중오빠를 사랑한다며 근태의 사랑을 받아주지 않는다. 근태는 민중이 가희에게 대하는 행동들이 마땅치가 않고 그런 민중을 좋아하며 따르는 가희가 안쓰러워 보인다. 그러던 중 근태는 민중과 가희의 관계를 때어놓으려고 은빛이라는 재수생을 소개해주며 음모를 꾸미게 되는데....... 은빛의 적극적인 공세에 넘어가버린 민중... 그녀와 정사를 나눈다. 그 광경을 카메라에 몰래 담는 근태... 가희에게 영상을 보여주며 민중은 너를 사랑하지 않는다고 하며 둘 사이를 갈라놓는데 성공을 하는 근태....,,right_only
,,,,,,,,,,,,19금정사말할수없는비밀,( 19geum jeong-sa: mal-hal su eom-neun bi-mil ),박범수,2016-08-18,"한남자,자매,유혹,살인계획",혼자 사는 남자의 집에 어느 날 매력적인 두 명의 여자 불청객이 찾아왔다. 어릴적 헤어진 아버지를 찾아나선 자매라고 자신들을 소개한 여자들은 남자의 집에 기거하며 거부할 수 없는 매력으로 남자를 유혹하기 시작하는데… 그 두 여자의 정체는 혼자 사는 남자들만을 노리며 전국적으로 살인을 일삼은 연쇄 살인 듀오. 결국 그 남자도 여자들의 계획대로 목숨을 잃고.. 자신들의 성공을 자축하며 즐거워하는 두 여자 앞에 그 남자의 동생이라는 남자가 나타난다. 외모도 목소리도 첫 번째 남자와 똑같지만 성격만은 완전히 다른 두 번째 남자.... 자신들의 사냥감으로 적당치 않은 성격의 남자와 맞닥드린 여자들... 과연 이 형체 없는 싸움의 최종 승자는 누가 될 것인가?,,right_only
,,,,,,,,,,,,19금특별한정사,( 19geum teukbyeolhan jeongsa ),닥터 필,2018-04-24,,"화가인 준식은 누드화를 그리기 위해 모델인 수정을 섭외한다. 수정의 아름다운 몸에 취해 작업에 집중하지 못하는 준식은 잠시 휴식을 갖자고 제안한다. 준식이 잠시 자리를 비운 사이, 캔버스에 그려진 자신의 모습을 발견한 수정은 자신과 다르게 나온 그림에 만족하지 못한다. 수정은 자신 본연의 모습을 봐달라며 준식에게 아주 특별한 경험을 선사하는데…",,right_only
,,,,,,,,,,,,1st지드래곤콘서트shinealight,1st G Dragon Concert - Shine a Light,정치영,2010-04-15,"콘서트,공연",2009년 12월 6일 올림픽 체조경기장에서 공연된 G드래곤의 첫번째 콘서트 실황.,,right_only
,,,,,,,,,,,,2004서태지라이브투어제로,2004 Seotaeji Livetour Zero,서태지,2011-04-23,"서태지,라이브공연,실황",2004년 07월 11일 서울 잠실 실내 체육관에서 있었던  2004 서태지 라이브 투어 제로 의 공연 영상. 영상에는 공연 시작을 알리는 인트로 음악을 제외하고 서태지의 음악 중 총 20곡의 공연 실황이 담겨 있음.* 공연 실황(곡 리스트)*1. FM Business2. VICTIM3. HEFFY END4. TAKE TWO5. ORANGE6. TAKE FOUR7. 슬픈 아픔8. 로보트9. 인터넷 전쟁10. 난 알아요11. TAKE SIX12. TAKE FIVE13. 10월 4일14. 필승(必勝)15. 죽음의 늪16. 이 밤이 깊어가지만17. LIVE WIRE18. 너에게19. ZERO20. OUTRO (7TH),,right_only
,,,,,,,,,,,,2008서태지심포니앙코르,2008 SEOTAIJI SYMPHONY ENCORE,서태지,2010-09-25,"서태지,오케스트라,협연",서태지와 성남 시향의 협연 실황을 담은 다큐멘터리.,,right_only
,,,,,,,,,,,,2010빅뱅라이브콘서트빅쇼3d,BIG BANG LIVE BIG SHOW 3D,"손석,양민석",2011-02-02,"빅뱅,아이돌,팬,콘서트,실황녹화","대한민국을 대표하는 남자 아이돌그룹 빅뱅에게는 매년 치러야 할 관문이 있다. 바로 팬들과 만나는 콘서트 ‘빅뱅 빅쇼’가 그것. 지난 2010년 1월, 5명의 남자가 TV에선 보여줄 수 없었던 모든 것을 토해냈던 현장이자 이제는 전설이 된 그 무대. 5만명이 열광했던 현장을 3D의 감동과 압도적인 사운드로 다시 만난다! 참고. 2010년 1월 29일~31일에 걸쳐 3일간 진행된 콘서트 실황 중 DVD에 수록 되지 않은 콘서트 첫날 만을 담아 3D 테크놀로지와 사운드를 더해 제작된 공연실황 영상.",,right_only
,,,,,,,,,,,,2012,,롤랜드 에머리히,2013-06-13,"블록버스터, 재난영화, 지구종말","고대 마야 문명에서부터 끊임없이 회자되어 온 인류 멸망. 2012년, 저명한 과학자들은 오랜 연구 끝에 실제로 멸망의 시기가 다가오고 있음을 감지하고 각국 정부에 이 사실을 알린다. 그리고 곧 고대인들의 예언대로 전세계 곳곳에서는 지진, 화산 폭발, 거대한 해일 등 각종 자연 재해들이 발생해 그 누구도 막을 수 없는 최후의 순간이 도래한다. 한편, 이혼 후 가족과 떨어져 살던 소설가 잭슨 커티스(존 쿠삭)는 인류 멸망에 대비해 진행되어 왔던 정부의 비밀 계획을 알아차리고 가족과 함께 살아남기 위한 필사의 사투를 벌이는데…",,right_only
