영화명,개봉일,키워드,수상내역,순번,감독,제작사,수입사,배급사,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,API구분
카페 서울,2010-01-02,"홍대,인사동,보컬,취재,떡,재개발,전통,파티쉐",,4912.0,타케 마사하루,"(주)나이너스엔터테인먼트,레인디어",,(주)나이너스엔터테인먼트,개봉영화,장편,일본,1,"2,359,647",359,"2,240,600",337,드라마,12세이상관람가,독립/예술영화,both
당신을 오랫동안 사랑했어요,2010-01-07,"비밀,수영장,아들,의사,자매,죽음,출소,보호관찰,담배",,3456.0,필립 클로델,,위드시네마,주식회사 마운틴픽쳐스,개봉영화,장편,프랑스,3,"20,401,309","2,858","16,676,000","2,243",드라마,15세이상관람가,독립/예술영화,both
더 로드,2010-01-07,"부자관계,사투,살인,생존,소설원작,재앙,종말,혹한",,1059.0,존 힐코트,,(주)누리픽쳐스,에스케이텔레콤(주),개봉영화,장편,미국,172,"1,303,099,693","176,152","535,743,000","69,037",SF,15세이상관람가,일반영화,both
"시네도키, 뉴욕",2010-01-07,"무대,부부관계,연극,연극감독,연극연출,뉴욕",LA비평가협회상(2008) : 미술상 - 마크 프리드버그(Mark Friedberg)|로저 이버트 Roger Ebert TOP 10(2008) : 18 - 찰리 카우프만,3075.0,찰리 카우프만,,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,미국,5,"36,604,709","5,001","32,130,000","4,317",드라마,15세이상관람가,독립/예술영화,both
퀼,2010-01-07,,,2810.0,최양일,2004 Quill Film Partners,(주)동아수출공사,주식회사 마운틴픽쳐스,개봉영화,장편,일본,14,"52,551,581","6,860","31,800,000","4,113",드라마,전체관람가,독립/예술영화,both
파라노말 액티비티,2010-01-13,"발자국,초자연현상,카메라,퇴마사,페이크다큐멘터리멘터리,침실,페이크다큐멘터리,시리즈",,725.0,오렌 펠리,브름하우스 프로덕션,㈜코리아스크린,(주)넥스트엔터테인먼트월드(NEW),개봉영화,장편,미국,187,"3,265,135,449","446,510","1,234,133,000","159,569",공포(호러),12세이상관람가,일반영화,both
소규모 아카시아 밴드 이야기,2010-01-14,"보컬,음악,인디밴드,인터뷰,홍대,다큐드라마",전주국제영화제(2009) : JJ-ST★R상 특별언급 - 민환기|- 2009년도 전주국제영화제(제10회) JJ-스타상- 특별언급 수상,4443.0,"민환기,구미정",(주)이모션픽처스,,(주)이모션픽처스,개봉영화,장편,한국,5,"5,721,328",802,"5,152,500",703,다큐멘터리,12세이상관람가,독립/예술영화,both
아빠가 여자를 좋아해,2010-01-14,"과거,분장사,사진작가,포토그래퍼,아들,아버지와아들,남장,남장여자,성정체성,성전환,성전환수술,트랜스젠더",,1054.0,이광재,(주)하리마오픽쳐스,,(주)쇼박스,개봉영화,장편,한국,283,"1,264,356,155","177,535","349,074,500","45,922",멜로/로맨스,12세이상관람가,일반영화,both
웨딩드레스,2010-01-14,"디자이너,모녀지간,싱글맘,웨딩드레스,이별,딸,어머니와딸,엄마와딸,시한부인생,시한부,워킹맘,드레스,암,암선고",,1125.0,권형진,"(주)로드픽쳐스,(주)인벤트스톤",,(주)싸이더스,개봉영화,장편,한국,183,"1,014,636,235","146,148","219,105,000","29,532",드라마,전체관람가,일반영화,both
페어러브,2010-01-14,"고양이,딸,사진기,연애,아빠친구,나이차,친구,친구의죽음,사랑,데이트,노총각,총각,아가씨,빨래,사진,사진기사,사진사",시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 신연식,1912.0,신연식,"(주) 루스이소니도스,타일씨앤피㈜",,씨제이엔터테인먼트,개봉영화,장편,한국,44,"205,824,062","27,521","115,432,000","15,174",드라마,12세이상관람가,독립/예술영화,both
회복,2010-01-14,"종교,기독교,이스라엘,이슬람교,사건,폭탄",,1098.0,김종철,"(주)더피셔엔터테인먼트,㈜스토리셋",,(주)스폰지이엔티,개봉영화,장편,한국,2,"1,128,545,852","157,793","505,918,500","66,450",다큐멘터리,12세이상관람가,독립/예술영화,both
8인: 최후의 결사단,2010-01-21,"1900년대,영웅,혁명,실존인물,암살자,비밀계획,호위",,1223.0,진덕삼,차이나필름그룹,씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,중국,160,"878,708,580","116,788","270,416,000","34,297",액션,15세이상관람가,일반영화,both
공주와 개구리,2010-01-21,"동화원작,왕자,마법,키스",,1261.0,"존 머스커,론 클레멘츠",월트디즈니 애니메이션 스튜디오,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,미국,81,"716,485,106","105,654","299,783,500","41,898",애니메이션,전체관람가,일반영화,both
사사건건,2010-01-21,"남매,단편모음,병원,부분애니메이션,산책,시각장애인,애니메이션,여자친구,잠복,시각상실,아들,낙태,오누이,잠복근무,잠복수사,형사,추억,옛추억,고향친구,소꿉친구",,4172.0,"이정욱,조성희,김영근,홍성훈",KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),개봉영화,옴니버스,한국,6,"7,688,718","1,161","5,605,000",814,드라마,청소년관람불가,독립/예술영화,both
애프터 러브,2010-01-21,"스토킹,크리스마스,전남자친구,장거리연애,신부,상처",,2129.0,파우스토 브리찌,이탈리안인터내셔널필름,라인트리엔터테인먼트,라인트리엔터테인먼트,개봉영화,장편,이탈리아,13,"149,149,711","18,966","123,786,000","15,632",멜로/로맨스,청소년관람불가,독립/예술영화,both
주문진,2010-01-21,"강원도,소녀,유령,주문진,첫사랑,펜션,죽음,연인,사랑,운명적사랑,짝사랑",,1453.0,하명중,(주)하명중 영화제작소,,롯데쇼핑㈜롯데엔터테인먼트,개봉영화,장편,한국,93,"378,219,576","67,167","144,095,300","25,604",드라마,12세이상관람가,일반영화,both
주유소 습격사건 2,2010-01-21,"사장,속편,습격,욕,주유소,직원,종업원,사은품,시리즈",,554.0,김상진,"㈜감독의집,(주)시네마서비스",,(주)시네마서비스,개봉영화,장편,한국,322,"5,466,499,511","742,475","1,378,973,500","176,464",액션,15세이상관람가,일반영화,both
꼬마 니콜라,2010-01-28,"소설원작,악동,말썽꾸러기,동생,소풍",,1013.0,로랑 티라르,피델라이트프로덕션,소서러스어프렌티스(주),(주)프라임엔터테인먼트,개봉영화,장편,프랑스,168,"1,365,849,896","199,851","458,549,500","63,324",가족,전체관람가,일반영화,both
도쿄 랑데뷰,2010-01-28,"노인,인생,젊은이",,5028.0,이케다 치히로,트랜스포머,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,일본,1,"1,840,903",276,"1,413,000",198,드라마,전체관람가,독립/예술영화,both
셉템버 이슈,2010-01-28,"편집장,디자이너,유명인사,패션,패션디자이너,패션쇼,패션잡지,파티",,2538.0,R.J. 커들러,에이엔이 인디필름,(주)미로비젼,(주)미로비젼,개봉영화,장편,미국,10,"79,992,616","10,367","70,206,700","9,041",다큐멘터리,전체관람가,독립/예술영화,both
하모니,2010-01-28,"교도소,입양,죄수,합창단,아이,자식,아들,어머니와아들,엄마와아들,사형수,교도관,여자교도소,합창,합창대회",춘사영화제(2010) : 신인감독상 - 강대규|춘사영화제(2010) : 신인여우상 - 강예원,157.0,강대규,(주)제이케이필름,,씨제이엔터테인먼트,개봉영화,장편,한국,405,"21,992,266,198","3,068,544","5,451,128,000","718,993",드라마,12세이상관람가,일반영화,both
하우 투 비,2010-01-28,"기타,싱어송라이터,백수,음악",,3488.0,올리버 어빙,하우투비 필름,오드,실버스푼,개봉영화,장편,영국,19,"19,801,390","2,746","8,050,000","1,054",코미디,12세이상관람가,독립/예술영화,both
리키,2010-02-04,"모성애,천사,싱글맘,모녀관계,매스컴",,3042.0,프랑수아 오종,유로와이드 필름,㈜세종커뮤니케이션스,씨제이엔터테인먼트,개봉영화,장편,프랑스,23,"38,680,804","5,102","28,551,000","3,701",코미디,12세이상관람가,독립/예술영화,both
맨 온 와이어,2010-02-04,"실화바탕,뉴욕,공중곡예,인터뷰",뉴욕비평가협회상(2008) : 다큐멘터리상 -|LA비평가협회상(2008) : 다큐멘터리상 -|선댄스영화제(2008) : 심사위원대상(월드다큐멘터리) - 제임스 마쉬(James Marsh)|선댄스영화제(2008) : 관객상(월드시네마) - 제임스 마쉬(James Marsh),4115.0,제임스 마쉬,"디스커버리 필름,비비씨 스토리빌,월투월",(주)영화사 진진,(주)영화사 진진,개봉영화,장편,영국,1,"8,790,515","1,258","8,151,500","1,155",다큐멘터리,12세이상관람가,독립/예술영화,both
어웨이 위 고,2010-02-04,,,2620.0,샘 멘데스,빅비치필름즈,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,영국,5,"65,773,369","9,100","58,658,700","8,047",드라마,15세이상관람가,독립/예술영화,both
의형제,2010-02-04,"간첩,공작원,국정원,남파공작원,암살,우정,의리,의심,총격,총격전,탈북자,편지,남파간첩",백상예술대상(2010) : 시나리오상 - 장민석|백상예술대상(2010) : 감독상 - 장훈|청룡영화상(2010) : 최우수작품상 - 장훈|한국영화평론가협회상 (영평상)(2010) : 남자연기자상 - 강동원|한국영화평론가협회상 (영평상)(2010) : 감독상 - 장훈,64.0,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,(주)쇼박스,개봉영화,장편,한국,572,"40,800,867,602","5,507,106","12,204,373,500","1,563,042",드라마,15세이상관람가,일반영화,both
춤추는 꿈틀이 밴드,2010-02-04,"디스코,지렁이,기타,밴드,콘테스트",,2485.0,토마스 보르히 닐슨,디스코 오르메네,(주)케이앤엔터테인먼트,에이원엔터테인먼트,개봉영화,장편,덴마크,48,"74,013,035","11,061","23,609,000","3,481",애니메이션,전체관람가,일반영화,both
헤이트 발렌타인데이,2010-02-04,"계약연애,데이트,하룻밤,발렌타인데이",,2221.0,니아 발다로스,블루스타 픽쳐스,㈜케이디미디어,㈜케이디미디어,개봉영화,장편,미국,74,"127,687,241","16,566","63,328,500","7,895",멜로/로맨스,12세이상관람가,일반영화,both
남극의 쉐프,2010-02-11,"기러기아빠,남극,요리사,음식",,3311.0,오키타 슈이치,Parade,(주)스폰지이엔티,(주)스폰지이엔티,개봉영화,장편,일본,1,"25,129,544","3,530","23,407,000","3,201",코미디,전체관람가,독립/예술영화,both
발렌타인 데이,2010-02-11,"발렌타인데이,프로포즈,데이트,고백,연애",,1067.0,게리 마샬,"뉴라인 시네마,카쯔 엔터테인먼트",워너브러더스 코리아(주),워너브러더스 코리아(주),개봉영화,장편,미국,200,"1,337,699,931","172,997","708,218,500","88,323",멜로/로맨스,15세이상관람가,일반영화,both
울프맨,2010-02-11,"늑대인간,괴수,보름달,귀족,1980년대","아카데미 시상식(2011) : 분장상 - 릭 베이커, 데이브 엘시",899.0,조 존스톤,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,266,"2,099,396,881","270,683","664,052,500","81,066",공포(호러),청소년관람불가,일반영화,both
키사라기 미키짱,2010-02-11,"자살,반전,열성팬,추모",,3865.0,사토 유이치,키사라기 필름 파트너,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,개봉영화,장편,일본,7,"12,004,983","1,672","7,835,500","1,030",코미디,12세이상관람가,독립/예술영화,both
하늘에서 음식이 내린다면,2010-02-11,"음식,핫도그,발명,아이스크림,젤리,햄버거",,577.0,"필 로드,크리스 밀러",소니 픽쳐스 애니메이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,미국,281,"5,500,218,152","665,096","1,686,106,500","187,169",애니메이션,전체관람가,일반영화,both
위핏,2010-02-18,"롤러스케이트,미인대회,인디밴드",,1786.0,드류 베리모어,맨데이트 픽쳐스,㈜에스앤엠코리아,롯데쇼핑㈜롯데엔터테인먼트,개봉영화,장편,미국,124,"225,133,182","35,241","60,210,000","8,993",드라마,12세이상관람가,일반영화,both
이웃집 좀비,2010-02-18,"계엄령,단편모음,바이러스,옴니버스영화,이웃,좀비,감염,서울,정부,비상계엄,백신",- 제13회 부천국제판타스틱영화제 (2009)  심사위원 특별상(장편)   - 제13회 부천국제판타스틱영화제 (2009)  푸루지오 관객상(장편),3496.0,"오영두,류훈,홍서백,장윤정",키노망고스틴,,㈜인디스토리,개봉영화,옴니버스,한국,12,"19,933,671","2,721","12,856,700","1,715",공포(호러),15세이상관람가,독립/예술영화,both
채식주의자,2010-02-18,"꿈,누드사진,몽고,반점,엉덩이,자살기도,자살시도,채식주의,처제,형부,고기,채식,국내소설원작",,3333.0,임우성,"(주)블루트리픽쳐스,(주)루돌프필름",,(주)스폰지이엔티,개봉영화,장편,한국,19,"25,547,105","3,434","15,983,500","2,078",드라마,청소년관람불가,독립/예술영화,both
평행이론,2010-02-18,"30년,도주,동기,반복,살해,역사,운명,판사,경고,아내의죽음,죽음,예고",,491.0,권호영,"(주)다세포클럽,씨제이엔터테인먼트",,씨제이엔터테인먼트,개봉영화,장편,한국,272,"6,905,140,883","937,029","1,959,571,500","250,326",스릴러,15세이상관람가,일반영화,both
하치 이야기,2010-02-18,"리메이크,실화바탕,소설원작,개",,1301.0,라세 할스트롬,"스션 필름,인페르노 디스트리뷰션",(주)코콘그룹,(주)프라임엔터테인먼트,개봉영화,장편,미국,163,"703,309,748","96,683","229,465,500","29,915",드라마,전체관람가,일반영화,both
러블리 본즈,2010-02-25,"강간,경찰,별거,살인,소설원작,시체,연쇄살인범,이웃,천국",,996.0,피터 잭슨,"윙누트 필름,드림웍스 프로덕션 LLC",씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,미국,225,"1,572,420,641","212,035","630,758,500","80,832",범죄,15세이상관람가,일반영화,both
아쉬람,2010-02-25,"힌두교,인도,성지",,3592.0,디파 메타,데파 메샤 필름,(주)에스와이코마드,(주)에스와이코마드,개봉영화,장편,캐나다,2,"17,892,926","2,313","15,847,000","1,964",드라마,15세이상관람가,독립/예술영화,both
엘라의 모험 2: 백설공주 길들이기,2010-02-25,"백설공주,계모,사과,욕",,1482.0,"보이드 커클랜드,스티븐 E. 고든",바프 베를린 애니메이션 필름,코리아 코어 컨텐츠,㈜케이디미디어,개봉영화,장편,미국,84,"439,232,122","63,857","121,484,500","16,873",가족,전체관람가,일반영화,both
커플 테라피: 대화가 필요해,2010-02-25,,,2105.0,피터 빌링슬레이,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,66,"150,557,480","19,623","63,972,500","7,997",코미디,15세이상관람가,일반영화,both
클로이,2010-02-25,LGBT,로저 이버트 Roger Ebert TOP 10(2010) : 2군 베스트 10 -,1180.0,아톰 에고이안,스튜디오 카날,우성엔터테인먼트,(주)시너지하우스 (시너지),개봉영화,장편,프랑스,183,"989,894,071","129,633","416,034,000","52,000",드라마,청소년관람불가,일반영화,both
하얀 아오자이,2010-02-25,"가난,노예,베트남전쟁,식민지,어머니,탈출,희생,민란,아오자이",부산국제영화제(2006) : KNN관객상 - 후인 루,2884.0,후인 루,안 비에트 컴퍼니,(주)좋은친구들,롯데쇼핑㈜롯데엔터테인먼트,개봉영화,장편,베트남,22,"37,242,726","6,229","17,425,000","2,891",드라마,15세이상관람가,독립/예술영화,both
행복한 울릉인,2010-02-25,"달리기,울릉도,할아버지,노인",,4224.0,황석호,(주)MBC,,주식회사 마운틴픽쳐스,개봉영화,장편,한국,5,"2,841,615","1,085","2,376,000",994,다큐멘터리,전체관람가,독립/예술영화,both
회오리 바람,2010-02-25,"100일,여행,커플여행,연애,동해,고등학생,고교생,청춘,첫사랑,러브스토리,사랑,순수한사랑",,3612.0,장건재,모쿠슈라,,(주)영화사 진진,개봉영화,장편,한국,11,"16,581,337","2,253","10,642,500","1,417",드라마,15세이상관람가,독립/예술영화,both
디어 존,2010-03-04,,,1025.0,라세 할스트롬,릴레티비티 미디어,(주)나이너스엔터테인먼트,(주)화앤담이엔티,개봉영화,장편,미국,262,"1,440,264,401","192,530","549,945,500","70,021",드라마,12세이상관람가,일반영화,both
마녀의 관,2010-03-04,"각색,극단,기도,마녀,시신,시체,여배우,연극,영화감독,오디션,커튼",,4793.0,박진성,블루스톰(주),,(주)이모션픽처스,개봉영화,장편,한국,1,"2,383,421",426,"2,258,000",406,공포(호러),청소년관람불가,독립/예술영화,both
우리가 꿈꾸는 기적: 인빅터스,2010-03-04,"실화바탕,럭비,남아프리카공화국,실존인물",,1256.0,클린트 이스트우드,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),개봉영화,장편,미국,121,"784,134,225","106,443","320,187,500","41,693",드라마,전체관람가,일반영화,both
이번 일요일에,2010-03-04,"짝사랑,유리병,유학,신문배달부,피자배달부",,4465.0,사토키 켐모치,,㈜인디스토리,㈜인디스토리,개봉영화,장편,일본,2,"4,993,398",771,"4,069,000",598,드라마,전체관람가,독립/예술영화,both
이상한 나라의 앨리스,2010-03-04,"고양이,소설원작,실사+애니메이션,쌍둥이,여왕,토끼,3D","아카데미 시상식(2011) : 의상상 - 콜린 앳우드|아카데미 시상식(2011) : 미술상 - 로버트 스트롬버그, 카렌 오하라",251.0,팀 버튼,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,미국,401,"20,661,000,236","2,182,365","7,781,819,000","760,628",판타지,전체관람가,일반영화,both
크레이지 하트,2010-03-04,"가수,알콜중독,기타,재기","LA비평가협회상(2009) : 작곡상 - T-본 버넷, 스티븐 브루튼|LA비평가협회상(2009) : 남우주연상 - 제프 브리지스|골든글로브 시상식(2010) : 남우주연상(드라마) - 제프 브리지스|골든글로브 시상식(2010) : 주제가상 - T-본 버넷, Ryan Bingham|아카데미 시상식(2010) : 남우주연상 - 제프 브리지스|아카데미 시상식(2010) : 주제가상 - T-본 버넷, Ryan Bingham|로저 이버트 Roger Ebert TOP 10(2009) : 주류영화 : 2 -|미국배우조합상(2010) : 영화부문 남우주연상 - 제프 브리지스",2866.0,스콧 쿠퍼,부처스 런 필름,이십세기폭스코리아(주),이십세기폭스코리아(주),개봉영화,장편,미국,4,"48,773,260","6,313","37,876,000","4,896",드라마,15세이상관람가,일반영화,both
대병소장,2010-03-11,"전쟁포로,전쟁노병,장군",,1290.0,장성,,(주)동아수출공사,(주)싸이더스,개봉영화,장편,홍콩,158,"718,183,268","98,435","136,399,500","17,622",액션,12세이상관람가,일반영화,both
리틀 디제이,2010-03-11,"라디오PD,라디오DJ,엽서,추억",,4074.0,나가타 코토,어뮤즈소프트엔터테인먼트,(주)피케이팜,주식회사 마운틴픽쳐스,개봉영화,장편,일본,14,"9,844,056","1,338","6,891,000",889,드라마,전체관람가,독립/예술영화,both
사랑은 너무 복잡해,2010-03-11,"이혼,건축가,베이커리,연애",,940.0,낸시 마이어스,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),개봉영화,장편,미국,186,"1,770,119,256","238,073","922,899,000","119,222",멜로/로맨스,청소년관람불가,독립/예술영화,both
예언자,2010-03-11,"감옥,감옥생활,교도관,인종갈등,면도날,마약,휴가,독방",LA비평가협회상(2010) : 남우조연상 - 니엘스 아레스트륍|칸국제영화제(2009) : 심사위원대상 - 자크 오디아드(Jacques Audiard),1959.0,자크 오디아르,"프랑스2시네마,까날 플러스,시네시네마,판씨네마(주)",판씨네마(주),판씨네마(주),개봉영화,장편,프랑스,24,"196,085,624","25,309","141,827,000","18,213",드라마,청소년관람불가,독립/예술영화,both
인 디 에어,2010-03-11,"공항,마일리지","뉴욕비평가협회상(2009) : 남우주연상 - 조지 클루니|LA비평가협회상(2009) : 각본상 - 제이슨 라이트먼, 쉘든 터너|골든글로브 시상식(2010) : 각본상 - 제이슨 라이트먼, 쉘든 터너|로저 이버트 Roger Ebert TOP 10(2009) : 주류영화 : 9 -",1571.0,제이슨 라이트맨,파라마운트 픽쳐스,씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,미국,53,"412,946,426","53,423","291,688,000","36,969",드라마,15세이상관람가,일반영화,both
경계도시 2,2010-03-18,"간첩,스파이,체포,귀국,도시,경계,소통,레드콤플렉스,타자,분단,기억,망각,베를린영화제,배를린영화제",서울독립영화제(2009) : 독불장군상 - 홍형숙|서울독립영화제(2009) : 최우수작품상 - 홍형숙|부산영화평론가협회상(2010) : 심사위원 특별상 - 홍형숙|DMZ국제다큐멘터리영화제(2009) : 관객상 - 홍형숙|시네마테크KOFA가 주목한 한국영화(2011) : 선정작 - 홍형숙|제14회 부산국제영화제 (2009) AND배급지원펀드 수상작,2624.0,홍형숙,감어인 필름,,시네마달,개봉영화,장편,한국,9,"64,196,626","9,032","54,622,300","7,377",다큐멘터리,15세이상관람가,독립/예술영화,both
데이브레이커스,2010-03-18,"뱀파이어,피,인류멸망,지하세계",,1150.0,마이클 스피어리그,라이온스 게이트 필름즈,(주)성원아이컴,(주)성원아이컴,개봉영화,장편,미국,187,"1,046,842,179","137,955","362,633,500","45,405",액션,청소년관람불가,일반영화,both
무법자,2010-03-18,"복수,시체,피해자,형사,살인,강력계형사,강력반형사,기억,살인사건",,1090.0,김철한,청강스토리㈜,,(주)넥스트엔터테인먼트월드(NEW),개봉영화,장편,한국,192,"1,241,201,107","163,334","284,829,000","34,920",드라마,청소년관람불가,일반영화,both
셔터 아일랜드,2010-03-18,"소설원작,실종,정신병원,고립,섬",,464.0,마틴 스콜세지,파라마운트 픽쳐스,씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,미국,275,"7,528,114,276","1,006,833","2,935,605,000","373,974",드라마,15세이상관람가,일반영화,both
언 애듀케이션,2010-03-18,"1960년대,고등학생,사교계,첼로,파리,경매,미술품,유부남,옥스포드,성장영화",로저 이버트 Roger Ebert TOP 10(2009) : 주류영화 : 3 -,3473.0,론 쉐르픽,비비씨필름즈,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,개봉영화,장편,영국,3,"21,358,842","2,794","20,371,500","2,651",드라마,15세이상관람가,일반영화,both
이웃집 남자,2010-03-18,"돈,리조트,부동산업자,벤츠,물질만능,물질만능주의,물질만능사회,자살,시위,개발",부산영화평론가협회상(2010) : 남자 우수연기상 - 윤제문,4152.0,장동홍,(주)트리쯔클럽,,주식회사 루믹스미디어,개봉영화,장편,한국,9,"8,301,336","1,207","3,751,000",537,드라마,청소년관람불가,독립/예술영화,both
하이자오 7번지,2010-03-18,"편지,록밴드,공연,시골마을",,4839.0,위덕성,에이알에스필름프로덕션,(주)피터팬픽쳐스,주식회사 마운틴픽쳐스,개봉영화,장편,대만,4,"3,078,839",399,"2,597,000",319,드라마,12세이상관람가,일반영화,both
그린 존,2010-03-25,"이라크전,군인,대량살상,세계평화,음모,은폐",,604.0,폴 그린그래스,유니버셜 픽쳐스,(주)월드시네마,(주)싸이더스,개봉영화,장편,미국,280,"4,534,073,117","606,841","1,764,722,500","224,900",드라마,15세이상관람가,일반영화,both
레이징 피닉스,2010-03-25,"인신매매,수련,비보이,무술,무에타이",,3743.0,라샤네 림트라쿨,Baa-Ram-Ewe,(주)디지탈케이아이엔,(주)디지탈케이아이엔,개봉영화,장편,태국,15,"10,134,110","1,929","5,027,000",988,액션,15세이상관람가,일반영화,both
비밀애,2010-03-25,"1인2역,쌍둥이,연민,형수,형제,혼수상태,파국,일란성쌍둥이",,1082.0,"류훈,권지연","(주)한컴,(주)코난픽쳐스",,(주)시너지하우스 (시너지),개봉영화,장편,한국,275,"1,227,023,002","167,132","417,641,000","53,814",멜로/로맨스,청소년관람불가,일반영화,both
솔로몬 케인,2010-03-25,소설원작,,1184.0,마이클 J.버세트,다비스 필름,(주)영화사 이슈,(주)화앤담이엔티,개봉영화,장편,프랑스,199,"955,021,220","126,855","302,089,000","37,900",액션,청소년관람불가,일반영화,both
어둠의 아이들,2010-03-25,,,2852.0,사카모토 준지,"제네온엔터테인먼트㈜,세딕",㈜씨에이엔,㈜씨에이엔,개봉영화,장편,일본,4,"41,095,211","6,477","24,419,000","3,358",드라마,청소년관람불가,독립/예술영화,both
예스맨 프로젝트,2010-03-25,"거짓말,bbc,정의,사회","베를린국제영화제(2009) : 파노라마 관객상 - 앤디 비치바움(Andy Bichlbaum), 마이크 보난노(Mike Bonanno)|암스테르담 국제다큐멘터리영화제(2009) : DOC U 상 - 앤디 비크바움, 마이크 보난노",3148.0,"앤디 비츨바움,마이크 보난노,커트 잉페어","아르떼 프랑스,Article Z,Renegade Pictures,채널4텔레비젼 코포레인션,Britdoc Foundation,Charny/Bachrach Entertainment",마이미디어,(주)영화사구안,개봉영화,장편,프랑스,11,"33,170,795","4,506","24,680,000","3,309",다큐멘터리,12세이상관람가,독립/예술영화,both
제로 포커스,2010-03-25,"연쇄살인,실종,신혼",,2409.0,이누도 잇신,,거원시네마(주),씨제이엔터테인먼트,개봉영화,장편,일본,76,"90,753,873","12,260","37,132,500","4,789",드라마,15세이상관람가,일반영화,both
콜링 인 러브,2010-03-25,,,2080.0,제임스 도드슨,메트로-골드윈-마이어,아이엠제이 유한회사,㈜케이디미디어,개봉영화,장편,미국,68,"153,395,877","20,796","51,562,500","6,690",멜로/로맨스,15세이상관람가,일반영화,both
꽃비,2010-04-01,"4.3항쟁,고등학생,전학생,제주도,43항쟁,제주도항쟁,경쟁,전학,반장선거,반장,전쟁",,3219.0,정종훈,유메이크 필름,,어뮤즈,개봉영화,장편,한국,7,"32,418,490","4,029","27,432,000","3,322",드라마,청소년관람불가,독립/예술영화,both
애즈 갓 커맨즈,2010-04-01,"소설원작,마약,밤,살인,부자관계",,3745.0,가브리엘 살바토레,콜로라도필름,프리비젼엔터테인먼트,프리비젼엔터테인먼트,개봉영화,장편,이탈리아,10,"13,690,446","1,920","8,952,000","1,230",드라마,15세이상관람가,독립/예술영화,both
클래스,2010-04-01,"교사,수업,숙제,전학생,퇴학,학생,회의,다큐멘터리+극영화",칸국제영화제(2008) : 황금종려상 - 로랑 캉테(Laurent Cantet),2737.0,로랑 캉테,"Haut et Court,까날 플러스,센터 내셔널 드 라 시네마토그라피",(주)영화사 진진,(주)영화사 진진,개봉영화,장편,프랑스,7,"56,393,399","7,743","52,193,000","7,081",드라마,12세이상관람가,독립/예술영화,both
타이탄,2010-04-01,"3D,신화,전쟁,제우스,하데스,페르세우스,메두사,제물,올림푸스,신",,194.0,루이스 리테리어,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),개봉영화,장편,미국,694,"22,143,097,429","2,685,508","6,821,236,500","798,779",액션,12세이상관람가,일반영화,both
폭풍전야,2010-04-01,"레스토랑,바닷가,복수,실연,요리사,탈주범,누명,살인누명,아내의죽음,살해,탈옥,탈옥범,탈옥수",,1580.0,조창호,오퍼스픽쳐스(유),,(주)성원아이컴,개봉영화,장편,한국,134,"393,501,207","52,597","162,652,500","20,740",드라마,청소년관람불가,일반영화,both
푸른 수염,2010-04-01,"동화원작,자매,출입금지,열쇠,금기",,4118.0,카트린느 브레이야,플라치필름,오드,오드,개봉영화,장편,프랑스,4,"9,475,773","1,253","7,294,000",891,판타지,15세이상관람가,독립/예술영화,both
공기인형,2010-04-08,"성인용품,비디오가게,스카치테잎,쓰레기봉지,민들레홀씨,유리병,오토바이,인형,누드",,2405.0,고레에다 히로카즈,아스믹에이스엔터테인먼트,씨제이엔터테인먼트,씨제이엔터테인먼트,개봉영화,장편,일본,15,"95,369,439","12,371","70,156,800","8,913",드라마,청소년관람불가,독립/예술영화,both
