TITLE,DIRECTOR,OPEN_DT,OPEN_YEAR,OPEN_MONTH,OPEN_DAY,OPEN_WEEKDAY,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,GENRE_NM,SP_LANG,WATCH_GRADE_NM,ACTOR1,ACTOR2,BUDGET,SERIES,AWARDS,NAVER_CMT_NN,NAVER_PRE_EVAL,NAVER_PRE_EVAL_MUL,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
지금 만나러 갑니다,이장훈,2018-03-14,2018,3,14,2,1,11,131.0,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스/멜로,ko,12세이상관람가,소지섭,손예진,,0.0,0,311.0,7.53,2341.83,2078.0,1.0,2602273
도리를 찾아서,앤드류 스탠튼,2016-07-06,2016,7,6,2,3,27,102.0,미국,월트디즈니컴퍼니코리아(주),애니메이션/어드벤처/코미디,en,전체관람가,엘렌 드제너스,알버트 브룩스,200000000.0,1.0,0,263.0,9.65,2537.9500000000007,5951.0,0.0,2601734
위험한 상견례,김진영,2011-03-31,2011,3,31,3,1,13,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스/멜로/코미디,ko,12세이상관람가,송새벽,이시영,,1.0,0,161.0,8.3,1336.3000000000004,0.0,0.0,2595625
아수라,김성수,2016-09-28,2016,9,28,2,3,39,132.0,한국,씨제이이앤엠(주),범죄/액션,ko,청소년관람불가,정우성,김현빈,,0.0,1,691.0,8.31,5742.21,28898.0,0.0,2594028
보안관,김형주,2017-05-03,2017,5,3,2,2,18,115.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄/코미디,ko,15세이상관람가,이성민,조진웅,,0.0,0,198.0,8.29,1641.4199999999994,2752.0,0.0,2571491
기술자들,김홍선,2014-12-24,2014,12,24,2,4,52,116.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄/액션,ko,15세이상관람가,김우빈,김영철,,0.0,1,978.0,8.84,8645.52,24306.0,0.0,2564340
퍼시픽 림,길예르모 델 토로,2013-07-11,2013,7,11,3,3,28,131.0,미국,워너브러더스 코리아(주),SF/액션/어드벤처,en,12세이상관람가,찰리 허냄,론 펄먼,180000000.0,1.0,0,917.0,8.55,7840.35,0.0,1.0,2539114
엑스맨: 퍼스트 클래스,매튜 본,2011-06-02,2011,6,2,3,2,22,132.0,미국,이십세기폭스코리아(주),액션,de/en/es/fr/ru,12세이상관람가,로즈 번,재뉴어리 존스,160000000.0,1.0,0,191.0,8.77,1675.07,0.0,0.0,2532306
정글북,존 파브로,2016-06-09,2016,6,9,3,2,23,105.0,미국,월트디즈니컴퍼니코리아(주),드라마/어드벤처,en,12세이상관람가,닐 세티,빌 머레이,175000000.0,0.0,1,271.0,9.53,2582.63,4428.0,0.0,2532051
목격자,조규장,2018-08-15,2018,8,15,2,3,33,111.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,ko,15세이상관람가,이성민,김상호,5956440.0,0.0,0,115.0,8.06,926.9,583.0,0.0,2524086
마이펫의 이중생활,크리스 리노드,2016-08-03,2016,8,3,2,3,31,90.0,미국,유니버설픽쳐스인터내셔널 코리아(유),가족/애니메이션/코미디,en,전체관람가,스티브 쿠건,엘리 켐퍼,75000000.0,1.0,0,244.0,9.48,2313.12,7356.0,0.0,2517805
증인,이한,2019-02-13,2019,2,13,2,1,7,129.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,ko,12세이상관람가,정우성,김향기,,0.0,1,175.0,7.26,1270.5,484.0,0.0,2516128
조작된 도시,박광현,2017-02-09,2017,2,9,3,1,6,126.0,한국,씨제이이앤엠(주),범죄/액션,ko,15세이상관람가,지창욱,심은경,,0.0,0,705.0,8.92,6288.6,12267.0,0.0,2512572
반창꼬,정기훈,2012-12-19,2012,12,19,2,4,51,120.0,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스/멜로,ko,15세이상관람가,고수,한효주,,0.0,0,769.0,9.15,7036.35,0.0,0.0,2471721
보스 베이비,톰 맥그라스,2017-05-03,2017,5,3,2,2,18,97.0,미국,씨제이이앤엠(주),가족/애니메이션/코미디,en,전체관람가,알렉 볼드윈,리사 쿠드로,125000000.0,1.0,0,118.0,9.39,1108.02,4232.0,0.0,2450023
화차,변영주,2012-03-08,2012,3,8,3,1,10,117.0,한국,필라멘트픽쳐스,미스터리,ko,15세이상관람가,이선균,김민희,,0.0,1,142.0,9.34,1326.28,0.0,1.0,2435211
이웃사람,김휘,2012-08-22,2012,8,22,2,3,34,110.0,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,ko,청소년관람불가,김윤진,마동석,,0.0,1,297.0,9.48,2815.56,0.0,0.0,2434099
조선명탐정: 흡혈괴마의 비밀,김석윤,2018-02-08,2018,2,8,3,1,6,119.0,한국,(주)쇼박스,사극/어드벤처/코미디,ko,12세이상관람가,김명민,오달수,,1.0,0,247.0,9.09,2245.23,3955.0,0.0,2424330
재심,김태윤,2017-02-15,2017,2,15,2,1,7,118.0,한국,CGV아트하우스/오퍼스픽쳐스(유),드라마,ko,15세이상관람가,정우,강하늘,,0.0,1,270.0,9.31,2513.7000000000007,6797.0,0.0,2420729
신비한 동물들과 그린델왈드의 범죄,데이빗 예이츠,2018-11-14,2018,11,14,2,4,46,133.0,미국,워너브러더스 코리아(주),판타지,en/fr,12세이상관람가,에디 레드메인,캐서린 워터스턴,200000000.0,1.0,0,220.0,9.24,2032.8,6057.0,0.0,2414062
사바하,장재현,2019-02-20,2019,2,20,2,1,8,122.0,한국,씨제이이앤엠(주),미스터리/스릴러,ko,15세이상관람가,이정재,박정민,,0.0,1,117.0,8.56,1001.52,724.0,0.0,2397792
의뢰인,손영성,2011-09-29,2011,9,29,3,3,39,123.0,한국,(주)쇼박스,스릴러,ko,15세이상관람가,박희순,장혁,,0.0,0,230.0,9.35,2150.5,0.0,0.0,2393086
화이: 괴물을 삼킨 아이,장준환,2013-10-09,2013,10,9,2,4,41,125.0,한국,(주)쇼박스,스릴러/액션,ko,청소년관람불가,여진구,김윤석,,0.0,1,679.0,9.23,6267.17,0.0,0.0,2391963
007 스카이폴,샘 멘데스,2012-10-26,2012,10,26,4,4,43,143.0,미국/영국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,en,15세이상관람가,다니엘 크레이그,하비에르 바르뎀,200000000.0,1.0,1,238.0,9.13,2172.94,0.0,0.0,2376145
가문의 영광4 - 가문의 수난,정태원,2011-09-07,2011,9,7,2,3,36,103.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,ko,15세이상관람가,김수미,신현준,,1.0,0,426.0,5.36,2283.36,0.0,0.0,2363955
블라인드,안상훈,2011-08-10,2011,8,10,2,3,32,111.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,ko,청소년관람불가,김하늘,유승호,,0.0,1,231.0,8.93,2062.83,0.0,0.0,2362906
박열,이준익,2017-06-28,2017,6,28,2,2,26,128.0,한국,메가박스중앙(주)플러스엠,드라마,ko,12세이상관람가,이제훈,최희서,,0.0,1,857.0,9.15,7841.55,7265.0,0.0,2359174
라스트 갓파더,심형래,2010-12-29,2010,12,29,2,4,52,103.0,미국/한국,씨제이엔터테인먼트,코미디,ko,12세이상관람가,심형래,마이클 리스폴리,13400000.0,0.0,0,3794.0,8.83,33501.02,0.0,0.0,2316099
스파이,폴 페이그,2015-05-21,2015,5,21,3,2,21,121.0,미국,이십세기폭스코리아(주),액션/코미디,de/en/fr/it,15세이상관람가,주드 로,제이슨 스타뎀,65000000.0,0.0,0,502.0,9.38,4708.76,2016.0,0.0,2315882
모아나,론 클레멘츠/존 머스커,2017-01-12,2017,1,12,3,1,2,113.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,en,전체관람가,드웨인 존슨,아우이 크라발호,150000000.0,0.0,0,370.0,9.45,3496.4999999999995,2774.0,0.0,2310054
테이큰 2,올리비에 메가턴,2012-09-27,2012,9,27,3,3,39,92.0,프랑스,이십세기폭스코리아(주),드라마/범죄/액션,ar/en/tr,청소년관람불가,리암 니슨,매기 그레이스,45000000.0,1.0,0,290.0,9.59,2781.1,0.0,0.0,2308596
하녀,임상수,2010-05-13,2010,5,13,3,2,19,106.0,한국,(주)싸이더스,로맨스/멜로/스릴러,ko,청소년관람불가,전도연,'),4000000.0,0.0,1,184.0,8.02,1475.6799999999994,0.0,0.0,2304487
메이즈 러너: 데스 큐어,웨스 볼,2018-01-17,2018,1,17,2,1,3,142.0,미국,이십세기폭스코리아(주),SF/스릴러/액션,en,12세이상관람가,딜런 오브라이언,토마스 생스터,62000000.0,1.0,0,471.0,9.3,4380.3,24029.0,1.0,2299732
맘마미아!2,올 파커,2018-08-08,2018,8,8,2,3,32,113.0,미국,유니버설픽쳐스인터내셔널 코리아(유),뮤지컬,,12세이상관람가,아만다 사이프리드,릴리 제임스,,0.0,0,121.0,9.07,1097.47,1122.0,0.0,2285143
호빗: 스마우그의 폐허,피터 잭슨,2013-12-12,2013,12,12,3,4,50,161.0,뉴질랜드/미국,워너브러더스 코리아(주),드라마/어드벤처/판타지,en,12세이상관람가,마틴 프리먼,베네딕트 컴버배치,250000000.0,1.0,0,1014.0,9.72,9856.08,0.0,0.0,2282744
나잇&데이,제임스 맨골드,2010-06-24,2010,6,24,3,2,25,109.0,미국,이십세기폭스코리아(주),액션/코미디,,15세이상관람가,톰 크루즈,카메론 디아즈,,0.0,0,75.0,8.85,663.75,0.0,0.0,2282191
컨저링,제임스 완,2013-09-17,2013,9,17,1,3,38,111.0,미국,워너브러더스 코리아(주),공포(호러)/스릴러,en,15세이상관람가,베라 파미가,패트릭 윌슨,13000000.0,1.0,0,840.0,8.02,6736.799999999997,0.0,0.0,2262758
슈렉 포에버,마이크 미첼,2010-07-01,2010,7,1,3,3,26,93.0,미국,씨제이엔터테인먼트,가족/애니메이션/코미디,en/pt,전체관람가,마이크 마이어스,카메론 디아즈,165000000.0,1.0,0,239.0,8.97,2143.83,0.0,0.0,2261356
배트맨 대 슈퍼맨: 저스티스의 시작,잭 스나이더,2016-03-24,2016,3,24,3,1,12,151.0,미국,워너브러더스 코리아(주),액션/어드벤처/판타지,en,12세이상관람가,헨리 카빌,벤 애플렉,250000000.0,1.0,0,1127.0,8.48,9556.96,16024.0,1.0,2256913
레디 플레이어 원,스티븐 스필버그,2018-03-28,2018,3,28,2,1,13,139.0,미국,워너브러더스 코리아(주),SF/액션/어드벤처,en,12세이상관람가,마크 라이런스,사이먼 페그,175000000.0,0.0,0,144.0,9.08,1307.52,853.0,1.0,2254430
배틀쉽,피터 버그,2012-04-11,2012,4,11,2,2,15,131.0,미국,유니버설픽쳐스인터내셔널 코리아(유),SF/액션,en/ja,12세이상관람가,리암 니슨,테일러 키취,209000000.0,0.0,0,426.0,8.98,3825.48,0.0,0.0,2241687
셜록홈즈 : 그림자 게임,가이 리치,2011-12-21,2011,12,21,2,4,51,128.0,미국,워너브러더스 코리아(주),미스터리/액션,en,15세이상관람가,로버트 다우니 주니어,주드 로,125000000.0,1.0,0,277.0,9.23,2556.71,0.0,0.0,2239156
7광구,김지훈,2011-08-04,2011,8,4,3,3,31,101.0,한국,씨제이이앤엠(주),SF/스릴러/액션,ko,15세이상관람가,하지원,박철민,8700000.0,0.0,0,1852.0,6.57,12167.64,0.0,0.0,2232179
마당을 나온 암탉,민성아/오성윤,2011-07-28,2011,7,28,3,3,30,93.0,한국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,ko,전체관람가,문소리,박철민,,0.0,1,716.0,9.15,6551.400000000002,0.0,1.0,2199048
악의 연대기,백운학,2015-05-14,2015,5,14,3,2,20,102.0,한국,씨제이이앤엠(주),스릴러,ko,15세이상관람가,손현주,마동석,,0.0,1,235.0,8.45,1985.75,5113.0,0.0,2192243
강남 1970,유하,2015-01-21,2015,1,21,2,1,4,135.0,한국,(주)쇼박스,드라마/액션,ko,청소년관람불가,이민호,김래원,,0.0,1,1317.0,9.32,12274.44,21361.0,0.0,2192172
이상한 나라의 앨리스,팀 버튼,2010-03-04,2010,3,4,3,1,9,108.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,가족/어드벤처/판타지,en,전체관람가,조니 뎁,앤 해서웨이,200000000.0,1.0,1,726.0,9.5,6897.0,0.0,1.0,2182365
맨 오브 스틸,잭 스나이더,2013-06-13,2013,6,13,3,2,24,142.0,미국,워너브러더스 코리아(주),SF,en,12세이상관람가,헨리 카빌,에이미 아담스,225000000.0,1.0,0,967.0,9.34,9031.78,0.0,0.0,2182227
황해,나홍진,2010-12-22,2010,12,22,2,4,51,156.0,미국/중국/한국,(주)쇼박스/이십세기폭스코리아(주),범죄/스릴러/액션,es/ko/zh,청소년관람불가,김윤석,하정우,,0.0,1,460.0,8.99,4135.4000000000015,0.0,0.0,2167426
원더 우먼,팻티 젠킨스,2017-05-31,2017,5,31,2,2,22,140.0,미국,워너브러더스 코리아(주),SF/액션/어드벤처/판타지,de/en,12세이상관람가,갤 가돗,로빈 라이트,149000000.0,1.0,0,292.0,8.53,2490.76,3222.0,1.0,2165401
초능력자,김민석,2010-11-10,2010,11,10,2,4,45,114.0,한국,(주)넥스트엔터테인먼트월드(NEW),SF/드라마,ko,15세이상관람가,강동원,김한나,,0.0,1,1028.0,9.34,9601.52,0.0,0.0,2164805
마이 웨이,강제규,2011-12-21,2011,12,21,2,4,51,137.0,일본/중국/한국,씨제이이앤엠(주)/에스케이플래닛(주),드라마/액션/전쟁,de/en/ja/ko/ru/zh,15세이상관람가,장동건,오다기리 죠,25500000.0,0.0,1,796.0,7.25,5771.0,0.0,1.0,2142622
겟 아웃,조던 필,2017-05-17,2017,5,17,2,2,20,103.0,미국,유니버설픽쳐스인터내셔널 코리아(유),공포(호러)/드라마/미스터리/스릴러,en,15세이상관람가,다니엘 칼루야,앨리슨 윌리암스,4500000.0,0.0,1,1024.0,8.22,8417.28,5068.0,0.0,2138146
나의 사랑 나의 신부,임찬상,2014-10-08,2014,10,8,2,4,41,111.0,한국,씨네그루(주)다우기술,로맨스/멜로/코미디,ko,15세이상관람가,조정석,신민아,,0.0,0,285.0,9.17,2613.45,8499.0,0.0,2135614
굿바이 싱글,김태곤,2016-06-29,2016,6,29,2,2,26,119.0,한국,(주)쇼박스,드라마/코미디,ko,15세이상관람가,김혜수,마동석,,0.0,0,1306.0,9.39,12263.34,6176.0,0.0,2108273
이클립스,데이빗 슬레이드,2010-07-07,2010,7,7,2,3,27,124.0,미국,(주)넥스트엔터테인먼트월드(NEW),로맨스/멜로/스릴러/판타지,,12세이상관람가,크리스틴 스튜어트,로버트 패틴슨,,0.0,0,1599.0,9.43,15078.57,0.0,1.0,2105050
몽타주,정근섭,2013-05-16,2013,5,16,3,2,20,119.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,es/ko,15세이상관람가,엄정화,김상경,,0.0,1,270.0,8.79,2373.3,0.0,0.0,2095375
명당,박희곤,2018-09-19,2018,9,19,2,3,38,126.0,한국,메가박스중앙(주)플러스엠,사극,ko,12세이상관람가,조승우,지성,,0.0,0,283.0,9.08,2569.64,1758.0,0.0,2087474
논스톱,자움 콜렛 세라,2014-02-27,2014,2,27,3,1,9,106.0,미국/프랑스,(주)넥스트엔터테인먼트월드(NEW),액션,de/en,15세이상관람가,리암 니슨,줄리안 무어,50000000.0,0.0,0,330.0,9.45,3118.4999999999995,0.0,0.0,2084457
쩨쩨한 로맨스,김정훈,2010-12-01,2010,12,1,2,4,48,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스/멜로/코미디,ko,청소년관람불가,이선균,최강희,,0.0,1,184.0,8.71,1602.64,0.0,0.0,2080574
장화신은 고양이,크리스 밀러,2012-01-12,2012,1,12,3,1,2,90.0,미국,씨제이이앤엠(주),애니메이션/어드벤처/코미디/판타지,en/es,전체관람가,안토니오 반데라스,셀마 헤이엑,130000000.0,1.0,0,223.0,9.43,2102.89,0.0,1.0,2080154
인투 더 스톰,스티븐 쿼일,2014-08-28,2014,8,28,3,3,35,89.0,미국,워너브러더스 코리아(주),스릴러/액션,en,12세이상관람가,리차드 아미티지,사라 웨인 콜리스,50000000.0,0.0,0,387.0,9.02,3490.74,1559.0,0.0,2078492
로건,제임스 맨골드,2017-03-01,2017,3,1,2,1,9,137.0,미국,이십세기폭스코리아(주),SF/액션,en/es,청소년관람불가,휴 잭맨,패트릭 스튜어트,97000000.0,1.0,0,541.0,9.09,4917.69,4093.0,1.0,2070084
뷰티 인사이드,백,2015-08-20,2015,8,20,3,3,34,126.0,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스/멜로/판타지,ko,12세이상관람가,한효주,김대명,,0.0,1,2660.0,5.65,15029.000000000002,17219.0,0.0,2053947
혹성탈출: 종의 전쟁,맷 리브스,2017-08-15,2017,8,15,1,3,33,139.0,미국,이십세기폭스코리아(주),SF/드라마/액션/어드벤처,en,12세이상관람가,앤디 서키스,우디 해럴슨,150000000.0,1.0,0,508.0,9.13,4638.04,6877.0,0.0,2050909
봉이 김선달,박대민,2016-07-06,2016,7,6,2,3,27,120.0,한국,씨제이이앤엠(주),사극,ko,12세이상관람가,유승호,조재현,,0.0,0,863.0,8.83,7620.29,20055.0,0.0,2044564
노아,대런 아로노프스키,2014-03-20,2014,3,20,3,1,12,139.0,미국,씨제이이앤엠(주),드라마/어드벤처/판타지,en,15세이상관람가,러셀 크로우,엠마 왓슨,125000000.0,0.0,0,607.0,9.3,5645.1,1674.0,1.0,2026574
레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,2016-01-14,2016,1,14,3,1,2,156.0,미국,이십세기폭스코리아(주),드라마/어드벤처,en/fr,15세이상관람가,레오나르도 디카프리오,톰 하디,135000000.0,0.0,1,944.0,8.61,8127.839999999997,5179.0,1.0,2007180
페르시아의 왕자: 시간의 모래,마이크 뉴웰,2010-05-27,2010,5,27,3,2,21,116.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션/어드벤처/판타지,,12세이상관람가,제이크 질렌할,젬마 아터튼,,0.0,0,213.0,9.24,1968.12,0.0,0.0,2003533
남자가 사랑할 때,한동욱,2014-01-22,2014,1,22,2,1,4,120.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마/로맨스/멜로,ko,15세이상관람가,황정민,한혜진,,0.0,0,458.0,9.1,4167.8,0.0,0.0,1979311
루시,뤽 베송,2014-09-03,2014,9,3,2,3,36,89.0,미국/프랑스,유니버설픽쳐스인터내셔널 코리아(유),액션,en/es/fr/ko/zh,청소년관람불가,스칼렛 요한슨,모건 프리먼,40000000.0,0.0,0,609.0,7.99,4865.91,12047.0,0.0,1971837
협상,이종석,2018-09-19,2018,9,19,2,3,38,114.0,한국,씨제이이앤엠(주),범죄,ko,15세이상관람가,현빈,손예진,,0.0,0,170.0,6.99,1188.3,946.0,0.0,1967721
알리타: 배틀 엔젤,로버트 로드리게즈,2019-02-05,2019,2,5,1,1,6,121.0,미국,이십세기폭스코리아(주),SF/로맨스/멜로/스릴러/액션/어드벤처,en/es,12세이상관람가,크리스토프 왈츠,에드 스크레인,170000000.0,0.0,0,255.0,8.85,2256.75,888.0,1.0,1949297
애나벨 : 인형의 주인,데이비드 F. 샌드버그,2017-08-10,2017,8,10,3,3,32,108.0,미국,워너브러더스 코리아(주),공포(호러),en/es,15세이상관람가,스테파니 시그만,알리시아 벨라 베일리,15000000.0,1.0,0,163.0,8.24,1343.12,6123.0,0.0,1934192
컨저링 2,제임스 완,2016-06-09,2016,6,9,3,2,23,131.0,미국,워너브러더스 코리아(주),공포(호러),en,15세이상관람가,베라 파미가,패트릭 윌슨,40000000.0,1.0,0,176.0,8.95,1575.1999999999994,7907.0,0.0,1926201
터보,데이빗 소렌,2013-07-25,2013,7,25,3,3,30,95.0,미국,씨제이이앤엠(주),애니메이션,en,전체관람가,라이언 레이놀즈,폴 지아마티,135000000.0,0.0,0,242.0,8.96,2168.32,0.0,0.0,1923748
내안의 그놈,강효진,2019-01-09,2019,1,9,2,1,2,122.0,한국,(주)메리크리스마스,코미디/판타지,ko,15세이상관람가,박성웅,진영,,0.0,0,197.0,8.7,1713.9,2285.0,0.0,1901684
수어사이드 스쿼드,데이비드 에이어,2016-08-03,2016,8,3,2,3,31,122.0,미국,워너브러더스 코리아(주),액션,en,15세이상관람가,윌 스미스,자레드 레토,176000000.0,1.0,1,1090.0,7.67,8360.3,32475.0,1.0,1898121
오늘의 연애,박진표,2015-01-14,2015,1,14,2,1,3,118.0,한국,씨제이이앤엠(주),로맨스/멜로/코미디,ko,15세이상관람가,이승기,문채원,,0.0,0,957.0,9.28,8880.96,19766.0,0.0,1891993
글러브,강우석,2011-01-20,2011,1,20,3,1,3,144.0,한국,씨제이엔터테인먼트,드라마,ko,전체관람가,강신일,김미경,,0.0,0,464.0,9.15,4245.6,0.0,0.0,1888100
퍼시 잭슨과 번개 도둑,크리스 콜럼버스,2010-02-11,2010,2,11,3,1,6,118.0,미국,이십세기폭스코리아(주),어드벤처/판타지,,12세이상관람가,로건 레먼,피어스 브로스넌,,0.0,0,468.0,9.19,4300.92,0.0,1.0,1877226
해결사,권혁재,2010-09-09,2010,9,9,3,3,36,100.0,한국,(주)넥스트엔터테인먼트월드(NEW)/(주)에스비에스콘텐츠허브,스릴러/액션,ko,15세이상관람가,이영수,설경구,,0.0,0,133.0,7.8,1037.4,0.0,0.0,1873327
연애의 온도,노덕,2013-03-21,2013,3,21,3,1,12,112.0,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스/멜로/코미디,ko,청소년관람불가,이민기,김민희,,0.0,1,450.0,8.62,3879.0,0.0,0.0,1865195
아이들...,이규만,2011-02-17,2011,2,17,3,1,7,132.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄/스릴러,ko,15세이상관람가,박용우,류승룡,,0.0,1,585.0,9.35,5469.75,0.0,0.0,1864408
마약왕,우민호,2018-12-19,2018,12,19,2,4,51,139.0,한국,(주)쇼박스,드라마/범죄,en/ja/ko,청소년관람불가,송강호,조정석,,0.0,0,293.0,7.92,2320.56,2185.0,0.0,1864076
테이큰 3,올리비에 메가턴,2015-01-01,2015,1,1,3,1,1,111.0,미국,이십세기폭스코리아(주),범죄/스릴러/액션,en,15세이상관람가,리암 니슨,팜케 얀센,48000000.0,1.0,0,422.0,8.9,3755.8,8326.0,0.0,1860934
코리아,문현성,2012-05-03,2012,5,3,3,2,18,127.0,한국,씨제이이앤엠(주),드라마,ko,12세이상관람가,하지원,배두나,,0.0,1,441.0,8.43,3717.63,0.0,0.0,1857392
지.아이.조 2,존 추,2013-03-28,2013,3,28,3,1,13,110.0,미국/캐나다,씨제이이앤엠(주),SF/액션/어드벤처,en,15세이상관람가,이병헌,브루스 윌리스,130000000.0,1.0,1,595.0,8.79,5230.049999999998,0.0,0.0,1855917
노무현입니다,이창재,2017-05-25,2017,5,25,3,2,21,109.0,한국,CGV아트하우스/영화사 풀,다큐멘터리,ko,12세이상관람가,노무현,이상호,,0.0,0,2190.0,8.36,18308.4,45099.0,0.0,1854867
집으로 가는 길,방은진,2013-12-11,2013,12,11,2,4,50,130.0,한국,씨제이이앤엠(주),드라마,ko,15세이상관람가,전도연,고수,,0.0,1,1172.0,7.47,8754.84,0.0,1.0,1854625
악마를 보았다,김지운,2010-08-12,2010,8,12,3,3,32,144.0,한국,(주)쇼박스,스릴러,ko,청소년관람불가,이병헌,최민식,,0.0,1,294.0,8.84,2598.96,0.0,0.0,1848418
뺑반,한준희,2019-01-30,2019,1,30,2,1,5,133.0,한국,(주)쇼박스,범죄/액션,ko,15세이상관람가,공효진,류준열,,0.0,0,159.0,7.34,1167.06,1079.0,0.0,1826714
나의 PS 파트너,변성현,2012-12-06,2012,12,6,3,4,49,114.0,한국,씨제이이앤엠(주),로맨스/멜로/코미디,ko,청소년관람불가,지성,김아중,,0.0,0,477.0,8.78,4188.06,0.0,0.0,1823116
007 스펙터,샘 멘데스,2015-11-11,2015,11,11,2,4,46,147.0,미국/영국,유니버설픽쳐스인터내셔널 코리아(유),범죄/스릴러/액션/어드벤처,de/en/es/fr/it,15세이상관람가,다니엘 크레이그,레아 세이두,245000000.0,1.0,1,253.0,9.25,2340.25,6919.0,0.0,1820842
분노의 질주: 더 맥시멈,저스틴 린,2013-05-22,2013,5,22,2,2,21,130.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,en/es/ru,15세이상관람가,빈 디젤,드웨인 존슨,160000000.0,1.0,0,519.0,9.68,5023.92,0.0,0.0,1790457
저스티스 리그,잭 스나이더,2017-11-15,2017,11,15,2,4,46,119.0,미국,워너브러더스 코리아(주),SF/액션/어드벤처/판타지,en,12세이상관람가,벤 애플렉,갤 가돗,500000000.0,1.0,0,1077.0,8.05,8669.85,7332.0,1.0,1786386
공범,국동석,2013-10-24,2013,10,24,3,4,43,95.0,한국,씨제이이앤엠(주),드라마/스릴러,ko,15세이상관람가,손예진,김갑수,,0.0,1,332.0,9.0,2988.0,0.0,0.0,1766285
나를 찾아줘,데이빗 핀처,2014-10-23,2014,10,23,3,4,43,148.0,미국,이십세기폭스코리아(주),스릴러,en,청소년관람불가,벤 애플렉,로자먼드 파이크,61000000.0,0.0,0,117.0,9.09,1063.53,1592.0,1.0,1764233
대호,박훈정,2015-12-16,2015,12,16,2,4,51,139.0,한국,(주)넥스트엔터테인먼트월드(NEW),사극,ko,12세이상관람가,최민식,정만식,,0.0,1,553.0,8.28,4578.839999999998,8397.0,0.0,1762742
걸리버 여행기,롭 레터맨,2011-01-27,2011,1,27,3,1,4,87.0,미국,이십세기폭스코리아(주),어드벤처/코미디,en,전체관람가,잭 블랙,,112000000.0,0.0,0,331.0,8.74,2892.94,0.0,0.0,1762070
주먹왕 랄프 2: 인터넷 속으로,리치 무어,2019-01-03,2019,1,3,3,1,1,112.0,미국,월트디즈니컴퍼니코리아 유한책임회사,가족/애니메이션/어드벤처/코미디,en,전체관람가,존 C. 라일리,사라 실버맨,175000000.0,1.0,0,88.0,9.51,836.88,917.0,0.0,1754375
이미테이션 게임,모튼 틸덤,2015-02-17,2015,2,17,1,1,8,114.0,영국,메가박스중앙(주)플러스엠,드라마/스릴러,en,15세이상관람가,베네딕트 컴버배치,키이라 나이틀리,14000000.0,0.0,1,442.0,9.0,3978.0,7140.0,1.0,1743774
전설의 주먹,강우석,2013-04-10,2013,4,10,2,2,15,153.0,한국,씨제이이앤엠(주),드라마/액션,ko,청소년관람불가,황정민,유준상,,0.0,0,638.0,8.29,5289.02,0.0,0.0,1737253
제보자,임순례,2014-10-02,2014,10,2,3,4,40,113.0,한국,메가박스중앙(주)플러스엠,드라마,ko,12세이상관람가,박해일,유연석,,0.0,1,553.0,8.57,4739.21,3728.0,0.0,1735640
씽,가스 제닝스,2016-12-21,2016,12,21,2,4,51,107.0,미국,유니버설픽쳐스인터내셔널 코리아(유),뮤지컬/애니메이션,en,전체관람가,매튜 매커너히,리즈 위더스푼,75000000.0,1.0,0,257.0,9.4,2415.8,3517.0,0.0,1729426
러브픽션,전계수,2012-02-29,2012,2,29,2,1,9,121.0,한국,(주)넥스트엔터테인먼트월드(NEW),로맨스/멜로/코미디,ko,15세이상관람가,하정우,공효진,,0.0,1,172.0,9.49,1632.28,0.0,0.0,1726202
킬러의 보디가드,패트릭 휴즈,2017-08-30,2017,8,30,2,3,35,118.0,미국,(주)제이앤씨미디어그룹/TCO(주)더콘텐츠온,액션/코미디,en/fr/ru,15세이상관람가,라이언 레이놀즈,사무엘 L. 잭슨,30000000.0,1.0,0,162.0,9.36,1516.32,3566.0,0.0,1721757
