TITLE,OPEN_DT,AUDI_ACC,CMT_SCORE,NAVER_PRE_EVAL
"님아, 그 강을 건너지 마오",2014-11-27,4801355,0.343717549325026,9.8
조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4786259,0.3984575835475577,9.09
군도: 민란의 시대,2014-07-23,4774895,0.34375842545160423,9.28
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,4710454,0.4673913043478261,9.31
주토피아,2016-02-17,4703245,0.4348118279569893,9.72
엣지 오브 투모로우,2014-06-04,4697142,0.3847802786709539,9.23
신세계,2013-02-21,4682492,0.3710045662100457,8.99
신비한 동물사전,2016-11-16,4666993,0.2538382804503582,9.59
도가니,2011-09-22,4662822,0.3953764078245406,9.24
내 아내의 모든 것,2012-05-17,4598583,0.4964285714285714,9.13
판도라,2016-12-07,4571142,0.3668326073428749,8.13
연가시,2012-07-05,4513026,0.3182308522114347,7.8
아이언맨 2,2010-04-29,4498335,0.3329938900203666,9.23
강철비,2017-12-14,4451336,0.3446567586694975,7.49
해리포터와 죽음의 성물2,2011-07-13,4400298,0.250901225666907,9.6
엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,4313871,0.3136067101584343,9.16
아가씨,2016-06-01,4277071,0.40013404825737264,7.93
어메이징 스파이더맨 2,2014-04-23,4168350,0.2566978193146417,9.02
용의자,2013-12-24,4131248,0.4716282894736842,9.28
건축학개론,2012-03-22,4110645,0.3706563706563705,9.01
댄싱퀸,2012-01-18,4057546,0.4049295774647888,8.52
꾼,2017-11-22,4018341,0.3369351669941061,7.47
혹성탈출: 반격의 서막,2014-07-10,4002134,0.3583426651735722,8.88
타짜-신의 손,2014-09-03,4001813,0.3039179104477612,4.38
쿵푸팬더3,2016-01-28,3984812,0.2919847328244275,9.36
캡틴 아메리카: 윈터 솔져,2014-03-26,3963220,0.3853427895981088,9.34
박수건달,2013-01-09,3893216,0.5595611285266457,8.98
베놈,2018-10-03,3888096,0.18801996672212976,8.61
조선명탐정 : 사라진 놉의 딸,2015-02-11,3872015,0.38408304498269896,8.45
역린,2014-04-30,3849433,0.4241998877035373,9.05
매드 맥스: 분노의 도로,2015-05-14,3842441,0.3060897435897436,8.91
남한산성,2017-10-03,3829891,0.3393829401088929,8.27
데드풀 2,2018-05-16,3784602,0.18962075848303392,9.37
암수살인,2018-10-03,3772620,0.25767918088737196,5.48
국가부도의 날,2018-11-28,3754983,0.15255813953488373,7.04
미이라,2017-06-06,3689325,0.4021304926764314,9.03
분노의 질주: 더 익스트림,2017-04-12,3653238,0.15914221218961624,9.5
너의 이름은.,2017-01-04,3637122,0.3018965695927039,9.55
인턴,2015-09-24,3610642,0.4927536231884058,9.54
라라랜드,2016-12-07,3597193,0.2839248434237996,9.12
귀향,2016-02-24,3586523,0.4281997918834548,9.69
리얼 스틸,2011-10-12,3579666,0.3489795918367347,9.26
신의 한 수,2014-07-03,3562123,0.3715596330275229,8.84
코코,2018-01-11,3510017,0.41885964912280704,9.76
부러진 화살,2012-01-18,3450941,0.3173843700159489,8.74
끝까지 간다,2014-05-29,3450143,0.4086169045005488,9.57
비긴 어게인,2014-08-13,3427464,0.4320536258379037,9.59
스파이,2013-09-05,3423920,0.43252399774138905,7.78
그것만이 내 세상,2018-01-17,3417629,0.47296268088347293,8.6
이끼,2010-07-14,3408144,0.42667509481668775,8.99
돈,2019-03-20,3389046,0.44636015325670503,7.53
포화속으로,2010-06-16,3385706,0.3389272271016311,5.61
맨 인 블랙 3,2012-05-24,3379762,0.3515981735159817,9.56
어바웃 타임,2013-12-05,3375735,0.4502247912652537,9.62
슈퍼배드 3,2017-07-26,3324861,0.3586698337292161,9.58
데드풀,2016-02-17,3317196,0.2857916102841678,9.25
아이 캔 스피크,2017-09-21,3280243,0.5546541417591802,9.33
스타워즈: 깨어난 포스,2015-12-17,3273879,0.2832438878950507,9.02
분노의 질주: 더 세븐,2015-04-01,3247558,0.2268140317155214,9.71
터미네이터 제니시스,2015-07-02,3239371,0.2556869881710646,7.35
그래비티,2013-10-17,3227452,0.26626506024096386,9.25
마녀,2018-06-27,3189091,0.4351145038167939,7.8
탐정: 리턴즈,2018-06-13,3148038,0.4031890660592255,8.79
캐리비안의 해적: 낯선 조류,2011-05-19,3130046,0.2528809218950064,9.57
퀵,2011-07-20,3125069,0.2870662460567823,8.12
감기,2013-08-14,3119023,0.35128121959130715,7.83
나우 유 씨 미 2,2016-07-13,3100113,0.38364941055868784,8.81
하모니,2010-01-28,3068544,0.456639566395664,9.56
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,3049894,0.15532022188603126,9.59
스물,2015-03-25,3044134,0.40010325245224576,9.04
토르: 다크 월드,2013-10-30,3039889,0.2640692640692641,9.47
방자전,2010-06-02,3035116,0.37669376693766937,8.4
인크레더블 2,2018-07-18,3033052,0.3006535947712418,9.49
