DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
기타,6,2,26,131.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,기타,,167.0,0.0,0.0,569500
기타,2,1,5,116.0,한국,롯데쇼핑㈜롯데엔터테인먼트,가족,12세이상관람가,기타,0.0,275.0,0.0,0.0,562156
기타,3,1,11,99.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,기타,,30.0,116.0,0.0,561812
기타,9,3,36,111.0,미국,기타,드라마,12세이상관람가,기타,,315.0,2473.0,0.0,560620
기타,5,2,20,105.0,아일랜드,기타,드라마,15세이상관람가,기타,0.0,351.0,1449.0,0.0,560578
기타,9,3,37,95.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,청소년관람불가,기타,1.0,162.0,0.0,0.0,558433
기타,1,1,5,103.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,공포,15세이상관람가,기타,,97.0,2653.0,0.0,554521
기타,7,3,29,94.0,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,1.0,147.0,2266.0,0.0,553760
기타,12,4,51,89.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,기타,,25.0,292.0,0.0,552962
기타,8,3,35,97.0,미국,(주)제이앤씨미디어그룹,액션,15세이상관람가,기타,1.0,105.0,2497.0,0.0,551897
기타,7,3,30,96.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,0.0,175.0,5836.0,0.0,550728
기타,12,4,52,93.0,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0.0,46.0,192.0,0.0,550059
기타,11,4,45,110.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,기타,0.0,689.0,0.0,0.0,540972
기타,4,2,15,110.0,한국,기타,다큐멘터리,15세이상관람가,기타,0.0,299.0,945.0,0.0,540558
기타,3,1,10,117.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,1.0,93.0,279.0,0.0,540410
기타,5,2,22,100.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,12세이상관람가,기타,0.0,265.0,0.0,0.0,537920
기타,12,4,49,102.0,일본,CGV아트하우스,애니메이션,전체관람가,기타,0.0,148.0,4379.0,1.0,535354
기타,1,1,1,107.0,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,0.0,150.0,835.0,1.0,533776
기타,3,1,10,108.0,한국,씨제이이앤엠(주),미스터리,청소년관람불가,기타,0.0,610.0,0.0,0.0,531953
기타,5,2,20,147.0,한국,CGV아트하우스,미스터리,청소년관람불가,기타,0.0,6249.0,10341.0,1.0,528153
이환경,9,3,36,133.0,한국,(주)쇼박스,드라마,12세이상관람가,기타,0.0,210.0,0.0,0.0,528149
추창민,3,1,13,123.0,한국,씨제이이앤엠(주),스릴러,15세이상관람가,류승룡,0.0,514.0,5888.0,1.0,528007
기타,8,3,33,113.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,,173.0,376.0,0.0,527331
기타,1,1,2,112.0,미국,이십세기폭스코리아(주),멜로,청소년관람불가,기타,,201.0,0.0,0.0,527077
기타,3,1,11,113.0,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년관람불가,기타,0.0,562.0,83.0,0.0,526282
기타,4,2,15,90.0,미국,롯데쇼핑㈜롯데엔터테인먼트,공포,15세이상관람가,기타,,71.0,213.0,0.0,526073
기타,7,3,29,110.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,811.0,0.0,0.0,524914
기타,2,1,7,113.0,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,,68.0,0.0,1.0,522794
기타,3,1,10,108.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년관람불가,기타,0.0,267.0,6556.0,0.0,519983
기타,9,3,37,106.0,미국,이십세기폭스코리아(주),판타지,12세이상관람가,기타,1.0,537.0,0.0,0.0,519584
기타,1,1,2,123.0,미국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세이상관람가,기타,0.0,596.0,1400.0,0.0,518886
기타,12,4,49,99.0,미국,월트디즈니컴퍼니코리아 유한책임회사,판타지,전체관람가,기타,0.0,31.0,565.0,0.0,518272
기타,11,4,46,120.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,15세이상관람가,기타,0.0,97.0,0.0,1.0,517286
기타,8,3,34,116.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,기타,0.0,338.0,2374.0,0.0,515522
기타,8,3,34,88.0,미국,에스케이텔레콤(주),액션,청소년관람불가,기타,,178.0,0.0,0.0,515074
기타,7,3,30,123.0,미국,씨제이이앤엠(주),액션,12세이상관람가,크리스 에반스,,159.0,0.0,0.0,514417
기타,9,3,36,112.0,미국,월트디즈니컴퍼니코리아(주),어드벤처,12세이상관람가,기타,1.0,523.0,7616.0,0.0,513202
기타,8,3,35,136.0,프랑스,판씨네마(주),액션,12세이상관람가,기타,,311.0,4415.0,1.0,511931
기타,12,4,52,88.0,일본,기타,애니메이션,전체관람가,기타,0.0,93.0,0.0,0.0,510996
기타,11,4,46,129.0,한국,(주)쇼박스,드라마,12세이상관람가,기타,0.0,395.0,12208.0,0.0,510878
기타,9,3,39,139.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,15세이상관람가,기타,,31.0,0.0,1.0,509623
기타,12,4,51,97.0,일본,기타,애니메이션,전체관람가,기타,1.0,316.0,3695.0,0.0,509555
기타,8,3,31,111.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,738.0,18126.0,0.0,507508
기타,2,1,7,116.0,한국,(주)쇼박스,코미디,15세이상관람가,기타,0.0,1106.0,0.0,0.0,507257
기타,2,1,8,123.0,미국,이십세기폭스코리아(주),어드벤처,청소년관람불가,기타,0.0,108.0,1623.0,1.0,506261
기타,2,1,7,94.0,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,1.0,202.0,14244.0,0.0,503516
기타,2,1,7,103.0,미국,유니버설픽쳐스인터내셔널 코리아(유),판타지,12세이상관람가,기타,0.0,628.0,1501.0,0.0,501286
기타,2,1,9,133.0,미국,판씨네마(주),드라마,15세이상관람가,기타,0.0,786.0,0.0,1.0,498004
기타,6,2,25,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,기타,0.0,91.0,0.0,0.0,497880
기타,12,4,51,114.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,기타,0.0,770.0,0.0,0.0,492773
기타,6,2,23,95.0,한국,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세이상관람가,기타,1.0,743.0,0.0,0.0,492465
기타,11,4,44,108.0,한국,(주)쇼박스,코미디,15세이상관람가,기타,0.0,102.0,0.0,0.0,491207
기타,10,4,41,135.0,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,0.0,34.0,218.0,0.0,490957
기타,10,4,40,103.0,미국,월트디즈니컴퍼니코리아 유한책임회사,어드벤처,전체관람가,기타,,51.0,480.0,0.0,490307
기타,11,4,44,111.0,미국,기타,액션,15세이상관람가,기타,1.0,78.0,0.0,0.0,489855
기타,2,1,6,115.0,한국,기타,드라마,12세이상관람가,기타,0.0,4123.0,0.0,0.0,489409
기타,7,3,28,108.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,기타,1.0,273.0,3006.0,0.0,487916
기타,11,4,44,125.0,한국,씨제이이앤엠(주),드라마,15세이상관람가,최민식,0.0,318.0,5381.0,0.0,487897
기타,4,2,15,120.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,기타,0.0,2064.0,9015.0,0.0,485083
기타,5,2,20,116.0,한국,기타,가족,15세이상관람가,기타,0.0,465.0,6385.0,0.0,480987
기타,7,3,27,90.0,한국,기타,미스터리,15세이상관람가,기타,0.0,182.0,3750.0,0.0,480528
기타,1,1,5,106.0,한국,(주)쇼박스,코미디,12세이상관람가,기타,0.0,1181.0,0.0,0.0,480361
기타,4,2,16,108.0,한국,(주)싸이더스,드라마,전체관람가,기타,0.0,258.0,0.0,0.0,478822
기타,1,1,5,85.0,한국,(주)싸이더스,애니메이션,전체관람가,기타,1.0,404.0,0.0,0.0,478392
기타,1,1,4,117.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,기타,0.0,821.0,5859.0,0.0,476665
기타,2,1,6,106.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1.0,323.0,1709.0,0.0,475309
기타,7,3,27,122.0,한국,메가박스중앙(주)플러스엠,드라마,15세이상관람가,기타,0.0,169.0,1025.0,0.0,474137
기타,4,2,18,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,15세이상관람가,기타,1.0,364.0,2757.0,0.0,472693
기타,12,4,52,83.0,남아프리카공화국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,76.0,0.0,0.0,472692
기타,6,2,24,112.0,미국,씨제이이앤엠(주),SF,12세이상관람가,기타,,171.0,0.0,0.0,472118
기타,9,3,39,119.0,한국,(주)싸이더스,드라마,청소년관람불가,기타,0.0,113.0,0.0,0.0,471547
기타,1,1,4,119.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,전체관람가,기타,,270.0,0.0,0.0,471103
기타,8,3,32,112.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,365.0,11984.0,0.0,470990
기타,6,2,26,137.0,한국,씨제이이앤엠(주),액션,청소년관람불가,기타,0.0,1992.0,25803.0,0.0,470105
기타,10,4,40,123.0,중국,롯데쇼핑㈜롯데엔터테인먼트,액션,12세이상관람가,기타,,57.0,0.0,1.0,468273
기타,1,1,3,124.0,한국,(주)시너지하우스 (시너지),드라마,12세이상관람가,기타,0.0,391.0,0.0,0.0,467697
기타,1,1,3,129.0,미국,월트디즈니컴퍼니코리아 유한책임회사,드라마,15세이상관람가,기타,0.0,80.0,468.0,0.0,466475
기타,10,4,40,111.0,한국,씨제이이앤엠(주),멜로,청소년관람불가,기타,0.0,281.0,7380.0,0.0,465749
기타,7,3,29,113.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애니메이션,전체관람가,기타,,88.0,0.0,0.0,465607
기타,10,4,43,115.0,일본,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,기타,0.0,314.0,4849.0,1.0,465495
기타,3,1,10,113.0,한국,씨제이이앤엠(주),사극,청소년관람불가,기타,0.0,292.0,7092.0,1.0,465492
기타,2,1,6,108.0,미국,(주)시너지하우스 (시너지),어드벤처,15세이상관람가,기타,,124.0,0.0,0.0,464607
기타,6,2,24,94.0,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15세이상관람가,기타,0.0,44.0,0.0,0.0,462176
기타,11,4,45,98.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,,73.0,0.0,0.0,459535
기타,4,2,14,103.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,SF,15세이상관람가,기타,0.0,320.0,1716.0,0.0,459421
기타,11,4,45,99.0,한국,기타,액션,15세이상관람가,기타,0.0,76.0,517.0,0.0,459020
기타,8,3,33,141.0,인도,필라멘트픽쳐스,코미디,12세이상관람가,기타,,6082.0,39.0,1.0,458988
기타,10,4,44,118.0,한국,기타,드라마,15세이상관람가,기타,0.0,2227.0,0.0,0.0,451669
기타,9,3,39,96.0,한국,(주)제이앤씨미디어그룹,코미디,12세이상관람가,기타,0.0,110.0,946.0,0.0,450374
기타,1,1,2,172.0,미국,(주)넥스트엔터테인먼트월드(NEW),SF,청소년관람불가,기타,0.0,1322.0,0.0,1.0,449071
기타,3,1,12,126.0,미국,이십세기폭스코리아(주),드라마,12세이상관람가,기타,0.0,373.0,1921.0,1.0,448923
기타,8,3,31,112.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,672.0,11174.0,0.0,448381
기타,5,2,18,105.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,기타,0.0,247.0,0.0,0.0,447569
기타,1,1,3,130.0,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,기타,0.0,104.0,1085.0,1.0,446664
기타,1,1,2,85.0,미국,(주)넥스트엔터테인먼트월드(NEW),공포,12세이상관람가,기타,,265.0,0.0,0.0,446510
기타,11,4,48,110.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,기타,0.0,263.0,2344.0,0.0,446379
기타,12,4,50,62.0,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0.0,160.0,1000.0,0.0,445014
기타,4,2,15,113.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,기타,,156.0,2702.0,0.0,445009
기타,9,3,36,100.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,,81.0,0.0,0.0,444045
기타,1,1,2,157.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,스릴러,청소년관람불가,기타,1.0,66.0,0.0,1.0,443889
기타,9,3,36,91.0,한국,기타,다큐멘터리,전체관람가,기타,0.0,185.0,0.0,0.0,441707
기타,12,4,48,100.0,미국,에스케이텔레콤(주),액션,15세이상관람가,기타,0.0,397.0,0.0,0.0,437101
기타,1,1,2,94.0,미국,(주)넥스트엔터테인먼트월드(NEW),어드벤처,15세이상관람가,기타,,39.0,0.0,0.0,435201
기타,3,1,13,131.0,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,기타,0.0,217.0,3962.0,0.0,433825
기타,8,3,33,120.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,이병헌,0.0,1243.0,5465.0,0.0,431310
기타,1,1,3,72.0,한국,씨네그루(주)키다리이엔티,애니메이션,전체관람가,기타,0.0,297.0,5861.0,0.0,429569
기타,11,4,48,103.0,한국,기타,드라마,청소년관람불가,기타,0.0,473.0,0.0,0.0,429141
기타,3,1,9,104.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,0.0,115.0,0.0,0.0,428896
기타,9,3,36,111.0,한국,기타,스릴러,15세이상관람가,기타,0.0,258.0,3593.0,0.0,428429
기타,6,2,23,112.0,한국,(주)쇼박스,스릴러,15세이상관람가,황정민,0.0,72.0,0.0,0.0,428139
기타,4,2,17,89.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,애니메이션,전체관람가,기타,1.0,51.0,1621.0,0.0,427764
기타,7,3,28,86.0,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,15세이상관람가,기타,0.0,123.0,0.0,0.0,425972
기타,1,1,1,106.0,한국,씨제이이앤엠(주),멜로,15세이상관람가,기타,0.0,235.0,6851.0,0.0,425799
기타,4,2,16,139.0,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15세이상관람가,기타,1.0,159.0,630.0,1.0,424041
기타,11,4,45,114.0,한국,필라멘트픽쳐스,멜로,15세이상관람가,기타,0.0,344.0,0.0,0.0,424002
기타,2,1,7,112.0,한국,기타,드라마,15세이상관람가,기타,0.0,1534.0,0.0,0.0,423026
기타,2,1,7,105.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,기타,0.0,257.0,4290.0,0.0,416303
기타,1,1,2,130.0,미국,CGV아트하우스,드라마,12세이상관람가,기타,0.0,22.0,98.0,0.0,415508
기타,5,2,22,118.0,한국,CGV아트하우스,멜로,청소년관람불가,기타,0.0,200.0,4059.0,0.0,414626
기타,2,1,7,100.0,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세이상관람가,기타,1.0,32.0,200.0,0.0,412850
기타,5,2,20,126.0,영국,워너브러더스 코리아(주),판타지,12세이상관람가,기타,0.0,347.0,1115.0,0.0,412843
기타,7,3,29,90.0,일본,(주)넥스트엔터테인먼트월드(NEW),공포,15세이상관람가,기타,,540.0,1608.0,0.0,410644
기타,1,1,2,70.0,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0.0,17.0,87.0,0.0,410131
기타,11,4,45,94.0,영국,판씨네마(주),애니메이션,15세이상관람가,기타,0.0,46.0,2242.0,0.0,408322
기타,10,4,40,91.0,한국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,249.0,1086.0,0.0,407727
기타,12,4,52,76.0,핀란드,씨너스엔터테인먼트(주),애니메이션,전체관람가,기타,,234.0,0.0,0.0,407264
기타,5,2,19,134.0,대만,기타,멜로,15세이상관람가,기타,,373.0,7104.0,0.0,406284
기타,6,2,23,144.0,미국,워너브러더스 코리아(주),드라마,청소년관람불가,기타,,74.0,0.0,0.0,405580
기타,7,3,28,114.0,한국,씨제이이앤엠(주),범죄,청소년관람불가,기타,0.0,192.0,2153.0,0.0,404456
기타,9,3,37,114.0,미국,유니버설픽쳐스인터내셔널 코리아(유),범죄,15세이상관람가,톰 크루즈,0.0,101.0,1091.0,0.0,401541
기타,1,1,2,93.0,미국,기타,애니메이션,전체관람가,기타,0.0,176.0,0.0,0.0,401477
기타,8,3,35,101.0,미국,씨제이이앤엠(주),액션,12세이상관람가,기타,1.0,310.0,1571.0,0.0,400329
기타,8,3,34,100.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,0.0,1497.0,3209.0,1.0,399667
기타,8,3,33,103.0,미국,(주)싸이더스,스릴러,청소년관람불가,기타,1.0,410.0,0.0,0.0,398097
기타,3,1,10,112.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,기타,0.0,61.0,0.0,0.0,397923
기타,12,4,51,92.0,독일,씨네그루(주)키다리이엔티,애니메이션,전체관람가,기타,0.0,419.0,983.0,0.0,397633
기타,8,3,32,110.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,564.0,6455.0,0.0,397381
기타,8,3,32,110.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,71.0,1074.0,0.0,395408
기타,8,3,32,107.0,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1.0,546.0,0.0,1.0,389253
기타,5,2,20,94.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,애니메이션,전체관람가,기타,,28.0,204.0,0.0,388300
기타,7,3,27,149.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,기타,,214.0,0.0,0.0,387527
기타,1,1,5,101.0,한국,기타,드라마,15세이상관람가,기타,0.0,419.0,6860.0,1.0,387409
기타,10,4,44,127.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,기타,0.0,977.0,2953.0,0.0,385934
기타,4,2,17,92.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,,323.0,502.0,0.0,385552
기타,7,3,28,86.0,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세이상관람가,기타,0.0,56.0,1508.0,0.0,384789
기타,3,1,11,84.0,미국,이십세기폭스코리아(주),액션,15세이상관람가,기타,0.0,82.0,0.0,0.0,383862
기타,3,1,12,121.0,한국,오퍼스픽쳐스(유),드라마,15세이상관람가,기타,0.0,366.0,2459.0,0.0,383336
기타,6,2,26,126.0,한국,(주)시네마서비스,드라마,15세이상관람가,기타,0.0,1144.0,5222.0,1.0,383332
기타,12,4,52,125.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,SF,12세이상관람가,기타,1.0,193.0,0.0,0.0,382607
기타,3,1,12,128.0,인도,필라멘트픽쳐스,드라마,12세이상관람가,기타,,638.0,0.0,0.0,381243
기타,10,4,42,114.0,한국,씨네그루(주)키다리이엔티,드라마,12세이상관람가,기타,0.0,497.0,3259.0,1.0,380581
기타,2,1,9,99.0,미국,이십세기폭스코리아(주),드라마,청소년관람불가,기타,0.0,536.0,0.0,0.0,378729
기타,2,1,6,108.0,중국,(주)시너지하우스 (시너지),드라마,12세이상관람가,기타,,131.0,0.0,0.0,377801
기타,3,1,10,94.0,프랑스,기타,액션,청소년관람불가,기타,,60.0,0.0,1.0,375573
기타,3,1,9,105.0,미국,유니버설픽쳐스인터내셔널 코리아(유),스릴러,12세이상관람가,기타,,108.0,0.0,0.0,373344
기타,1,1,1,89.0,러시아,기타,애니메이션,전체관람가,기타,,63.0,1912.0,0.0,366442
기타,12,4,51,97.0,일본,기타,애니메이션,전체관람가,기타,1.0,305.0,0.0,0.0,366277
기타,2,1,9,125.0,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,청소년관람불가,기타,1.0,332.0,7027.0,1.0,364415
기타,10,4,42,90.0,미국,씨제이엔터테인먼트,공포,12세이상관람가,기타,,225.0,0.0,0.0,364251
기타,3,1,11,100.0,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,,154.0,0.0,1.0,362572
기타,5,2,21,93.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,,85.0,968.0,0.0,360556
기타,4,2,15,128.0,미국,워너브러더스 코리아(주),드라마,12세이상관람가,기타,,210.0,0.0,1.0,359899
기타,12,4,51,98.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,118.0,0.0,0.0,359663
기타,4,2,14,103.0,미국,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세이상관람가,기타,0.0,399.0,1517.0,0.0,356976
기타,6,2,25,99.0,한국,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세이상관람가,기타,0.0,224.0,8640.0,0.0,356342
기타,1,1,2,115.0,미국,이십세기폭스코리아(주),액션,15세이상관람가,기타,0.0,916.0,5645.0,0.0,355913
기타,7,3,28,89.0,미국,기타,드라마,12세이상관람가,기타,0.0,3877.0,10110.0,1.0,354601
기타,12,4,51,103.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,,90.0,545.0,0.0,353012
기타,5,2,19,108.0,한국,씨네그루(주)키다리이엔티,스릴러,15세이상관람가,기타,0.0,138.0,1987.0,1.0,351830
기타,11,4,44,110.0,한국,(주)싸이더스,멜로,15세이상관람가,기타,0.0,118.0,0.0,0.0,351779
기타,7,3,27,94.0,미국,기타,코미디,15세이상관람가,기타,0.0,55.0,6.0,0.0,351555
기타,2,1,8,97.0,한국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,0.0,347.0,3838.0,0.0,351276
기타,5,2,21,125.0,미국,기타,드라마,청소년관람불가,기타,0.0,374.0,1333.0,0.0,351091
기타,3,1,10,130.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),판타지,전체관람가,기타,0.0,150.0,0.0,0.0,350563
기타,12,4,51,72.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,293.0,0.0,0.0,348883
기타,11,4,46,100.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,기타,0.0,320.0,12977.0,0.0,347790
기타,8,3,35,103.0,한국,판씨네마(주),액션,15세이상관람가,기타,0.0,282.0,3298.0,0.0,346483
기타,5,2,18,100.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,504.0,0.0,0.0,346441
기타,8,3,35,105.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,기타,,55.0,0.0,1.0,344876
기타,1,1,3,132.0,미국,워너브러더스 코리아(주),액션,청소년관람불가,기타,0.0,100.0,1823.0,1.0,344766
기타,1,1,4,111.0,한국,기타,공연,전체관람가,기타,0.0,42.0,883.0,0.0,342366
기타,12,4,52,124.0,미국,월트디즈니컴퍼니코리아(주),뮤지컬,전체관람가,기타,,155.0,3514.0,0.0,341882
기타,6,2,23,124.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,청소년관람불가,기타,0.0,274.0,2252.0,0.0,339844
기타,11,4,48,124.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,기타,0.0,618.0,0.0,0.0,338168
기타,6,2,25,121.0,한국,(주)쇼박스,드라마,전체관람가,기타,0.0,200.0,0.0,0.0,338080
기타,6,2,26,120.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,기타,0.0,85.0,494.0,0.0,336822
기타,2,1,6,103.0,프랑스,기타,코미디,전체관람가,기타,,99.0,1346.0,0.0,335906
기타,9,3,37,117.0,일본,기타,애니메이션,전체관람가,기타,0.0,134.0,0.0,1.0,335706
기타,7,3,28,115.0,아일랜드,기타,드라마,12세이상관람가,기타,,266.0,1305.0,0.0,334423
기타,5,2,20,106.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,전체관람가,기타,0.0,3141.0,0.0,0.0,334323
기타,7,3,29,103.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,,107.0,4821.0,0.0,333082
기타,11,4,47,106.0,한국,씨너스엔터테인먼트(주),드라마,15세이상관람가,기타,0.0,1066.0,0.0,0.0,332619
기타,9,3,39,121.0,미국,유니버설픽쳐스인터내셔널 코리아(유),어드벤처,12세이상관람가,기타,0.0,101.0,1559.0,1.0,332180
기타,11,4,45,98.0,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,12세이상관람가,기타,1.0,45.0,879.0,0.0,331877
기타,7,3,30,108.0,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,청소년관람불가,기타,1.0,75.0,0.0,0.0,331760
기타,7,3,29,93.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,0.0,220.0,2481.0,0.0,330665
기타,9,3,35,100.0,미국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,기타,,100.0,0.0,0.0,329086
기타,4,2,15,137.0,미국,기타,드라마,12세이상관람가,기타,0.0,260.0,2460.0,0.0,329029
기타,6,2,24,118.0,미국,씨너스엔터테인먼트(주),범죄,15세이상관람가,기타,,51.0,0.0,1.0,327612
기타,1,1,3,105.0,미국,씨제이이앤엠(주),액션,12세이상관람가,기타,0.0,103.0,0.0,0.0,327591
기타,6,2,25,91.0,미국,씨네그루(주)키다리이엔티,멜로,12세이상관람가,기타,,34.0,156.0,0.0,326086
기타,2,1,8,92.0,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,,179.0,5389.0,0.0,325016
기타,1,1,1,110.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,기타,0.0,464.0,7040.0,0.0,324420
기타,10,4,41,91.0,한국,(주)쇼박스,미스터리,15세이상관람가,기타,0.0,234.0,5472.0,1.0,323628
봉준호,6,2,26,120.0,미국,(주)넥스트엔터테인먼트월드(NEW),어드벤처,12세이상관람가,기타,0.0,695.0,12426.0,0.0,321550
기타,10,4,41,163.0,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,SF,15세이상관람가,기타,1.0,916.0,2343.0,0.0,321018
기타,12,4,49,107.0,한국,CGV아트하우스,멜로,청소년관람불가,기타,0.0,94.0,2589.0,0.0,320923
기타,1,1,2,94.0,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1.0,153.0,0.0,0.0,320409
기타,12,4,49,86.0,미국,워너브러더스 코리아(주),애니메이션,전체관람가,기타,0.0,296.0,1376.0,0.0,320353
기타,9,3,39,85.0,프랑스,씨네그루(주)다우기술,애니메이션,전체관람가,기타,0.0,180.0,747.0,0.0,319072
기타,8,3,32,91.0,벨기에,기타,애니메이션,전체관람가,기타,0.0,145.0,1059.0,0.0,318737
기타,10,4,41,112.0,홍콩,기타,액션,15세이상관람가,기타,0.0,94.0,0.0,0.0,318157
