DIRECTOR_53,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,ACTOR_53,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
나홍진,5,2,19,156.0,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,곽도원,0.0,806.0,15570.0,0.0,6878264
강윤성,10,4,40,121.0,한국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,기타,0.0,1208.0,7567.0,0.0,6851297
기타,10,4,44,124.0,한국,씨제이이앤엠(주),멜로,15세이상관람가,기타,0.0,1166.0,0.0,0.0,6654837
류승완,7,3,30,132.0,한국,씨제이이앤엠(주),액션,15세이상관람가,황정민,0.0,3366.0,97770.0,0.0,6592151
크리스토퍼 맥쿼리,7,3,30,147.0,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,톰 크루즈,1.0,177.0,1403.0,0.0,6584915
크리스토퍼 놀란,7,3,29,164.0,미국,워너브러더스 코리아(주),액션,15세이상관람가,기타,1.0,1801.0,0.0,0.0,6396528
기타,8,3,31,119.0,한국,씨제이엔터테인먼트,액션,청소년관람불가,원빈,0.0,626.0,0.0,0.0,6282774
기타,9,3,38,125.0,한국,(주)쇼박스,사극,12세이상관람가,송강호,0.0,556.0,22459.0,0.0,6246849
크리스토퍼 맥쿼리,7,3,31,131.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,톰 크루즈,1.0,408.0,8626.0,0.0,6126488
기타,2,1,7,128.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,기타,1.0,168.0,2480.0,1.0,6125154
김학순,6,2,26,130.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,기타,0.0,5242.0,28626.0,0.0,6043458
크리스토퍼 놀란,7,3,29,147.0,미국,워너브러더스 코리아(주),드라마,12세이상관람가,기타,0.0,595.0,0.0,0.0,5926948
기타,12,4,51,158.0,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,기타,0.0,627.0,0.0,0.0,5911890
기타,6,2,23,127.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,크리스 프랫,1.0,230.0,3703.0,0.0,5661128
기타,8,3,32,108.0,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,박서준,0.0,1429.0,16419.0,0.0,5636259
기타,8,3,33,107.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,기타,0.0,682.0,0.0,0.0,5602543
기타,8,3,31,126.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,기타,0.0,1857.0,20348.0,1.0,5593551
