순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
4196.0,토스카,피에르 아우디,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-04-01,개봉영화,장편,프랑스,13,"22,010,500",1121.0,"9,882,000",444,공연,12세이상관람가,독립/예술영화,Tosca,2014.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,left_only
3692.0,토스카,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-05-05,개봉영화,장편,미국,11,"48,023,000",2035.0,"30,318,000","1,306",공연,12세이상관람가,일반영화,Tosca,,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
2253.0,토일렛,오기가미 나오코,,(주)스폰지이엔티,(주)영화사 조제,2010-12-02,개봉영화,장편,일본,7,"116,321,072",15576.0,"108,633,000","14,355",드라마,전체관람가,독립/예술영화,Toilet,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3142.0,트라이앵글,크리스토퍼 스미스,,(주)히스토리필름,와이드 릴리즈(주),2018-08-29,개봉영화,장편,영국,82,"32,766,850",4558.0,"9,335,350","1,221",공포(호러),15세이상관람가,독립/예술영화,Triangle,2009.0,0.0,1451.0,,,,,,,,,,,,,,,,,,,,left_only
1745.0,트릭,이창열,엘씨오픽쳐스,,"(주)스톰픽쳐스코리아,(주)이수C&E",2016-07-13,개봉영화,장편,한국,390,"297,315,300",38155.0,"81,827,800","10,355",스릴러,15세이상관람가,일반영화,Trick,2016.0,0.0,1335.0,,,,,,,,,,,,,,,,,,,,left_only
2104.0,파괴자들,올리버 스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-10-31,개봉영화,장편,미국,171,"141,102,068",19716.0,"52,745,568","7,088",액션,청소년관람불가,일반영화,Savages,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
575.0,패신저스,모튼 틸덤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,개봉영화,장편,미국,608,"5,467,466,918",668576.0,"1,753,464,218","208,036",어드벤처,12세이상관람가,일반영화,Passengers,2016.0,0.0,3472.0,,,,,,,,,,,,,,,,,,,,left_only
4190.0,퍼즐,임진승,컨텐츠쇼크(주),,"(주)스토리제이,(주)드림팩트엔터테인먼트",2018-02-22,개봉영화,장편,한국,13,"8,621,300",1127.0,"7,421,300",922,미스터리,청소년관람불가,독립/예술영화,Puzzle,2017.0,0.0,166.0,,,,,,,,,,,,,,,,,,,,left_only
887.0,포켓몬더무비xyz볼케니온기계왕국의비밀,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2016-12-22,개봉영화,장편,일본,480,"2,147,083,300",282419.0,"425,667,500","53,872",애니메이션,전체관람가,일반영화,Pokemon the movie XY&Z,2016.0,0.0,3705.0,,,,,,,,,,,,,,,,,,,,left_only
2208.0,프라이버시,존 크로울리,,(주)스마일이엔티,(주)인벤트스톤,2014-03-20,개봉영화,장편,영국,165,"122,664,928",16936.0,"55,304,928","7,557",범죄,15세이상관람가,일반영화,Closed Circuit,2013.0,0.0,32.0,,,,,,,,,,,,,,,,,,,,left_only
3581.0,피가로의결혼,,,(주)인스터피씨엠,(주)인스터피씨엠,2015-02-21,개봉영화,장편,미국,3,"49,607,500",2350.0,"42,678,000","1,927",공연,전체관람가,일반영화,NOZZE DI FIGARO,2014.0,0.0,49.0,,,,,,,,,,,,,,,,,,,,left_only
3677.0,하루,마키하라 료타로,,(주)도키엔터테인먼트,(주)미디어데이,2013-11-28,개봉영화,장편,일본,11,"11,305,500",2063.0,"9,756,500","1,756",애니메이션,12세이상관람가,독립/예술영화,HAL,2013.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
433.0,하루,조선호,(주)라인필름,,CGV아트하우스,2017-06-15,개봉영화,장편,한국,781,"9,068,009,842",1129018.0,"2,244,976,142","270,183",스릴러,15세이상관람가,일반영화,A Day,2017.0,0.0,2233.0,,,,,,,,,,,,,,,,,,,,left_only
999.0,한나,조 라이트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-04-14,개봉영화,장편,미국,269,"1,570,759,500",208912.0,"593,673,000","74,774",액션,15세이상관람가,일반영화,Hanna,2011.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3944.0,해결사,니쉬칸트 카마트,,(주)소나무픽쳐스,(주)소나무픽쳐스,2013-01-24,개봉영화,장편,인도,1,"3,287,000",1551.0,0,0,액션,청소년관람불가,독립/예술영화,Force,2011.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
1664.0,히어애프터,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-03-24,개봉영화,장편,미국,112,"336,316,000",45755.0,"138,296,500","17,822",드라마,12세이상관람가,일반영화,Hereafter,2010.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
3313.0,힘내세요병헌씨,이병헌,,,㈜인디스토리,2013-06-27,개봉영화,장편,한국,18,"25,463,600",3522.0,"18,462,100","2,471",코미디,15세이상관람가,독립/예술영화,CHEER UP MR. LEE,2012.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,left_only
