영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
콜로니 : 지구 최후의 날,,제프 렌프로,2014-02-13,,"지구에 살아남은 최후의 인류! 아무도 상상하지 못한 최강의 적과 맞서다! 2144년, 갑작스러운 지구 온난화 이후 빙하기가 찾아왔다. 가까스로 살아남은 생존자들은 살을 에는 듯한 추위와 얼어붙은 땅에 맞서 지하 세계에 '콜로니'라는 새로운 주거 지역을 완성한다. 가까스로 삶을 연명하고 있는 사람들은 각 주거지역에 번호를 붙여 상부상조한다. 그러던 어느 날, 주거지역 콜로니 5의 사람들은 건너편 콜로니 7의 갑작스러운 연락 두절에 소수의 원정대를 파견하게 되고, 콜로니 7에 도착한 그들은 충격적인 장면을 목격하게 되는데…!",시체스 국제판타스틱 영화제(2013) : 오피셜 판타스틱 파노라마부문 - 제프 렌프로
데이빗 린치: 아트 라이프,,존 응우옌,2017-09-21,,역사상 가장 유니크한 감독 ‘데이빗 린치’!그가 들려주는 낯설지만 우아한 고백!할리우드 자신의 스튜디오 빈티지 마이크 앞에 선 ‘컬트의 제왕’ 데이빗 린치. 어린 딸 ‘룰라’에게 들려주는 가장 비밀스러운 자신의 이야기를 시작한다. 아이다호의 작은 마을에서 순수하고 행복한 어린 시절을 보낸 소년이 필라델피아의 예술학교에 진학 후 기괴하고 미스터리한 감독이 되기까지…. 데이빗 린치가 직접 들려주는 그의 작품세계와 진정한 아트 라이프,
더 히어로,,브렛 헤일리,2018-02-01,,,
노르마,Norma,메트오페라,2018-03-03,,"고대 갈리아의 여 대사제 노르마와 로마 총독 폴리오네, 여신도 아달지자의 사랑과 희생을 그린 오페라 공연 실황 영상",
라 트라비아타,La Traviata,파비오 루이지,2012-10-23,,,
비키니 대작전,,전국위,2013-09-06,"연애,여행,고난,여정,모델",연애에 실패만 하는 세 남자가 여행을 떠나 고난의 여정을 보내지만 결국 비키니 모델들과 사랑에 성공한다는 내용,
시베리아 횡단열차: 대탈주,,알렉세이 유치텔,2014-10-23,,"2차 대전 직후, 나치의 포로였던 소련인을 재교육 시키는 끄라이 마을에서 다양한 사람들의 군상을 통해 전쟁으로 인한 갈등과 상처를 그린 내용",
개인교수 2014,,한나 피델,2014-10-08,,고등학교 여교사와 남학생간의 비밀스런 사랑과 갈등을 그린 내용,
쌍자신투,,강도해,2014-10-16,,죽은 이도 살린다는 공불천주를 둘러싼 라마승들과 범죄 조직의 암투를 그린 내용,
사랑의 묘약,Love Potion,바틀렛 셰어,2013-03-09,"포도주,사랑의 묘약,거절,유산,상속","싸구려 포도주를 사랑의 묘약인 줄 알고 마신 청년이 사랑하는 여인에게 거절당하지만, 유산을 받게 되어 사랑도 이룬다는 내용",
