영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
일만명의 성자들,"10,000 Saints","샤리 스프링어 버먼,로버트 풀치니",2016-04-21,,"1987년대 뉴욕 이스트 빌리지… 그곳에서 우리는 진짜 가족을 만났다 자신과 관련된 우연한 사고로 하나뿐인 친구 ‘테디’를 잃은 소년 ‘주드’ 죄책감과 상실감에 방 안에 홀로 틀어박힌 그에게 잊고 지낸 아빠라는 존재가 불쑥 찾아온다. 어린 시절 헤어졌던 아빠 ‘레스’는 ‘주드’를 무작정 뉴욕으로 납치하고 결코 존경할 수 없는 복잡한 사생활을 가졌지만, 자신을 따뜻하게 감싸주는 ‘레스’의 모습에 ‘주드’는 조금씩 마음의 문을 열어간다. 뉴욕 이스트 빌리지에서 만난 운명적 음악과 첫사랑. 그리고, 처음으로 느껴본 ‘아빠’라는 존재. ‘주드’는 생애 처음 소중한 것을 지키기 위한 여행을 떠나게 되는데…",
징기스칸 : 제국의 건설,,"U. 샤그다슈렌,D. 줄바야",2013-02-08,"몽골,징기스칸,손녀,명의",징기스칸의 병을 치료하기 위해 명의를 데려오라는 임무를 맡은 몽골 전사들이 적들과 싸우는 우여곡절 끝에 명의의 손녀를 데려와 징기스칸의 병을 고치는 이야기,
레이징 피닉스2 : 여자옹박의 귀환,,페치타이 웡캄라오,2013-02-15,,,
라보엠,,로버트 돈헴,2014-12-20,"오페라원작,예술가,폐병,이웃집","파리의 라틴 지구 다락방에서 시인 로돌포와 그의 예술가 친구들은 가난하지만 즐겁게 살아간다. 그러던 어느 크리스마스 이브, 로돌포는 촛불을 빌리러 온 이웃집 미미와 우연히 만나 한눈에 사랑에 빠지고 마르첼로는 옛 연인이었던 무제타와 재회한다. 그러던 중 미미의 폐병 증상이 점점 악화되고 서로에게 해줄 수 있는 것이 없어 괴로워하던 미미와 로돌포는 결국 헤어지게 되는데…",
사랑의 묘약,,,2018-07-07,"오페라원작,아리아,약장수,시골청년,귀족영애",엉터리 약장사가 파는 사랑의 묘약으로 사랑을 얻고자 하는 남자의 희망을 그린 오페라 영상,
파리 오페라,The Paris Opera,장-스테파네 브론,2018-05-17,,,모스크바국제영화제(2017) : 베스트 다큐멘터리상 - 장-스테파네 브론
황제암살단,,빅터 부,2014-10-08,,가문을 몰살시킨 왕실에 대한 복수를 꿈꾸는 무사의 복수 여정을 그린 내용,
토스카,Tosca,,2018-05-05,"푸치니,오페라,공연실황,토스카",비극적 사랑을 그린 푸치니 오페라 ‘토스카’의 공연 실황 영상,
리브 어게인,One More Time,로버트 에드워즈,2018-04-26,,도시생활에 지친 쥬드는 아버지의 집으로 향한다. 한때 유행가를 불렀던 아버지는 늦바람이 불어 가수로서 재기를 노린다. 쥬드는 이제야 또 깨닫는다. 아버지와 있으면 인생이 얼마나 복잡해질 수 있는지.,
더 트랩: 난간 끝에 선 남자,,매튜 채프만,2013-07-25,"투신자살,난간,신앙,종교","우리는 우주의 일부에요. 죽으면 그걸로 끝이죠.”내세를 믿지 않는 이 남자, 사랑을 위해 난간 위에 올라섰다!한 경찰이 투신자살을 하기 위해 건물 옥상의 난간에서 선 남자를 설득하기 위해 대화를 시도한다. ‘개비’라는 이름의 이 남자는 경찰에게 자신이 극단적인 선택을 하려는 이유를 설명하기 시작한다. 광적인 신앙심과 종교를 혐오하는 ‘개비’는 같은 층으로 이사온 아름다운 여인 ‘샤나’에게 매혹 당한다. 정숙하면서도 알 수 없는 묘한 매력을 풍기는 그녀는 독실한 기독교 근본주의자의 아내로서, 남편에게 한없이 순종적인 여인이다. 하지만 ‘개비’가 매니저로 있는 호텔에 취업을 하게 된 ‘샤나’는 같은 직장, 같은 빌라에서 계속해서 마주치며 자신에게 호감을 보이는 ‘개비’에게 점점 이끌리게 되고, 결국 기독교적 가치관과 남편을 저버리고 돌이킬 수 없는 선택을 하게 되는데…",
메이플쏘프,Mapplethorpe: Look at the Pictures,"펜튼 베일리,랜디 바바토",2018-06-21,,거침없고 완벽하다!”이 시대 가장 뜨거웠던 논란의 중심에 선 포토그래퍼이자 뉴욕의 아이콘 로버트 메이플쏘프 누구보다 특별하고 화려했던 뉴욕에서의 기록,
에어라인 플라이트,Airline Disaster,존 윌리스 3세,2013-07-18,"항공기,납치,테러리스트,딜레마","대통령의 동생이 조종하는 항공기가 납치당했다!남은 시간은 단 90분, 그 누구도 안전하지 않다!최상의 공기역학적 설계와 현존하는 그 어떤 항공기도 따라올 수 없는 정교함을 자랑하는 전자동 항공기 '스타퀘스트'. 미국 대통령의 남동생이 기장으로 있는 '스타퀘스트'가 처녀비행을 하던 중 테러리스트들에게 납치당한다! 테러리스트들은 미국 대통령에게 그녀의 동생과 승객들의 안전을 담보로 엄청난 거래를 하려 한다. 항공기를 격추시키느냐, 그들의 요구를 들어주느냐! 남은 시간은 단 90분, 이제 대통령은 사랑하는 동생의 목숨과 시민들의 안전 중 하나를 선택해야만 하는 엄청난 딜레마에 빠지게 되는데...",
정사,An Affair ( Jeongsa ),김정환,2014-10-30,,서점을 운영하는 성민과 발레학원 선생 가희의 사랑과 불륜을 그린 내용,
피가로의 결혼,NOZZE DI FIGARO,Met opera,2015-02-21,,피가로와 수산나의 지혜로 부인에게 애정이 식은 백작의 바람기를 혼내준다는 내용의 오페라 공연 실황,
호박과 마요네즈,Pumpkin and Mayonnaise,토미나가 마사노리,2018-09-13,"무명음악가,남자친구,전남자친구,동요,순정만화,일본만화원작","밋밋하고 투박한 나의 애인은 왜, 상처만 남기고 떠난 전 애인보다 끌리지 않는 걸까? 가수를 꿈꾸는 애인 ‘세이치’를 위해 몰래 단란주점에서 돈을 벌며 뒷바라지하지만, 세이치는 곡도 쓰지 않고 집에서 잉여처럼 지낼 뿐이다. 사랑에 헌신한다 믿고 있지만 세이치를 향한 확신이 들지 않던 그때 깊은 상처를 주고 떠난 전 애인 ‘하기오’가 나타난다. 다시 버림받을 걸 알면서도 츠치다는 하기오에게 흔들리는데…",
해커스,,세드릭 지메네즈,2014-10-01,,대선을 앞두고 프랑스 기차역에서 폭탄 테러가 일어나 해커를 통해 사건의 전모를 밝혀낸다는 내용,
메가 스파이더,,마이크 멘데즈,2014-09-12,,외계에서 온 대형 거미가 군사 연구소를 탈출하는 사건이 일어난다. 거미는 로스앤젤레스를 쑥대밭으로 만들어버리고 이를 막아내기 위해 군대가 출동하지만 대규모 공격에도 거미 박멸은 수포로 돌아간다. 이제 도시를 구해낼 유일한 희망은 해충 박멸가 알렉스 뿐. 미드'히어로즈'의 믿음직한 형사 '그렉 그룬버그'는 이번에도 세상을 구하는 히어로가 될수 있을까?,
미세스 하이드,Mrs. Hyde,세르쥬 보종,2018-05-31,"지킬앤하이드,벼락,특수능력,이중생활,양면성",벼락을 맞은 후 특별한 능력을 갖게된 한 교사의 양면성을 그린 영화,로카르노국제영화제(2017) : 여우주연상 - 이자벨 위페르
리틀 제이콥,Jacob on the Road (Riteuljeikop-Ulleongulleongbangmulgwan),유형,2012-11-08,"모험,개구쟁이,말썽꾸러기,말썽쟁이,여행,원숭이","개구쟁이 제이콥이 친구들과 박물관을 간 후, 뜻밖의 사고로 홀로 낯선 마을에 떨어지고 집으로 돌아오기 위해 모험을 벌이는 애니메이션",
뮤즈 드론즈 월드투어 실황,Muse Drones (Muse Drones World Tour),톰 커크,2018-07-12,"월드투어,공연,공연실황,밴드",영국 밴드 뮤즈의 ‘드론즈(Drones)’ 앨범 발매를 기념하는 월드투어 공연 실황 영상,
샤크어택,,스캇 휠러,2014-09-04,,겨울 스키장에 나타나 사람들을 잡아먹는 식인 상어와의 사투를 그린 이야기,
중화 명탐정,,나지량,2013-07-26,"탐정,총알,의심,자살,의혹,음모",탐정이 중국 군수공장에서 총알을 훔쳤다는 의심을 받던 여 근로자의 자살사건에 감춰진 의혹과 음모를 밝히는 내용의 영화,
불청객,The Uninvited (Bulcheonggaek),이응일,2010-09-30,"계약,고시생,납치,백수,소포,우주,자취생,수명,자취방",큰 폭발음이 나더니 어느 자취방 앞에소포상자가 떨어진다. 두 백수와 만년 고시생이 상자를 열자 4차원의 포인트맨이 나타나 은하연방 론리스타 수명은행과 계약이 성립했음을 알린다. 포인트맨이 수명을 뺏으려 하는 가운데 우주로 납치된 세 사람. 그들은 자신이 원하는 것을 찾을 수 있을까? 놀라운 비주얼의 독립장편SF환타지,
제7의 봉인,The Seventh Seal,잉마르 베르히만,2012-05-10,"연극원작, 기사, 신, 흑사병, 체스, 교회, 숲, 마녀, 광대","십자군 전쟁에 참여했다가 돌아온 안토니우스 블로크는 흑사병이 만연하여 죽음의 땅이 되어있는 고향 스웨덴의 해변에서 죽음의 방문을 받는다. 자신을 죽음이라고 소개한 그에게 블로크는 체스 내기를 하고, 죽음은 그에게 동의한다. 만일 죽음이 이긴다면 그를 따라 나설 것이요, 기사가 이긴 다면 죽음이 물러가야 한다. 승산이 없는 내기에서 정말로 블로크가 원하는 것은 체스가 진행되는 동안 신으로부터 구원에의 확신을 얻는 것이다. 죽음으로 끝나게 될 삶의 허무를 극복하기 위해 기사는 교회를 찾아가기도 하고, 마녀로 낙인이 된 소녀 옆을 지키기도 하지만 어디에도 죽음만이 보일뿐...",칸국제영화제(1957) : 심사위원대상 - 잉그마르 베르히만
아이다,,메트오페라,2019-02-02,,패전국 에티오피아의 공주 아이다와 이집트의 장군 라다메스의 비극적 사랑을 그린 오페라실황,
엽문4: 종극일전,,구예도,2013-06-27,"갈등,제자,홍콩,영춘권,시리즈,속편","영춘권의 대가인 엽문이 홍콩에 정착해 제자를 육성하는 과정과 제자간의 갈등, 다른 무술 권법자들의 도전을 통해 영춘권에 대한 열정과 애정, 인생관을 그린 내용",
오장군의 발톱,Soldier's Mementos (Ojanggunui baltop),김재한,2018-08-15,"한국희곡원작,희곡원작,희곡영화화,반전영화,반전사상,분단의아픔,남북분단","훌륭한 사람이 되길 바라는 엄마의 소망이 담긴 이름 오장군. 그는 까치골에서 사랑하는 엄마, 먹쇠와 함께 감자밭을 일구며 옆집 꽃분이에게 장가가는 것이 꿈이다. 가끔 감자밭 하늘위로 지나가는 비행기 편대를 보며 몰래 욕하기도 하던 오장군은 어느날 동쪽나라군대에서 보낸 징집영장을 받는다. 전쟁의 의미도 모른채 징집되어 훈련소에서 힘들게 훈련을 받던 오장군은 오발사고로 영창에 갇히게 되지만 전쟁의 불리함으로 오장군은 사면을 받아 영창에서 동료들과 함께 손톱, 발톱을 깍아두고는 최일선으로 떠난다.총을 무서워하고 군대에 잘 적응하지 못하는 오장군은 동쪽나라 장군의 당번병이 된다.하지만 이것은 동쪽나라 장군의 역정보공작이었고 자신도 모르는 사이 서쪽나라의 포로가 되고만다.서쪽나라는 동쪽나라에서 주입한 거짓 정보를 완전한 사실로 믿었던 오장군에게 속아서, 공격의 기회를 놓치고 마는데.....",
실버벨,Silver Bells,해롤드 크론크,2016-12-15,"승부욕,농구,스포츠기자,승리,집착,구세군,모금,크리스마스","이겨야만 사는 편집광’ 스포츠 기자 브루스는 승리에 대한 집착이 유별나다. 그러던 어느 날, 그는 아들의 농구경기에서 오판에 항의하다 결국 심판에게 부상을 입히게 되고, 구세군 사회봉사 명령을 받는다. 그러나 그의 승부욕은 엉뚱하게 모금함으로 향하고, 지나가던 행인들에게 반강제적인 기부를 강요한다. 엎친 데 덮친 격으로 뉴스앵커 자리에서도 잘린 그는 복직할 수 있는 유일한 기회를 앞두고 또다시 사고를 치고 만다. 그의 만행이 담긴 동영상은 온라인으로 급격히 퍼져나가고, 일과 가정 모두 큰 타격을 입게 되는데... 인생 최악의 위기를 맞이한 브루스! 과연 그는 어떤 크리스마스를 보내게 될까?",
