순번,영진위 영화명,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1210,짱구는 못말려 극장판 폭풍수면! 꿈꾸는 세계 대돌격,짱구는못말려극장판폭풍수면꿈꾸는세계대돌격,타카하시 와타루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-01-25,개봉영화,장편,일본,334,"905,611,600",119197,"147,031,700","18,053",애니메이션,전체관람가,일반영화
1211,파리로 가는 길,파리로가는길,엘레노어 코폴라,,(주)티캐스트,(주)티캐스트,2017-08-03,개봉영화,장편,미국,79,"931,810,300",118985,"615,973,800","76,126",드라마,12세이상관람가,독립/예술영화
1212,아티스트,아티스트,미셀 하자나비시우스,,(주)영화사 진진,(주)영화사 진진,2012-02-16,개봉영화,장편,미국,93,"910,115,100",118836,"650,201,600","82,208",멜로/로맨스,12세이상관람가,독립/예술영화
1213,얼리맨,얼리맨,닉 파크,,(주)퍼스트런,(주)이수C&E,2018-05-03,개봉영화,장편,영국,597,"910,471,000",118612,"189,895,000","23,330",애니메이션,전체관람가,독립/예술영화
1214,부탁 하나만 들어줘,부탁하나만들어줘,폴 페이그,,그린나래미디어(주),(주)팝엔터테인먼트,2018-12-12,개봉영화,장편,미국,461,"1,024,464,238",118528,"467,225,088","53,495",스릴러,청소년관람불가,독립/예술영화
1215,데블,데블,존 에릭 도들,미디어라이트캐피탈,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-11-04,개봉영화,장편,미국,190,"868,744,643",118286,"308,849,000","39,845",공포(호러),15세이상관람가,일반영화
1216,감바의 대모험,감바의대모험,"카와무라 토모히로,코모리 요시히로",,(주)영화사 빅,(주)영화사 빅,2016-11-10,개봉영화,장편,일본,400,"874,198,700",117465,"164,212,900","20,534",애니메이션,전체관람가,독립/예술영화
1217,극장판 소드 아트 온라인 -오디널 스케일-,극장판소드아트온라인오디널스케일,이토 토모히코,,(주)애니플러스,(주)박수엔터테인먼트,2017-02-23,개봉영화,장편,일본,124,"897,598,000",117401,"277,569,000","35,430",애니메이션,12세이상관람가,일반영화
1218,고스트 라이더  복수의 화신,고스트라이더복수의화신,"마크 네빌딘,브라이언 테일러",,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-02-16,개봉영화,장편,미국,269,"902,982,500",117263,"229,674,000","28,091",액션,15세이상관람가,일반영화
1219,우먼 인 블랙,우먼인블랙,제임스 왓킨스,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),"(주)넥스트엔터테인먼트월드(NEW),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2012-02-16,개봉영화,장편,영국,237,"862,144,800",117188,"343,473,800","44,298",드라마,15세이상관람가,일반영화
1220,정무문  100대 1의 전설,정무문100대1의전설,유위강,,데이지엔터테인먼트,(주)싸이더스,2011-06-22,개봉영화,장편,홍콩,225,"872,350,500",117141,"214,320,000","27,154",액션,15세이상관람가,일반영화
1221,케로로 더 무비 5 기적의 사차원섬,케로로더무비5기적의사차원섬,"사토 준이치,야마구치 스스무",선라이즈 필름,투니버스(주)온미디어,투니버스(주)온미디어,2010-04-29,개봉영화,장편,일본,75,"801,845,296",116992,"210,734,500","29,583",애니메이션,전체관람가,일반영화
1222,여교사,여교사,김태용,(주)외유내강,,필라멘트픽쳐스,2017-01-04,개봉영화,장편,한국,393,"947,192,460",116851,"299,247,560","36,539",드라마,청소년관람불가,독립/예술영화
1223,8인 최후의 결사단,8인최후의결사단,진덕삼,차이나필름그룹,씨제이엔터테인먼트,씨제이엔터테인먼트,2010-01-21,개봉영화,장편,중국,160,"878,708,580",116788,"270,416,000","34,297",액션,15세이상관람가,일반영화
1224,존 윅,존윅,"데이빗 레이치,채드 스타헬스키",,(유)조이앤컨텐츠그룹,(주)나이너스엔터테인먼트,2015-01-21,개봉영화,장편,미국,321,"925,995,637",116119,"338,434,537","41,631",액션,청소년관람불가,일반영화
1225,명탐정 코난전율의 악보,명탐정코난전율의악보,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2019-02-14,개봉영화,장편,일본,213,"890,692,400",116059,"172,835,800","22,143",애니메이션,12세이상관람가,일반영화
1226,쏘우 3D,쏘우3d,케빈 그루터트,어비거보트,코리아스토리,㈜케이디미디어,2010-11-18,개봉영화,장편,미국,159,"1,470,144,870",115878,"485,355,000","38,230",공포(호러),청소년관람불가,일반영화
1227,최강전사 미니특공대 영웅의 탄생,최강전사미니특공대영웅의탄생,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-02-04,개봉영화,장편,한국,349,"866,704,200",115704,"172,514,300","22,357",애니메이션,전체관람가,일반영화
1228,들어는 봤니 모건 부부,들어는봤니모건부부,마크 로렌스,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-01-28,개봉영화,장편,미국,163,"881,895,788",115454,"469,082,000","59,342",코미디,15세이상관람가,일반영화
1229,로맨틱 크라운,로맨틱크라운,톰 행크스,,판씨네마(주),(주)싸이더스,2011-08-17,개봉영화,장편,미국,239,"860,040,500",114887,"381,940,500","48,803",멜로/로맨스,12세이상관람가,일반영화
1230,터키,터키,지미 헤이워드,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2014-07-31,개봉영화,장편,미국,182,"790,848,700",113795,"164,605,800","22,574",애니메이션,전체관람가,일반영화
1231,극장판 도라에몽  진구의 우주영웅기~스페이스 히어로즈~,극장판도라에몽진구의우주영웅기스페이스히어로즈,오오스기 요시히로,,대원미디어(주),(주)와우픽쳐스,2015-09-17,개봉영화,장편,일본,351,"816,868,100",113404,"155,568,500","20,865",애니메이션,전체관람가,일반영화
1232,미라클 벨리에,미라클벨리에,에릭 라티고,,(주)영화사 진진,(주)영화사 진진,2015-08-27,개봉영화,장편,프랑스,245,"857,214,018",112121,"413,015,318","52,179",드라마,12세이상관람가,독립/예술영화
1233,다이노소어 어드벤처  백악기 공룡대백과,다이노소어어드벤처백악기공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨",,(주)박수엔터테인먼트,"(주)박수엔터테인먼트,(주)애니플러스",2016-05-04,개봉영화,장편,영국,325,"852,443,000",112076,"170,029,200","21,332",다큐멘터리,전체관람가,독립/예술영화
1234,배우는 배우다,배우는배우다,신연식,"(주) 루스이소니도스,(주)김기덕 필름",,(주)넥스트엔터테인먼트월드(NEW),2013-10-24,개봉영화,장편,한국,297,"811,031,000",111927,"270,902,500","35,389",드라마,청소년관람불가,일반영화
1235,"안녕, 나의 소녀",안녕나의소녀,사준의,,오드,오드,2018-05-16,개봉영화,장편,대만,155,"868,321,954",111541,"306,753,454","37,176",멜로/로맨스,12세이상관람가,독립/예술영화
1236,셀프리스,셀프리스,타셈 싱,,블루미지,(주)이수C&E,2015-09-10,개봉영화,장편,미국,340,"874,447,764",111127,"292,812,964","35,675",SF,15세이상관람가,일반영화
1237,스틸 앨리스,스틸앨리스,"리처드 글랫저,워시 웨스트모어랜드",,그린나래미디어(주),그린나래미디어(주),2015-04-29,개봉영화,장편,미국,109,"856,744,246",111008,"479,625,846","60,787",드라마,12세이상관람가,독립/예술영화
1238,직쏘,직쏘,"피터 스피어이그,마이클 스피어리그",,㈜코리아스크린,㈜코리아스크린,2017-11-02,개봉영화,장편,미국,175,"966,956,500",110834,"270,275,200","30,685",공포(호러),청소년관람불가,일반영화
1239,러브 앤 프렌즈,러브앤프렌즈,루크 그린필드,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-06-16,개봉영화,장편,미국,207,"795,721,500",110795,"383,291,500","52,359",드라마,15세이상관람가,일반영화
1240,극장판 파워레인저 캡틴포스 VS 미라클포스 199 히어로 대결전,극장판파워레인저캡틴포스vs미라클포스199히어로대결전,타케모토 노보루,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2012-12-13,개봉영화,장편,일본,229,"759,092,000",110771,"178,072,500","24,623",애니메이션,전체관람가,일반영화
1241,캣츠 앤 독스 2,캣츠앤독스2,브래드 페이튼,시디2 필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-09-16,개봉영화,장편,미국,161,"810,563,678",109667,"183,952,000","23,143",가족,전체관람가,일반영화
1242,당갈,당갈,니테쉬 티와리,,(주)미로스페이스,(주)넥스트엔터테인먼트월드(NEW),2018-04-25,개봉영화,장편,인도,260,"906,416,500",109441,"458,846,200","54,661",액션,12세이상관람가,독립/예술영화
1243,프로포즈 데이,프로포즈데이,아넌드 터커,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-04-08,개봉영화,장편,미국,149,"826,704,936",109313,"413,981,500","53,038",멜로/로맨스,12세이상관람가,일반영화
1244,더 콘서트,더콘서트,라두 미하일레아누,,"(주)화인픽쳐스,(주)파란프로덕션",유니버설픽쳐스인터내셔널 코리아(유),2010-11-25,개봉영화,장편,프랑스,130,"784,912,681",109160,"371,575,000","49,485",드라마,전체관람가,독립/예술영화
1245,피터와 드래곤,피터와드래곤,데이빗 로워리,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-28,개봉영화,장편,미국,167,"865,600,600",109137,"196,519,100","23,706",어드벤처,전체관람가,일반영화
1246,히트,히트,이성한,(주)부영엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,개봉영화,장편,한국,171,"771,023,500",109019,"174,749,000","22,396",드라마,15세이상관람가,일반영화
1247,베이블레이드 버스트 갓  갓 발키리의 탄생,베이블레이드버스트갓갓발키리의탄생,야마구치 켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,개봉영화,장편,일본,198,"823,353,500",108896,"147,634,500","19,221",애니메이션,전체관람가,일반영화
1248,할로윈,할로윈,데이빗 고든 그린,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-10-31,개봉영화,장편,미국,536,"891,158,713",108780,"285,667,563","34,073",공포(호러),청소년관람불가,일반영화
1249,맨 프롬 UNCLE,맨프롬uncle,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-28,개봉영화,장편,미국,361,"846,390,353",108551,"337,263,353","41,417",액션,12세이상관람가,일반영화
1250,레드 스패로,레드스패로,프란시스 로렌스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-02-28,개봉영화,장편,미국,389,"860,743,700",108344,"331,557,500","41,010",스릴러,청소년관람불가,일반영화
1251,마지막 4중주,마지막4중주,야론 질버만,,(주)티캐스트,(주)티캐스트,2013-07-25,개봉영화,장편,미국,29,"812,813,000",108317,"546,426,500","69,670",드라마,15세이상관람가,독립/예술영화
1252,더 기버 기억전달자,더기버기억전달자,필립 노이스,,주식회사 풍경소리,(주)지어소프트,2014-08-20,개봉영화,장편,미국,233,"814,330,000",107567,"294,270,800","37,590",SF,12세이상관람가,독립/예술영화
1253,더 건맨,더건맨,피에르 모렐,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-04-16,개봉영화,장편,프랑스,349,"833,925,965",107444,"240,111,365","30,063",액션,청소년관람불가,일반영화
1254,제로 다크 서티,제로다크서티,캐서린 비글로우,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-03-07,개봉영화,장편,미국,258,"765,247,500",107104,"298,295,000","39,992",전쟁,15세이상관람가,일반영화
1255,도희야,도희야,정주리,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2014-05-22,개봉영화,장편,한국,310,"830,948,100",106511,"250,750,700","30,778",드라마,청소년관람불가,독립/예술영화
1256,우리가 꿈꾸는 기적 인빅터스,우리가꿈꾸는기적인빅터스,클린트 이스트우드,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-03-04,개봉영화,장편,미국,121,"784,134,225",106443,"320,187,500","41,693",드라마,전체관람가,일반영화
1257,프리덤,프리덤,피터 쿠센스,,"(재)CBS,SOKOR MEDIA",주식회사 마운틴픽쳐스,2015-11-19,개봉영화,장편,미국,117,"737,817,100",106241,"143,294,400","18,390",드라마,12세이상관람가,독립/예술영화
1258,웨이 백,웨이백,피터 위어,,(주)케이앤엔터테인먼트,(주)쇼박스,2011-03-17,개봉영화,장편,미국,175,"776,193,500",105925,"239,833,000","31,080",드라마,12세이상관람가,일반영화
1259,아마존의 눈물,아마존의눈물,"김진만,김현철",(주)MBC,,주식회사 마운틴픽쳐스,2010-03-25,개봉영화,장편,한국,47,"658,632,935",105886,"194,192,000","27,825",다큐멘터리,15세이상관람가,독립/예술영화
