순번,영화명,감독,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,원제,제작년도,원작도서유무,네이버기대지수,개봉전 평점,총댓글수(개봉전),?순번,영진위 영화명,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,_merge
2847.0,베를린신드롬,케이트 쇼트랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2017-07-06,개봉영화,장편,호주,78,"50,803,800",6529.0,"22,670,800","2,857",스릴러,청소년관람불가,독립/예술영화,Berlin Syndrome,2017.0,0.0,333.0,7.12,216.0,2847.0,베를린 신드롬,,예지림엔터테인먼트,예지림엔터테인먼트,2017-07-06,개봉영화,장편,호주,78,"50,803,800",6529.0,"22,670,800","2,857",스릴러,청소년관람불가,독립/예술영화,both
1270.0,베리굿걸,나오미 포너,,(주)도키엔터테인먼트,(주)영화사 빅,2014-09-25,개봉영화,장편,미국,338,"777,703,345",103625.0,"257,889,345","32,904",멜로/로맨스,15세이상관람가,독립/예술영화,Very Good Girls,2013.0,0.0,1435.0,9.33,84.0,1270.0,베리 굿 걸,,(주)도키엔터테인먼트,(주)영화사 빅,2014-09-25,개봉영화,장편,미국,338,"777,703,345",103625.0,"257,889,345","32,904",멜로/로맨스,15세이상관람가,독립/예술영화,both
1479.0,베리드,로드리고 코르테스,버서스 프로덕션,크리스리픽쳐스인터내셔널(주),(주)화앤담이엔티,2010-12-08,개봉영화,장편,스페인,117,"470,090,587",64449.0,"208,936,500","27,857",드라마,15세이상관람가,독립/예술영화,Buried,2010.0,0.0,0.0,8.47,116.0,1479.0,베리드,버서스 프로덕션,크리스리픽쳐스인터내셔널(주),(주)화앤담이엔티,2010-12-08,개봉영화,장편,스페인,117,"470,090,587",64449.0,"208,936,500","27,857",드라마,15세이상관람가,독립/예술영화,both
2761.0,베스와베라,파스칼 로지에,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2019-01-24,개봉영화,장편,프랑스,167,"63,085,210",7369.0,"26,379,030","2,982",공포(호러),15세이상관람가,독립/예술영화,Incident in a Ghost Land,2018.0,0.0,81.0,7.14,132.0,2761.0,베스와 베라,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2019-01-24,개봉영화,장편,프랑스,167,"63,085,210",7369.0,"26,379,030","2,982",공포(호러),15세이상관람가,독립/예술영화,both
442.0,베스트셀러,이정호,"(주)에코필름,데이지엔터테인먼트",,(주)시너지하우스 (시너지),2010-04-15,개봉영화,장편,한국,317,"8,110,824,681",1099665.0,"2,478,553,500","317,714",미스터리,15세이상관람가,일반영화,Bestseller,2010.0,0.0,0.0,8.82,100.0,442.0,베스트셀러,"(주)에코필름,데이지엔터테인먼트",,(주)시너지하우스 (시너지),2010-04-15,개봉영화,장편,한국,317,"8,110,824,681",1099665.0,"2,478,553,500","317,714",미스터리,15세이상관람가,일반영화,both
1569.0,베스트엑조틱메리골드호텔,존 매든,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-07-12,개봉영화,장편,영국,149,"379,972,500",53555.0,"185,428,000","25,167",코미디,15세이상관람가,독립/예술영화,The Best Exotic Marigold Hotel,2012.0,0.0,0.0,9.11,18.0,1569.0,베스트 엑조틱 메리골드 호텔,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-07-12,개봉영화,장편,영국,149,"379,972,500",53555.0,"185,428,000","25,167",코미디,15세이상관람가,독립/예술영화,both
2346.0,베스트오브미,마이클 호프만,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-06-18,개봉영화,장편,미국,118,"100,915,600",13399.0,"44,377,500","5,714",드라마,15세이상관람가,일반영화,The Best of Me,2014.0,1.0,539.0,9.00,23.0,2346.0,베스트 오브 미,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-06-18,개봉영화,장편,미국,118,"100,915,600",13399.0,"44,377,500","5,714",드라마,15세이상관람가,일반영화,both
1656.0,베스트오퍼,쥬세페 토르나토레,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2014-06-12,개봉영화,장편,이탈리아,175,"355,182,700",46282.0,"182,679,900","23,099",미스터리,15세이상관람가,독립/예술영화,The Best Offer,2013.0,0.0,351.0,9.11,193.0,1656.0,베스트 오퍼,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2014-06-12,개봉영화,장편,이탈리아,175,"355,182,700",46282.0,"182,679,900","23,099",미스터리,15세이상관람가,독립/예술영화,both
875.0,베스트키드,해럴드 즈워트,콜럼비아 픽쳐스 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-06-10,개봉영화,장편,미국,259,"2,066,507,505",292529.0,"567,302,000","75,364",가족,12세이상관람가,일반영화,The Karate Kid,2010.0,0.0,0.0,9.57,151.0,875.0,베스트 키드,콜럼비아 픽쳐스 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-06-10,개봉영화,장편,미국,259,"2,066,507,505",292529.0,"567,302,000","75,364",가족,12세이상관람가,일반영화,both
1247.0,베이블레이드버스트갓갓발키리의탄생,야마구치 켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,개봉영화,장편,일본,198,"823,353,500",108896.0,"147,634,500","19,221",애니메이션,전체관람가,일반영화,Beyblade Burst God,2017.0,0.0,1053.0,9.10,10.0,1247.0,베이블레이드 버스트 갓  갓 발키리의 탄생,,(주)영실업,씨제이이앤엠(주),2017-06-01,개봉영화,장편,일본,198,"823,353,500",108896.0,"147,634,500","19,221",애니메이션,전체관람가,일반영화,both
529.0,베이비드라이버,에드가 라이트,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14,개봉영화,장편,영국,778,"6,688,509,214",821419.0,"2,396,693,714","284,626",액션,15세이상관람가,일반영화,Baby Driver,2017.0,0.0,1479.0,9.09,102.0,529.0,베이비 드라이버,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14,개봉영화,장편,영국,778,"6,688,509,214",821419.0,"2,396,693,714","284,626",액션,15세이상관람가,일반영화,both
3912.0,베이타운디스코,배리 배틀스,,㈜코리아스크린,(주)미디어데이,2013-09-12,개봉영화,장편,미국,5,"8,063,000",1593.0,"8,063,000","1,593",액션,청소년관람불가,일반영화,The Baytown Outlaws,2012.0,0.0,0.0,5.50,4.0,3912.0,베이타운 디스코,,㈜코리아스크린,(주)미디어데이,2013-09-12,개봉영화,장편,미국,5,"8,063,000",1593.0,"8,063,000","1,593",액션,청소년관람불가,일반영화,both
2238.0,베이트,킴블 렌달,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-08-08,개봉영화,장편,호주,59,"108,522,500",16091.0,"36,014,000","5,317",공포(호러),15세이상관람가,일반영화,Bait,2012.0,0.0,0.0,5.66,196.0,2238.0,베이트,,(유)조이앤컨텐츠그룹,(주)팝파트너스,2013-08-08,개봉영화,장편,호주,59,"108,522,500",16091.0,"36,014,000","5,317",공포(호러),15세이상관람가,일반영화,both
1316.0,베일리어게인,라세 할스트롬,,(주)선익필름,(주)홈초이스,2018-11-22,개봉영화,장편,미국,189,"796,864,900",93691.0,"314,266,200","35,522",어드벤처,전체관람가,독립/예술영화,A Dog's Purpose,2017.0,1.0,1498.0,8.82,350.0,1316.0,베일리 어게인,,(주)선익필름,(주)홈초이스,2018-11-22,개봉영화,장편,미국,189,"796,864,900",93691.0,"314,266,200","35,522",어드벤처,전체관람가,독립/예술영화,both
5.0,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250",13395400.0,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화,Veteran,2015.0,0.0,9952.0,8.89,685.0,5.0,베테랑,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250",13395400.0,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화,both
2814.0,벡,츠츠미 유키히코,니뽄 텔레비전 네트워크,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2010-11-18,개봉영화,장편,일본,30,"49,184,212",6807.0,"25,602,000","3,372",드라마,12세이상관람가,독립/예술영화,Beck,2010.0,0.0,0.0,9.63,182.0,2814.0,벡,니뽄 텔레비전 네트워크,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2010-11-18,개봉영화,장편,일본,30,"49,184,212",6807.0,"25,602,000","3,372",드라마,12세이상관람가,독립/예술영화,both
3796.0,벤다빌릴리,"리노드 바렛,플로렝 드 라 툴라예",,㈜영화사 백두대간,㈜영화사 백두대간,2013-10-17,개봉영화,장편,프랑스,4,"13,589,800",1814.0,"11,083,800","1,412",다큐멘터리,전체관람가,독립/예술영화,Benda Bilili!,2010.0,0.0,0.0,8.72,29.0,3796.0,벤다 빌릴리,,㈜영화사 백두대간,㈜영화사 백두대간,2013-10-17,개봉영화,장편,프랑스,4,"13,589,800",1814.0,"11,083,800","1,412",다큐멘터리,전체관람가,독립/예술영화,both
3321.0,벤딩디아크세상을바꾸는힘,"키프 데이비슨,페드로 코스",,CGV아트하우스,CGV아트하우스,2017-11-09,개봉영화,장편,미국,45,"24,142,600",3472.0,"10,403,700","1,377",다큐멘터리,전체관람가,독립/예술영화,Bending the Arc,2017.0,0.0,83.0,10.0,7.0,3321.0,벤딩 디 아크 세상을 바꾸는 힘,,CGV아트하우스,CGV아트하우스,2017-11-09,개봉영화,장편,미국,45,"24,142,600",3472.0,"10,403,700","1,377",다큐멘터리,전체관람가,독립/예술영화,both
370.0,벤허,티무르 베크맘베토브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-09-14,개봉영화,장편,미국,717,"11,405,870,395",1399771.0,"2,957,265,515","356,087",어드벤처,12세이상관람가,일반영화,Ben-Hur,2016.0,0.0,1449.0,8.12,223.0,370.0,벤허,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-09-14,개봉영화,장편,미국,717,"11,405,870,395",1399771.0,"2,957,265,515","356,087",어드벤처,12세이상관람가,일반영화,both
3328.0,벨과세바스찬계속되는모험,크리스찬 두가이,,썬택엔터테인먼트 주식회사,C 무비,2017-08-10,개봉영화,장편,프랑스,38,"26,194,300",3450.0,"12,421,000","1,554",드라마,전체관람가,독립/예술영화,Belle and Sebastian : The Adventure Continues,2015.0,0.0,270.0,9.60,75.0,3328.0,벨과 세바스찬 계속되는 모험,,썬택엔터테인먼트 주식회사,C 무비,2017-08-10,개봉영화,장편,프랑스,38,"26,194,300",3450.0,"12,421,000","1,554",드라마,전체관람가,독립/예술영화,both
3725.0,벨라키스,루시앙 포스트너,,(주)에이블엔터테인먼트,(주)에이블엔터테인먼트,2014-07-30,개봉영화,장편,독일,19,"11,276,000",1964.0,"2,270,000",454,공포(호러),청소년관람불가,독립/예술영화,Bela Kiss: Prologue,2013.0,0.0,32.0,8.00,4.0,3725.0,벨라 키스,,(주)에이블엔터테인먼트,(주)에이블엔터테인먼트,2014-07-30,개봉영화,장편,독일,19,"11,276,000",1964.0,"2,270,000",454,공포(호러),청소년관람불가,독립/예술영화,both
3678.0,벨빌의세쌍둥이,실뱅 쇼메,,찬란,찬란,2016-10-27,개봉영화,장편,프랑스,13,"16,128,100",2062.0,"13,298,800","1,580",애니메이션,12세이상관람가,독립/예술영화,The Triplets Of Belleville,2003.0,0.0,236.0,9.06,70.0,3678.0,벨빌의 세 쌍둥이,,찬란,찬란,2016-10-27,개봉영화,장편,프랑스,13,"16,128,100",2062.0,"13,298,800","1,580",애니메이션,12세이상관람가,독립/예술영화,both
1862.0,벨아미,"데클란 도넬란,닉 오머로드",,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-08-30,개봉영화,장편,영국,103,"213,966,000",30373.0,"85,646,000","11,530",드라마,청소년관람불가,일반영화,Bel Ami,2012.0,0.0,0.0,8.25,21.0,1862.0,벨 아미,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-08-30,개봉영화,장편,영국,103,"213,966,000",30373.0,"85,646,000","11,530",드라마,청소년관람불가,일반영화,both
988.0,벽속에숨은마법시계,일라이 로스,,씨제이이앤엠(주),CGV아트하우스,2018-10-31,개봉영화,장편,미국,609,"1,654,715,300",215029.0,"461,680,100","57,500",판타지,전체관람가,일반영화,The House With a Clock In Its Walls,2018.0,1.0,254.0,9.85,20.0,988.0,벽 속에 숨은 마법시계,,씨제이이앤엠(주),CGV아트하우스,2018-10-31,개봉영화,장편,미국,609,"1,654,715,300",215029.0,"461,680,100","57,500",판타지,전체관람가,일반영화,both
697.0,변산,이준익,변산문화산업전문(유),,메가박스중앙(주)플러스엠,2018-07-04,개봉영화,장편,한국,763,"3,886,052,473",474137.0,"1,063,654,573","126,389",드라마,15세이상관람가,일반영화,Sunset in My Hometown,2017.0,0.0,1025.0,9.15,169.0,697.0,변산,변산문화산업전문(유),,메가박스중앙(주)플러스엠,2018-07-04,개봉영화,장편,한국,763,"3,886,052,473",474137.0,"1,063,654,573","126,389",드라마,15세이상관람가,일반영화,both
