순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
37,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
42,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
45,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
77,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579","5,137,993","13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
136,스파이,이승준,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-09-05,개봉영화,장편,한국,785,"24,436,429,305","3,423,920","5,483,475,805","733,029",액션,15세이상관람가,일반영화
150,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2018-06-27,개봉영화,장편,한국,"1,117","27,242,029,463","3,189,091","6,459,959,863","732,154",미스터리,15세이상관람가,일반영화
208,아수라,김성수,(주)사나이픽처스,,씨제이이앤엠(주),2016-09-28,개봉영화,장편,한국,"1,278","20,576,226,662","2,594,028","5,577,412,282","676,676",범죄,청소년관람불가,일반영화
213,정글북,존 파브로,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-06-09,개봉영화,장편,미국,924,"21,457,807,134","2,532,051","6,360,280,354","702,113",어드벤처,12세이상관람가,일반영화
214,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021","21,732,042,597","2,524,086","4,600,434,447","514,732",스릴러,15세이상관람가,일반영화
230,블라인드,안상훈,(주)문와쳐,,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,개봉영화,장편,한국,404,"18,361,430,500","2,362,906","5,974,758,500","736,580",스릴러,청소년관람불가,일반영화
233,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,"18,396,836,358","2,315,882","5,393,002,858","648,385",액션,15세이상관람가,일반영화
287,해결사,권혁재,(주)외유내강,,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",2010-09-09,개봉영화,장편,한국,524,"14,063,913,437","1,873,327","3,623,264,000","456,531",액션,15세이상관람가,일반영화
433,하루,조선호,(주)라인필름,,CGV아트하우스,2017-06-15,개봉영화,장편,한국,781,"9,068,009,842","1,129,018","2,244,976,142","270,183",스릴러,15세이상관람가,일반영화
453,동창생,박홍수,"더램프(주),(주)황금물고기",,(주)쇼박스,2013-11-06,개봉영화,장편,한국,660,"6,983,395,126","1,044,522","1,583,311,126","221,965",액션,15세이상관람가,일반영화
560,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-03-19,개봉영화,장편,미국,531,"5,499,767,900","716,386","1,654,573,800","205,943",멜로/로맨스,전체관람가,일반영화
575,패신저스,모튼 틸덤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,개봉영화,장편,미국,608,"5,467,466,918","668,576","1,753,464,218","208,036",어드벤처,12세이상관람가,일반영화
648,사이코메트리,권호영,"(주)엠픽처스,(주)파워이엔티,㈜게이트픽쳐스",,씨제이이앤엠(주),2013-03-07,개봉영화,장편,한국,429,"3,964,769,129","531,953","1,133,052,129","145,312",미스터리,청소년관람불가,일반영화
654,몬스터,황인호,상상필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,개봉영화,장편,한국,527,"4,136,202,515","526,282","1,110,307,115","135,839",스릴러,청소년관람불가,일반영화
701,카운트다운,허종호,(주)영화사봄,,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",2011-09-29,개봉영화,장편,한국,341,"3,630,557,000","471,547","1,289,489,000","159,087",드라마,청소년관람불가,일반영화
710,너의 췌장을 먹고 싶어,츠키카와 쇼,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2017-10-25,개봉영화,장편,일본,218,"3,705,621,800","465,495","1,048,442,800","128,547",드라마,12세이상관람가,독립/예술영화
715,라이프,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-04-05,개봉영화,장편,미국,647,"3,786,712,210","459,421","1,188,643,810","139,729",SF,15세이상관람가,일반영화
761,좋은 친구들,이도윤,"오퍼스픽쳐스(유),굿초이스컷픽쳐스(주)",,씨제이이앤엠(주),2014-07-10,개봉영화,장편,한국,371,"3,201,527,031","404,456","869,573,831","104,800",범죄,청소년관람불가,일반영화
793,홈,팀 존슨,,씨제이이앤엠(주),씨제이이앤엠(주),2015-05-21,개봉영화,장편,미국,532,"2,692,225,691","360,556","649,663,691","83,379",애니메이션,전체관람가,일반영화
799,플립,롭 라이너,,(주)팝엔터테인먼트,(주)팝엔터테인먼트,2017-07-12,개봉영화,장편,미국,249,"2,818,791,900","354,601","1,025,482,700","123,030",드라마,12세이상관람가,일반영화
829,킬러스,로버트 루게틱,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,개봉영화,장편,미국,280,"2,428,979,292","329,086","914,463,000","117,566",액션,15세이상관람가,일반영화
833,미드나잇 선,스콧 스피어,,(주)우성엔터테인먼트,씨네그루(주)키다리이엔티,2018-06-21,개봉영화,장편,미국,472,"2,679,300,500","326,086","960,276,400","114,250",멜로/로맨스,12세이상관람가,독립/예술영화
848,미녀와 야수,크리스토프 갱스,,(주)영화사선,(주)넥스트엔터테인먼트월드(NEW),2014-06-18,개봉영화,장편,프랑스,387,"2,385,847,300","315,348","745,899,100","94,306",판타지,전체관람가,일반영화
914,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019-03-20,개봉영화,장편,한국,833,"2,256,625,278","262,235","543,947,088","61,930",범죄,청소년관람불가,일반영화
961,딥,줄리오 소토 거피드,,(주)영화사 빅,(주)이수C&E,2017-10-03,개봉영화,장편,스페인,441,"1,746,940,500","226,933","349,568,900","43,492",애니메이션,전체관람가,독립/예술영화
971,마마,최익환,"씨네주(유),㈜더드림앤드픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,개봉영화,장편,한국,269,"1,533,830,500","222,731","427,065,500","59,189",드라마,12세이상관람가,일반영화
999,한나,조 라이트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-04-14,개봉영화,장편,미국,269,"1,570,759,500","208,912","593,673,000","74,774",액션,15세이상관람가,일반영화
1064,업사이드 다운,후안 디에고 솔라나스,,(주)나이너스엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-11-08,개봉영화,장편,캐나다,309,"1,225,993,645","174,879","498,007,145","67,389",SF,12세이상관람가,일반영화
1082,비밀애,"류훈,권지연","(주)한컴,(주)코난픽쳐스",,(주)시너지하우스 (시너지),2010-03-25,개봉영화,장편,한국,275,"1,227,023,002","167,132","417,641,000","53,814",멜로/로맨스,청소년관람불가,일반영화
1090,무법자,김철한,청강스토리㈜,,(주)넥스트엔터테인먼트월드(NEW),2010-03-18,개봉영화,장편,한국,192,"1,241,201,107","163,334","284,829,000","34,920",드라마,청소년관람불가,일반영화
1123,크레이지,브렉 에이즈너,오버츄어 필름,데이지엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2010-04-08,개봉영화,장편,미국,196,"1,123,006,998","146,377","364,397,000","45,158",공포(호러),청소년관람불가,일반영화
1129,안나 카레니나,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-03-21,개봉영화,장편,미국,248,"986,727,000","143,947","530,093,000","74,226",드라마,15세이상관람가,일반영화
1135,가시,김태균,"(주)캠프비,(주)뱅가드스튜디오",,(주)인벤트스톤,2014-04-10,개봉영화,장편,한국,356,"1,094,017,000","141,956","295,827,600","36,552",멜로/로맨스,청소년관람불가,일반영화
1273,워 호스,스티븐 스필버그,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-02-09,개봉영화,장편,미국,229,"734,302,500","102,195","261,101,500","35,001",전쟁,12세이상관람가,일반영화
1285,라스트 미션,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-03-14,개봉영화,장편,미국,472,"819,899,889","99,127","297,597,839","35,865",드라마,15세이상관람가,일반영화
1292,맥베스,저스틴 커젤,,판씨네마(주),판씨네마(주),2015-12-03,개봉영화,장편,영국,141,"744,966,853","98,161","390,696,453","49,594",드라마,15세이상관람가,독립/예술영화
1328,마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,개봉영화,장편,미국,164,"662,161,500","91,143","224,271,500","29,260",공포(호러),15세이상관람가,일반영화
1332,완벽한 파트너,박헌수,"(주)영화사참,락시픽쳐스",,타임스토리그룹(주),2011-11-17,개봉영화,장편,한국,166,"676,141,000","89,526","187,492,000","23,729",코미디,청소년관람불가,독립/예술영화
1474,돌이킬 수 없는,박수영,(주)재크필름,,㈜케이디미디어,2010-11-04,개봉영화,장편,한국,205,"472,974,485","65,414","116,550,500","15,060",미스터리,15세이상관람가,일반영화
1558,대지진,펑샤오강,"당산시 정부,차이나필름그룹,후아이브라더스픽처스",씨제이엔터테인먼트,필라멘트픽쳐스,2010-11-04,개봉영화,장편,중국,90,"379,043,639","55,000","119,095,000","16,777",드라마,전체관람가,일반영화
1564,살인소설,스콧 데릭슨,,(주)영화사폴,씨너스엔터테인먼트(주),2012-11-15,개봉영화,장편,미국,186,"394,724,176","54,239","164,418,159","21,572",미스터리,청소년관람불가,일반영화
1585,너의 췌장을 먹고 싶어,우시지마 신이치로,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2018-11-15,개봉영화,장편,일본,319,"408,562,605","52,161","142,430,905","16,738",애니메이션,12세이상관람가,독립/예술영화
1614,마음이 외치고 싶어해,나가이 타츠유키,,(주)머스트씨무비릴리징컴퍼니,스튜디오 프로그레시브 인큐베이터,2016-03-30,개봉영화,장편,일본,122,"405,746,600","49,813","137,297,800","16,598",애니메이션,12세이상관람가,독립/예술영화
1616,살인소설,김진묵,"(주)페퍼민트앤컴퍼니,리드미컬그린(주)",,"(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",2018-04-25,개봉영화,장편,한국,434,"392,591,200","49,682","110,034,500","13,655",스릴러,15세이상관람가,독립/예술영화
1696,고백,나카시마 테츠야,,(주)미로비젼,(주)미로비젼,2011-03-31,개봉영화,장편,일본,36,"337,747,500","43,127","221,624,500","27,659",드라마,청소년관람불가,독립/예술영화
1745,트릭,이창열,엘씨오픽쳐스,,"(주)스톰픽쳐스코리아,(주)이수C&E",2016-07-13,개봉영화,장편,한국,390,"297,315,300","38,155","81,827,800","10,355",스릴러,15세이상관람가,일반영화
1759,사이드 이펙트,스티븐 소더버그,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2013-07-11,개봉영화,장편,미국,172,"258,658,000","37,134","107,991,000","15,206",스릴러,청소년관람불가,일반영화
1787,엘르,폴 버호벤,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-06-15,개봉영화,장편,프랑스,56,"276,952,100","35,122","167,650,500","20,740",드라마,청소년관람불가,독립/예술영화
1817,마스터,폴 토마스 앤더슨,,(주)누리픽쳐스,(주)영화사 진진,2013-07-11,개봉영화,장편,미국,38,"256,118,300","33,505","200,422,300","25,404",드라마,청소년관람불가,독립/예술영화
1885,에브리데이,마이클 수지,,그린나래미디어(주),"그린나래미디어(주),(주)홈초이스",2018-10-11,개봉영화,장편,미국,128,"260,023,700","29,283","82,296,200","9,027",멜로/로맨스,12세이상관람가,독립/예술영화
1932,콜드 워,파벨 파블리코브스키,,찬란,아이 엠,2019-02-07,개봉영화,장편,폴란드,65,"220,207,873","26,701","139,897,073","16,109",멜로/로맨스,15세이상관람가,독립/예술영화
1988,더 데이,백창주,(주)씨제스엔터테인먼트,,롯데쇼핑㈜롯데시네마,2012-02-23,개봉영화,장편,한국,30,"192,005,000","24,163","97,169,500","11,890",다큐멘터리,전체관람가,일반영화
2033,히어로,김봉한,"(주)필마픽쳐스 ,(주)프리윌컴퍼니",,(주)마인스 엔터테인먼트,2013-10-08,개봉영화,장편,한국,179,"148,940,000","22,617","36,886,500","5,643",가족,전체관람가,일반영화
2104,파괴자들,올리버 스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-10-31,개봉영화,장편,미국,171,"141,102,068","19,716","52,745,568","7,088",액션,청소년관람불가,일반영화
2107,라이프,안톤 코르빈,,(주)프레인글로벌,"(주)영화사오원,(주)프레인글로벌",2015-10-15,개봉영화,장편,캐나다,99,"155,668,185","19,596","100,206,485","12,230",드라마,15세이상관람가,독립/예술영화
2176,스톤,조세래,(주)샤인픽쳐스,,씨너스엔터테인먼트(주),2014-06-12,개봉영화,장편,한국,148,"118,376,400","17,631","70,659,500","11,105",액션,15세이상관람가,독립/예술영화
2208,프라이버시,존 크로울리,,(주)스마일이엔티,(주)인벤트스톤,2014-03-20,개봉영화,장편,영국,165,"122,664,928","16,936","55,304,928","7,557",범죄,15세이상관람가,일반영화
2240,스파이 게임,마이클 앱티드,,와이즈앤와이드엔터테인먼트(주),메가박스중앙(주)플러스엠,2017-09-14,개봉영화,장편,영국,203,"122,840,172","15,986","55,357,172","6,990",액션,15세이상관람가,일반영화
2253,토일렛,오기가미 나오코,,(주)스폰지이엔티,(주)영화사 조제,2010-12-02,개봉영화,장편,일본,7,"116,321,072","15,576","108,633,000","14,355",드라마,전체관람가,독립/예술영화
2264,스톤,존 커랜,,(유)조이앤컨텐츠그룹,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-10-06,개봉영화,장편,미국,77,"116,295,000","15,241","51,204,000","6,305",드라마,청소년관람불가,일반영화
2290,이민자,제임스 그레이,,주식회사 씨네룩스,주식회사 씨네룩스,2015-09-03,개봉영화,장편,미국,36,"115,862,023","14,807","69,433,323","8,385",드라마,15세이상관람가,독립/예술영화
2459,더 게스트,미겔 앙헬 비바스,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2018-09-12,개봉영화,장편,스페인,228,"101,103,647","11,517","32,138,997","3,615",공포(호러),청소년관람불가,독립/예술영화
2546,일대일,김기덕,(주)김기덕 필름,,(주)김기덕 필름,2014-05-22,개봉영화,장편,한국,53,"78,745,100","10,141","37,147,500","4,706",드라마,청소년관람불가,독립/예술영화
2567,정글북,타파스 차크라바르티,,그린나래미디어(주),(주)팝엔터테인먼트,2017-05-18,개봉영화,장편,인도,120,"74,842,400","9,891","18,137,500","2,356",애니메이션,전체관람가,독립/예술영화
2618,드래곤 기사단,"앵겔 이즈퀴에르도,리카르도 라몬",,(주)우성엔터테인먼트,(주)영화사 빅,2014-05-01,개봉영화,장편,스페인,91,"64,333,400","9,138","17,387,900","2,226",애니메이션,전체관람가,일반영화
2673,돈 조반니,카를로스 사우라,,라인트리엔터테인먼트,(주)디지탈케이아이엔,2010-10-14,개봉영화,장편,이탈리아,16,"60,646,870","8,392","46,842,400","6,281",드라마,15세이상관람가,독립/예술영화
2690,홈,김종우,"(주)아토,큐브이미지웍스",,(주)리틀빅픽쳐스,2018-05-30,개봉영화,장편,한국,123,"59,594,222","8,243","19,591,200","2,394",가족,전체관람가,독립/예술영화
2718,데스 위시,일라이 로스,,주식회사 더쿱,"주식회사 더쿱,TCO(주)더콘텐츠온",2018-10-11,개봉영화,장편,미국,97,"61,732,250","7,915","24,507,900","3,364",액션,15세이상관람가,일반영화
2723,마녀,유영선,주식회사 흰수염고래영화사,,CGV아트하우스,2014-09-11,개봉영화,장편,한국,61,"63,500,100","7,880","26,140,700","3,135",공포(호러),청소년관람불가,독립/예술영화
2798,마담 보바리,소피 바르트,,(주)누리픽쳐스,(주)영화사 진진,2015-12-10,개봉영화,장편,미국,20,"54,323,900","6,974","42,584,000","5,213",드라마,청소년관람불가,독립/예술영화
2837,에브리데이,마이클 윈터바텀,,(주)영화사 진진,(주)영화사 진진,2013-06-13,개봉영화,장편,영국,16,"45,674,000","6,626","34,257,000","4,756",드라마,청소년관람불가,독립/예술영화
2849,기적의 피아노,"임성구,김은주",(주)보고싶은영화사,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-03,개봉영화,장편,한국,74,"46,156,800","6,514","22,829,700","3,130",다큐멘터리,전체관람가,독립/예술영화
2930,마음이 외치고 싶어해,쿠마자와 나오토,,(주)스마일이엔티,(주)스마일이엔티,2017-12-07,개봉영화,장편,일본,99,"43,060,100","5,849","23,618,300","3,044",드라마,12세이상관람가,독립/예술영화
2953,파우스트,알렉산더 소쿠로프,,㈜영화사 백두대간,㈜영화사 백두대간,2012-12-06,개봉영화,장편,러시아,2,"44,724,000","5,706","40,454,000","4,886",드라마,청소년관람불가,독립/예술영화
3006,엘르,마우고시카 슈모프스카,,와이즈앤와이드엔터테인먼트(주),(주)미디어데이,2012-10-11,개봉영화,장편,프랑스,12,"40,807,000","5,307","34,509,000","4,269",드라마,청소년관람불가,독립/예술영화
3081,빈센트,랄프 후에트너,,㈜세종커뮤니케이션스,시네마 뉴원,2013-06-27,개봉영화,장편,독일,8,"35,136,500","4,960","27,330,000","3,778",드라마,15세이상관람가,독립/예술영화
3251,업사이드 다운,김동빈,프로젝트 투게더,,(주)시네마달,2016-04-14,개봉영화,장편,한국,22,"26,397,000","3,833","14,536,000","1,985",다큐멘터리,12세이상관람가,독립/예술영화
3273,아웃사이더,브라이언 A 밀러,,(주)미디어데이,(주)미디어데이,2015-06-21,개봉영화,장편,미국,2,"18,555,000","3,711","18,555,000","3,711",액션,15세이상관람가,일반영화
3314,라 트라비아타,후고 데 아나,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-07-06,개봉영화,장편,독일,2,"92,164,500","3,515","81,167,500","3,112",공연,전체관람가,독립/예술영화
3370,카르멘,카스퍼 홀텐,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-07-01,개봉영화,장편,독일,11,"78,836,500","3,259","48,517,500","1,985",공연,15세이상관람가,일반영화
3390,카르멘,프란체스코 로시,,(주)라이크 콘텐츠,(주)라이크 콘텐츠,2015-12-07,개봉영화,장편,프랑스,1,"6,497,000","3,118","6,112,000","3,041",드라마,12세이상관람가,독립/예술영화
3407,이민자,크리스 웨이츠,,판씨네마(주),판씨네마(주),2012-04-12,개봉영화,장편,미국,16,"20,901,700","3,063","15,858,700","2,200",드라마,12세이상관람가,독립/예술영화
3416,정글,그렉 맥린,,㈜코리아스크린,㈜코리아스크린,2018-05-31,개봉영화,장편,호주,45,"24,788,300","3,043","6,257,700",772,액션,15세이상관람가,독립/예술영화
3421,아이다,그레이엄 빅,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2012-12-22,개봉영화,장편,독일,2,"82,736,000","3,028","78,993,500","2,899",공연,전체관람가,독립/예술영화
3453,바비,에밀리오 에스테베즈,더 웨인스테인 컴퍼니,(주)케이알씨지,주식회사 마운틴픽쳐스,2010-02-04,개봉영화,장편,미국,17,"22,454,545","2,867","18,138,000","2,265",드라마,15세이상관람가,독립/예술영화
3458,아이다,,,(주)인스터피씨엠,(주)인스터피씨엠,2019-02-02,개봉영화,장편,미국,6,"69,960,000","2,854","50,853,000","2,086",공연,전체관람가,일반영화
3487,콜드 워,"써니 럭,렁록만",,그린나래미디어(주),(주)앤드플러스미디어웍스,2013-09-05,개봉영화,장편,홍콩,18,"16,668,500","2,749","12,176,000","1,988",범죄,15세이상관람가,독립/예술영화
3559,투란도트,마르코 아르투로 마렐리,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2016-02-07,개봉영화,장편,독일,10,"64,412,500","2,455","50,322,000","1,929",공연,12세이상관람가,일반영화
3571,마담 보바리,앤 폰테인,,㈜세종커뮤니케이션스,에이원엔터테인먼트,2015-04-02,개봉영화,장편,프랑스,32,"17,605,500","2,375","9,522,500","1,229",멜로/로맨스,청소년관람불가,독립/예술영화
3578,바비,이상우,(주)엘앤유인디컴미디어,,(주)미로비젼,2012-10-25,개봉영화,장편,한국,24,"17,341,500","2,355","12,327,500","1,633",드라마,청소년관람불가,독립/예술영화
3581,피가로의 결혼,,,(주)인스터피씨엠,(주)인스터피씨엠,2015-02-21,개봉영화,장편,미국,3,"49,607,500","2,350","42,678,000","1,927",공연,전체관람가,일반영화
3597,아이다,올리비에 피,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-07-01,개봉영화,장편,프랑스,12,"35,327,500","2,303","17,246,500","1,016",공연,전체관람가,독립/예술영화
3605,투란도트,,,(주)인스터피씨엠,(주)인스터피씨엠,2016-07-02,개봉영화,장편,미국,6,"54,543,000","2,272","38,146,500","1,578",공연,전체관람가,일반영화
3611,한나,안드레아 팔라오로,,영화사 마농(주),영화사 마농(주),2018-07-26,개봉영화,장편,이탈리아,16,"16,323,200","2,253","9,972,900","1,232",드라마,15세이상관람가,독립/예술영화
3630,마농,케네스 맥밀란,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-10-21,개봉영화,장편,프랑스,12,"28,690,500","2,177","22,456,500","1,803",공연,전체관람가,독립/예술영화
3639,관계,김명서,"브릿지웍스 엔터테인먼트(주),주식회사 루믹스미디어",,브릿지웍스 엔터테인먼트(주),2014-08-27,개봉영화,장편,한국,19,"10,652,000","2,146","6,813,000","1,298",멜로/로맨스,청소년관람불가,일반영화
3660,러브,가스파 노에,,판씨네마(주),판씨네마(주),2017-11-02,개봉영화,장편,프랑스,27,"16,473,500","2,108","12,383,000","1,561",멜로/로맨스,청소년관람불가,독립/예술영화
3671,오텔로,정명훈,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-12-21,개봉영화,장편,독일,7,"53,287,500","2,072","44,644,000","1,746",공연,전체관람가,독립/예술영화
3677,하루,마키하라 료타로,,(주)도키엔터테인먼트,(주)미디어데이,2013-11-28,개봉영화,장편,일본,11,"11,305,500","2,063","9,756,500","1,756",애니메이션,12세이상관람가,독립/예술영화
3692,토스카,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-05-05,개봉영화,장편,미국,11,"48,023,000","2,035","30,318,000","1,306",공연,12세이상관람가,일반영화
3706,아이다,시린 네샤트,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-04-04,개봉영화,장편,독일,11,"46,091,500","2,002","26,401,500","1,088",공연,전체관람가,일반영화
3715,하루,레자 미르카리미,,알토미디어(주),THE 픽쳐스,2015-08-06,개봉영화,장편,이란,13,"13,649,500","1,990","6,279,000",744,드라마,15세이상관람가,독립/예술영화
3752,라 보엠,,,(주)인스터피씨엠,(주)인스터피씨엠,2014-08-02,개봉영화,장편,미국,2,"29,297,000","1,899","28,005,000","1,820",공연,전체관람가,일반영화
3753,사랑의 묘약,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-07-07,개봉영화,장편,미국,11,"42,864,000","1,895","28,060,500","1,262",공연,전체관람가,일반영화
3762,돈 지오반니,,,(주)인스터피씨엠,(주)인스터피씨엠,2017-01-07,개봉영화,장편,미국,6,"44,095,500","1,870","33,505,500","1,410",공연,전체관람가,일반영화
3770,행맨,조니 마틴,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2019-01-23,개봉영화,장편,미국,63,"14,972,890","1,860","7,980,600",965,미스터리,15세이상관람가,일반영화
3772,일 트로바토레,마르코 아르밀리아토,,(주)인스터피씨엠,(주)인스터피씨엠,2016-01-16,개봉영화,장편,미국,6,"45,900,000","1,854","37,269,000","1,514",공연,전체관람가,일반영화
3782,라보엠,로버트 돈헴,,(주)케빈앤컴퍼니,(주)쓰리캣프로덕션,2014-12-20,개봉영화,장편,독일,5,"28,246,000","1,835","24,246,000","1,587",멜로/로맨스,전체관람가,일반영화
3783,악질경찰,베르너 헤어조그,,(유)조이앤컨텐츠그룹,팝엔터테인먼트,2011-11-10,개봉영화,장편,미국,25,"13,370,500","1,835","3,797,000",487,스릴러,청소년관람불가,일반영화
3823,라 트라비아타,,,(주)인스터피씨엠,(주)인스터피씨엠,2017-08-05,개봉영화,장편,미국,11,"40,719,500","1,768","27,107,000","1,176",공연,12세이상관람가,일반영화
3850,투란도트,스테파노 포다,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-08-26,개봉영화,장편,독일,11,"41,584,500","1,696","27,576,000","1,132",공연,15세이상관람가,일반영화
3899,카르멘,안드리스 넬슨스,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2012-11-10,개봉영화,장편,독일,2,"42,541,000","1,624","39,129,000","1,424",공연,전체관람가,독립/예술영화
3918,히어로,김홍익,(주)마루인큐브,,주식회사 마운틴픽쳐스,2010-11-18,개봉영화,장편,한국,2,"13,661,494","1,589","13,447,000","1,564",드라마,15세이상관람가,일반영화
3944,해결사,니쉬칸트 카마트,,(주)소나무픽쳐스,(주)소나무픽쳐스,2013-01-24,개봉영화,장편,인도,1,"3,287,000","1,551",0,0,액션,청소년관람불가,독립/예술영화
3953,신데렐라,,,(주)인스터피씨엠,(주)인스터피씨엠,2018-12-01,개봉영화,장편,미국,11,"35,695,000","1,544","23,298,000","1,013",공연,전체관람가,일반영화
3992,돈 지오반니,마이클 그랑디지,,(주)인스터피씨엠,(주)인스터피씨엠,2012-02-29,개봉영화,장편,미국,1,"42,470,000","1,491","40,482,500","1,423",공연,전체관람가,일반영화
3998,아이다,소냐 프리셀,,(주)인스터피씨엠,(주)인스터피씨엠,2013-08-03,개봉영화,장편,미국,2,"37,860,500","1,486","33,396,500","1,325",공연,전체관람가,일반영화
4009,슈퍼스타,임진순,스토리룸,,주식회사 마운틴픽쳐스,2012-06-07,개봉영화,장편,한국,18,"10,413,400","1,463","7,802,400","1,060",코미디,15세이상관람가,독립/예술영화
4019,라 트라비아타,프랑코 제피렐리,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-03-04,개봉영화,장편,독일,11,"20,928,000","1,444","11,737,000",775,공연,12세이상관람가,일반영화
4020,라 트라비아타,,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2017-01-22,개봉영화,장편,독일,9,"35,543,500","1,442","26,549,500","1,078",공연,12세이상관람가,일반영화
4025,카르멘,"매튜 다이아몬드,파블로 헤라스 카사도",,(주)인스터피씨엠,(주)인스터피씨엠,2015-04-11,개봉영화,장편,미국,3,"36,335,500","1,438","28,830,000","1,123",공연,12세이상관람가,일반영화
4034,사랑의 묘약,바틀렛 쉐어,,(주)인스터피씨엠,(주)인스터피씨엠,2013-03-09,개봉영화,장편,미국,3,"37,944,500","1,408","35,896,500","1,337",공연,전체관람가,일반영화
4054,세비야의 이발사,다미아노 미키엘레토,,에스디시코리아 주식회사,에스디시코리아 주식회사,2015-02-04,개봉영화,장편,프랑스,11,"26,190,500","1,379","12,061,000",547,공연,전체관람가,독립/예술영화
