순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
4556,오텔로,크리스티안 틸레만,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2017-04-16,개봉영화,장편,독일,7,"15,388,500",641,"10,840,500",453,공연,12세이상관람가,일반영화
4563,가면무도회,안드레아 바티스토니,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2015-09-12,개봉영화,장편,독일,6,"15,340,500",629,"9,845,000",410,공연,12세이상관람가,일반영화
4629,고백,정영배,"이글루픽쳐스,(주)오이필름",,더그레이트 컴퍼니,2015-08-20,개봉영화,장편,한국,20,"2,847,000",568,"364,000",68,미스터리,청소년관람불가,독립/예술영화
4649,루살카,오토 솅크,,(주)인스터피씨엠,(주)인스터피씨엠,2014-05-24,개봉영화,장편,미국,2,"12,406,500",553,"11,464,500",517,공연,전체관람가,일반영화
4655,잠자는 숲속의 미녀,카트린느 브레이야,,오드,오드,2012-05-03,개봉영화,장편,프랑스,4,"4,386,000",550,"3,949,000",483,드라마,청소년관람불가,독립/예술영화
4712,불륜의 맛,이세일,(주)케이알씨지,,(주)케이알씨지,2014-03-27,개봉영화,장편,한국,5,"1,950,000",494,"540,000",108,멜로/로맨스,청소년관람불가,일반영화
4721,로미오와 줄리엣,케네스 맥밀란,,(주)인스터피씨엠,(주)인스터피씨엠,2013-09-26,개봉영화,장편,영국,7,"8,491,000",488,"6,510,000",372,공연,전체관람가,일반영화
4755,마농,로랑 펠리,,(주)인스터피씨엠,(주)인스터피씨엠,2012-10-04,개봉영화,장편,미국,3,"12,530,000",457,"11,885,000",435,공연,전체관람가,일반영화
4776,메모리즈,"오토모 가츠히로,오카무라 텐사이,모리모토 코지",,에이원엔터테인먼트,에이원엔터테인먼트,2012-12-13,개봉영화,장편,일본,6,"3,313,000",438,"1,482,500",192,애니메이션,15세이상관람가,독립/예술영화
4881,미드나잇 선,스콧 레베레히트,,팁노트(주),어뮤즈,2013-08-08,개봉영화,장편,미국,4,"1,870,000",376,"25,000",3,공포(호러),청소년관람불가,독립/예술영화
4983,아웃사이더,김문옥,스마일픽쳐스,,(주)영화사 조은,2014-07-24,개봉영화,장편,한국,1,"600,000",300,"600,000",300,드라마,청소년관람불가,독립/예술영화
4989,홈 스위트 홈,문시현,,,이미지팩토리,2012-03-15,개봉영화,장편,한국,5,"2,109,500",297,"1,512,500",196,드라마,청소년관람불가,일반영화
5007,더 데이,더글러스 아니오코스키,,(주)고맙습니다 사랑합니다,(주)고맙습니다 사랑합니다,2013-04-22,개봉영화,장편,미국,4,"1,430,000",286,"755,000",151,드라마,청소년관람불가,일반영화
5075,잠자는 숲속의 미녀,마리우스 프티파,,(주)인스터피씨엠,(주)인스터피씨엠,2013-10-17,개봉영화,장편,영국,6,"4,319,000",250,"2,974,000",170,공연,전체관람가,일반영화
5078,딥,조성규,"(주)영화공장,하준사",,(주)드림팩트엔터테인먼트,2018-09-06,개봉영화,장편,한국,9,"1,796,500",248,"1,468,100",181,멜로/로맨스,15세이상관람가,독립/예술영화
5146,그녀의 섹스 테크닉,이재남,(주)케이알씨지,,(주)케이알씨지,2016-07-20,개봉영화,장편,한국,20,"1,200,000",231,"541,000",108,멜로/로맨스,청소년관람불가,일반영화
5177,가시,김중현,한국영화아카데미,,씨제이이앤엠(주),2012-03-08,개봉영화,장편,한국,1,"1,696,500",216,"1,524,000",191,드라마,15세이상관람가,독립/예술영화
5251,아수라,사토 케이이치,,얼리버드,얼리버드,2013-05-22,개봉영화,장편,일본,1,"955,000",191,"955,000",191,애니메이션,청소년관람불가,일반영화
5322,내 아내의 친구,엠씨짱,(주)케이알씨지,,(주)케이알씨지,2016-09-08,개봉영화,장편,한국,20,"922,000",177,"541,000",108,멜로/로맨스,청소년관람불가,일반영화
5331,일대일,정미나,(주)그라운드미디어,,(주)그라운드미디어,2017-07-31,개봉영화,장편,한국,20,"932,000",177,"604,000",122,멜로/로맨스,청소년관람불가,일반영화
5335,누드모델,오상원,판타스틱룸미디어,,판타스틱룸미디어,2017-06-01,개봉영화,장편,한국,20,"891,000",176,"618,000",124,멜로/로맨스,청소년관람불가,일반영화
5399,어린 아내,화니,(주)케이알씨지,,(주)케이알씨지,2016-11-18,개봉영화,장편,한국,20,"836,000",166,"544,000",109,멜로/로맨스,청소년관람불가,일반영화
