순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
,121212더콘서트포샌디릴리프,마이클 뎀시,,,,,,,,,,,,,,,,12-12-12 the Concert for Sandy Relief,2012.0,0.0,4.0,right_only
,12년만의재회달래된장국,"김도형,윤재원",,,,,,,,,,,,,,,,,2014.0,0.0,6.0,right_only
,12디재스터,스티븐 R. 먼로,,,,,,,,,,,,,,,,12 Disasters,2012.0,0.0,10.0,right_only
,12명의배심원,니키타 미할코프,,,,,,,,,,,,,,,,12,2007.0,0.0,22.0,right_only
,12명의성난사람들,시드니 루멧,,,,,,,,,,,,,,,,12 Angry Men,1957.0,0.0,600.0,right_only
,12월17일,유지 하리우,,,,,,,,,,,,,,,,DECEMBER 17,2016.0,0.0,1.0,right_only
,12월의열대야,이태곤,,,,,,,,,,,,,,,,,2004.0,0.0,0.0,right_only
,136,"장진,이영재,송일곤",,,,,,,,,,,,,,,,,2004.0,0.0,67.0,right_only
,13분만에마스터하는홍콩영화사,프룻 첸,,,,,,,,,,,,,,,,The Yellow Slipper,2010.0,0.0,2.0,right_only
,13시간,조나단 글렌데닝,,,,,,,,,,,,,,,,13Hrs,2010.0,0.0,9.0,right_only
,13썸머스언더워터,빅토리아 시만스카,,,,,,,,,,,,,,,,13 Summers Underwater,2017.0,0.0,0.0,right_only
,13인의만찬,루 안토니오,,,,,,,,,,,,,,,,Thirteen At Dinner,1985.0,1.0,4.0,right_only
,13인의만찬,헨리 에드워즈,,,,,,,,,,,,,,,,Lord Edgware Dies,1934.0,0.0,3.0,right_only
,13인의무사,장철,,,,,,,,,,,,,,,,The Heroric Ones,1970.0,0.0,50.0,right_only
,13인의자객,쿠도 에이이치,,,,,,,,,,,,,,,,13 Assassins,1963.0,0.0,2.0,right_only
,1492콜럼버스,리들리 스콧,,,,,,,,,,,,,,,,1492: The Conquest Of Paradise,1992.0,0.0,0.0,right_only
,14번째아가씨,하니 아부 아사드,,,,,,,,,,,,,,,,Het Veertiende Kippetje,1998.0,0.0,0.0,right_only
,14세의어머니,"사토 토야,사쿠마 노리요시",,,,,,,,,,,,,,,,Mother at Fourteen,2006.0,0.0,9.0,right_only
,14호수용소완전통제구역,마크 비제,,,,,,,,,,,,,,,,Camp 14: Total Control Zone,2012.0,0.0,320.0,right_only
,150밀리그램스,엠마누엘 베르코,,,,,,,,,,,,,,,,150 Milligrams,2016.0,0.0,3.0,right_only
,15이어스앤원데이,그라시아 퀘레헤타,,,,,,,,,,,,,,,,15 Years and One Day,2013.0,0.0,3.0,right_only
,16선라이즈,피에르-엠마누엘 르 고프,,,,,,,,,,,,,,,,16 Sunrises,2019.0,0.0,0.0,right_only
,17걸스,"델핀 콜린,무리엘 콜린",,,,,,,,,,,,,,,,17 Girls,2011.0,0.0,5.0,right_only
,17세의풍경소년은무엇을보았는가,와카마츠 코지,,,,,,,,,,,,,,,,Cycling Chronicle: Landscapes The Boy Saw,2004.0,0.0,1.0,right_only
6500.0,1812나폴레옹대전투,올레그 페센코,,(주)케이알씨지,(주)케이알씨지,2017-04-06,개봉영화,장편,러시아,5,"190,000",50,"50,000",10,어드벤처,12세이상관람가,독립/예술영화,,,,,left_only
,1812나폴레옹대전투,올렉 페센코,,,,,,,,,,,,,,,,1812,2012.0,0.0,5.0,right_only
,18년동안한번도안해본여자,타마라 올슨,,,,,,,,,,,,,,,,18 Year Old Virgin,2009.0,0.0,7.0,right_only
,18블랙걸스보이스에이지스118후해브어라이브드앳더싱귤래리티앤드얼더스스피리추얼머신스x인앤에디션오브97콰드릴리언,터렌스 낸시,,,,,,,,,,,,,,,,18 Black Girls / Boys Ages 1-18 Who Have Arrived at the Singularity and Are Thus Spiritual Machines,2016.0,0.0,0.0,right_only
,18투라이프시즌1,,,,,,,,,,,,,,,,,18 to Life,2010.0,0.0,0.0,right_only
,19,장용우,,,,,,,,,,,,,,,,Nineteen,2009.0,0.0,0.0,right_only
,1917붉은10월,카트린 로테,,,,,,,,,,,,,,,,1917 - The Real October,2017.0,0.0,1.0,right_only
,1923제노사이드93년간의침묵,오충공,,,,,,,,,,,,,,,,,2017.0,0.0,2.0,right_only
,1944년7월산미니아토마을,"파올로 타비아니,비토리오 타비아니",,,,,,,,,,,,,,,,"San Miniato, Luglio '44",1954.0,0.0,0.0,right_only
,1944워히어로,다비드 아보우카야,,,,,,,,,,,,,,,,THE CROSSROADS,2019.0,0.0,0.0,right_only
,194어스칠드런오브더캠프,사메르 살라메,,,,,,,,,,,,,,,,"194. Us, Children of the Camp",2017.0,0.0,0.0,right_only
,195루이스,샤넬 아폰테 피어슨,,,,,,,,,,,,,,,,195 Lewis,2016.0,0.0,0.0,right_only
,1968터널래츠비하인드더씬스,트레버 맥위니,,,,,,,,,,,,,,,,1968: Tunnel Rats - Behind The Scenes,2009.0,0.0,2.0,right_only
,1975키스,뤽 메드,,,,,,,,,,,,,,,,1975 (Kiss),2015.0,0.0,3.0,right_only
,1982말비나스전쟁,로드리고 패르난데즈 엥글러,,,,,,,,,,,,,,,,Soldado Argentino,2016.0,0.0,4.0,right_only
,1984우리는합창한다,이우열,,,,,,,,,,,,,,,,,2000.0,0.0,0.0,right_only
,1987,리카르도 트로지,,,,,,,,,,,,,,,,,2014.0,0.0,6.0,right_only
,1996루시앤더콥시스인더풀,"마르코스 미글리아바카,나우엘 라오라",,,,,,,,,,,,,,,,1996 Lucy and the Corpses in the Pool,2017.0,0.0,0.0,right_only
5267.0,19nineteen,장용우,(주)삼화네트웍스,,씨제이엔터테인먼트,2009-11-12,개봉영화,장편,한국,69,"1,487,352",186,"1,464,000",183,드라마,12세이상관람가,일반영화,,,,,left_only
10432.0,19금섹스비디오무삭제감독판,박범수,(주)케이알씨지,,(주)케이알씨지,2017-04-17,개봉영화,장편,한국,1,"3,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화,,,,,left_only
5485.0,19금섹스의늪무삭특별판,이재남,(주)케이알씨지,,(주)케이알씨지,2016-11-15,개봉영화,장편,한국,20,"746,000",149,"544,000",109,멜로/로맨스,청소년관람불가,일반영화,,,,,left_only
7468.0,19금특별한정사무삭제특별판,닥터 필,(주)케이알씨지,,(주)케이알씨지,2017-03-07,개봉영화,장편,한국,1,"20,000",4,0,0,멜로/로맨스,청소년관람불가,일반영화,,,,,left_only
,19마지오2012미란돌라mo울티마프로이에치오네,세바스티아노 카체포,,,,,,,,,,,,,,,,"19 Maggio 2012, Mirandola (MO). Ultima proiezione",2017.0,0.0,0.0,right_only
,1마일투유,래프 틸댄,,,,,,,,,,,,,,,,1 Mile to You,2017.0,0.0,23.0,right_only
,1베를린할렘,"울프람 조버스,로다 램버트",,,,,,,,,,,,,,,,1 Berlin-Harlem,1974.0,0.0,0.0,right_only
,1시리얼킬러,스탠리 융,,,,,,,,,,,,,,,,#1 Serial Killer,2013.0,0.0,3.0,right_only
,1파이터,강민건,,,,,,,,,,,,,,,,,2011.0,0.0,5.0,right_only
,1플러스1플러스1심퍼시포더디케이,일포 포졸라,,,,,,,,,,,,,,,,1 Plus 1 Plus 1 - Sympathy for the Decay,2012.0,0.0,0.0,right_only
,2001스팍스인더다크,페드로 곤잘레스 베르무데스,,,,,,,,,,,,,,,,2001 Sparks in the dark,2018.0,0.0,0.0,right_only
,2002바운티헌터,,,,,,,,,,,,,,,,,2002: The Rape Of Eden,1994.0,0.0,0.0,right_only
,2004인간시장,"홍성창,손정현",,,,,,,,,,,,,,,,,2004.0,1.0,0.0,right_only
2180.0,2008서태지심포니위드톨가카쉬프로열필하모닉,서태지,(주)서태지컴퍼니,,,2010-01-22,개봉영화,장편,한국,1,"138,299,384","17,563","129,241,000","16,446",공연,전체관람가,독립/예술영화,,,,,left_only
,2009gdragon콘서트shinealight,정치영,,,,,,,,,,,,,,,,G-DRAGON LIVE CONDERT SHINE A LIGHT,2009.0,0.0,235.0,right_only
,2009로스트메모리즈,이시명,,,,,,,,,,,,,,,,2009 - Lost Memories,2001.0,1.0,0.0,right_only
,2009빅뱅콘서트bigshow,,,,,,,,,,,,,,,,,,2009.0,0.0,10.0,right_only
,2010년서울,김민철,,,,,,,,,,,,,,,,"Anywhere in Seoul, 2010",2011.0,0.0,4.0,right_only
,2010빅뱅라이브콘서트bigshow,손석,,,,,,,,,,,,,,,,,2010.0,0.0,0.0,right_only
