영화명,개봉전 평점,총댓글수(개봉전),댓글모음,﻿순번,영진위 영화명,제작사_x,수입사_x,배급사_x,개봉일_x,영화유형_x,영화형태_x,국적_x,전국스크린수_x,전국매출액_x,전국관객수_x,서울매출액_x,서울관객수_x,장르_x,등급_x,영화구분_x,감독,순번,제작사_y,수입사_y,배급사_y,개봉일_y,영화유형_y,영화형태_y,국적_y,전국스크린수_y,전국매출액_y,전국관객수_y,서울매출액_y,서울관객수_y,장르_y,등급_y,영화구분_y,원작도서유무,네이버기대지수,_merge
산하고인,,,,,,,,,,,,,,,,,,,,,지아장커,4098.0,,(주)에스와이코마드,(주)에스와이코마드,2016-03-10,개봉영화,장편,중국,26,"9,468,000","1,306","6,503,500",849,드라마,12세이상관람가,독립/예술영화,0.0,106.0,right_only
아이디에이,,,,,,,,,,,,,,,,,,,,,크리스티안e크리스티안센,4102.0,,(주)영화사폴,(주)마인스 엔터테인먼트,2012-11-22,개봉영화,장편,덴마크,7,"5,193,000","1,293","3,465,000","1,053",액션,청소년관람불가,독립/예술영화,0.0,0.0,right_only
극장판푸른강철의아르페지오아르스노바카덴차,,,,,,,,,,,,,,,,,,,,,키시세이지,4104.0,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2016-08-04,개봉영화,장편,일본,26,"9,482,500","1,282","5,071,000",679,애니메이션,12세이상관람가,독립/예술영화,0.0,159.0,right_only
엣지오브타임,,,,,,,,,,,,,,,,,,,,,칼베사이,4105.0,,스크린조이,스크린조이,2014-08-14,개봉영화,장편,캐나다,20,"6,185,000","1,281","1,330,000",266,스릴러,청소년관람불가,일반영화,0.0,18.0,right_only
푸른수염,,,,,,,,,,,,,,,,,,,,,카트린느브레이야,4118.0,플라치필름,오드,오드,2010-04-01,개봉영화,장편,프랑스,4,"9,475,773","1,253","7,294,000",891,판타지,15세이상관람가,독립/예술영화,0.0,0.0,right_only
할리우드폭로전,,,,,,,,,,,,,,,,,,,,,베리레빈슨,4120.0,,(주)수키픽쳐스,(주)수키픽쳐스,2014-02-06,개봉영화,장편,미국,8,"6,250,000","1,250","6,250,000","1,250",코미디,15세이상관람가,일반영화,0.0,57.0,right_only
맥베스,,,,,,,,,,,,,,,,,,,,,에이드리언노블,4130.0,,(주)인스터피씨엠,(주)인스터피씨엠,2015-01-24,개봉영화,장편,미국,3,"26,683,000","1,236","24,175,500","1,122",공연,전체관람가,일반영화,0.0,8.0,right_only
이고르와학의여행,,,,,,,,,,,,,,,,,,,,,예프게니루만,4138.0,,㈜영화사 백두대간,㈜영화사 백두대간,2013-08-01,개봉영화,장편,이스라엘,3,"8,093,000","1,224","6,139,000",793,가족,전체관람가,독립/예술영화,0.0,0.0,right_only
모터웨이분노의질주,,,,,,,,,,,,,,,,,,,,,정보서,4142.0,,(주)미디어로그,(주)미디어로그,2012-12-06,개봉영화,장편,홍콩,1,"6,149,000","1,220","6,149,000","1,220",액션,15세이상관람가,독립/예술영화,0.0,0.0,right_only
파업전야,,,,,,,,,,,,,,,,,,,,,이은기이재구장동홍장윤현,4153.0,장산곶매,,(주)리틀빅픽쳐스,2019-05-01,개봉영화,장편,한국,21,"8,666,680","1,203","4,074,080",514,드라마,12세이상관람가,일반영화,0.0,0.0,right_only
아틀란틱머신,,,,,,,,,,,,,,,,,,,,,자레드콘,4159.0,,스크린조이,스크린조이,2014-10-07,개봉영화,장편,미국,20,"5,261,000","1,191","1,115,000",283,SF,12세이상관람가,일반영화,0.0,135.0,right_only
쿠미코더트레저헌터,,,,,,,,,,,,,,,,,,,,,데이비드젤너,4169.0,,"(주)영화공간,(주)가보차",홀리가든,2016-01-14,개봉영화,장편,미국,12,"8,796,200","1,168","5,141,200",596,드라마,12세이상관람가,독립/예술영화,0.0,134.0,right_only
사사건건,,,,,,,,,,,,,,,,,,,,,이정욱조성희김영근홍성훈,4172.0,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2010-01-21,개봉영화,옴니버스,한국,6,"7,688,718","1,161","5,605,000",814,드라마,청소년관람불가,독립/예술영화,0.0,0.0,right_only
산타모니카인러브,,,,,,,,,,,,,,,,,,,,,롭라이너,4174.0,,(주)더블앤조이픽쳐스,(주)더블앤조이픽쳐스,2018-05-31,개봉영화,장편,미국,18,"8,977,600","1,159","4,232,500",535,멜로/로맨스,12세이상관람가,독립/예술영화,0.0,43.0,right_only
토스카,,,,,,,,,,,,,,,,,,,,,미햐엘슈투르밍어,4176.0,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2018-11-18,개봉영화,장편,독일,11,"27,144,000","1,152","17,632,500",765,공연,12세이상관람가,일반영화,0.0,0.0,right_only
안드레아세니에,,,,,,,,,,,,,,,,,,,,,울프시르머,4179.0,,(주)케빈앤컴퍼니,(주)케빈앤컴퍼니,2013-01-19,개봉영화,장편,독일,2,"30,794,000","1,143","29,588,000","1,102",공연,전체관람가,독립/예술영화,0.0,0.0,right_only
대무생,,,,,,,,,,,,,,,,,,,,,고효송,4186.0,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-02-27,개봉영화,장편,홍콩,5,"2,630,000","1,132","1,800,000",900,액션,15세이상관람가,일반영화,0.0,0.0,right_only
낭만파남편의편지,,,,,,,,,,,,,,,,,,,,,최낙권,4188.0,(주)리얼곤시네마또,,(주)퍼스트런,2013-09-12,개봉영화,장편,한국,9,"7,654,000","1,130","4,167,000",597,드라마,청소년관람불가,독립/예술영화,1.0,0.0,right_only
징기스칸2014,,,,,,,,,,,,,,,,,,,,,안드레이프로시킨,4198.0,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-03-20,개봉영화,장편,러시아,5,"2,285,000","1,120","1,800,000",900,드라마,청소년관람불가,독립/예술영화,0.0,5.0,right_only
닷핵퀀텀숨겨진몬스터의비밀,,,,,,,,,,,,,,,,,,,,,타치바나마사키,4234.0,,(유)조이앤컨텐츠그룹,팝엔터테인먼트,2011-08-18,개봉영화,장편,일본,35,"6,960,000","1,067","2,353,000",324,애니메이션,전체관람가,일반영화,0.0,0.0,right_only
알라마르,,,,,,,,,,,,,,,,,,,,,페드로곤잘레즈루비오,4237.0,,(재)전주국제영화제조직위원회,(주)영화사 진진,2011-05-19,개봉영화,장편,멕시코,4,"7,971,000","1,065","6,471,000",806,드라마,전체관람가,독립/예술영화,0.0,0.0,right_only
신선조낭인,,,,,,,,,,,,,,,,,,,,,츠지히로유키,4244.0,,퍼즐컷,퍼즐컷,2014-10-29,개봉영화,장편,일본,20,"4,751,000","1,057","1,085,000",253,액션,15세이상관람가,일반영화,0.0,8.0,right_only
어느비행사에대한추억,,,,,,,,,,,,,,,,,,,,,시시도준,4246.0,,에이원엔터테인먼트,에이원엔터테인먼트,2013-05-16,개봉영화,장편,일본,13,"7,564,000","1,056","6,286,000",857,애니메이션,12세이상관람가,독립/예술영화,0.0,0.0,right_only
파리의도둑고양이,,,,,,,,,,,,,,,,,,,,,장루프펠리시올리알랭가뇰,4249.0,,(주)피터팬픽쳐스,라인트리엔터테인먼트,2012-04-26,개봉영화,장편,프랑스,4,"7,863,500","1,056","6,249,000",836,애니메이션,12세이상관람가,독립/예술영화,0.0,0.0,right_only
크레이지호스,,,,,,,,,,,,,,,,,,,,,프레데릭와이즈만,4247.0,,알토미디어(주),골든타이드픽처스(주),2012-04-19,개봉영화,장편,미국,4,"8,117,000","1,056","7,003,000",847,다큐멘터리,청소년관람불가,독립/예술영화,0.0,0.0,right_only
아야의밤엔사랑이필요해,,,,,,,,,,,,,,,,,,,,,마거리트어바우트클레망우브르리,4252.0,,(주)영화사 진진,(주)영화사 진진,2014-08-14,개봉영화,장편,프랑스,11,"8,298,100","1,050","6,470,600",772,애니메이션,15세이상관람가,독립/예술영화,0.0,131.0,right_only
워호스,,,,,,,,,,,,,,,,,,,,,톰모리스마리안느앨리엇,4255.0,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,2014-11-22,개봉영화,장편,영국,17,"12,351,000","1,047","8,624,000",736,공연,전체관람가,일반영화,0.0,40.0,right_only
일트로바토레,,,,,,,,,,,,,,,,,,,,,다니엘바렌보임,4272.0,,(주)케빈앤컴퍼니,(주)쓰리캣프로덕션,2014-09-20,개봉영화,장편,독일,6,"16,438,000","1,022","12,042,000",759,공연,전체관람가,일반영화,0.0,32.0,right_only
거미의땅,,,,,,,,,,,,,,,,,,,,,박경태김동령,4275.0,(주)시네마달,,(주)시네마달,2016-01-14,개봉영화,장편,한국,6,"6,445,100","1,017","5,651,000",887,다큐멘터리,15세이상관람가,독립/예술영화,0.0,80.0,right_only
메콩호텔,,,,,,,,,,,,,,,,,,,,,아핏차퐁위라세타쿤,4288.0,,,(재)영화의전당,2014-02-13,개봉영화,장편,영국,13,"6,458,000","1,001","3,730,000",502,드라마,15세이상관람가,독립/예술영화,0.0,0.0,right_only
