영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화,2013.0,1,0.0,both
어벤져스인피니티워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,"2,553","99,919,006,769",11211880,"28,631,269,069","3,008,819",액션,12세이상관람가,일반영화,2018.0,1,44404.0,both
어벤져스에이지오브울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,"1,843","88,582,586,366",10494499,"25,001,906,266","2,823,388",액션,12세이상관람가,일반영화,2015.0,1,96176.0,both
겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,"1,010","82,461,504,400",10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화,2013.0,0,0.0,both
인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,"1,342","82,274,331,200",10273803,"25,500,349,600","3,079,036",SF,12세이상관람가,일반영화,2014.0,0,11513.0,both
보헤미안랩소디,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-10-31,개봉영화,장편,미국,936,"86,265,444,785",9946132,"27,841,171,195","3,096,109",드라마,12세이상관람가,일반영화,2018.0,0,1119.0,both
검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264",9699092,"18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화,2015.0,0,46891.0,both
관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,"1,190","66,005,451,500",9134586,"19,311,179,000","2,561,744",사극,15세이상관람가,일반영화,2013.0,0,0.0,both
설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스(유)",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,"1,128","64,016,480,000",8914845,"18,975,866,000","2,550,437",SF,15세이상관람가,일반영화,2013.0,1,0.0,both
캡틴아메리카시빌워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,"1,991","72,672,111,827",8677249,"21,248,121,149","2,400,069",액션,12세이상관람가,일반영화,2016.0,1,55504.0,both
수상한그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,692,"62,696,639,249",8656397,"15,358,810,049","2,042,110",드라마,15세이상관람가,일반영화,2014.0,0,0.0,both
해적바다로간산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,"66,240,631,706",8646758,"14,906,345,006","1,868,694",어드벤처,12세이상관람가,일반영화,2014.0,0,4941.0,both
아바타,제임스 카메론,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17,개봉영화,장편,미국,912,"84,657,811,417",8435381,"27,478,227,000","2,545,090",SF,12세이상관람가,독립/예술영화,2009.0,0,0.0,both
공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976,"63,781,731,326",7817446,"14,672,808,676","1,744,624",액션,15세이상관람가,일반영화,2016.0,0,9879.0,both
트랜스포머3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,개봉영화,장편,미국,"1,409","74,841,350,500",7784807,"21,746,223,000","2,143,018",액션,12세이상관람가,일반영화,2011.0,0,0.0,both
히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,"1,009","60,173,583,015",7759473,"13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화,2015.0,0,13693.0,both
미션임파서블고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,개봉영화,장편,미국,"1,038","57,795,846,000",7575899,"18,719,283,500","2,347,164",액션,15세이상관람가,일반영화,2011.0,0,0.0,both
밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,"1,444","61,158,644,831",7487545,"15,436,298,021","1,827,424",액션,15세이상관람가,일반영화,2016.0,0,13996.0,both
최종병기활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,"55,808,856,500",7466976,"16,139,541,000","2,059,847",사극,15세이상관람가,일반영화,2011.0,0,0.0,both
써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-05-04,개봉영화,장편,한국,472,"53,773,170,600",7328820,"15,401,904,600","2,004,824",드라마,15세이상관람가,일반영화,2011.0,0,0.0,both
스파이더맨홈커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965","59,120,173,820",7257973,"16,753,103,620","1,969,107",액션,12세이상관람가,일반영화,2017.0,0,15235.0,both
1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299","58,165,581,145",7231638,"14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화,2017.0,0,13877.0,both
베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,894,"52,354,931,637",7166199,"16,070,379,637","2,118,794",액션,15세이상관람가,일반영화,2012.0,0,0.0,both
마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865",7150541,"14,520,299,965","1,731,940",액션,15세이상관람가,일반영화,2016.0,0,18671.0,both
터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,"1,105","57,510,324,417",7118592,"14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화,2016.0,1,14152.0,both
어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967,"59,557,853,478",7074867,"19,280,107,897","2,147,619",액션,12세이상관람가,일반영화,2012.0,0,0.0,both
