영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,제작년도,원작도서유무,네이버기대지수,API구분
미스트리스아메리카,노아 바움백,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-12-10,개봉영화,장편,미국,26,"64,720,200",7887,"54,978,200","6,482",코미디,15세이상관람가,일반영화,2015.0,0,116.0,both
타이머,잭 쉐퍼,,프리비젼엔터테인먼트,프리비젼엔터테인먼트,2011-03-10,개봉영화,장편,미국,40,"59,880,000",7882,"31,778,500","4,036",코미디,15세이상관람가,독립/예술영화,2009.0,0,0.0,both
마녀,유영선,주식회사 흰수염고래영화사,,CGV아트하우스,2014-09-11,개봉영화,장편,한국,61,"63,500,100",7880,"26,140,700","3,135",공포(호러),청소년관람불가,독립/예술영화,2013.0,0,275.0,both
무서운꿈,조나단 홉킨스,,(주)영화사선,(주)영화사선,2017-12-07,개봉영화,장편,미국,120,"61,726,700",7869,"21,774,400","2,652",미스터리,15세이상관람가,독립/예술영화,2017.0,0,539.0,both
쥬랜더리턴즈,벤 스틸러,,(주)다자인소프트,(주)스톰픽쳐스코리아,2016-08-31,개봉영화,장편,미국,178,"58,151,000",7853,"24,467,500","3,187",코미디,15세이상관람가,독립/예술영화,2016.0,0,869.0,both
생로랑,베르트랑 보넬로,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2015-04-16,개봉영화,장편,프랑스,51,"62,730,900",7839,"44,542,100","5,420",드라마,청소년관람불가,독립/예술영화,2014.0,0,721.0,both
올아이즈온미,베니 붐,,(주)아이아스플러스,(주)영화사 그램,2017-08-24,개봉영화,장편,미국,159,"63,365,400",7836,"34,055,300","4,061",드라마,15세이상관람가,독립/예술영화,2017.0,0,536.0,both
내친구의소원,브루스 웹,,프리비젼엔터테인먼트,프리비젼엔터테인먼트,2011-01-06,개봉영화,장편,영국,22,"58,905,000",7818,"35,887,500","4,633",코미디,15세이상관람가,독립/예술영화,2009.0,0,0.0,both
라자르선생님,필리프 팔라도,,오드,프리비젼엔터테인먼트,2013-05-09,개봉영화,장편,캐나다,52,"52,975,000",7810,"24,906,500","3,414",코미디,12세이상관람가,독립/예술영화,2011.0,0,0.0,both
나는고양이로소이다,조은성,엠앤씨에프,,(주)리틀빅픽쳐스,2017-06-08,개봉영화,장편,한국,41,"62,715,200",7809,"31,941,000","3,716",다큐멘터리,전체관람가,독립/예술영화,2017.0,0,1131.0,both
나는고양이로소이다,조은성,엠앤씨에프,,(주)리틀빅픽쳐스,2017-06-08,개봉영화,장편,한국,41,"62,715,200",7809,"31,941,000","3,716",다큐멘터리,전체관람가,독립/예술영화,2017.0,0,1131.0,both
로렐,피터 솔레트,,(주)레인보우팩토리,(주)엣나인필름,2016-07-07,개봉영화,장편,미국,62,"58,808,400",7809,"41,021,700","5,164",드라마,15세이상관람가,독립/예술영화,2015.0,0,564.0,both
투건스,발타자르 코루마쿠르,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-07,개봉영화,장편,미국,58,"49,731,500",7806,"16,061,500","2,505",액션,청소년관람불가,일반영화,2013.0,0,0.0,both
극장판뚝딱뚝딱밥아저씨메가머신의역습,스튜어트 에반스,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2018-04-19,개봉영화,장편,영국,90,"55,820,500",7803,"18,262,000","2,400",애니메이션,전체관람가,일반영화,2017.0,0,18.0,both
청춘의증언,제임스 켄트,,판씨네마(주),판씨네마(주),2015-04-09,개봉영화,장편,영국,86,"58,406,700",7791,"27,201,200","3,556",드라마,12세이상관람가,독립/예술영화,2014.0,1,395.0,both
북오브러브,설효로,,(주)퍼스트런,"롯데쇼핑㈜롯데엔터테인먼트,(주)퍼스트런",2016-11-30,개봉영화,장편,중국,96,"58,152,000",7763,"23,817,500","3,105",멜로/로맨스,15세이상관람가,독립/예술영화,2016.0,0,472.0,both
최악의이웃과사랑에빠지는방법,클로비스 코르니악,,"(주)라온콘텐츠앤미디어,(주)킥백",와이드 릴리즈(주),2016-04-07,개봉영화,장편,프랑스,121,"60,963,300",7750,"26,402,500","3,267",멜로/로맨스,12세이상관람가,독립/예술영화,2015.0,0,321.0,both
클래스,로랑 캉테,"Haut et Court,까날 플러스,센터 내셔널 드 라 시네마토그라피",(주)영화사 진진,(주)영화사 진진,2010-04-01,개봉영화,장편,프랑스,7,"56,393,399",7743,"52,193,000","7,081",드라마,12세이상관람가,독립/예술영화,2008.0,0,0.0,both
폭스파이어,로랑 캉테,,그린나래미디어(주),그린나래미디어(주),2013-08-22,개봉영화,장편,프랑스,30,"56,081,000",7730,"41,875,000","5,583",드라마,15세이상관람가,독립/예술영화,2012.0,1,0.0,both
더기프트,조엘 에저튼,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-11-05,개봉영화,장편,호주,116,"59,383,748",7729,"20,878,948","2,644",미스터리,15세이상관람가,일반영화,2015.0,0,303.0,both
다이노소어아일랜드,매트 드럼몬드,,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트",(주)더블앤조이픽쳐스,2017-07-19,개봉영화,장편,호주,120,"56,946,800",7728,"13,891,000","1,830",어드벤처,전체관람가,일반영화,2014.0,0,251.0,both
좀비스쿨,김석정,(주)피터팬픽쳐스,,(주)박수엔터테인먼트,2014-09-25,개봉영화,장편,한국,54,"62,432,000",7721,"25,750,500","3,082",공포(호러),청소년관람불가,독립/예술영화,2014.0,0,838.0,both
나비효과레버레이션,세스 그로스먼,,(주)케이알씨지,퍼즐엔터테인먼트,2011-03-10,개봉영화,장편,미국,30,"60,330,000",7667,"21,180,500","2,577",드라마,청소년관람불가,일반영화,2009.0,0,0.0,both
당신을기다리는시간,피에로 메시나,,찬란,찬란,2016-01-28,개봉영화,장편,이탈리아,31,"54,831,100",7660,"34,747,700","4,614",드라마,15세이상관람가,독립/예술영화,2015.0,0,311.0,both
뱀파이어아카데미,마크 워터스,,(주)누리픽쳐스,(주)누리픽쳐스,2015-04-09,개봉영화,장편,미국,50,"43,600,500",7649,"22,549,000","3,983",액션,15세이상관람가,일반영화,2014.0,0,243.0,both
맨오브마스크,알베르 뒤퐁텔,,미디어소프트,(주)라이크 콘텐츠,2018-04-12,개봉영화,장편,프랑스,56,"60,543,100",7613,"42,036,800","5,144",드라마,12세이상관람가,독립/예술영화,2017.0,0,45.0,both
물숨,고희영,영화사 숨비,,(주)영화사 진진,2016-09-29,개봉영화,장편,한국,51,"56,658,500",7610,"31,778,300","4,037",다큐멘터리,전체관람가,독립/예술영화,2016.0,0,556.0,both
코멧,샘 에스마일,,(주)우성엔터테인먼트,(주)지어소프트,2015-03-25,개봉영화,장편,미국,121,"57,135,511",7597,"25,817,311","3,337",판타지,15세이상관람가,독립/예술영화,2014.0,0,303.0,both
붕붕달려라깜이,"우테 폰 뮌쇼폴,잔도르 예세",,(주)블룸즈베리리소시스리미티드,예지림엔터테인먼트,2016-03-24,개봉영화,장편,독일,174,"53,398,100",7556,"14,004,700","1,749",애니메이션,전체관람가,독립/예술영화,2015.0,0,75.0,both
위대한계시,마가레테 폰 트로타,,주식회사 풍경소리,프리비젼엔터테인먼트,2011-11-24,개봉영화,장편,독일,17,"48,775,500",7535,"28,649,000","4,229",드라마,전체관람가,독립/예술영화,2009.0,0,0.0,both
언덕길의아폴론,미키 타카히로,,(주)엔케이컨텐츠,(주)디스테이션,2018-08-29,개봉영화,장편,일본,69,"61,827,100",7506,"32,020,300","3,872",드라마,전체관람가,독립/예술영화,2018.0,0,180.0,both
환상속의그대,강진아,크라켄,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2013-05-16,개봉영화,장편,한국,32,"53,202,700",7482,"37,380,700","5,194",멜로/로맨스,청소년관람불가,독립/예술영화,2013.0,0,0.0,both
올드보이,스파이크 리,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-01-16,개봉영화,장편,미국,109,"56,281,683",7471,"28,830,183","3,777",액션,청소년관람불가,일반영화,2013.0,0,0.0,both
풀잎들,홍상수,(주)영화제작전원사,,"(주)콘텐츠판다,(주)영화제작전원사 ,무브먼트",2018-10-25,개봉영화,장편,한국,54,"60,320,250",7443,"46,498,950","5,493",드라마,15세이상관람가,독립/예술영화,2017.0,0,162.0,both
문영,김소연,,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2017-01-12,개봉영화,장편,한국,23,"56,619,900",7411,"45,327,400","5,730",드라마,15세이상관람가,독립/예술영화,2015.0,0,1057.0,both
패트와매트뚝딱뚝딱대소동,마렉 베네슈,,그린나래미디어(주),(주)팝엔터테인먼트,2017-03-16,개봉영화,장편,체코,116,"52,792,500",7383,"17,057,500","2,236",애니메이션,전체관람가,독립/예술영화,2016.0,0,891.0,both
베스와베라,파스칼 로지에,,(주)나이너스엔터테인먼트,(주)팝엔터테인먼트,2019-01-24,개봉영화,장편,프랑스,167,"63,085,210",7369,"26,379,030","2,982",공포(호러),15세이상관람가,독립/예술영화,2018.0,0,81.0,both
청담보살,김진영,(주)전망좋은 영화사,,(주)넥스트엔터테인먼트월드(NEW),2009-11-11,개봉영화,장편,한국,404,"35,907,774",7345,"20,744,000","4,308",멜로/로맨스,15세이상관람가,일반영화,2009.0,0,0.0,both
꾸루꾸루와친구들무지개나무의비밀,문제대,(주)팡고엔터토이먼트,,(주)팝엔터테인먼트,2015-11-19,개봉영화,장편,한국,103,"51,367,500",7345,"9,269,000","1,152",애니메이션,전체관람가,일반영화,2015.0,0,43.0,both
제네시스세상의소금,"빔 벤더스,훌리아노 리베이로 살가두",,㈜영화사 백두대간,㈜영화사 백두대간,2015-02-26,개봉영화,장편,프랑스,29,"57,732,130",7336,"40,345,130","4,788",다큐멘터리,12세이상관람가,독립/예술영화,2014.0,0,272.0,both
그남자가아내에게,유키사다 이사오,"덴츠,도에이",(주)케이앤엔터테인먼트,(주)영화사 진진,2010-08-26,개봉영화,장편,일본,4,"54,081,603",7331,"52,110,500","7,040",드라마,12세이상관람가,독립/예술영화,2009.0,1,0.0,both
신을믿습니까,존 건,,(유)영화사 화수분,와이드 릴리즈(주),2016-04-21,개봉영화,장편,미국,81,"51,956,900",7317,"25,007,400","3,457",드라마,12세이상관람가,일반영화,2015.0,0,336.0,both
라스트탱고,게르만 크랄,,(주)미로스페이스,(주)미로스페이스,2015-12-31,개봉영화,장편,독일,19,"57,730,100",7317,"43,016,800","5,033",다큐멘터리,12세이상관람가,독립/예술영화,2015.0,0,153.0,both
올드마린보이,진모영,영화사 님아 주식회사,,CGV아트하우스,2017-11-02,개봉영화,장편,한국,58,"54,456,800",7312,"24,920,100","3,036",다큐멘터리,전체관람가,독립/예술영화,2017.0,0,221.0,both
크리스마스스타,데비 아이싯,미러볼 필름,판씨네마(주),판씨네마(주),2010-12-23,개봉영화,장편,영국,16,"53,142,269",7309,"28,239,000","3,778",코미디,전체관람가,독립/예술영화,2009.0,0,0.0,both
뷰티풀데이즈,윤재호,(주)페퍼민트앤컴퍼니,,"(주)콘텐츠판다,(주)스마일이엔티",2018-11-21,개봉영화,장편,한국,142,"54,299,550",7283,"24,463,650","3,104",드라마,12세이상관람가,독립/예술영화,2017.0,0,250.0,both
나루토질풍전극장판블러드프리즌,무라타 마사히코,,애니박스 엔터테인먼트,씨너스엔터테인먼트(주),2012-02-23,개봉영화,장편,일본,43,"48,171,000",7273,"10,215,000","1,512",애니메이션,12세이상관람가,일반영화,2011.0,0,0.0,both
돼지같은여자,장문일,(주)아이필름홀딩스,,CGV아트하우스,2015-09-10,개봉영화,장편,한국,91,"52,852,400",7238,"19,531,000","2,356",멜로/로맨스,15세이상관람가,독립/예술영화,2015.0,0,1013.0,both
버니드롭,사부,,㈜크래커픽쳐스,(주)팝엔터테인먼트,2012-05-10,개봉영화,장편,일본,52,"54,038,000",7179,"30,832,000","3,959",드라마,전체관람가,독립/예술영화,2011.0,1,0.0,both
타마코러브스토리,야마다 나오코,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2014-09-25,개봉영화,장편,일본,27,"59,418,000",7162,"36,296,500","4,100",애니메이션,전체관람가,독립/예술영화,2014.0,0,1062.0,both
마리크뢰이어,빌 어거스트,,(주)퍼스트런,(주)퍼스트런,2013-06-13,개봉영화,장편,덴마크,15,"51,351,000",7135,"41,714,000","5,678",드라마,청소년관람불가,독립/예술영화,2012.0,0,0.0,both
땡스포쉐어링,스튜어트 블럼버그,,(주)소나무픽쳐스,(주)소나무픽쳐스,2014-07-17,개봉영화,장편,미국,25,"44,022,000",7132,"23,212,500","4,350",코미디,청소년관람불가,일반영화,2012.0,0,100.0,both
크리피일가족연쇄실종사건,구로사와 기요시,,(주)영화사 진진,(주)영화사 진진,2016-08-18,개봉영화,장편,일본,73,"57,037,900",7130,"28,324,000","3,454",공포(호러),청소년관람불가,독립/예술영화,2016.0,1,1013.0,both
서른아홉열아홉,데이빗 모로,,판씨네마(주),판씨네마(주),2014-09-18,개봉영화,장편,프랑스,39,"50,895,400",7127,"27,976,000","3,937",멜로/로맨스,청소년관람불가,독립/예술영화,2013.0,0,366.0,both
피파리의특별한로맨스,레베카 밀러,,(주)케이알씨지,주식회사 마운틴픽쳐스,2011-02-01,개봉영화,장편,미국,17,"56,799,500",7116,"28,241,000","3,411",드라마,청소년관람불가,독립/예술영화,2009.0,1,0.0,both
신고질라,"안노 히데아키,히구치 신지",,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-03-08,개봉영화,장편,일본,156,"53,050,000",7098,"24,609,000","3,183",SF,12세이상관람가,일반영화,2016.0,0,759.0,both
씨오브트리스,구스 반 산트,,(주)영화사오원,(주)영화사오원,2018-05-10,개봉영화,장편,미국,98,"58,561,600",7087,"29,724,000","3,376",드라마,12세이상관람가,독립/예술영화,2015.0,0,113.0,both
고양이케디,제다 토룬,,찬란,찬란,2017-09-21,개봉영화,장편,미국,32,"55,759,600",7082,"40,878,200","5,023",다큐멘터리,전체관람가,독립/예술영화,2017.0,0,962.0,both
레이디수잔,위트 스틸먼,,(주)수키픽쳐스,(주)팝엔터테인먼트,2016-11-24,개봉영화,장편,영국,88,"51,727,800",7071,"30,128,500","3,965",드라마,12세이상관람가,독립/예술영화,2016.0,1,249.0,both
카페느와르,정성일,영화사북극성(주),,(주)스폰지이엔티,2010-12-30,개봉영화,장편,한국,17,"54,925,506",7070,"48,609,900","6,232",드라마,청소년관람불가,독립/예술영화,2009.0,0,0.0,both
어른도감,김인선,한국영화아카데미,,(주)영화사 진진,2018-08-23,개봉영화,장편,한국,58,"53,539,700",7056,"33,621,500","3,998",코미디,12세이상관람가,독립/예술영화,2017.0,0,95.0,both
앱솔루틀리애니씽,테리 존스,,(주)모멘텀엔터테인먼트,(주)모멘텀엔터테인먼트,2016-01-14,개봉영화,장편,미국,90,"54,445,800",7052,"24,306,500","3,057",코미디,12세이상관람가,일반영화,2015.0,0,1378.0,both
소년소녀그리고바다,가와세 나오미,,(주)티캐스트콘텐츠허브,(주)티캐스트콘텐츠허브,2014-10-09,개봉영화,장편,일본,21,"52,638,500",7004,"39,750,500","4,933",멜로/로맨스,청소년관람불가,독립/예술영화,2014.0,0,258.0,both
뉴니스,드레이크 도리머스,,(주)영화사 진진,(주)영화사 진진,2017-11-09,개봉영화,장편,미국,93,"55,870,500",6989,"36,437,300","4,441",멜로/로맨스,청소년관람불가,독립/예술영화,2017.0,0,555.0,both
선라이즈선셋,비탈리 만스키,버르토브 스튜디오,프리비젼엔터테인먼트,프리비젼엔터테인먼트,2010-05-13,개봉영화,장편,러시아,15,"52,185,331",6989,"29,695,500","3,805",다큐멘터리,전체관람가,독립/예술영화,2008.0,0,0.0,both
화피2,우얼샨,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2014-01-29,개봉영화,장편,중국,3,"5,970,000",6980,"2,000,000",400,액션,15세이상관람가,일반영화,2012.0,0,0.0,both
초행,김대환,봄내필름,,(주)인디플러그,2017-12-07,개봉영화,장편,한국,47,"53,353,900",6980,"36,560,600","4,451",드라마,12세이상관람가,독립/예술영화,2017.0,0,241.0,both
마담보바리,소피 바르트,,(주)누리픽쳐스,(주)영화사 진진,2015-12-10,개봉영화,장편,미국,20,"54,323,900",6974,"42,584,000","5,213",드라마,청소년관람불가,독립/예술영화,2014.0,0,436.0,both
스타로부터스무발자국,모건 네빌,,(주)영화사 조제,(주)나이너스엔터테인먼트,2014-05-15,개봉영화,장편,미국,21,"55,110,400",6970,"42,387,700","5,174",다큐멘터리,15세이상관람가,독립/예술영화,2013.0,0,89.0,both
땐뽀걸즈,이승문,KBS,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2017-09-27,개봉영화,장편,한국,16,"55,402,300",6957,"44,293,800","5,095",다큐멘터리,12세이상관람가,독립/예술영화,2016.0,0,241.0,both
더딥블루씨,테렌스 데이비스,,주식회사 풍경소리,(주)팝엔터테인먼트,2015-04-23,개봉영화,장편,영국,38,"53,600,961",6956,"31,258,961","3,882",멜로/로맨스,청소년관람불가,독립/예술영화,2012.0,0,309.0,both
헝거,스티브 맥퀸,,오드,오드,2016-03-17,개봉영화,장편,영국,56,"51,600,100",6927,"34,193,900","4,434",드라마,청소년관람불가,독립/예술영화,2008.0,0,207.0,both
특수경찰스페셜ID,곽요량,,(유)조이앤컨텐츠그룹,(주)팝엔터테인먼트,2014-01-09,개봉영화,장편,중국,16,"9,218,500",6920,"912,000",114,액션,15세이상관람가,일반영화,2013.0,0,0.0,both
강변호텔,홍상수,(주)영화제작전원사,,"(주)콘텐츠판다,(주)영화제작전원사 ,무브먼트",2019-03-27,개봉영화,장편,한국,49,"54,146,036",6912,"37,851,386","4,575",드라마,15세이상관람가,독립/예술영화,2018.0,0,125.0,both
그녀가떠날때,페오 알라다그,,(주)스마일이엔티,(주)스크린와이즈,2012-03-29,개봉영화,장편,독일,13,"52,898,500",6909,"45,270,500","5,696",드라마,15세이상관람가,독립/예술영화,2010.0,0,0.0,both
레이드2,가렛 에반스,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2014-07-09,개봉영화,장편,인도네시아,48,"53,724,400",6885,"25,932,700","3,164",액션,청소년관람불가,일반영화,2014.0,0,369.0,both
우리가족라멘샵,에릭 쿠,,(주)컴퍼니엘,(주)팝엔터테인먼트,2019-01-31,개봉영화,장편,싱가포르,44,"59,780,350",6869,"43,899,550","4,880",드라마,12세이상관람가,독립/예술영화,2018.0,0,80.0,both
퀼,최양일,2004 Quill Film Partners,(주)동아수출공사,주식회사 마운틴픽쳐스,2010-01-07,개봉영화,장편,일본,14,"52,551,581",6860,"31,800,000","4,113",드라마,전체관람가,독립/예술영화,2004.0,0,0.0,both
파커,테일러 핵포드,,㈜코리아스크린,와이드 릴리즈(주),2014-12-10,개봉영화,장편,미국,54,"52,015,000",6828,"19,301,000","2,627",범죄,청소년관람불가,일반영화,2013.0,0,227.0,both
고스트헌터얼음몬스터의부활,토비 바우만,,주식회사 루믹스미디어,예지림엔터테인먼트,2016-02-25,개봉영화,장편,독일,58,"48,224,500",6824,"15,055,000","2,001",어드벤처,전체관람가,독립/예술영화,2015.0,0,396.0,both
미하엘콜하스의선택,아르노 데 팔리에르,,(주)영화사 진진,(주)영화사 진진,2014-02-27,개봉영화,장편,프랑스,24,"51,852,200",6822,"37,522,500","4,679",드라마,청소년관람불가,독립/예술영화,2013.0,1,0.0,both
벡,츠츠미 유키히코,니뽄 텔레비전 네트워크,주식회사 마운틴픽쳐스,주식회사 마운틴픽쳐스,2010-11-18,개봉영화,장편,일본,30,"49,184,212",6807,"25,602,000","3,372",드라마,12세이상관람가,독립/예술영화,2010.0,0,0.0,both
2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,개봉영화,장편,미국,789,"47,690,256",6797,"10,680,000","1,483",SF,12세이상관람가,일반영화,2009.0,0,0.0,both
이별까지7일,이시이 유야,,(주)수키픽쳐스,(주)수키픽쳐스,2015-01-15,개봉영화,장편,일본,42,"49,911,406",6788,"31,640,606","4,134",드라마,12세이상관람가,독립/예술영화,2014.0,1,274.0,both
투캅스인파리,다비드 샤혼,,페어팍스인터내셔날(주),노바엔터테인먼트,2015-03-26,개봉영화,장편,프랑스,51,"34,266,000",6786,"16,766,000","3,345",액션,청소년관람불가,일반영화,2012.0,0,17.0,both
나의선택잊혀진가방그못다한이야기,김상철,파이오니아21,,"케이비에스미디어(주),주식회사 마운틴픽쳐스",2011-11-17,개봉영화,장편,한국,14,"45,610,000",6782,"17,123,000","2,559",다큐멘터리,전체관람가,독립/예술영화,2010.0,0,0.0,both
명량회오리바다를향하여,"정세교,김한민",(주)빅스톤픽쳐스,,(주)넥스트엔터테인먼트월드(NEW),2015-05-07,개봉영화,장편,한국,92,"48,376,500",6774,"20,064,500","2,541",다큐멘터리,12세이상관람가,독립/예술영화,2015.0,0,382.0,both
연인과독재자,"로스 아담,로버트 캐넌",,(주)모인그룹,(주)엣나인필름,2016-09-22,개봉영화,장편,영국,76,"45,021,073",6765,"34,934,573","5,246",다큐멘터리,12세이상관람가,독립/예술영화,2016.0,0,300.0,both
시절인연,설효로,,(주)드림웨스트픽쳐스,(주)드림웨스트픽쳐스,2014-01-01,개봉영화,장편,중국,24,"52,344,000",6755,"22,855,500","2,844",멜로/로맨스,12세이상관람가,독립/예술영화,2013.0,0,0.0,both
페니핀처,프레드 카바예,,주식회사 씨네룩스,주식회사 씨네룩스,2017-08-30,개봉영화,장편,프랑스,71,"48,737,508",6737,"23,258,408","3,148",코미디,12세이상관람가,독립/예술영화,2016.0,0,218.0,both
마이원앤온리,리차드 론크레인,,㈜케이디미디어,㈜케이디미디어,2011-05-19,개봉영화,장편,미국,21,"48,993,000",6734,"35,429,000","4,697",코미디,15세이상관람가,일반영화,2009.0,0,0.0,both
무스탕랄리의여름,데니즈 겜즈 에르구벤,,(주)미로스페이스,"(주)미로스페이스,THE 픽쳐스",2016-03-17,개봉영화,장편,프랑스,26,"51,034,600",6726,"43,524,000","5,610",드라마,15세이상관람가,독립/예술영화,2015.0,0,139.0,both
하와이언레시피,사나다 아츠시,,(주)영화사 진진,(주)영화사 진진,2012-07-19,개봉영화,장편,일본,5,"51,469,000",6713,"42,842,000","5,303",드라마,12세이상관람가,독립/예술영화,2009.0,0,0.0,both
마가렛트여사의숨길수없는비밀,자비에 지아놀리,,그린나래미디어(주),그린나래미디어(주),2016-03-17,개봉영화,장편,프랑스,82,"49,340,300",6701,"29,979,800","3,995",드라마,15세이상관람가,독립/예술영화,2015.0,0,325.0,both
인필트레이터잠입자들,브래드 퍼맨,,(주)메인타이틀픽쳐스,(주)리틀빅픽쳐스,2016-10-06,개봉영화,장편,미국,128,"49,829,000",6701,"20,527,000","2,754",범죄,15세이상관람가,독립/예술영화,2016.0,0,84.0,both
델마,요아킴 트리에,,그린나래미디어(주),그린나래미디어(주),2018-08-15,개봉영화,장편,노르웨이,37,"59,854,600",6694,"44,328,900","4,720",멜로/로맨스,15세이상관람가,독립/예술영화,2017.0,0,83.0,both
파이어스톰,원금린,,(주)드림웨스트픽쳐스,(주)인벤트스톤,2014-07-16,개봉영화,장편,중국,82,"51,336,800",6682,"16,628,000","2,053",액션,청소년관람불가,일반영화,2013.0,0,103.0,both
탐엣더팜,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,2014-05-22,개봉영화,장편,캐나다,26,"52,670,000",6668,"41,834,300","5,036",드라마,15세이상관람가,독립/예술영화,2013.0,0,195.0,both
글로리아,세바스찬 렐리오,,판씨네마(주),판씨네마(주),2013-12-05,개봉영화,장편,칠레,13,"49,687,400",6664,"44,382,400","5,727",드라마,청소년관람불가,독립/예술영화,2013.0,0,0.0,both
판타스틱우먼,세바스찬 렐리오,,찬란,아이 엠,2018-04-19,개봉영화,장편,칠레,45,"54,845,600",6651,"39,991,500","4,604",드라마,15세이상관람가,독립/예술영화,2017.0,0,53.0,both
네모난원,김성훈,영화사 랑,,(주)팝엔터테인먼트,2012-12-06,개봉영화,장편,한국,16,"44,276,000",6627,"15,744,000","2,407",드라마,15세이상관람가,독립/예술영화,2012.0,0,0.0,both
에브리데이,마이클 윈터바텀,,(주)영화사 진진,(주)영화사 진진,2013-06-13,개봉영화,장편,영국,16,"45,674,000",6626,"34,257,000","4,756",드라마,청소년관람불가,독립/예술영화,2012.0,0,0.0,both
밤은짧아걸어아가씨야,유아사 마사아키,,(주)미디어캐슬,(주)라이크 콘텐츠,2018-03-29,개봉영화,장편,일본,45,"51,696,700",6618,"38,547,000","4,878",애니메이션,12세이상관람가,독립/예술영화,2017.0,1,306.0,both
환절기,이동은,명필름랩,,(주)리틀빅픽쳐스,2018-02-22,개봉영화,장편,한국,51,"52,955,000",6592,"37,585,000","4,475",드라마,15세이상관람가,독립/예술영화,2018.0,1,764.0,both
사보타지,데이비드 에이어,,(주)메인타이틀픽쳐스,(주)나이너스엔터테인먼트,2014-07-23,개봉영화,장편,미국,70,"50,277,100",6591,"22,902,500","3,012",범죄,청소년관람불가,일반영화,2014.0,0,187.0,both
수영장,오오모리 미카,,(주)스폰지이엔티,(주)영화사 조제,2011-03-31,개봉영화,장편,일본,3,"51,216,500",6587,"49,329,500","6,251",드라마,15세이상관람가,독립/예술영화,2009.0,0,0.0,both
좋아하게되는그순간을고백실행위원회,야나기자와 테츠야,,(주)엔케이컨텐츠,(주)디스테이션,2017-06-22,개봉영화,장편,일본,63,"48,850,000",6573,"22,467,000","2,935",애니메이션,12세이상관람가,일반영화,2016.0,0,926.0,both
비포불가사의한피라미드,이도 엔젤,,(주)시네마리퍼블릭,(주)영화사 빅,2014-09-18,개봉영화,장편,이스라엘,72,"45,170,000",6568,"10,260,000","1,405",애니메이션,전체관람가,일반영화,2014.0,0,41.0,both
아틱,조 페나,,,(주)삼백상회,2019-03-27,개봉영화,장편,아이슬란드,97,"53,567,980",6563,"34,335,700","4,031",드라마,12세이상관람가,독립/예술영화,2017.0,0,93.0,both
더디너,이바노 데 마테오,,감 픽쳐스,(주)판다미디어,2015-07-16,개봉영화,장편,이탈리아,19,"48,040,700",6548,"28,999,800","3,674",드라마,청소년관람불가,독립/예술영화,2014.0,1,165.0,both
카페한사람을기다리다,강금림,,(주)해머픽쳐스,"(주)드림팩트엔터테인먼트,(주)일레븐엔터테인먼트",2017-05-11,개봉영화,장편,대만,107,"52,164,000",6545,"23,988,500","2,913",멜로/로맨스,15세이상관람가,독립/예술영화,2014.0,0,604.0,both
베를린신드롬,케이트 쇼트랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2017-07-06,개봉영화,장편,호주,78,"50,803,800",6529,"22,670,800","2,857",스릴러,청소년관람불가,독립/예술영화,2017.0,0,333.0,both
미스터홈즈,빌 콘돈,,(주)프레인글로벌,(주)프레인글로벌,2016-05-26,개봉영화,장편,영국,58,"50,852,300",6518,"29,843,600","3,757",범죄,12세이상관람가,독립/예술영화,2015.0,1,691.0,both
사랑은소설처럼,제시카 골드버그,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2014-06-12,개봉영화,장편,미국,35,"51,129,800",6513,"28,208,100","3,549",멜로/로맨스,15세이상관람가,독립/예술영화,2012.0,0,186.0,both
어둠의아이들,사카모토 준지,"제네온엔터테인먼트㈜,세딕",㈜씨에이엔,㈜씨에이엔,2010-03-25,개봉영화,장편,일본,4,"41,095,211",6477,"24,419,000","3,358",드라마,청소년관람불가,독립/예술영화,2008.0,0,0.0,both
