순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,원제,제작년도,원작도서유무,네이버기대지수,_merge
4613.0,여자의정사,후안 드라고,,주식회사 풍경소리,주식회사 풍경소리,2014-04-17,개봉영화,장편,미국,5,"2,912,500",575,"1,620,000",324,드라마,청소년관람불가,일반영화,Behaving Badly,2012.0,0.0,13.0,both
9370.0,여자이고싶은새엄마,시온 미키오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-08-10,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화,The incent Chisato Shoda,2016.0,0.0,0.0,both
5495.0,여자전쟁떠도는눈,김동욱,(주)베르디미디어,,TCO(주)더콘텐츠온,2016-08-22,개봉영화,장편,한국,21,"752,000",145,"321,000",64,드라마,청소년관람불가,일반영화,,2015.0,0.0,30.0,both
5003.0,여자전쟁봉천동혈투,권성국,(주)베르디미디어,,TCO(주)더콘텐츠온,2016-07-14,개봉영화,장편,한국,21,"1,534,000",291,"319,000",63,드라마,청소년관람불가,일반영화,,2015.0,0.0,50.0,both
4997.0,여자전쟁비열한거래,노진수,(주)베르디미디어,,TCO(주)더콘텐츠온,2016-06-16,개봉영화,장편,한국,21,"1,544,000",292,"319,000",63,드라마,청소년관람불가,일반영화,,2015.0,0.0,241.0,both
5556.0,여자전쟁여자의이유,송창수,(주)베르디미디어,,TCO(주)더콘텐츠온,2017-01-17,개봉영화,장편,한국,21,"665,000",132,"320,000",65,드라마,청소년관람불가,일반영화,,2015.0,0.0,32.0,both
5536.0,여자전쟁이사온남자,송창수,(주)베르디미디어,,TCO(주)더콘텐츠온,2016-10-17,개봉영화,장편,한국,21,"754,000",135,"320,000",64,드라마,청소년관람불가,일반영화,,2015.0,0.0,21.0,both
5658.0,여자친구,김대성,(주)영화사히트,,(주)영화사히트,2018-02-27,개봉영화,장편,한국,20,"720,000",123,"378,000",67,멜로/로맨스,청소년관람불가,일반영화,,2018.0,0.0,11.0,both
5649.0,여자하숙집,이리단,(주)영화사 사계절,,(주)영화사 사계절,2017-05-11,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화,,2017.0,0.0,57.0,both
5607.0,여자하숙집2,이리단,(주)영화사가을,,(주)영화사가을,2018-03-22,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화,,2018.0,0.0,7.0,both
9371.0,여자화장실의야릇한밀실,나카야마 다이스케,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-02-02,개봉영화,장편,일본,1,"8,000",1,0,0,성인물(에로),청소년관람불가,일반영화,Women toilett,2015.0,0.0,1.0,both
9373.0,여주인과노천탕에서,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-23,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화,Bijin Okami no Nureta Kahanshin,2017.0,0.0,0.0,both
1294.0,여중생a,이경섭,"(주)영화사울림,네이버웹툰 주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,개봉영화,장편,한국,479,"811,686,000","97,849","304,755,500","33,816",드라마,12세이상관람가,일반영화,Student A,2018.0,1.0,2820.0,both
9376.0,여직원그녀의섹스영업,코보,,(주)영진크리에이티브,(주)영진크리에이티브,2018-04-18,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화,Gozikarano Makura Eigyoubu,2016.0,0.0,0.0,both
9379.0,여직원들2대2섹스,이상민,(주)영화사가을,,(주)영화사가을,2018-06-12,개봉영화,장편,한국,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화,,2018.0,0.0,0.0,both
9377.0,여직원들사무실교환섹스,윤채아,에이원 미디어,,에이원 미디어,2017-09-12,개봉영화,장편,한국,1,"2,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화,,2017.0,0.0,15.0,both
5545.0,여직원들직장연애사,명석환,"(주)영화사 사계절,마법사필름",,(주)영화사 사계절,2016-09-22,개봉영화,장편,한국,20,"751,000",134,"316,000",63,멜로/로맨스,청소년관람불가,일반영화,,2016.0,0.0,108.0,both
