■ 영화정보 리스트,,,,,,,,
- 조회일: 2019-06-14,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,
▶ 검색조건 : [  영화명: 전체 감독명: 전체 제작연도: 전체 개봉일자:2010-01-01 ~ 2019-06-09 제작상태: 전체 유형: 전체 장르: 전체 등급: 전체 국적: 전체 인덱싱: 전체 입력비율: 전체 ],,,,,,,,
영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
환상속의 남친정사,Ghost wo Aishita Bijinduma,2017,일본,장편,성인물(에로),개봉,테이 쟈가,
편의점 음란알바,Sexy Part Time Wife at Convenience Store,2017,일본,장편,멜로/로맨스,개봉,나베 아츠시,
육체 단골 미용실,Sex Trial at Beauty Shop 2,2017,일본,장편,성인물(에로),개봉,후지모리 카나,
세탁소 유부녀의 방문,Clean My Shirt & Clean My Cock,2017,일본,장편,멜로/로맨스,개봉,코지마 유키오,
빨간 아가씨-정략결혼,Kindan no Triangle,2017,일본,장편,성인물(에로),개봉,테이 쟈가,
비뇨기과 미인선생,Pretty Urologist 2,2017,일본,장편,성인물(에로),개봉,후지모리 나카오,
몸으로 갚은 택시비,Treat Me Taxi Fare If Fuck Me,2017,일본,장편,멜로/로맨스,개봉,코지마 유키오,
남편이 야근하는 날,Masei no Tsuinzu,2017,일본,장편,성인물(에로),개봉,테이 쟈가,
남편 대신 빚잔치,Hitoduma Shichiya3,2017,일본,장편,성인물(에로),개봉,테이 쟈가,
청년경찰,Midnight Runners,2017,한국,장편,액션,개봉,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)"
블러드 다이아몬드 파이널,Black,2009,프랑스,장편,액션,개봉,피에르 라파그,
지상에서 영원으로,From Here To Eternity ,2014,영국,장편,공연,개봉,"타마라 하베이,닉 모리스",
맥퀸,McQueen,2018,영국,장편,다큐멘터리,개봉,"이안 보노트,피터 에트귀",
해피 댄싱,Finding your feet,2017,영국,장편,드라마,개봉,리차드 론크레인,
너는 여기에 없었다,You Were Never Really Here,2017,"프랑스,미국",장편,"드라마,미스터리,스릴러",개봉,린 램지,
캡틴 샤키,Capt'n sharky,2017,독일,장편,"애니메이션,액션,어드벤처",개봉,허버트 베일란드,
챔피언스,CAMPEONES,2018,스페인,장편,"코미디,드라마",개봉,하비에르 페서,
언더 더 트리,Under the tree,2017,아이슬란드,장편,"코미디,스릴러",개봉,하프슈타인 군나르 지그라쏜,
윌리,Wheely,2018,말레이시아,장편,"애니메이션,어드벤처,코미디",개봉,칼 멘데스,
대관람차,The Goose Goes South,2018,한국,장편,드라마,개봉,"백재호,이희섭",우주레이블
리지,LIzzie,2018,미국,장편,"범죄,드라마,스릴러",개봉,크레이그 맥닐,
캡틴 스터비,Sgt. Stubby: An American Hero,2018,"미국,아일랜드,프랑스,캐나다,영국",장편,"애니메이션,어드벤처,가족,전쟁",개봉,리처드 라니,
필름스타 인 리버풀,Film Stars Don't Die in Liverpool,2017,영국,장편,"드라마,멜로/로맨스",개봉,폴 맥기건,
더 파티,The Party,2017,영국,장편,"코미디,드라마",개봉,샐리 포터,
"사랑, 스무살",Almost Friends,2018,미국,장편,"멜로/로맨스,코미디",개봉,제이크 골드버거,
초이스,The Choice,2016,미국,장편,"멜로/로맨스,드라마",개봉,로스 캐츠,
창간호,The First Issue,2018,한국,옴니버스,"드라마,코미디,멜로/로맨스,뮤지컬",개봉,"백승환,하수민,정인희,지일주","(주)백그림,(주)실버라이닝 스튜디오"
메이트,Mate,2017,한국,장편,멜로/로맨스,개봉,정대건,한국영화아카데미
군산: 거위를 노래하다,Ode to the Goose,2018,한국,장편,드라마,개봉,장률,"(주)률필름,(주)백그림"
폴란드로 간 아이들,The Children Gone to Poland,2018,한국,장편,"다큐멘터리,드라마",개봉,추상미,보아스필름 
리스펙트,Respect,2018,한국,장편,다큐멘터리,개봉,심재희,라이브(주)
마담 B,Mrs.B. A North Korean Woman,2015,"한국,프랑스",장편,다큐멘터리,개봉,윤재호,
퀴어영화 뷰티풀,QUEER MOVIE Beautiful,2018,한국,장편,"멜로/로맨스,코미디",개봉,백인규,99film
다영씨,Hello Dayoung,2018,한국,장편,"드라마,코미디",개봉,고봉수,고브로 필름
풀잎들,Grass,2017,한국,장편,드라마,개봉,홍상수,(주)영화제작전원사 
집의 시간들,A Long Farewell,2018,한국,장편,다큐멘터리,개봉,라야,
어른이 되면,Grown Up,2018,한국,장편,다큐멘터리,개봉,장혜영,
늦여름,Passing Summer,2018,한국,장편,멜로/로맨스,개봉,조성규,하준사
"안녕, 나의 소녀 시절이여","Goodbye, My Girlhood",2018,한국,장편,다큐멘터리,개봉,김한석,KBS
레고 무비2,The Lego Movie 2: The Second Part,2019,"미국,덴마크,캐나다,노르웨이,호주",장편,"애니메이션,액션,어드벤처",개봉,마이크 미첼,
초고속 핫팬츠로드,Amorous Glance,2017,일본,장편,멜로/로맨스,개봉,나츠메 다이이치,
트로이 그레이트 워,Troy the Odyssey,2017,미국,장편,"전쟁,액션,드라마",개봉,테킨 길긴,
에로 킬러 마리아,Assassin: Maria,2016,일본,장편,멜로/로맨스,개봉,오쿠 와타루,
아틀란틱 림 라이징,ATLANTIC RIM RESURRECTION,2018,미국,장편,"액션,SF",개봉,자레드 콘,
오르가즘 레스토랑 무삭제판,,2018,한국,장편,,개봉,제임스 김,(주)씨맥스커뮤니케이션즈
친구엄마 그리고 정사-무삭제판,,2018,한국,장편,멜로/로맨스,개봉,이전,(주)케이알씨지
딸의 애인 2,,2018,한국,장편,멜로/로맨스,개봉,,(주)컨텐츠 빌리지
위 스틸 스틸 더 올드 웨이,We Still Steal the Old Way,2017,영국,장편,"액션,코미디,범죄",개봉,사샤 베넷,
어린 제부 2019,,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
매력적인 장모님들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
내 착한 새엄마 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
외로운 아줌마의 성욕,,2018,일본,장편,,개봉,테에자가,
"젊은 아내, 남편 후배와 몰래 ",Flickering Sensuality,2018,일본,장편,드라마,개봉,마스부치 가키토,
루시퍼,Demon,2017,미국,장편,공포(호러),개봉,,
데미갓 워즈,Immortal Wars,2018,미국,장편,액션,개봉,,
기묘한 이야기들: 더 포탈,The Portal,2017,미국,장편,공포(호러),개봉,,
금지된 사랑 : 나는 친구의 아내를…,,2017,일본,장편,,개봉,아사기리 키요시,
어린 누나 2 - 무삭제판,,2018,한국,장편,멜로/로맨스,개봉,정진호,(주)컨텐츠 빌리지
에로 킬러 에리카,Assassin: Erica,2016,일본,장편,멜로/로맨스,개봉,마사츠 구아시,
약점잡힌 간호사,ANATANI AISARETAKUTE,2017,일본,장편,"멜로/로맨스,드라마",개봉,,
셀피 프롬 헬,Selfie from Hell,2018,"캐나다,독일",장편,"스릴러,공포(호러)",기타,,
더 배드 넌,The Bad Nun,2018,영국,장편,공포(호러),개봉,스콧 제프리,
귀신과의 섹스,Ghostbuster Ladies,2016,일본,장편,멜로/로맨스,개봉,요지 오노,
미션 이스탄불5: 더 파이널,Fegefeuer,2016,독일,장편,"액션,범죄",개봉,크리스티앙 알바트,
미션 이스탄불4: 익스트림 데이,Der Grosse Schmerz,2016,독일,장편,"액션,범죄",개봉,크리스티앙 알바트,
처제와 형수들,,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
아스트로: 우주전쟁,Astro,2018,미국,장편,"액션,SF,드라마",개봉,아시프 아크바르,
어린 새엄마들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
어린 장모들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
어린 형수님들,,2018,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
아내의 엄마들(감독판),,2018,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
디거즈:원혼의 부활,Diggerz: Black Lung Rises,2017,미국,장편,공포(호러),개봉,,
조선음란기방 옥미향 명기열전,,2018,한국,장편,멜로/로맨스,개봉,이전,(주)케이알씨지
배틀 드론,Battle Drone,2018,미국,장편,"액션,전쟁",개봉,밋치 굴드,
맛있는누나들-무삭제,,2018,한국,장편,멜로/로맨스,개봉,강백호,스마일컨텐츠
7년-그들이 없는 언론,Seven Years-Journalism without Journalist,2016,한국,장편,다큐멘터리,개봉,김진혁,한국탐사저널리즘센터
점박이 한반도의 공룡2 : 새로운 낙원,,2018,한국,장편,애니메이션,개봉,한상호,(주)드림써치C&C
아내의 맛,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
불륜고객상담원,NUREOCHITA DOJO,2017,일본,장편,"드라마,멜로/로맨스",개봉,나기라 겐조,
극장판 공룡메카드: 타이니소어의 섬,,2018,한국,장편,애니메이션,개봉,"최신규,유재운",(주)초이락컨텐츠팩토리
뺑반,Hit-and-Run Squad,2018,한국,장편,"범죄,액션",개봉,한준희,"호두앤유픽쳐스(주),(주)쇼박스"
임신 시켜주세요,HAJIMETENOKEIKEN 5,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
옆집여자:처음엔 거부 나중엔 신음3,HURINNINURERUOSANATUMA,2017,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
옆집 유부녀의 은밀한 일탈,ROJINSIKA AISENAI 4,2017,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
어린 처형- 무삭제판,,2018,한국,장편,멜로/로맨스,개봉,계장혁,너바나 필름
섹스취향:아내가 다른 남자와 하고 있다,HAJIMETENOKEIKEN 3,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
드래곤 길들이기 3,How to Train Your Dragon 3,2018,미국,장편,애니메이션,개봉,딘 데블로이스,
내 동생의 아내3,YOXTUKYUUHUMANNO MAJIMETUMA2,2017,일본,장편,"멜로/로맨스,드라마",개봉,츠키카게 쿠로우,
착한 친구아내,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
젊은 미망인,,2018,한국,장편,"멜로/로맨스,드라마",개봉,한동호,(주)라온컴퍼니플러스
레슬러,LOVE+SLING,2018,한국,장편,"드라마,코미디",개봉,김대웅,(주)안나푸르나필름
더 넌: 수녀의 저주,Curse of the nun,2018,미국,장편,공포(호러),개봉,아론 머티스,
극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,2018,일본,장편,애니메이션,개봉,야지마 테츠오,
킬 존,Killing Joan,2018,미국,장편,액션,개봉,토드 바투,
임신한 아내 대신 옆집 여자,OTONARINODANNASAN,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
유부녀의 참을 수 없는 욕정,Gikeinosoakaranigerarenai,2017,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
아내의 엄마 2,,2018,한국,장편,멜로/로맨스,개봉,김빛나,(주)영화사가을
실제로 소장당한 청순녀,Mali of purpose in life,2018,일본,장편,드라마,개봉,히로아키,
능수능란한 손길:푹빠진 며느리,Gihuniokasareta Wakatuma,2017,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
내친구의두엄마,,2018,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
거유 장모와 실제로 느끼는 사위,An obscene mother-in-law,2018,일본,장편,드라마,개봉,시즈카만,
할로우 차일드 : 숲 속의 문,Door in the Woods,2018,미국,장편,스릴러,개봉,빌리 체이스 고포드,
레인보우: 나의 사랑,Una questione privata,2017,"이탈리아,프랑스",장편,"멜로/로맨스,드라마",개봉,파올로 타비아니,
범블비,Bumblebee,2018,미국,장편,"액션,어드벤처,SF",개봉,트래비스 나이트,
빌리어네어 보이즈클럽,Billionaire Boys Club,2016,미국,장편,"드라마,범죄",개봉,제임스 콕스,
러빙 빈센트 : 비하인드 에디션,Loving Vincent : Behind Addition,2017,영국,장편,애니메이션,개봉,"도로타 코비엘라,휴 웰치맨",
그린치,The Grinch,2018,미국,장편,"애니메이션,코미디",개봉,스콧 모시어,
"두 번째 여름, 두 번 다시 만날 수 없는 너","Second Summer, Never See You Again",2017,일본,장편,멜로/로맨스,개봉,나카니시 켄지,
우행록: 어리석은 자의 기록,Traces of Sin,2016,일본,장편,"드라마,미스터리",개봉,이시카와 케이,
싸이코 킬러,Psycho Killer,2015,미국,장편,스릴러,개봉,네이선 올리버,
왕이 될 아이,The Kid Who Would Be King,2018,미국,장편,"어드벤처,판타지",개봉,조 코니쉬,
행맨,Hangman,2017,미국,장편,"미스터리,범죄,스릴러",개봉,조니 마틴,
쿠르스크,Kursk,2018,벨기에,장편,드라마,개봉,토마스 빈터베르그,
파이널리스트,Imposed Piece,2017,벨기에,장편,다큐멘터리,개봉,브렛 반휘네커,
인생 후르츠,Life Is Fruity,2017,일본,장편,다큐멘터리,개봉,켄시 후시하라,
드래곤 길들이기,How To Train Your Dragon,2010,미국,장편,"애니메이션,코미디,어드벤처,가족",개봉,딘 데블로이스,드림웍스 애니메이션
스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,2018,미국,장편,"애니메이션,액션,가족",개봉,"밥 퍼시케티,피터 램지,로드니 로스맨",
아쿠아맨,AQUAMAN,2018,"미국,호주",장편,액션,개봉,제임스 완,
미래의 미라이,MIRAI,2018,일본,장편,애니메이션,개봉,호소다 마모루,
구스 베이비,Duck Duck Goose,2018,미국,장편,"애니메이션,어드벤처,코미디",개봉,크리스토퍼 젠킨스,
몬스터 파크,Here Comes the Grump,2018,"영국,멕시코",장편,"애니메이션,어드벤처,코미디,가족,판타지",개봉,안드레스 코투리어,
보헤미안 랩소디,Bohemian Rhapsody,2018,미국,장편,드라마,개봉,브라이언 싱어,
동네사람들,Ordinary People,2018,한국,장편,"액션,스릴러",개봉,임진순,(주)데이드림
여곡성,The Wrath,2018,한국,장편,"공포(호러),미스터리",개봉,유영선,(주)발자국 공장
뷰티풀 데이즈,Beautiful Days,2018,"한국,프랑스",장편,드라마,개봉,윤재호,(주)페퍼민트앤컴퍼니
여주인의 비밀 마사지,OKAMISAN-02,2017,일본,장편,"멜로/로맨스,드라마",개봉,네쿄쿠 타란티노,
발정난 온천탕 여주인,OKAMISAN-03,2017,일본,장편,"멜로/로맨스,드라마",개봉,네쿄쿠 타란티노,
데들리 스토커,Capture,2017,미국,장편,공포(호러),개봉,조지아 리,
내 아내의 언니 3,,2018,한국,장편,멜로/로맨스,개봉,조태호,(주)영화사가을
어토닝,The Atoning,2017,미국,장편,"공포(호러),드라마,스릴러",기타,마이클 윌리엄스,
버닝,BURNING,2018,한국,장편,미스터리,개봉,이창동,"파인하우스필름(주),나우필름(주)"
내안의 그놈,The Dude in Me,2018,한국,장편,"판타지,코미디",개봉,강효진,"(주)에코필름,(주)전망좋은 영화사"
등산의 참맛,,2018,한국,장편,"멜로/로맨스,드라마",개봉,한동호,(주)라온컴퍼니플러스
글래스,Glass,2018,미국,장편,"드라마,미스터리,SF,스릴러",개봉,M. 나이트 샤말란,
주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,2018,미국,장편,"애니메이션,어드벤처,코미디,가족",개봉,리치 무어,
선종 무문관,,2016,한국,장편,드라마,개봉,윤용진,
로마,ROMA,2018,멕시코,장편,드라마,개봉,알폰소 쿠아론,
물좋은하숙집2,,2018,한국,장편,멜로/로맨스,개봉,장두만,에이원 미디어
동갑내기 엄마-무삭제,,2018,한국,장편,멜로/로맨스,개봉,성기만,스마일컨텐츠
위험한 유부녀들 무삭제판,Wakan,2016,일본,장편,"멜로/로맨스,드라마",개봉,후지모토 죠지,
여직원들 : 직장 연애사 2,,2018,한국,장편,멜로/로맨스,개봉,조태호,(주)영화사가을
어린 아내의 육체 내조,BUKANOTUMA7,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
그림자 킬러,Southern Chillers,2017,미국,장편,스릴러,개봉,앤드류 루모어,
F컵 옆집 부인의 질펀한 하루,Homanna Jyukujyo,2017,일본,장편,"멜로/로맨스,드라마",개봉,사노 B사쿠,
내 동생의 아내,,2018,한국,장편,멜로/로맨스,개봉,조태호,(주)영화사가을
완벽한 그녀의 비밀,The Perfect Girl,2017,대만,장편,"범죄,미스터리,스릴러",개봉,금패진,
킬러의 보디가드,The Hitman's Bodyguard,2017,미국,장편,"액션,코미디",개봉,패트릭 휴즈,
착한형수의사정,,2018,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
육체배달 온 전여친,My Old Schoolmate Working at Sex Shop,2017,일본,장편,성인물(에로),개봉,사토 미키오,
사촌누나의 원룸습격,I Am There for Sister-in-Law,2017,일본,장편,성인물(에로),개봉,후지모리 히데오,
가슴전문 마사지샵,Naughty Breast-Push-Up Beauty Salon,2017,일본,장편,성인물(에로),개봉,나베 아츠시,
도리화가,THE SOUND OF A FLOWER,2015,한국,장편,"사극,드라마",개봉,이종필,"(주)영화사 담담,(주)어바웃필름"
어린 형수 4,,2018,한국,장편,멜로/로맨스,개봉,최우성,너바나 필름
요코하마 갱스터,Yokohama Black,2017,일본,장편,"액션,드라마",개봉,이시카와 지로,
신 배틀로얄:극악 소년원2,New Juvenile prison Battle Royale 2,2017,일본,장편,"액션,드라마",개봉,야마가 타카유키,
신 배틀로얄:극악 소년원,New Juvenile prison Battle Royale 1,2017,일본,장편,"액션,드라마",개봉,야마가 타카유키,
사무라이-검신 주베에,Jubei,2017,일본,장편,"액션,드라마",개봉,시게루 이시하라,
스페이스 인커밍,Incoming,2018,미국,장편,"액션,SF",개봉,에릭 자라고자,
레드 스프링 아포칼립스,Red Spring,2017,캐나다,장편,"액션,공포(호러)",개봉,제프 시나삭,
친구 엄마의 맛,Hope of breast Son's best friend,2018,일본,장편,드라마,개봉,오자키 히로코우지,
음란한 시아버지의 손맛,Instead of husband...,2018,일본,장편,드라마,개봉,시즈카만,
한여름밤 야한 숙모,Shinzoku-soukan Matsui Yuko,2017,일본,장편,성인물(에로),개봉,베타 타카오,
적나라한 친구엄마,Yujin no Hahaoya Aoi Shiho,2017,일본,장편,성인물(에로),개봉,사루,
음란한 사촌여동생,Pretty And Bad Female Cousin,2017,일본,장편,성인물(에로),개봉,후지타 아츠시,
왁싱중 실수한 여직원,Lovely Men's Beauty Treatment 2,2017,일본,장편,성인물(에로),개봉,후지모리 켄타,
사모님과 민감한 정사,Ikesukanai Shachofujin,2017,일본,장편,성인물(에로),개봉,카니에,
빽바지의 간호도우미,Female Careworker for My Dad Is Preferred for Me 6,2017,일본,장편,성인물(에로),개봉,타카사카 켄타로,
미인 공무원의 정사,Pretty Girl in Ward Office,2017,일본,장편,성인물(에로),개봉,코지마 히데오,
두근두근 엄마친구,Haha no Shinyu Tanihara Yuki,2017,일본,장편,성인물(에로),개봉,베타 타카오,
너무 예쁜 엄마친구,Haha no Shinyu Miyabe Ryoka,2017,일본,장편,성인물(에로),개봉,카니에 미키,
가죽소파의 새엄마,Ikkaikiri no Hazuga,2017,일본,장편,성인물(에로),개봉,키타노 마지메,
스윙키즈,Swing Kids,2018,한국,장편,드라마,개봉,강형철,(주)안나푸르나필름
디스 크레이지 하트,This Crazy Heart,2017,독일,장편,"코미디,드라마",기타,마르크 로테문트,
형수님의 수치심,Karitai Aniyome,2017,일본,장편,멜로/로맨스,개봉,베타 타카오,
형수님 끝판왕,Kinshin-aniyome-sokan,2017,일본,장편,성인물(에로),개봉,베타 타카오,
형수:잘못된 관계 무삭제판,Gamandekinai,2016,일본,장편,"멜로/로맨스,드라마",개봉,후지모토 죠지,
저는 당신의 노예입니다,Watashiha Anatano Dorei desu,2017,일본,장편,성인물(에로),개봉,우스바시 수이,
아빠친구2-무삭제판,,2018,한국,장편,멜로/로맨스,개봉,감자,스마일컨텐츠
새엄마의 야한 목소리,Kinshin-mugon-sokan Chino Azumi,2017,일본,장편,멜로/로맨스,개봉,타마츠카 빙고,
부장님 아내는 초거유족,Bucho no Okusan ga Erosugite Maki Kyoko,2017,일본,장편,성인물(에로),개봉,카니에,
부드러운 핑크빛 새엄마,Chitsunai-shasei Dekiru Tachibana Yuka,2017,일본,장편,성인물(에로),개봉,사루,
동창회의 전남친,Reunion Love Affair 2,2017,일본,장편,성인물(에로),개봉,코지마 유키오,
너무 어린 새엄마,Chichiga Dekakete,2017,일본,장편,성인물(에로),개봉,베타 타카오,
꽃미남 마사지샵,Good-Looking Guy's Massage Shop in Shin Okubo,2017,일본,장편,성인물(에로),개봉,나베 아츠시,
긴생머리의 새엄마,Kinshin-mugon-sokan Shirakawa Chiori,2017,일본,장편,멜로/로맨스,개봉,카니에,
새엄마 3,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
데드풀 2: 순한맛,ONCE UPON A DEADPOOL,2018,미국,장편,"액션,어드벤처,코미디",개봉,데이빗 레이치,
호빗: 뜻밖의 여정,The Hobbit: An Unexpected Journey,2012,"미국,뉴질랜드",장편,"어드벤처,판타지",개봉,피터 잭슨,
피치포크 살인사건,Pitchfork,2016,미국,장편,공포(호러),개봉,,
초대녀 2,,2018,한국,장편,멜로/로맨스,개봉,최우성,(주)컨텐츠 빌리지
하숙집 여주인의 목적-무삭제판,,2018,한국,장편,멜로/로맨스,개봉,이민,(주)케이알씨지
젊은 형수님들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
장모님들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
내 착한 새엄마,,2018,한국,장편,멜로/로맨스,개봉,이재금,(주)소나무픽쳐스
로빈 후드 리벨리언,ROBIN HOOD THE REBELLION,2018,영국,장편,"액션,어드벤처",개봉,니콜라스 윈터,
이벤트우먼,Sweep the Man Out,2012,일본,장편,,개봉,하뉴 켄지,
유흥1번가,Women and Money at Night,2017,일본,장편,,개봉,야마우치 다이스케,
아내의 욕정을 풀어준 편집장,,2017,일본,장편,,개봉,치바 다이스케,
드래곤 길들이기 2,How To Train Your Dragon 2,2014,미국,장편,"애니메이션,액션,어드벤처",개봉,딘 데블로이스,
처형의 유혹,,2018,일본,장편,멜로/로맨스,개봉,아사기리 키요시,
바이킹 데스티니,Viking Destiny,2018,영국,장편,액션,개봉,데이비드 L.G. 휴즈,
카운트다운: 쇼크웨이브,SHOCKWAVE: COUNTDOWN TO DISASTER,2017,미국,장편,액션,개봉,닉 라이온,
여선생2,,2018,한국,장편,코미디,개봉,김대성,(주)영화사히트
하이재킹: 비상착륙,Last Flight,2014,중국,장편,"액션,스릴러,드라마",개봉,빈센트 저우,
친구엄마 2018 (무삭제),,2017,한국,장편,멜로/로맨스,개봉,이진명,(주)소나무픽쳐스
젊은 처제들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
어린 새엄마들,,2018,한국,장편,멜로/로맨스,개봉,이정,(주)소나무픽쳐스
파란문 너머의 환상세계,Behind the Blue door,2016,미국,장편,"어드벤처,가족,판타지",개봉,,
지뢰,Stand,2016,미국,장편,"드라마,스릴러",개봉,,
인시디어스: 더 하우스,It Watches,2016,미국,장편,스릴러,개봉,데이브 파커,
에일리언 침공,Conspiracy Theory,2016,미국,장편,공포(호러),개봉,제이크 메이어스,
매드 몰리,Molly,2017,네덜란드,장편,"SF,액션",개봉,콜린다 봉거스,
다크 하트,Dark Hearts,2014,미국,장편,"스릴러,미스터리",개봉,루돌프 부이텐닥,
교회누나 무삭제판,,2018,한국,장편,"멜로/로맨스,드라마",개봉,에로핑,(주)엔트리미디어
사돈처녀,,2018,한국,장편,멜로/로맨스,개봉,김태수,(주)컨텐츠 빌리지
엘리스의 50가지 그림자,Darker Shades of Elise,2017,영국,장편,"스릴러,드라마,멜로/로맨스",개봉,제이미 웨스턴,
악마의 속삭임,Demon Tongue,2016,미국,장편,공포(호러),개봉,,
국가 성생활 관리위원회-무삭제판,,2018,한국,장편,멜로/로맨스,개봉,지산겸,(주)케이알씨지
섹스 시그널 : 옆집 총각과 일본 새댁,HOUSE WIFE'S YELLOW HANDKERCHIEF WAKANA NAO,2018,일본,장편,,개봉,마메자와 마메타로,
더 리프트,The Rift,2016,기타,장편,"SF,공포(호러),스릴러",개봉,데얀 제체비치,(주)모인그룹
우연한 정사,Passion,2016,태국,장편,멜로/로맨스,개봉,마우스 수와나,
"젊은 새댁, 옆집 오빠의 맛",The Secret of Young Wife,2018,일본,장편,드라마,개봉,마스부치 가키토,
길들여진 가정교사 쾌락일기,Pleasure in Her Life,2018,일본,장편,드라마,개봉,우스바시 스이,
그녀와 아줌마의 동거,,2018,한국,장편,,개봉,유강,(주)나우콘텐츠
아내의 엄마들,,2018,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
두 엄마 2018 (감독판),,2018,한국,장편,멜로/로맨스,개봉,이진,(주)소나무픽쳐스
내 사촌 여동생들 (감독판),,2018,한국,장편,멜로/로맨스,개봉,강정훈,(주)소나무픽쳐스
마린: 배틀 엔젤,Straight & Narrow,2016,미국,장편,액션,개봉,,
더 콜러,Caller ID,2018,미국,장편,공포(호러),개봉,,
아메리카 타운,America Town,2017,한국,장편,드라마,개봉,전수일,(주)동녘필름
애송이 섹스 : 누나가 다 가르쳐 줄게,MOM'S FRIEND MAKOODA,2018,일본,장편,,개봉,카와이 조지,
친구엄마 2018,,2017,한국,장편,멜로/로맨스,개봉,이진명,(주)소나무픽쳐스
자매의교환섹스,,2018,한국,장편,멜로/로맨스,개봉,장두만,에이원 미디어
신데렐라, Cinderella ,2018,미국,장편,공연,개봉,,
런닝맨 : 풀룰루의 역습,Running Man,2018,한국,장편,애니메이션,개봉,윤준상,(주)로커스
콜드플레이: 헤드 풀 오브 드림스,Coldplay: A Head Full Of Dreams,2018,영국,장편,다큐멘터리,개봉,매트 화이트크로스,
몽정기:꿈꿔오던 금단의 섹스,Iyarasiiyume,2016,일본,장편,"멜로/로맨스,드라마",개봉,후지모토 죠지,
남자를 원하는 음란 유부녀들,Nikusoykutuma,2016,일본,장편,"멜로/로맨스,드라마",개봉,후지모토 죠지,
짱,,2018,한국,장편,액션,개봉,송재덕,"(주)영화사 사계절,펀펀한영화사"
음란부인:아내의 내조,Ryoujyoku,2017,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
엄마친구의맛,,2018,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
버블 패밀리,Family in the Bubble,2017,한국,장편,"다큐멘터리,가족",개봉,마민지,쌍마픽처스
마약왕,The Drug King,2017,한국,장편,"범죄,드라마",개봉,우민호,(주)하이브미디어코프
밀애 : 착한 형수,,2018,한국,장편,멜로/로맨스,개봉,김부곤,(주)영화사가을
하나 빼고 완벽한 뉴욕 아파트,The Boy Downstairs,2017,미국,장편,"코미디,드라마,멜로/로맨스",개봉,소피 브룩스,
악령의 캠핑카,The Toybox,2018,미국,장편,"공포(호러),스릴러",개봉,톰 나이젤,
협상,THE NEGOTIATION,2018,한국,장편,범죄,개봉,이종석,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)"
나부야 나부야,Butterfly,2018,한국,장편,다큐멘터리,개봉,최정우,
가정부 길들이기,,2018,한국,장편,멜로/로맨스,개봉,한동호,(주)가온콘텐츠
터져버린 변태 부인,Hutarino sextukusuhurendo,2017,일본,장편,"멜로/로맨스,드라마",개봉,나가에 타카미,
어린 신부 능욕기,Kaomisirihujyo2,2017,일본,장편,"멜로/로맨스,드라마",개봉,토미죠 타로,
자매의은밀한스와핑,,2018,한국,장편,멜로/로맨스,개봉,정민용,스마일컨텐츠
시니스터 스쿼드,SINISTER SQUAD,2016,미국,장편,"액션,판타지",개봉,제레미 M. 인맨,
