2019-07-04 14:44:10,543 : INFO : EPOCH 3 - PROGRESS: at 89.68% examples, 47608 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:11,684 : INFO : EPOCH 3 - PROGRESS: at 90.84% examples, 47639 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:12,873 : INFO : EPOCH 3 - PROGRESS: at 91.95% examples, 47612 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:14,062 : INFO : EPOCH 3 - PROGRESS: at 93.26% examples, 47704 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:15,331 : INFO : EPOCH 3 - PROGRESS: at 94.39% examples, 47761 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:16,631 : INFO : EPOCH 3 - PROGRESS: at 95.14% examples, 47798 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:17,820 : INFO : EPOCH 3 - PROGRESS: at 96.18% examples, 47856 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:18,984 : INFO : EPOCH 3 - PROGRESS: at 97.05% examples, 47902 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:20,328 : INFO : EPOCH 3 - PROGRESS: at 97.91% examples, 47867 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:21,518 : INFO : EPOCH 3 - PROGRESS: at 98.87% examples, 47967 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:22,613 : INFO : EPOCH 3 - PROGRESS: at 99.58% examples, 48040 words/s, in_qsize 4, out_qsize 0
2019-07-04 14:44:22,622 : INFO : worker thread finished; awaiting finish of 3 more threads
2019-07-04 14:44:22,874 : INFO : worker thread finished; awaiting finish of 2 more threads
2019-07-04 14:44:23,015 : INFO : worker thread finished; awaiting finish of 1 more threads
2019-07-04 14:44:23,030 : INFO : worker thread finished; awaiting finish of 0 more threads
2019-07-04 14:44:23,030 : INFO : EPOCH - 3 : training on 8650731 raw words (5381313 effective words) took 111.9s, 48094 effective words/s
2019-07-04 14:44:24,030 : INFO : EPOCH 4 - PROGRESS: at 0.60% examples, 38706 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:25,236 : INFO : EPOCH 4 - PROGRESS: at 1.37% examples, 43074 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:26,272 : INFO : EPOCH 4 - PROGRESS: at 2.21% examples, 45292 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:27,508 : INFO : EPOCH 4 - PROGRESS: at 3.04% examples, 45027 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:28,623 : INFO : EPOCH 4 - PROGRESS: at 4.18% examples, 45973 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:29,829 : INFO : EPOCH 4 - PROGRESS: at 5.43% examples, 48659 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:31,081 : INFO : EPOCH 4 - PROGRESS: at 6.89% examples, 48210 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:32,109 : INFO : EPOCH 4 - PROGRESS: at 7.70% examples, 48394 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:33,123 : INFO : EPOCH 4 - PROGRESS: at 8.32% examples, 48537 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:34,185 : INFO : EPOCH 4 - PROGRESS: at 9.58% examples, 49914 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:35,391 : INFO : EPOCH 4 - PROGRESS: at 10.50% examples, 49466 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:36,440 : INFO : EPOCH 4 - PROGRESS: at 11.63% examples, 50123 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:37,553 : INFO : EPOCH 4 - PROGRESS: at 12.50% examples, 50009 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:38,835 : INFO : EPOCH 4 - PROGRESS: at 13.31% examples, 49328 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:39,854 : INFO : EPOCH 4 - PROGRESS: at 14.50% examples, 50170 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:40,871 : INFO : EPOCH 4 - PROGRESS: at 15.30% examples, 50124 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:42,140 : INFO : EPOCH 4 - PROGRESS: at 16.32% examples, 50150 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:43,298 : INFO : EPOCH 4 - PROGRESS: at 17.00% examples, 50029 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:44,315 : INFO : EPOCH 4 - PROGRESS: at 18.17% examples, 50446 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:45,601 : INFO : EPOCH 4 - PROGRESS: at 19.42% examples, 50318 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:46,673 : INFO : EPOCH 4 - PROGRESS: at 20.50% examples, 50635 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:47,666 : INFO : EPOCH 4 - PROGRESS: at 21.36% examples, 50714 words/s, in_qsize 8, out_qsize 0
2019-07-04 14:44:48,869 : INFO : EPOCH 4 - PROGRESS: at 22.79% examples, 50316 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:49,872 : INFO : EPOCH 4 - PROGRESS: at 23.75% examples, 50738 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:51,065 : INFO : EPOCH 4 - PROGRESS: at 24.97% examples, 50589 words/s, in_qsize 7, out_qsize 0
2019-07-04 14:44:52,084 : INFO : EPOCH 4 - PROGRESS: at 25.54% examples, 50684 words/s, in_qsize 7, out_qsize 0
