"TITLE","OPEN_DT","OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"인셉션","2010-07-21","7","3",147,"미국","워너브러더스 코리아(주)","드라마","12세이상관람가","0",595,0,"0",5926948
"레미제라블","2012-12-19","12","4",158,"미국","유니버설픽쳐스인터내셔널 코리아(유)","드라마","12세이상관람가","0",627,0,"0",5911890
"쥬라기 월드: 폴른 킹덤","2018-06-06","6","2",127,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","12세이상관람가","1",230,3703,"0",5661128
"청년경찰","2017-08-09","8","3",108,"한국","롯데쇼핑㈜롯데엔터테인먼트","액션","15세이상관람가","0",1429,16419,"0",5636259
"숨바꼭질","2013-08-14","8","3",107,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","15세이상관람가","0",682,0,"0",5602543
"덕혜옹주","2016-08-03","8","3",126,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","12세이상관람가","0",1857,20348,"1",5593551
"더 테러 라이브","2013-07-31","7","3",97,"한국","롯데쇼핑㈜롯데엔터테인먼트","범죄","15세이상관람가","0",2051,0,"0",5583596
"쥬라기 월드","2015-06-11","6","2",124,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","12세이상관람가","1",894,15462,"0",5546792
"캡틴 마블","2019-03-06","3","1",123,"미국","기타","액션","12세이상관람가","0",2160,2969,"0",5540958
"의형제","2010-02-04","2","1",116,"한국","기타","드라마","15세이상관람가","0",533,0,"0",5507106
"감시자들","2013-07-03","7","3",118,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",1098,0,"0",5496547
"앤트맨과 와스프","2018-07-04","7","3",118,"미국","기타","액션","12세이상관람가","1",202,1781,"0",5447826
"닥터 스트레인지","2016-10-26","10","4",114,"미국","기타","액션","12세이상관람가","0",820,17810,"0",5446379
"검은 사제들","2015-11-05","11","4",108,"한국","씨제이이앤엠(주)","미스터리","15세이상관람가","0",517,15918,"0",5440945
"안시성","2018-09-19","9","3",135,"한국","(주)넥스트엔터테인먼트월드(NEW)","사극","12세이상관람가","0",607,2468,"0",5440186
"블랙 팬서","2018-02-14","2","1",134,"미국","기타","액션","12세이상관람가","1",388,7497,"0",5398994
"더 킹","2017-01-18","1","1",134,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",1086,17679,"0",5316325
"완득이","2011-10-20","10","4",107,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",725,0,"1",5310510
"트랜스포머: 사라진 시대","2014-06-25","6","2",164,"미국","씨제이이앤엠(주)","액션","12세이상관람가","1",3534,8008,"0",5295801
"완벽한 타인","2018-10-31","10","4",115,"한국","기타","드라마","15세이상관람가","0",125,608,"0",5294119
"월드 워 Z","2013-06-20","6","2",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","드라마","15세이상관람가","0",1001,0,"1",5237525
"타워","2012-12-25","12","4",121,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",1412,0,"0",5181014
"미녀와 야수","2017-03-16","3","1",129,"미국","기타","멜로","전체관람가","0",199,8894,"0",5137993
"독전","2018-05-22","5","2",123,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",265,2703,"0",5063620
