,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
3075,레드,2010-11-04,,left_only
3111,레이드2,2014-07-09,가렛 에반스,right_only
3112,레이드2,2014-07-10,,left_only
3135,레일웨이맨,2014-09-30,,left_only
3136,레일웨이맨,2014-11-11,조나단 텝리츠키,right_only
3141,레전드오브래빗,2012-02-22,순리준,right_only
3142,레전드오브래빗,2012-02-23,,left_only
3157,레터스투줄리엣,2010-10-06,게리 위닉,right_only
3158,레터스투줄리엣,2010-10-07,,left_only
3162,레프트비하인드휴거의시작,2016-07-07,,left_only
3163,레프트비하인드휴거의시작,2016-09-08,빅 암스트롱,right_only
3164,렌델어둠의기사,2017-12-21,,left_only
3165,렌델어둠의기사,2018-01-11,제시 하자,right_only
3205,로미오와줄리엣,2013-09-26,케네스 맥밀란,right_only
3206,로미오와줄리엣,2014-10-23,데이빗 리보스,right_only
3207,로미오와줄리엣,2017-06-03,,right_only
3208,로미오와줄리엣,2018-05-20,위르겐 플림,right_only
3225,로빈슨크루소,2016-09-07,"벤 스타센,빈센트 케스텔루트",right_only
3226,로빈슨크루소,2016-09-08,,left_only
3229,로빈후드리벨리언,2018-11-29,,left_only
3230,로빈후드리벨리언,2018-12-25,니콜라스 윈터,right_only
3238,로스트인더퍼시픽,2017-07-27,,left_only
3239,로스트인더퍼시픽,2017-08-18,빈센트 저우,right_only
3258,로프트,2011-12-08,앙투와네트 베우머,right_only
3259,로프트,2011-12-15,,left_only
3266,론서바이버,2014-04-02,피터 버그,right_only
3267,론서바이버,2014-04-03,,left_only
3278,루나소녀의복수,2018-08-07,칼레드 카이사르,right_only
3279,루나소녀의복수,2018-08-09,,left_only
3283,루살카,2014-05-24,오토 솅크,right_only
3284,루살카,2017-07-01,,right_only
3316,리골레토,2013-09-28,마이클 메이어,right_only
3317,리골레토,2014-12-21,,left_only
3318,리골레토,2018-02-04,,left_only
3344,리본,2018-06-28,,left_only
3345,리본,2018-07-25,시모무라 유지,right_only
3370,리커버리,2016-12-08,,left_only
3371,리커버리,2016-12-22,대럴 위트,right_only
3381,리틀고비,2014-05-29,,left_only
3382,리틀고비,2017-01-02,토니 탕,right_only
3431,마농,2012-10-04,로랑 펠리,right_only
3432,마농,2015-10-21,케네스 맥밀란,right_only
3446,마더스데이,2014-05-29,,left_only
3447,마더스데이,2014-05-30,대런 린 보우즈만,right_only
3470,마마,2011-06-01,최익환,right_only
3471,마마,2011-06-02,,left_only
3472,마마,2013-01-23,안드레스 무시에티,right_only
3473,마마,2013-01-24,,left_only
3478,마법사의제자,2010-07-15,,left_only
3479,마법사의제자,2010-07-21,존 터틀타웁,right_only
3495,마셰티,2011-04-20,,left_only
3496,마셰티,2011-04-21,"로버트 로드리게즈,에단 마니퀴스",right_only
3518,마음이2,2010-07-21,이정철,right_only
3519,마음이2,2010-07-22,,left_only
3527,마이리틀자이언트,2016-08-10,스티븐 스필버그,right_only
3528,마이리틀자이언트,2016-08-11,,left_only
3529,마이리틀히어로,2013-01-09,김성훈,right_only
3530,마이리틀히어로,2013-01-10,,left_only
3538,마이애미대침몰,2014-09-03,,left_only
3539,마이애미대침몰,2014-09-04,토도 채프카노브,right_only
3543,마이웨이,2011-12-21,강제규,right_only
3544,마이웨이,2011-12-22,,left_only
3568,마지막전투,2014-06-19,,left_only
3569,마지막전투,2019-01-10,,left_only
3572,마지막중독,2013-04-17,,left_only
3573,마지막중독,2013-04-19,이세일,right_only
3574,마지막파티,2014-04-29,스티븐 엘리엇,right_only
3575,마지막파티,2014-05-08,,left_only
3624,맘대드,2018-07-18,브라이언 테일러,right_only
3625,맘대드,2018-07-19,,left_only
3629,맛2016삼시색기,2016-11-05,최우성,right_only
3630,맛2016삼시색기,2016-11-09,,left_only
3707,매직마이크,2012-08-01,스티븐 소더버그,right_only
3708,매직마이크,2012-08-02,,left_only
3736,맨발의꿈,2010-06-10,,left_only
3737,맨발의꿈,2010-06-24,김태균,right_only
3743,맨오브저스티스,2017-12-21,,left_only
3744,맨오브저스티스,2018-01-10,마틴-크리스토퍼 보드,right_only
3746,맨온렛지,2012-02-22,애스게르 레스,right_only
3747,맨온렛지,2012-02-23,,left_only
3773,멀린마법전사와용의기사단,2014-06-18,마크 앳킨스,right_only
3774,멀린마법전사와용의기사단,2014-06-19,,left_only
3788,메가포스군단,2014-11-19,할 니담,right_only
3789,메가포스군단,2014-11-20,,left_only
3794,메니에그삶은달걀의복수,2017-05-18,,left_only
3795,메니에그삶은달걀의복수,2017-05-22,졸탄 미클로시,right_only
3824,메이킹패밀리,2016-11-24,,left_only
3825,메이킹패밀리,2016-11-28,조진모,right_only
3828,메인스트리트,2013-03-27,,left_only
3829,메인스트리트,2013-03-28,존 도일,right_only
3849,명검,2014-09-03,,left_only
3850,명검,2014-09-04,담가명,right_only
3861,명탐정코난수평선상의음모,2013-08-07,야마모토 야스이치로,right_only
3862,명탐정코난수평선상의음모,2013-08-08,,left_only
3870,명탐정코난천공의난파선,2010-07-21,야마모토 야스이치로,right_only
3871,명탐정코난천공의난파선,2010-07-22,,left_only
3880,모노거미,2013-03-13,다나 아담 샤피로,right_only
3881,모노거미,2013-03-20,,left_only
3882,모놀리스,2016-04-20,,left_only
3883,모놀리스,2017-04-20,이반 실베스트리니,right_only
3992,몽정애꿈속의여인,2013-12-31,이영화,right_only
3993,몽정애꿈속의여인,2014-01-01,,left_only
4036,무법자,2018-04-17,,left_only
4037,무법자,2018-04-19,르네 페르즈,right_only
4047,무서운이야기,2012-07-25,"정범식,임대웅,홍지영,김곡,김선,민규동",right_only
4048,무서운이야기,2012-07-26,,left_only
4057,무예타이갱,2014-07-02,크리사나퐁 라차타,right_only
4058,무예타이갱,2014-07-03,,left_only
4060,무적의소림쿵푸마스터,2015-07-23,,left_only
4061,무적의소림쿵푸마스터,2015-07-30,두기봉,right_only
4102,뮤직네버스탑,2011-10-20,,left_only
4103,뮤직네버스탑,2011-10-27,짐 콜버그,right_only
4109,미결처리반Q,2016-09-29,,left_only
4110,미결처리반Q,2016-12-03,미켈 노르가드,right_only
4114,미국대지진,2014-07-08,테리 커닝햄,right_only
4115,미국대지진,2014-07-09,,left_only
4142,미라클맨,2014-04-03,,left_only
4143,미라클맨,2014-04-17,마크 러팔로,right_only
4146,미라클프롬헤븐,2016-05-25,패트리시아 리건,right_only
4147,미라클프롬헤븐,2016-05-26,,left_only
4174,미션이스탄불5더파이널,2019-01-03,,left_only
4175,미션이스탄불5더파이널,2019-01-15,크리스티앙 알바트,right_only
4218,미스히스테리,2015-08-13,,left_only
4219,미스히스테리,2016-04-04,곽재용,right_only
4261,미저리고스트,2016-06-23,,left_only
4262,미저리고스트,2016-06-30,마이클 스티브,right_only
4275,미투숨겨진진실,2018-06-29,마현진,right_only
4276,미투숨겨진진실,2018-07-05,,left_only
4290,밀레니엄여자를증오한남자들,2012-01-11,데이빗 핀처,right_only
4291,밀레니엄여자를증오한남자들,2012-01-12,,left_only
4363,바람난아내들,2018-04-24,나가에 타카미,right_only
4364,바람난아내들,2018-10-23,장두만,right_only
4389,바르샤바1944,2015-08-13,,left_only
4390,바르샤바1944,2015-09-03,얀 코마사,right_only
4396,바비,2010-01-28,,left_only
4397,바비,2010-02-04,에밀리오 에스테베즈,right_only
4430,바흐이전의침묵,2010-10-14,,left_only
4431,바흐이전의침묵,2010-10-21,페레 포르타벨라,right_only
4433,박물관이살아있다비밀의무덤,2015-01-14,숀 레비,right_only
4434,박물관이살아있다비밀의무덤,2015-01-15,,left_only
4473,발칙한러브스캔들,2014-01-23,,left_only
4474,발칙한러브스캔들,2014-01-28,존 버제스,right_only
4500,방자전,2010-06-02,김대우,right_only
4501,방자전,2010-06-03,,left_only
4520,배저로와친구들신비한모험,2017-10-12,,left_only
4521,배저로와친구들신비한모험,2017-10-26,"라스무스 A. 실버르센,룬 스파안스",right_only
4531,배틀로얄극악소년원,2014-03-06,,left_only
4532,배틀로얄극악소년원,2014-03-11,오츠키 에이지,right_only
4533,배틀쉽,2012-04-11,피터 버그,right_only
4534,배틀쉽,2012-04-12,,left_only
4536,배틀스쿨,2018-11-29,,left_only
4537,배틀스쿨,2019-02-26,츠치다 준페이,right_only
4543,배틀트립투그리스,2018-04-25,,left_only
4544,배틀트립투그리스,2018-04-26,알렉산더 코페르,right_only
4567,백컨트리야생곰의습격,2015-12-03,,left_only
4568,백컨트리야생곰의습격,2015-12-16,애덤 맥도날드,right_only
4578,뱀파이어걸의정사,2014-05-14,혼다 칸스케,right_only
4579,뱀파이어걸의정사,2014-05-15,,left_only
4585,뱅갱모던러브스토리,2016-07-21,,left_only
4586,뱅갱모던러브스토리,2016-08-25,에바 허슨,right_only
4636,베드,2013-01-17,박철수,right_only
4637,베드,2015-03-12,,left_only
4646,베를린장벽,2014-09-24,크리스찬 슈뵈초브,right_only
4647,베를린장벽,2014-09-25,,left_only
4658,베요네타블러디페이트,2014-04-09,키자키 후미노리,right_only
