movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,keywords,plot,awards,budget,ori_lang,series,crewData,castData,keyWord,_merge
매드맥스로드워,,,,,markatkins,,,,,,,,,,,['en'],0.0,"[{'name': 'Mark Atkins', 'gender': 2, 'department': 'Director'}, {'name': 'Mark Atkins', 'gender': 2, 'department': 'Writer'}, {'name': 'Erica Steele', 'gender': 0, 'department': 'Line Producer'}, {'name': 'Chris Cano',  'gender': 0, 'department': 'Original Music Composer'}, {'name': 'Mark Atkins', 'gender': 2, 'department': 'Director of Photography'}]","[{'name': 'Cole Parker', 'gender': 0}, {'name': 'Chloe Farnworth', 'gender': 1}, {'name': 'John Freeman', 'gender': 0}, {'name': 'Angela McNamee', 'gender': 0}, {'name': 'Jane Kim', 'gender': 0}, {'name': 'Nikki Bohm', 'gender': 0}, {'name': 'Kelcey Watson', 'gender': 0}, {'name': 'Michael Foster', 'gender': 2}, {'name': 'Micah Fitzgerald', 'gender': 2}, {'name': 'Tonia Marie Rosee', 'gender': 0}, {'name': 'Jerry G. Angelo',  'gender': 2}, {'name': 'Victoria Clare', 'gender': 0}, {'name': 'Marianne Bourg', 'gender': 1}]","['mutant', 'vampire', 'post-apocalyptic']",right_only
신전래동화,,,,,leesanghoon,,,,,,,,,,100000.0,['ko'],0.0,"[{'name': 'Lee Sang-hoon', 'gender': 0, 'department': 'Director'}]","[{'name': 'Jae Hee', 'gender': 2}, {'name': 'Yoon Ki-won', 'gender': 2}, {'name': 'Kim Ki-Doo',  'gender': 2}]",,right_only
미션톱스타를훔쳐라,,,,,,,,,,,,,,,,['ko'],0.0,,"[{'name': 'Oh Chang-seok', 'gender': 2}, {'name': 'Jung Heon', 'gender': 2}, {'name': 'Song Ji-in', 'gender': 1}]",,right_only
파이널크루칸우탈출작전,,,,,nikolaylebedev,,,,,,,,,,10000000.0,['ru'],0.0,"[{'name': 'Nikolay Lebedev', 'gender': 2, 'department': 'Director'}, {'name': 'Tikhon Kornev', 'gender': 0, 'department': 'Writer'}, {'name': 'Nikolay Lebedev', 'gender': 2, 'department': 'Writer'}, {'name': 'Nikolai Kulikov', 'gender': 2, 'department': 'Screenplay'}, {'name': 'Anton Zlatopolsky', 'gender': 2, 'department': 'Producer'}, {'name': 'Leonid Vereshchagin', 'gender': 2, 'department': 'Producer'}, {'name': 'Дмитрий Дубинский', 'gender': 2, 'department': 'Matte Painter'}]","[{'name': 'Danila Kozlovsky', 'gender': 2}, {'name': 'Vladimir Mashkov', 'gender': 2}, {'name': 'Agn? Grudyt?', 'gender': 1}, {'name': 'Sergey Shakurov', 'gender': 2}, {'name': 'Sergey Romanovich', 'gender': 2}, {'name': 'Elena Yakovleva', 'gender': 1}, {'name': 'Sergey Gazarov', 'gender': 0}, {'name': 'Sergey Kempo',  'gender': 2}, {'name': 'Katerina Shpitsa', 'gender': 1}, {'name': 'Irina Pegova', 'gender': 1}, {'name': 'Alesya Guzko',  'gender': 1}, {'name': 'Ivan Egorov', 'gender': 2}, {'name': 'Anton Tuzikov', 'gender': 2}, {'name': 'Tatyana Novik (I)', 'gender': 1}]",,right_only
블러드골드,,,,,travisbain,,,,,,,,,,,['en'],0.0,"[{'name': 'Travis Bain', 'gender': 0, 'department': 'Director'}, {'name': 'Travis Bain', 'gender': 0, 'department': 'Writer'}]","[{'name': 'Shawn Brack', 'gender': 0}, {'name': 'Anthony Ring', 'gender': 0}, {'name': 'Melanie Serafin', 'gender': 0}, {'name': 'Vernon Wells', 'gender': 2}]",,right_only
무곡,,,,,kazuyoshikumakiri,,,,,,,,,,,['ja'],0.0,"[{'name': 'Kazuyoshi Kumakiri ', 'gender': 0, 'department': 'Director'}, {'name': 'Fujisawa Shu', 'gender': 0, 'department': 'Novel'}]","[{'name': 'Go Ayano',  'gender': 2}, {'name': 'Nijiro Murakami', 'gender': 2}, {'name': 'Atsuko Maeda', 'gender': 1}, {'name': 'Kaoru Kobayashi', 'gender': 2}, {'name': 'Kanno Misuzu', 'gender': 1}, {'name': 'Suon Kan', 'gender': 0}, {'name': 'Jun Fubuki', 'gender': 1}, {'name': 'Reiko Kataoka', 'gender': 0}, {'name': 'Akira Emoto',  'gender': 2}]",['kendo'],right_only
그루지죽은자의저주,,,,,donhoe,,,,,,,,,,,['zh'],0.0,"[{'name': 'Don Hoe', 'gender': 0, 'department': 'Director'}]",,,right_only
돈킬잇악마사냥꾼,,,,,mikemendez,,,,,,,,,,3500000.0,['en'],0.0,"[{'name': 'Robert Olsen', 'gender': 0, 'department': 'Writer'}, {'name': 'Mike Mendez', 'gender': 2, 'department': 'Director'}, {'name': 'Dan Berk', 'gender': 0, 'department': 'Screenplay'}, {'name': 'Juliette Beavan', 'gender': 1, 'department': 'Music'}, {'name': 'Sean Beavan', 'gender': 0, 'department': 'Music'}, {'name': 'Jan-Michael Losada', 'gender': 0, 'department': 'Cinematography'}, {'name': 'Matthew Morgan', 'gender': 0, 'department': 'Casting'}, {'name': 'Dawn R. Ferry', 'gender': 1, 'department': 'Production Design'}, {'name': 'Toby Bronson', 'gender': 2, 'department': 'Costume Design'}, {'name': 'Benjamin Brant Bickham', 'gender': 0, 'department': 'Producer'}, {'name': 'Dolph Lundgren', 'gender': 2, 'department': 'Producer'}, {'name': 'Scott Martin', 'gender': 2, 'department': 'Producer'}, {'name': 'Michael Thomas Slifkin', 'gender': 0, 'department': 'Producer'}, {'name': 'Robert Yocum', 'gender': 2, 'department': 'Producer'}]","[{'name': 'Dolph Lundgren', 'gender': 2}, {'name': 'James Chalke', 'gender': 2}, {'name': 'Kristina Klebe', 'gender': 1}, {'name': 'Billy Slaughter', 'gender': 0}, {'name': 'Miles Doleac', 'gender': 0}, {'name': 'Elissa Dowling', 'gender': 1}, {'name': 'Michael Aaron Milligan', 'gender': 2}, {'name': 'Michelle West', 'gender': 1}, {'name': 'Jasi Cotton Lanier', 'gender': 1}, {'name': 'Aaron McPherson', 'gender': 2}, {'name': 'Sam Furman', 'gender': 0}, {'name': 'Emily Brobst', 'gender': 1}, {'name': 'Tony Bentley', 'gender': 2}, {'name': 'Chaton Anderson', 'gender': 1}, {'name': 'Tony Messenger', 'gender': 0}, {'name': 'Chloe Guidry', 'gender': 0}, {'name': 'Ryan Zweers', 'gender': 0}, {'name': 'Laura Warner', 'gender': 0}, {'name': 'Jeff Dylan Graham', 'gender': 2}, {'name': 'Randy Austin', 'gender': 2}, {'name': 'Toby Bronson', 'gender': 2}, {'name': 'Emma Frances Burge', 'gender': 0}, {'name': 'Kristine Samuelson', 'gender': 0}, {'name': 'Bryan Zampella', 'gender': 0}, {'name': 'Milorad Djomlija', 'gender': 0}, {'name': 'Jered Meeks', 'gender': 0}, {'name': 'Thomas Owen', 'gender': 2}]","['fbi', 'gore', 'demon', 'evil', 'demonic possession', 'blond boy']",right_only
호텔타지마할,,,,,lliamworthington,,,,,,,,,,,"['en', 'tr', 'fr', 'hi']",0.0,"[{'name': 'Lliam Worthington', 'gender': 0, 'department': 'Director'}, {'name': 'Lliam Worthington', 'gender': 0, 'department': 'Writer'}, {'name': 'Lliam Worthington', 'gender': 0, 'department': 'Producer'}, {'name': 'Ashley Barron', 'gender': 0, 'department': 'Cinematography'}, {'name': 'Lliam Worthington', 'gender': 0, 'department': 'Editor'}, {'name': 'Joel Hagen', 'gender': 0, 'department': 'Editor'}, {'name': 'Stephanie Todd', 'gender': 0, 'department': 'Production Design'}, {'name': 'Thomas Rouch', 'gender': 0, 'department': 'Music'}, {'name': 'Ben C. Lucas', 'gender': 2, 'department': 'Associate Producer'}, {'name': 'Joel Hagen', 'gender': 0, 'department': 'Producer'}, {'name': 'James Hagen', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Greg Buchanan', 'gender': 0, 'department': 'Executive Producer'}, {'name': 'Jan Barr', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Wendy Hagen', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Colin Lau', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Kylie Lau', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Nelson Lau', 'gender': 0, 'department': 'Co-Producer'}, {'name': 'Nelson Lau', 'gender': 0, 'department': 'Executive Producer'}, {'name': 'Elizabeth Mahler', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Maren Smith', 'gender': 0, 'department': 'Producer'}, {'name': 'Esto Song', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Georgina Veneziani', 'gender': 0, 'department': 'Associate Producer'}, {'name': 'Jennifer Frew', 'gender': 0, 'department': 'Makeup Artist'}, {'name': 'Emily Borghi', 'gender': 0, 'department': 'Set Dresser'}]","[{'name': 'Joseph Mahler Taylor', 'gender': 0}, {'name': 'Sukhraj Deepak', 'gender': 0}, {'name': 'Mihika Rao',  'gender': 0}, {'name': 'Kabir Duhan Singh', 'gender': 0}]","['terrorist attack', 'mumbai']",right_only
세상은가끔아름답다,,,,,osamuminorikawa,,,,,,,,,,,['ja'],0.0,"[{'name': 'Osamu Minorikawa', 'gender': 0, 'department': 'Director'}, {'name': 'Osamu Minorikawa', 'gender': 0, 'department': 'Writer'}, {'name': 'Kenjiro Nishi', 'gender': 0, 'department': 'Producer'}, {'name': 'Yasumasa Osada', 'gender': 0, 'department': 'Producer'}, {'name': 'Akiko Ashizawa', 'gender': 0, 'department': 'Cinematography'}, {'name': 'Shigekazu Tokimori', 'gender': 0, 'department': 'Editor'}, {'name': 'Emiko Tsuyuki', 'gender': 0, 'department': 'Production Design'}]","[{'name': 'Ryuhei Matsuda', 'gender': 2}, {'name': 'Reina Asami', 'gender': 0}, {'name': 'Akira Emoto',  'gender': 2}, {'name': 'Mikako Ichikawa', 'gender': 1}, {'name': 'Hitomi Katayama', 'gender': 0}, {'name': 'Hana Kino',  'gender': 0}, {'name': 'Miyuki Matsuda', 'gender': 0}, {'name': 'Toshinori Omi', 'gender': 2}, {'name': 'Kyoko Toyama', 'gender': 0}, {'name': 'Kota Kusano',  'gender': 0}]",['omnibus'],right_only
