movieNm,openDt,audiAcc,companyNm,directorNm,directorNmEn,genreNm,movieNmEn,nationNm,peopleNm,showTm,watchGradeNm,keywords,plot,awards,budget,ori_lang,series,crewData,castData,keyWord,_merge
킹스맨골든서클,2017-09-27,4945484.0,['이십세기폭스코리아(주)'],매튜 본,matthewvaughn,"['액션', '어드벤처', '코미디']",kingsmanthegoldencircle,"['미국', '영국']","[('콜린 퍼스', ''), ('줄리안 무어', ''), ('태런 에저튼', ''), ('마크 스트롱', ''), ('할리 베리', ''), ('엘튼 존', ''), ('채닝 테이텀', ''), ('제프 브리지스', '')]",140.0,청소년관람불가,,"킹스맨 본부의 파괴! 더 강력해진 범죄조직 골든서클의 등장!철저하게 비밀에 둘러싸인 채 세상을 안전하게 지키는 임무를 수행해온 독자적인 국제 정보 조직 킹스맨. 그러나 어느 날 국제적 범죄조직 골든 서클에 의해 킹스맨 본부가 무참히 파괴된다.에그시(태런 에저튼)와 멀린(마크 스트롱)은 킹스맨 ‘최후의 날’ 규약에 따라 발견된 위스키 병에서 ‘미국 켄터키’라는 키워드를 얻게 되고, 그 곳에서 형제 조직인 스테이츠맨의 존재를 알게 된다.전 세계를 장악하기 위해 위협적인 비지니스를 추진 중인 골든 서클과 수장 포피(줄리안 무어).이들의 계획을 막기 위한 킹스맨과 스테이츠맨의 작전이 시작된다",,,,,,,,left_only
주토피아,2016-02-17,4703245.0,['월트디즈니컴퍼니코리아(주)'],바이론 하워드,byronhoward,"['애니메이션', '액션', '어드벤처']",zootopia,['미국'],"[('지니퍼 굿윈', ''), ('제이슨 베이트먼', ''), ('샤키라', '')]",108.0,전체관람가,,누구나 살고싶은 도시 1위 주토피아에서 일어난 의문의 연쇄실종 사건 수사를 맡게 된 토끼 경찰관 ‘주디 홉스’와 본의 아니게 파트너가 된 여우 사기꾼 ‘닉 와일드’의 숨막히는 추적을 그린 애니메이션.,"뉴욕비평가협회상(2016) : 애니메이션상 - 바이런 하워드, 리치 무어|골든글로브 시상식(2017) : 장편애니메이션상 -|아카데미 시상식(2017) : 장편애니메이션상 - 바이런 하워드",,,,,,,left_only
해리포터와죽음의성물2,2011-07-13,4400298.0,['워너브러더스 코리아(주)'],데이빗 예이츠,davidyates,"['판타지', '미스터리']",harrypotterandthedeathlyhallowspart2,['미국'],"[('다니엘 래드클리프', '해리 포터 '), ('엠마 왓슨', '헤르미온느'), ('루퍼트 그린트', '론 웨슬리')]",131.0,전체관람가,"마법사,소설원작,속편,시리즈,전쟁,지팡이,해리포터,성물,마법학교,영국소설원작,기차","모든 것을 끝낼 최후의 전투! 판타지의 아름다운 역사가 드디어 마침표를 찍는다!덤블도어 교장이 남긴 ‘죽음의 성물’의 단서를 쫓던 해리 포터는 볼드모트가 그토록 찾아 다닌 절대적인 힘을 가진 지팡이의 비밀을 통해 드디어 마지막 퍼즐을 완성한다. 볼드모트의 영혼이 담긴 다섯 번째 ‘호크룩스’를 찾기 위해 마법학교 호그와트로 돌아온 해리와 친구들은 그들을 잡으려는 보안마법에 걸려 위기를 맞지만 덤블도어의 동생인 에버포스의 도움으로 벗어난다. 그리고 그에게서 덤블도어와 어둠의 마법사 그린델왈드에 관한 놀라운 과거에 대해 알게 된다. 한편, 볼드모트는 해리에 의해 호크룩스들이 파괴되었음을 느끼고 호그와트로 향한다. 해리를 주축으로 한 불사조 기사단과 죽음을 먹는 자들 간의 마법전투가 벌어지고 여기에 거대거미 아크로맨투라와 거인족 등 마법 생물들이 볼드모트 편으로 가세하면서 호그와트는 거대한 전쟁터로 변한다. 전쟁의 틈에서 해리는 덤블도어를 죽인 스네이프의 엄청난 비밀과 볼드모트를 죽일 마지막 호크룩스에 대한 단서를 알게 되는데...",로저 이버트 Roger Ebert TOP 10(2011) : 16 -|미국배우조합상(2012) : 영화부문 스턴트 앙상블상 -,,,,,,,left_only
리얼스틸,2011-10-12,3579666.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],숀 레비,shawnlevy,"['액션', '드라마', 'SF']",realsteel,['미국'],"[('휴 잭맨', '')]",127.0,12세이상관람가,"로봇,복싱,챔피언타이틀,링,프로모터","치열한 로봇복싱의 세계를 그려낸 SF 리얼 블록버스터 로봇 파이터의 불가능한 도전이 시작된다!  2020년. 관중들의 뜨거운 열기로 가득 찬 복싱 경기장. 링 위에서 숨막히는 승부를 펼치는 이들은… 인간이 아닌 로봇 복서들이다! 찰리 켄튼 (휴 잭맨 분)은 챔피언 타이틀 도전에 실패한 전직 복서로, 무려 900kg에 2m 50cm가 넘는 거대한 로봇들이 사각의 링을 지배하는 시대를 살아가고 있다. 이제 삼류 프로모터가 되어버린 찰리는 겨우 번 돈으로 구입한 고철덩이리를 로봇 복서로 만들어, 지하의 복싱세계에서 벗어나 재기하려 한다. 나락으로 떨어진 찰리는 그동안 거리가 멀어졌던 자신의 아들 맥스 (다코다 고요)와 함께 팀을 이루어 대회에 출전시킬 도전자를 만들고 훈련시킨다. 잔인하고 무자비한 사각의 링을 배경으로, 찰리와 맥스는 모든 역경에도 불구하고 재기를 위한 마지막 도전에 나선다. 이 영화는  박물관이 살아 있다  시리즈와  브로큰 데이트 를 연출한 숀 레비가 감독을 맡았다.",,,,,,,,left_only
슈퍼배드3,2017-07-26,3324861.0,['유니버설픽쳐스인터내셔널 코리아(유)'],피에르 꼬팽,pierrecoffin,['애니메이션'],despicableme3,['미국'],"[('스티브 카렐', ''), ('크리스틴 위그', ''), ('트레이 파커', '')]",89.0,전체관람가,,"전 세계를 점령할 놈들이 온다!최고의 악당만을 보스로 섬기는 ‘미니언’  가족을 위해 악당 은퇴를 선언한 ‘그루’    그루의 배신에 실망한 미니언들은  스스로 악당이 되기 위해 그루를 떠난다.    한편, 같은 얼굴 다른 스펙의 쌍둥이 동생 ‘드루’의 등장으로 인해  그루는 자신이 역사상 가장 위대한 악당 가문의 후예임을 알게 되고,  거부할 수 없는 슈퍼배드의 운명을 따르게 되는데…    돌아온 그루와 미니언들은  다시 함께할 수 있을까?",,,,,,,,left_only
호빗뜻밖의여정,2012-12-13,2818993.0,['워너브러더스 코리아(주)'],피터 잭슨,peterjackson,"['어드벤처', '판타지']",thehobbitanunexpectedjourney,"['미국', '뉴질랜드']","[('마틴 프리먼', '빌보 배긴스'), ('이안 맥켈런', '간달프'), ('리차드 아미티지', ''), ('케이트 블란쳇', ''), ('크리스토퍼 리', ''), ('일라이저 우드', ''), ('앤디 서키스', ''), ('휴고 위빙', ''), ('베네딕트 컴버배치', '')]",169.0,12세이상관람가,"마법사,난쟁이,황무지,용사,반지","J.J.R 톨킨의 소설 `반지의 제왕`의 전편 격으로 알려진 소설 `호빗`을 영화한 작품이다. 무서운 용 스마우그가 지키고 있는 보물을 차지하기 위해 호빗 빌보와 동료들이 겪는 모험담으로 두 편의 시리즈로 제작된다.호빗족 ‘빌보 배긴스’는 어느 날 갑자기 찾아온 회색의 마법사 ‘간달프’로부터 뜻밖의 제안을 받는다.  오래 전 난쟁이족의 영토였지만 무시무시한 용 ‘스마우그’에게 빼앗겨 지금은 황무지로 변한 동쪽의 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 함께 떠나자는 것.  어쩔 수 없이 전설의 용사 ‘소린’이 이끄는 13명의 난쟁이족과 함께 고블린과 오르크, 흉악한 괴수 와르그, 마법사들과 마주쳐야 하는 위험 가득한 여정에 오른다.  외로운 산에 가기 위해서 반드시 거쳐야 하는 고블린 동굴에서 일행과 떨어져 헤매던 빌보는 그의 일생을 뒤바꿔놓는 존재인 ‘골룸’과 마주치게 되고, 골룸과의 수수께끼 대결 끝에 대단한 힘을 지닌 골룸의 보물 ‘절대반지’를 얻게 된다.  험난한 여행의 길에서 빌보는 그 동안 자신도 몰랐던 용기와 능력을 발견하지만, 바로 그 절대반지로 인해 아직 짐작도 못할 중간계의 거대한 운명에 휘말리게 되는데…",,,,,,,,left_only
해리포터와죽음의성물1,2010-12-15,2809053.0,['워너브러더스 코리아(주)'],데이빗 예이츠,davidyates,"['미스터리', '판타지']",harrypotterandthedeathlyhallowsparti,['미국'],"[('다니엘 래드클리프', '해리 포터'), ('엠마 왓슨', '헤르미온느'), ('루퍼트 그린트', '론 웨슬리')]",146.0,전체관람가,"소설원작,해리포터,호그와트,성물,마지막대결,영국소설원작,속편,시리즈","덤블도어 교장의 죽음 이후, 마법부는 죽음을 먹는 자들에게 점령당하고 호그와트는 위기에 빠진다. 이에 해리와 론, 헤르미온느는 볼드모트를 물리칠 수 있는 유일한 단서이자 그의 영혼이 담긴 ‘성물’ 호크룩스를 찾기 위한 위험한 여정에 나선다. 그러나 영혼이 연결되어 있는 볼드모트와 해리. 볼드모트를 파괴하면 해리의 목숨 또한 위태로워질지 모른다! 죽느냐 죽이느냐, 이제 그 마지막 대결은 극한을 향해 치닫는데…",,,,,,,,left_only
나우유씨미마술사기단,2013-08-22,2718227.0,['롯데쇼핑㈜롯데엔터테인먼트'],루이스 리테리어,louisleterrier,"['범죄', '액션', '스릴러']",nowyouseeme,['미국'],"[('제시 아이젠버그', '마이클 아틀라스'), ('마크 러팔로', '딜런 홉스'), ('우디 해럴슨', '메리트 오스본'), ('멜라니 로랑', '알마 바르가스'), ('아일라 피셔', '헨리'), ('데이브 프랑코', '잭'), ('마이클 케인', '아서 트레슬러'), ('모건 프리먼', '타데우스 브래들리')]",115.0,12세이상관람가,"FBI,라스베가스,마술,마술사,복수,두뇌싸움,마술쇼,인터폴",단 3초 만에 은행이 털렸다!1년 전 만해도 무명이었던 길거리 마술사 '포 호스맨'은 단 3초만에 파리 은행의 비자금을 통째로 털어 관객들에게 뿌리는 매직쇼를 성공시켜 전세계의 이목을 끈다. 하지만 이것은 '시선 끌기'였을 뿐! 포 호스맨의 범행은 점점 더 거대해지고 치밀해지는데... 전세계를 무대로 한 통쾌하고 짜릿한 완전범죄 매직쇼가 시작된다!,,,,,,,,left_only
트랜스포머최후의기사,2017-06-21,2614601.0,['롯데쇼핑㈜롯데엔터테인먼트'],마이클 베이,michaelbay,"['액션', '어드벤처', 'SF']",transformersthelastknight,['미국'],"[('마크 월버그', ''), ('안소니 홉킨스', ''), ('로라 하드독', ''), ('조쉬 더하멜', '')]",150.0,12세이상관람가,,"두 세상의 충돌, 하나만 살아남는다!옵티머스 프라임은 더 이상 인간의 편이 아니다.  트랜스포머의 고향 사이버트론의 재건을 위해 지구에 있는 고대 유물을 찾아나선 옵티머스 프라임은 인류와 피할 수 없는 갈등을 빚고, 오랜 동료 범블비와도 치명적인 대결을 해야만 하는데…    영원한 영웅은 없다!  하나의 세상이 존재하기 위해선 다른 세상이 멸망해야 한다!",,,,,,,,left_only
맘마미아2,2018-08-08,2285143.0,['유니버설픽쳐스인터내셔널 코리아(유)'],올 파커,olparker,['뮤지컬'],mammamiaherewegoagain,['미국'],"[('아만다 사이프리드', ''), ('릴리 제임스', ''), ('메릴 스트립', ''), ('피어스 브로스넌', ''), ('제레미 어바인', ''), ('콜린 퍼스', ''), ('휴 스키너', ''), ('스텔란 스카스가드', ''), ('조쉬 딜란', ''), ('줄리 월터스', ''), ('알렉사 데이비스', ''), ('크리스틴 바란스키', ''), ('제시카 키나 윈', ''), ('도미닉 쿠퍼', ''), ('셰어', ''), ('앤디 가르시아', ''), ('리차드 커티스', '시나리오(각본)'), ('캐서린 존슨', '시나리오(각본)'), ('올 파커', '시나리오(각본)')]",113.0,12세이상관람가,"뮤지컬영화,홀로서기,옛추억,한여름","전세계가 사랑한 최고의 뮤지컬 영화가 돌아온다!스카이(도미닉 쿠퍼)와의 행복한 여행이 끝나고, 마침내 그리스 칼로카이리 섬으로 돌아온 소피(아만다 사이프리드). 그녀는 엄마 도나(메릴 스트립)가 운영하던 호텔의 재개장을 준비하며 홀로서기를 결심한다.소피를 도와주기 위해 찾아온 도나의 오랜 친구 타냐와 로지, 그리고 그녀의 사랑스러운 세 아빠들(?) 샘, 해리, 빌까지! 소피는 이들과 소중한 시간을 함께 보내며, 한 번도 들은 적 없던 도나의 찬란했던 20대 추억을 들여다보게 된다.그리고 그들 앞에 뜻밖의 손님, 할머니 루비 셰리던(셰어)이 찾아오고, 영원히 잊지 못할 한여름의 파티가 시작되는데...올 여름, 인생 최고의 순간이 찾아옵니다!",,,,,,,,left_only
나잇데이,2010-06-24,2282191.0,['이십세기폭스코리아(주)'],제임스 맨골드,jamesmangold,"['액션', '코미디']",knightday,['미국'],"[('톰 크루즈', '로이 밀러'), ('카메론 디아즈', '준 헤이븐스')]",109.0,15세이상관람가,비밀요원,"위치타 공항에서 마주친 남자에게 눈길을 뺏기고만 준(카메론 디아즈). 탑승한 비행기의 옆자리에 좀전의 그 멋지고 신비로운 남자 로이 밀러(톰 크루즈)가 앉자 흥분을 누르고 대화를 시작한다. 하지만, 그녀가 잠시 화장실에 다녀온 사이 모든 상황은 완전히 뒤바뀐다. 갑자기 생존한 승무원과 승객이 하나도 보이지 않고, 밀러는 자신이 정부의 비밀 요원이고, 동료의 모함으로 위험에 처해있다지만, 준은, 그의 정체를 믿을 수 없다. 한숨 돌릴 사이도 없이 비행기는 옥수수 밭으로 추락해버리고, 정신을 차리기도 전 준은 전 세계를 누비며 낯선 사람들의 추격을 받는다. 보스턴에서는 총알 사이를 피해 달리고, 오스트리아에서는 옥상에서 뛰어내리며, 세비야에서 오토바이를 타고 황소 사이를 누빈다. 그녀는 사기꾼일 가능성이 농후한데다 다소 불안정하지만, 결정적으로 지극히 매력적인 이 비밀 요원과 생사가 달린 모험을 함께 한다. 이 모험은 평생 완전히 다른 세상에서 살아온 로이와 준이 오랫동안 회피해왔던 한 가지, 즉 서로를 신뢰 해야만 하는 상황으로 두 사람을 몰고 간다. 그녀는 밀러를 믿고 따라가야 할지 정보기관의 배신자로 치부해야 할지 고민에 빠져들지만, 이미 자신도 모르는 사이에 그의 비밀 프로젝트에 깊숙이 휘말리게 된 준은 밀러와 함께 전 세계를 누비는 목숨을 건 질주를 시작한다.",,,,,,,,left_only
이클립스,2010-07-07,2105050.0,['(주)넥스트엔터테인먼트월드(NEW)'],데이빗 슬레이드,davidslade,"['판타지', '멜로/로맨스', '스릴러']",thetwilightsagaeclipse,['미국'],"[('크리스틴 스튜어트', '벨라 스완'), ('로버트 패틴슨', '에드워드 컬렌'), ('테일러 로트너', '제이콥 블랙'), ('서동욱', '투자'), ('김재민', '배급진행')]",124.0,12세이상관람가,"늑대인간,뱀파이어,소설원작,흡혈,흡혈귀,미국소설원작,속편,시리즈",불멸의 사랑을 위해 뱀파이어가 되기로 결심한 벨라. 제이콥은 벨라의 선택을 가로막으며 자신을 택하도록 종용하고 이로 인해 에드워드와의 갈등은 더욱 심해진다. 한편 시애틀에서 의문의 연쇄살인사건이 일어나고 에드워드는 곧 이 사건의 배후를 알게 되지만 벨라에게는 비밀로 하는데…,,,,,,,,left_only
내부자들디오리지널,2015-12-31,2083999.0,['(주)쇼박스'],우민호,woominho,"['범죄', '드라마']",insidementheoriginal,['한국'],"[('신지수', '팬트하우스녀1'), ('이병헌', ''), ('조승우', ''), ('백윤식', ''), ('이경영', ''), ('김홍파', ''), ('배성우', ''), ('조재윤', ''), ('김대명', ''), ('조우진', ''), ('이엘', ''), ('정만식', '부장 검사'), ('김병옥', ''), ('박진우', ''), ('남일우', ''), ('김의성', '편집국장'), ('손종학', '대외협력실장'), ('조덕제', '최 형사'), ('유재명', '수석기사3'), ('강선주', '제작팀'), ('김상범', '편집'), ('김정희', 'VFX 아티스트')]",180.0,청소년관람불가,,,,,,,,,,left_only
페르시아의왕자시간의모래,2010-05-27,2003533.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],마이크 뉴웰,mikenewell,"['액션', '어드벤처', '판타지']",princeofpersiathesandsoftime,['미국'],"[('제이크 질렌할', ''), ('젬마 아터튼', ''), ('벤 킹슬리', '')]",116.0,12세이상관람가,게임원작,"천하를 정복한 신비의 제국 페르시아를 배경으로 펼쳐지는 대서사 액션 대작.시간을 되돌릴 수 있는 고대의 단검을 둘러싸고 진정한 용기를 가진 페르시아의 왕자와 세상을 파멸시키려는 반역자, 그리고 단검을 비밀의 사원으로 가져가야만 하는 공주의 운명이 격돌한다.",,,,,,,,left_only
퍼시잭슨과번개도둑,2010-02-11,1877226.0,['이십세기폭스코리아(주)'],크리스 콜럼버스,chriscolumbus,"['판타지', '어드벤처']",percyjacksontheolympiansthelightningthief,['미국'],"[('로건 레먼', ''), ('피어스 브로스넌', ''), ('우마 서먼', ''), ('숀 빈', ''), ('로자리오 도슨', ''), ('케빈 맥키드', '')]",118.0,12세이상관람가,"그리스신화,번개,신,지옥,초능력,펜,제우스,포세이돈,메두사","고대 그리스 신들이 함께 공존하는 현대 도시. 그 속에는 '헤라클레스'와 '페르세우스' 처럼 '반신반인'으로 신과 인간 사이에서 태어나 각기 특별한 능력을 부여 받은 '데미갓'들이 존재한다. 17세의 퍼시 잭슨(로건 레먼) 역시 자신은 알지 못하지만, 바다를 지배하는 신 '포세이돈'과의 사이에태어난 '데미갓'으로 최근 들어 더욱 심해진 난독증으로 인한 주의력 결핍으로 학교 생활에 적응하지 못해 고민하는 지극히 평범한 소년. 그러나 아버지의 능력을 타고 태어나 물에서 만큼은 편안하고, 안정감이 느껴진다. 친구 그로버(브랜든 T 잭슨)만이 곁에서 그를 격려하고, 엄마 샐리는 언젠가 모든 것이 확실해질 날이 올 것이라고 위로한다. 어느 날, 신들의 제왕인 제우스의 번개가 사라지는 사건으로 인해 인간 세계에는 엄청난 재앙이 예고되고, 졸지에 번개도둑으로 지목 받은 퍼시 잭슨은 자신의 누명을 벗고 신들의 전쟁을 막아야만 하는 절대 임무를 부여 받는다.곧바로 '데미갓'들이 타고난 능력을 훈련하는 캠프로 보내진 그는 그곳에서 만난 지혜의 여신 아테나의 딸 아나베스와 그의 수호자이자 반인반수인 켄타우로스의 일족인 친구 그로버와 함께 번개의 행방의 열쇠를 쥔 지옥의 신 하데스를 찾아가는 퍼시. 신화를 거슬러 살인마 메두사와 거대 괴물 히드라, 미노타우로스 등이 현대 도시에 출몰, 퍼시 일행을 공격하며 여정을 가로막는데..",,,,,,,,left_only
쥬만지새로운세계,2018-01-03,1708672.0,['소니픽쳐스엔터테인먼트코리아주식회사극장배급지점'],제이크 캐스단,jakekasdan,"['액션', '어드벤처']",jumanjiwelcometothejungle,['미국'],"[('드웨인 존슨', ''), ('잭 블랙', ''), ('케빈 하트', ''), ('카렌 길런', ''), ('매디슨 아이스먼', '')]",118.0,12세이상관람가,,"학교 창고를 청소하다가 낡은 ‘쥬만지’ 비디오 게임을 발견한 네 명의 아이들.게임 버튼을 누르는 순간 화면 속으로 빨려 들어가버렸다!거대한 몸집의 고고학자 닥터 브레이브스톤(드웨인 존슨)으로 변한 공부벌레 스펜서,슈퍼 여전사 루비 라운드하우스(카렌 길런)가 된 운동신경 제로 마사,저질체력의 동물학 전문가 무스 핀바(케빈 하트)가 된 예비 풋볼선수 프리지,중년의 지도 연구학 교수 셸리 오베론(잭 블랙)으로 변해버린 SNS 중독 퀸카 베서니까지.이들은 자신의 아바타가 가진 능력으로 게임 속 세계를 구하는 미션을 수행하고 현실로 돌아가야만 하는데….전설의 게임이 다시 시작된다!",,,,,,,,left_only
새미의어드벤쳐2,2012-08-01,1452872.0,['씨제이이앤엠(주)'],벤 스타센,benstassen,"['애니메이션', '어드벤처']",sammysadventures2,['벨기에'],"[('아이유', '엘라'), ('이기광', '리키'), ('김원효', '빅D')]",92.0,전체관람가,"바다거북이,할아버지,밀렵꾼,탈출,아쿠아리움","새미를 구하기 위한 손녀 엘라의 바닷 속 어드벤쳐가 시작된다!  바다거북이 새미와 레이는 이제 세상에 태어난 손자 리키와 손녀 엘라가 바다로 가는 것을 도와주며 평화로운 생활을 만끽한다. 그러던 어느 날 갑자기 밀렵꾼이 나타나 새미와 레이를 두바이 관광객들을 위한 아쿠아리움에 가둬버린다. 새미와 레이는 그곳에서 못생긴 블로브피시, 건방진 랍스터, 사랑스러운 문어, 펭귄 가족들과 친구가 되어 함께 탈출을 계획하지만 두목 해마 빅D가 이들의 계획을 방해하게 되면서 아슬아슬한 위기를 맞게 되는데…  새미와 레이를 구하러 아쿠아리움으로 들어온 리키와 엘라는 새로운 세상을 만나 스릴 넘치는 모험에 도전한다.",,,,,,,,left_only
램페이지,2018-04-12,1385511.0,['워너브러더스 코리아(주)'],브래드 페이튼,bradpeyton,['액션'],rampage,['미국'],"[('드웨인 존슨', ''), ('제프리 딘 모건', ''), ('나오미 해리스', ''), ('말린 애커맨', ''), ('조 맨가니엘로', ''), ('말리 쉘튼', '')]",107.0,12세이상관람가,"게임원작,게임영화화,괴수영화,고릴라,몬스터,유전자변이,거대괴수,파괴,블록버스터,더락,드웨인존슨,램페이지",거대 기업의 유전자 실험으로 거대 몬스터가 된 친구 고릴라와 괴수들의 광란을 막기 위한 동물학자의 사투를 그린 재난 블록버스터,,,,,,,,left_only
신들의전쟁,2011-11-10,1338411.0,['(주)넥스트엔터테인먼트월드(NEW)'],타셈 싱,tarsemsingh,"['드라마', '액션', '판타지']",immortals,['미국'],"[('미키 루크', '하이페리온 왕 '), ('헨리 카빌', '테세우스 '), ('프리다 핀토', '페드라 '), ('김재민', '배급진행')]",110.0,청소년관람불가,"신,영웅,올림푸스,전쟁,석공,예지자,운명","세상을 구할 단 한 명, 신들이 추대한 영웅이 깨어난다!  올림푸스 신들의 통치 하에 평화로웠던 세상. 권력에 대한 탐욕으로 가득 찬 ‘하이페리온’(미키 루크) 왕이 세상을 지배하기 위해 신들을 향한 전쟁을 선포하며 세계는 거대한 혼란에 빠진다. 인간 세계의 혼돈이 극에 달하자, 인간의 전쟁에 관여할 수 없다는 올림푸스의 규율을 지켜야 하는 신들은 자신들을 대신할 수 있는 한 명의 인간을 ‘신의 전사’로 추대하기로 한다.  평범한 석공인 청년 ‘테세우스’(헨리 카빌)는 하이페리온 왕의 폭정으로 가족을 잃고 복수를 다짐하며 하루하루를 지낸다. 어느 날 그 앞에 나타난 예지자 ‘페드라’(프리다 핀토)는 그가 바로 세상을 구할 수 있는 유일한 존재임을 예언하고, 테세우스는 평범한 인간에서 벗어나 신의 뜻을 대신할 유일한 전사로써 자신의 운명을 받아들이게 된다. 그는 예지자의 말에 따라 오직 단 한 명의 영웅에게만 그 힘을 허락한다는 신화 속 불멸의 무기 ‘에피루스의 활’를 찾아 험난한 길을 나서게 되고, 마침내 신이 추대한 전사이자 불멸의 영웅으로 새롭게 깨어난 테세우스는 신과 인간 모두의 운명을 건 하이페리온 왕과의 마지막 전쟁을 시작하는데…!",,,,,,,,left_only
드라큘라전설의시작,2014-10-08,1321751.0,['유니버설픽쳐스인터내셔널 코리아(유)'],개리 쇼어,garyshore,"['판타지', '액션']",draculauntold,['미국'],"[('루크 에반스', ''), ('도미닉 쿠퍼', '')]",92.0,15세이상관람가,"드라큐라,드라큘라,흡혈귀,루마니아,오스만투르크,뱀파이어,술탄",악에 맞서기 위해 스스로 어둠의 길을 선택한 영웅!절대 악 술탄의 침략으로 고통 받는 세상을 구하기 위해 스스로 어둠의 존재가 되기를 선택한 드라큘라 백작. 악마와의 계약으로 절대적인 힘을 손에 넣지만 그 대가로 피할 수 없는 저주에 빠지고 마는데...,,,,,,,,left_only
월드인베이젼,2011-03-10,1307873.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],조나단 리브스만,jonathanliebesman,"['SF', '액션']",worldinvasion,['미국'],"[('아론 에크하트', ''), ('미쉘 로드리게즈', ''), ('브리짓 모나핸', '')]",116.0,12세이상관람가,"UFO,목격,정체불명,세계도시,파괴,하사","지난 수십 년간 UFO 목격 사례는 전세계 각지에서 꾸준하게 보고 된다. 그러던 2011년 또 다시 UFO 가 목격 되고, 이와 동시에 정체불명의 적으로부터 일제히 무차별 공격이 시작된다. 순식간에 세계 주요 도시가 무참히 파괴되고 낸츠 하사는 자신의 부대와 함께 사상 최대 임무를 맡아 인류를 지키기 위해 지금껏 싸워 본적 없는 적들과 맞서기 시작한다.",,,,,,,,left_only
토탈리콜,2012-08-15,1219637.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],렌 와이즈먼,lenwiseman,"['SF', '액션']",totalrecall,"['미국', '캐나다']","[('콜린 파렐', '더그 퀘이드'), ('케이트 베킨세일', '로리'), ('제시카 비엘', '')]",118.0,15세이상관람가,"악몽,기억,스파이,의문의여인","평범한 일상을 보내던 ‘더글라스 퀘이드(콜린 파렐)’는 매일 아침 의미를 알수 없는 악몽에서 깨어나며 괴로워한다. 그러던 어느날, 완벽한 기억을 심어서 고객이 원하는 환상을 현실로 바꿔준다는 “리콜사”를 방문해 자신의 꿈을 체험해 보기로 한다. 하지만 기억을 심는 과정에서 의문의 사고가 일어나고 그는 정신을 차릴 틈도 없이 전세계의 운명이 걸린 거대한 음모 속에 휘말리게 된다.  졸지에 스파이로 몰리게 된 퀘이드. 거대한 세력을 상대로 숨막히는 추격전이 시작되고, 심지어 사랑하는 아내 ‘로리(케이트 베킨세일)’마저 자신을 죽이려 한다. 한편, 갑자기 자신 앞에 나타난 의문의 여인 ‘멜리나(제시카 비엘)’는 그에게 적에 맞서 싸우자 제안하고, 현실과 심어진 기억의 경계에서 퀘이드는 점점 더 혼란스러워하는데…",,,,,,,,left_only
레지던트이블4끝나지않은전쟁3d,2010-09-16,1209538.0,['한국소니픽쳐스릴리징브에나비스타영화㈜'],폴 W.S. 앤더슨,paulwsanderson,"['공포(호러)', '스릴러', '액션']",residentevilafterlife,"['독일', '미국', '영국']","[('밀라 요보비치', ''), ('웬트워스 밀러', '')]",96.0,청소년관람불가,"바이러스,시리즈,속편","엄브렐러 코퍼레이션의 T-바이러스가 전세계를 위험에 빠뜨리고, 인류의 마지막 희망 ‘앨리스’는 거대한 반격을 준비하지만 엄브렐라가 탄생시킨 새로운 크리쳐와 최강 언데드들은 상상 이상의 파워로 그들을 공격한다. T-바이러스의 비밀을 알고 있는 ‘크리스’에게 도움을 받아 위기에서 벗어난 ‘앨리스.’ 하지만 엄브렐러 코퍼레이션의 수장이자 초인적인 능력을 지닌 최강의 적 ‘웨스커’가 거대한 반격으로 그들을 위협하는데…",,,,,,,,left_only
