movieNm,movieDrKofic,prodCompany,impCompany,distCompany,openDtKofic,State,longShort,nationNm,screenCnt,salesAcc,audiAcc,salesSeoul,audiSeoul,genres,watchGrade,classify,movieOriNm,openDtTMDB,movieDrTMDB,budget,ori_lang,series,crewData,castData,keyWord,_merge
레이드2반격의시작,,,,,,,,,,,,,,,,,The Raid 2,2014-07-09,['Gareth Evans'],4500000.0,"['ar', 'id', 'ja', 'en']",1.0,"[{'name': 'Gareth Evans', 'gender': 2, 'department': 'Director'}, {'name': 'Gareth Evans', 'gender': 2, 'department': 'Writer'}, {'name': 'Nate Bolotin', 'gender': 0, 'department': 'Producer'}, {'name': 'Ario Sagantoro', 'gender': 2, 'department': 'Producer'}, {'name': 'Aram Tertzakian', 'gender': 0, 'department': 'Producer'}, {'name': 'Rangga Maya Barack-Evans', 'gender': 2, 'department': 'Executive Producer'}, {'name': 'Todd Brown', 'gender': 0, 'department': 'Executive Producer'}, {'name': 'Irwan D. Mussry', 'gender': 0, 'department': 'Executive Producer'}, {'name': 'Nick Spicer', 'gender': 0, 'department': 'Executive Producer'}, {'name': 'Aria Prayogi', 'gender': 0, 'department': 'Original Music Composer'}, {'name': 'Joseph Trapanese', 'gender': 0, 'department': 'Original Music Composer'}, {'name': 'Fajar Yuskemal', 'gender': 0, 'department': 'Original Music Composer'}, {'name': 'Matt Flannery', 'gender': 2, 'department': 'Director of Photography'}, {'name': 'Dimas Imam Subhono', 'gender': 0, 'department': 'Director of Photography'}, {'name': 'Gareth Evans', 'gender': 2, 'department': 'Editor'}, {'name': 'Kumalasari Tanara', 'gender': 0, 'department': 'Makeup Artist'}, {'name': 'Kim Foscato', 'gender': 1, 'department': 'Sound Effects Editor'}, {'name': 'Jonathan Greber', 'gender': 0, 'department': 'Supervising Sound Editor'}, {'name': 'Zach Martin', 'gender': 0, 'department': 'Sound Re-Recording Mixer'}, {'name': 'Brandon Proctor', 'gender': 0, 'department': 'Sound Designer'}, {'name': 'Doug Winningham', 'gender': 0, 'department': 'Sound Effects Editor'}, {'name': 'Bonnie Wiryani', 'gender': 0, 'department': 'Translator'}, {'name': 'Tomy Dwi Setyanto', 'gender': 0, 'department': 'Art Direction'}, {'name': 'Ronni Brown', 'gender': 0, 'department': 'Foley Artist'}, {'name': 'Sean England', 'gender': 0, 'department': 'Foley Artist'}, {'name': 'Jonathan Greber', 'gender': 0, 'department': 'Foley Editor'}, {'name': 'Corey Tyler', 'gender': 0, 'department': 'Foley Mixer'}, {'name': 'Brandon Proctor', 'gender': 0, 'department': 'Sound Re-Recording Mixer'}, {'name': 'Ichsan Rachmaditta', 'gender': 0, 'department': 'Sound Recordist'}, {'name': 'Yayan Ruhian', 'gender': 0, 'department': 'Fight Choreographer'}, {'name': 'Iko Uwais', 'gender': 2, 'department': 'Fight Choreographer'}, {'name': 'Danu Prasd', 'gender': 0, 'department': 'Digital Imaging Technician'}, {'name': 'Adi Supriadi', 'gender': 0, 'department': 'Digital Intermediate Colorist'}, {'name': 'Didik Juwandi A.', 'gender': 0, 'department': 'Visual Effects'}, {'name': 'Aria Prayogi', 'gender': 0, 'department': 'Dialogue Editor'}, {'name': 'Fajar Yuskemal', 'gender': 0, 'department': 'Dialogue Editor'}, {'name': 'Ginanti Rona Tembang Asri', 'gender': 1, 'department': 'Assistant Director'}]","[{'name': 'Iko Uwais', 'gender': 2}, {'name': 'Arifin Putra', 'gender': 0}, {'name': 'Oka Antara', 'gender': 2}, {'name': 'Tio Pakusadewo', 'gender': 2}, {'name': 'Alex Abbad', 'gender': 0}, {'name': ""Ken'ichi Endô"", 'gender': 2}, {'name': 'Cok Simbara', 'gender': 0}, {'name': 'Cecep Arif Rahman', 'gender': 0}, {'name': 'Julie Estelle', 'gender': 1}, {'name': 'Very Tri Yulisman', 'gender': 2}, {'name': 'Yayan Ruhian', 'gender': 0}, {'name': 'Kazuki Kitamura', 'gender': 2}, {'name': 'Ryuhei Matsuda', 'gender': 2}, {'name': 'Donny Alamsyah', 'gender': 2}, {'name': 'Roy Marten', 'gender': 2}, {'name': 'Epy Kusnandar', 'gender': 0}, {'name': 'Marsha Timothy', 'gender': 1}, {'name': 'Zack Lee', 'gender': 0}]","['prison', 'undercover', 'fight', 'gangster', 'police', 'violence', 'outnumbered']",right_only
레이와리즈,,,,,,,,,,,,,,,,,Ray & Liz,2019-05-04,['Richard Billingham'],601191.0,['en'],0.0,"[{'name': 'Richard Billingham', 'gender': 0, 'department': 'Director'}, {'name': 'Richard Billingham', 'gender': 0, 'department': 'Writer'}, {'name': 'Jacqui Davies', 'gender': 0, 'department': 'Producer'}, {'name': 'Tracy Granger', 'gender': 1, 'department': 'Editor'}, {'name': 'Daniel Landin', 'gender': 2, 'department': 'Cinematography'}]","[{'name': 'Justin Salinger', 'gender': 2}, {'name': 'Ella Smith', 'gender': 1}, {'name': 'Patrick Romer', 'gender': 0}, {'name': 'Deirdre Kelly', 'gender': 1}, {'name': 'Tony Way', 'gender': 2}, {'name': 'Sam Gittins', 'gender': 2}, {'name': 'Richard Ashton', 'gender': 2}, {'name': 'Joshua Millard-Lloyd', 'gender': 0}, {'name': 'Mary Helen Donald', 'gender': 0}, {'name': 'Jacob Tuton', 'gender': 0}, {'name': 'Sam Plant', 'gender': 0}, {'name': 'Callum Slater', 'gender': 0}, {'name': 'James Eeles', 'gender': 0}, {'name': 'James Hinton', 'gender': 0}, {'name': 'Sam Dodd', 'gender': 0}, {'name': 'Zoe Holness', 'gender': 0}, {'name': 'Scott Stevens', 'gender': 2}, {'name': 'Michelle Bonnard', 'gender': 1}, {'name': 'Kaine Zajaz', 'gender': 0}, {'name': 'Roscoe Cox', 'gender': 0}, {'name': 'Richard Brown', 'gender': 0}, {'name': 'Lynn Rhodes', 'gender': 0}, {'name': 'Andrew Jefferson-Tierney', 'gender': 0}, {'name': 'David Heeks', 'gender': 0}, {'name': 'Ramona Billingham', 'gender': 0}, {'name': 'Walter Billingham', 'gender': 0}, {'name': 'Louis Phillips', 'gender': 0}, {'name': 'Sam Durnall', 'gender': 0}, {'name': 'Jason Billingham', 'gender': 0}]",,right_only
레이로마노홈그라운드,,,,,,,,,,,,,,,,,"Ray Romano: Right Here, Around the Corner",2019-02-05,['Michael Showalter'],0.0,['en'],0.0,"[{'name': 'Ray Romano', 'gender': 2, 'department': 'Writer'}, {'name': 'Michael Showalter', 'gender': 2, 'department': 'Director'}]","[{'name': 'Ray Romano', 'gender': 2}]","['stand-up comedy', 'stand-up comedian', 'irreverent']",right_only
리마스터드샘쿡두번죽다,,,,,,,,,,,,,,,,,ReMastered: The Two Killings of Sam Cooke,2019-02-08,['Kelly Duane de la Vega'],0.0,['en'],0.0,"[{'name': 'Kelly Duane de la Vega', 'gender': 1, 'department': 'Director'}, {'name': 'Jeff Zimbalist', 'gender': 2, 'department': 'Writer'}, {'name': 'Michael Zimbalist', 'gender': 2, 'department': 'Writer'}, {'name': 'Daniel Lessner', 'gender': 0, 'department': 'Original Music Composer'}, {'name': 'Inbal B. Lessner', 'gender': 0, 'department': 'Editor'}, {'name': 'Katrina Taylor', 'gender': 0, 'department': 'Editor'}, {'name': 'Jeff Zimbalist', 'gender': 2, 'department': 'Executive Producer'}, {'name': 'Michael Zimbalist', 'gender': 2, 'department': 'Executive Producer'}]","[{'name': 'Sam Cooke', 'gender': 0}, {'name': 'Jim Brown', 'gender': 2}, {'name': 'Quincy Jones', 'gender': 2}, {'name': 'Smokey Robinson', 'gender': 2}, {'name': 'Dionne Warwick', 'gender': 1}]",['music'],right_only
reachforthesky,,,,,,,,,,,,,,,,,Reach for the SKY,2015-10-01,"['Steven Dhoedt', 'Wooyoung Choi']",0.0,['ko'],0.0,"[{'name': 'Steven Dhoedt', 'gender': 2, 'department': 'Director'}, {'name': 'Wooyoung Choi', 'gender': 0, 'department': 'Director'}]",,,right_only
recuerdosdeunamañana,,,,,,,,,,,,,,,,,Memories of a Morning,2011-01-01,['José Luis Guerin'],0.0,,0.0,"[{'name': 'José Luis Guerin', 'gender': 0, 'department': 'Director'}]",,,right_only
redmaria2,,,,,,,,,,,,,,,,,Red Maria 2,2015-09-18,['Kyung-Soon'],0.0,,0.0,"[{'name': 'Kyung-Soon', 'gender': 0, 'department': 'Director'}]",,,right_only
theredphallus,,,,,,,,,,,,,,,,,The Red Phallus,2018-10-06,['Tashi Gyeltshen'],0.0,['dz'],0.0,"[{'name': 'Tashi Gyeltshen', 'gender': 0, 'department': 'Director'}, {'name': 'Tashi Gyeltshen', 'gender': 0, 'department': 'Writer'}]",,,right_only
redroom,,,,,,,,,,,,,,,,,Red Room,2017-08-18,,0.0,"['en', 'ko']",0.0,,"[{'name': 'Irene', 'gender': 1}, {'name': 'Seulgi', 'gender': 1}, {'name': 'Wendy', 'gender': 1}, {'name': 'Joy', 'gender': 1}, {'name': 'Yeri', 'gender': 1}]",,right_only
redmare,,,,,,,,,,,,,,,,,Redmare,2018-08-04,,0.0,['ko'],0.0,,"[{'name': 'Irene', 'gender': 1}, {'name': 'Seulgi', 'gender': 1}, {'name': 'Wendy', 'gender': 1}, {'name': 'Joy', 'gender': 1}, {'name': 'Yeri', 'gender': 1}]",,right_only
