movieNm,movieDrKofic,prodCompany,impCompany,distCompany,openDtKofic,State,longShort,nationNm,screenCnt,salesAcc,audiAcc,salesSeoul,audiSeoul,genres,watchGrade,classify,movieOriNm,openDtTMDB,movieDrTMDB,budget,ori_lang,series,crewData,castData,keyWord,_merge
1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,1299.0,58165581145.0,7231638.0,14638920495.0,1776877.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
킹스맨골든서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,개봉영화,장편,미국,1687.0,40987484736.0,4945484.0,12306638886.0,1419759.0,액션,청소년관람불가,일반영화,,,,,,,,,,left_only
주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,개봉영화,장편,미국,661.0,37077444042.0,4703245.0,12142771642.0,1465960.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
해리포터와죽음의성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,개봉영화,장편,미국,757.0,34507819000.0,4400298.0,11183806000.0,1361311.0,판타지,전체관람가,일반영화,,,,,,,,,,left_only
전우치,최동훈,영화사 집,,씨제이엔터테인먼트,2009-12-23,개봉영화,장편,한국,606.0,26770717436.0,3671356.0,7781335500.0,1009619.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
리얼스틸,숀 레비,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,개봉영화,장편,미국,603.0,26566677000.0,3579666.0,8578776500.0,1090591.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
슈퍼배드3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,개봉영화,장편,미국,1057.0,24216987019.0,3324861.0,5558252919.0,723552.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
호빗뜻밖의여정,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-12-13,개봉영화,장편,미국,1028.0,23436820716.0,2818993.0,8241919216.0,910976.0,어드벤처,12세이상관람가,일반영화,,,,,,,,,,left_only
해리포터와죽음의성물1,데이빗 예이츠,헤이데이필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-12-15,개봉영화,장편,미국,718.0,19906900266.0,2809053.0,6430256500.0,866701.0,미스터리,전체관람가,일반영화,,,,,,,,,,left_only
나우유씨미마술사기단,루이스 리테리어,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,개봉영화,장편,미국,691.0,19146691869.0,2718227.0,6322143282.0,855244.0,범죄,12세이상관람가,일반영화,,,,,,,,,,left_only
트랜스포머최후의기사,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2017-06-21,개봉영화,장편,미국,1739.0,21501959228.0,2614601.0,5273073728.0,609345.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
맘마미아2,올 파커,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-08-08,개봉영화,장편,미국,750.0,19532365003.0,2285143.0,6377571153.0,732343.0,뮤지컬,12세이상관람가,일반영화,,,,,,,,,,left_only
나잇데이,제임스 맨골드,"뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크",이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-24,개봉영화,장편,미국,501.0,17054262425.0,2282191.0,6032890000.0,771899.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
이클립스,데이빗 슬레이드,서미트 엔터티인먼트,판씨네마(주),(주)넥스트엔터테인먼트월드(NEW),2010-07-07,개봉영화,장편,미국,535.0,15192541723.0,2105050.0,4906227000.0,648625.0,판타지,12세이상관람가,일반영화,,,,,,,,,,left_only
내부자들디오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,개봉영화,장편,한국,838.0,16973885275.0,2083999.0,4701340971.0,564863.0,범죄,청소년관람불가,일반영화,,,,,,,,,,left_only
페르시아의왕자시간의모래,마이크 뉴웰,월트 디즈니 픽쳐스,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-05-27,개봉영화,장편,미국,570.0,14717552534.0,2003533.0,4744931500.0,613211.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
퍼시잭슨과번개도둑,크리스 콜럼버스,폭스2000픽처스,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-02-11,개봉영화,장편,미국,353.0,13372357257.0,1877226.0,3823887000.0,508812.0,판타지,12세이상관람가,일반영화,,,,,,,,,,left_only
쥬만지새로운세계,제이크 캐스단,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-03,개봉영화,장편,미국,791.0,13814824864.0,1708672.0,3546830914.0,421003.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
해무海霧,심성보,"(주)해무,(주)루이스 픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2014-08-13,개봉영화,장편,한국,584.0,11631310219.0,1466830.0,3232230219.0,393674.0,드라마,청소년관람불가,일반영화,,,,,,,,,,left_only
새미의어드벤쳐2,벤 스타센,,데이지엔터테인먼트,씨제이이앤엠(주),2012-08-01,개봉영화,장편,벨기에,486.0,10805555000.0,1452872.0,2214827000.0,279930.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
램페이지,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-04-12,개봉영화,장편,미국,909.0,11951980109.0,1385511.0,2979863959.0,329834.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
신들의전쟁,타셈 싱,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-11-10,개봉영화,장편,미국,525.0,11726682000.0,1338411.0,4049820000.0,437778.0,드라마,청소년관람불가,일반영화,,,,,,,,,,left_only
드라큘라전설의시작,개리 쇼어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-10-08,개봉영화,장편,미국,477.0,10607703908.0,1321751.0,3096355208.0,372677.0,판타지,15세이상관람가,일반영화,,,,,,,,,,left_only
월드인베이젼,조나단 리브스만,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-03-10,개봉영화,장편,미국,441.0,9799358000.0,1307873.0,3039985500.0,384389.0,SF,12세이상관람가,일반영화,,,,,,,,,,left_only
토탈리콜,렌 와이즈먼,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-08-15,개봉영화,장편,미국,448.0,8958236000.0,1219637.0,2911318500.0,378245.0,SF,15세이상관람가,일반영화,,,,,,,,,,left_only
레지던트이블4끝나지않은전쟁3d,폴 W.S. 앤더슨,콘스탄틴 필름 프로덕션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-16,개봉영화,장편,독일,335.0,14767125516.0,1209538.0,4547529000.0,365095.0,공포(호러),청소년관람불가,일반영화,,,,,,,,,,left_only
r2b리턴투베이스,김동원,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠(주)",,씨제이이앤엠(주),2012-08-15,개봉영화,장편,한국,539.0,8600489371.0,1201640.0,1993557324.0,264850.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
웜바디스,조나단 레빈,,데이지엔터테인먼트,씨제이이앤엠(주),2013-03-14,개봉영화,장편,미국,477.0,8361708124.0,1169839.0,2687807624.0,357532.0,멜로/로맨스,15세이상관람가,일반영화,,,,,,,,,,left_only
퍼시픽림업라이징,스티븐 S. 드나이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-03-21,개봉영화,장편,미국,1145.0,8962712795.0,1077235.0,2487116295.0,278336.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
가디언즈,피터 램지,드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2012-11-29,개봉영화,장편,미국,470.0,8212243000.0,1075584.0,2372102000.0,283476.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
몬스터호텔3,젠디 타타코브스키,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-08,개봉영화,장편,미국,715.0,7932156800.0,1072006.0,1410233600.0,183174.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
셜록홈즈,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2009-12-23,개봉영화,장편,미국,377.0,7916661629.0,1070297.0,2820142000.0,361676.0,미스터리,12세이상관람가,일반영화,,,,,,,,,,left_only
지오스톰,"딘 데블린,대니 캐넌",,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-10-19,개봉영화,장편,미국,854.0,8480864614.0,1028384.0,2098804714.0,238747.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
파퍼씨네펭귄들,마크 워터스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-09-07,개봉영화,장편,미국,333.0,7043993000.0,979739.0,2328595500.0,306323.0,코미디,전체관람가,일반영화,,,,,,,,,,left_only
잭더자이언트킬러,브라이언 싱어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-02-28,개봉영화,장편,미국,507.0,7376481000.0,956154.0,2098720500.0,250941.0,판타지,12세이상관람가,일반영화,,,,,,,,,,left_only
스텝업4레볼루션,스콧 스피어,,(주)나이너스엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-08-15,개봉영화,장편,미국,281.0,7157894000.0,953871.0,2323462500.0,290400.0,멜로/로맨스,12세이상관람가,일반영화,,,,,,,,,,left_only
새미의어드벤쳐,벤 스타센,엔웨이브필름,데이지엔터테인먼트,씨제이엔터테인먼트,2010-12-15,개봉영화,장편,벨기에,311.0,8919480155.0,946615.0,2211410500.0,218696.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
주먹왕랄프,리치 무어,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-12-19,개봉영화,장편,미국,361.0,6589435500.0,918183.0,1831749500.0,239435.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
타이탄의분노,조나단 리브스만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-03-29,개봉영화,장편,미국,535.0,7591124500.0,893027.0,2199173000.0,239530.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
디스민즈워,맥지,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-02-29,개봉영화,장편,미국,351.0,6661435000.0,873396.0,2606658000.0,326981.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
고死두번째이야기교생실습,유선동,(주)코어콘텐츠미디어,,(주)넥스트엔터테인먼트월드(NEW),2010-07-28,개봉영화,장편,한국,320.0,5901045987.0,872594.0,1154161500.0,162101.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
존카터바숨전쟁의서막,앤드류 스탠튼,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,개봉영화,장편,미국,508.0,7218670500.0,837426.0,1990997500.0,211589.0,SF,12세이상관람가,일반영화,,,,,,,,,,left_only
인시디어스3,리 워넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-09,개봉영화,장편,미국,409.0,6396650620.0,825517.0,1542181920.0,191674.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
킹스스피치,톰 후퍼,,(주)영화사그랑프리,(주)화앤담이엔티,2011-03-17,개봉영화,장편,영국,317.0,5963126500.0,806248.0,2670236000.0,344099.0,드라마,12세이상관람가,일반영화,,,,,,,,,,left_only
a특공대,조 카나한,듄 엔터테인먼트,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-06-10,개봉영화,장편,미국,330.0,5890424042.0,791173.0,1983672000.0,253638.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,개봉영화,장편,미국,754.0,5656281303.0,689071.0,1920944703.0,224942.0,미스터리,15세이상관람가,일반영화,,,,,,,,,,left_only
스텝업3d,존 추,오프스프링,(주)나이너스엔터테인먼트,(주)화앤담이엔티,2010-08-05,개봉영화,장편,미국,253.0,7462604919.0,682712.0,2419206500.0,214074.0,드라마,12세이상관람가,일반영화,,,,,,,,,,left_only
하늘에서음식이내린다면,"필 로드,크리스 밀러",소니 픽쳐스 애니메이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-02-11,개봉영화,장편,미국,281.0,5500218152.0,665096.0,1686106500.0,187169.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
삼총사3d,폴 W.S. 앤더슨,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,개봉영화,장편,독일,510.0,5710755500.0,657564.0,2047683000.0,217628.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
오션스,"자끄 페렝,자크 클로드",가라티필름,(주)유니코리아문예투자,롯데쇼핑㈜롯데엔터테인먼트,2010-07-28,개봉영화,장편,프랑스,217.0,4473889375.0,650994.0,1145436000.0,158175.0,다큐멘터리,전체관람가,독립/예술영화,,,,,,,,,,left_only
스노우화이트앤더헌츠맨,루퍼트 샌더스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,개봉영화,장편,미국,447.0,4646250000.0,636631.0,1477032000.0,191591.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
더임파서블,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,개봉영화,장편,스페인,408.0,4444581500.0,622572.0,1193576000.0,161126.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
아더크리스마스,베리 쿡,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,개봉영화,장편,미국,356.0,4779642000.0,622286.0,1276658000.0,153783.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
그린존,폴 그린그래스,유니버셜 픽쳐스,(주)월드시네마,(주)싸이더스,2010-03-25,개봉영화,장편,미국,280.0,4534073117.0,606841.0,1764722500.0,224900.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
다이노소어어드벤처3d,"베리 쿡,닐 나이팅게일",,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-12-19,개봉영화,장편,미국,464.0,4860516500.0,599963.0,1098977000.0,128585.0,액션,전체관람가,일반영화,,,,,,,,,,left_only
콜롬비아나,올리비에 메가턴,,데이지엔터테인먼트,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,개봉영화,장편,미국,397.0,4514940000.0,598373.0,1515451500.0,192192.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
타잔3d,라인하드 클루스,,우성엔터테인먼트,(주)싸이더스,2014-01-09,개봉영화,장편,독일,527.0,4452845000.0,597142.0,974501500.0,124008.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
47미터,조하네스 로버츠,,(주)비엠컬쳐스,씨네그루(주)키다리이엔티,2017-07-19,개봉영화,장편,영국,733.0,4686022657.0,590036.0,1043910157.0,125764.0,스릴러,15세이상관람가,일반영화,,,,,,,,,,left_only
다크섀도우,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-05-10,개봉영화,장편,미국,394.0,4326459000.0,582126.0,1488456500.0,189955.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
인시디어스두번째집,제임스 완,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-12-05,개봉영화,장편,미국,405.0,4001207000.0,577758.0,1051192000.0,143845.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
백설공주,타셈 싱,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2012-05-03,개봉영화,장편,미국,386.0,4038223000.0,576150.0,1287829500.0,174825.0,판타지,전체관람가,일반영화,,,,,,,,,,left_only
채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,개봉영화,장편,미국,536.0,4620348654.0,573657.0,1430685654.0,167768.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
섀도우헌터스뼈의도시,해럴드 즈워트,,블루미지,롯데쇼핑㈜롯데엔터테인먼트,2013-09-12,개봉영화,장편,미국,374.0,4034176500.0,571074.0,1158559000.0,156564.0,판타지,15세이상관람가,일반영화,,,,,,,,,,left_only
앨빈과슈퍼밴드3,마이크 미첼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-12-15,개봉영화,장편,미국,327.0,3763147000.0,569773.0,833551500.0,120514.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
화이트하우스다운,롤랜드 에머리히,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-06-27,개봉영화,장편,미국,480.0,4015707500.0,569500.0,1348600000.0,184731.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
이스케이프룸,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-03-14,개봉영화,장편,미국,850.0,4998476284.0,561812.0,1353963454.0,148516.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
스텝업올인,트리시 시에,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-09-03,개봉영화,장편,미국,325.0,4313097134.0,560620.0,1112615734.0,138461.0,드라마,12세이상관람가,일반영화,,,,,,,,,,left_only
인시디어스4라스트키,애덤 로비텔,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31,개봉영화,장편,미국,769.0,4301309864.0,554521.0,985318264.0,123478.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
그린치,스콧 모시어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-12-19,개봉영화,장편,미국,724.0,4188466900.0,552962.0,978246100.0,122641.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
메가로돈,존 터틀타웁,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-08-15,개봉영화,장편,미국,601.0,4510731497.0,527331.0,996870197.0,111268.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
러브드럭스,에드워드 즈윅,,,이십세기폭스코리아(주),2011-01-13,개봉영화,장편,미국,284.0,4125733000.0,527077.0,2020856000.0,250187.0,멜로/로맨스,청소년관람불가,일반영화,,,,,,,,,,left_only
콰이어트플레이스,존 크랜신스키,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2018-04-12,개봉영화,장편,미국,677.0,4580889849.0,526073.0,1445057049.0,161329.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
언노운,하우메 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-02-17,개봉영화,장편,미국,186.0,3953681000.0,522794.0,1547034000.0,195647.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
앨빈과슈퍼밴드2,베티 토머스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2009-12-30,개봉영화,장편,미국,237.0,3465894954.0,519592.0,910542500.0,129778.0,가족,전체관람가,일반영화,,,,,,,,,,left_only
피라냐,알렉산더 아야,아톰셰어 엔터테인먼트,(주)누리픽쳐스,에스케이텔레콤(주),2010-08-26,개봉영화,장편,미국,306.0,5756700191.0,515074.0,1906860000.0,162969.0,액션,청소년관람불가,일반영화,,,,,,,,,,left_only
퍼스트어벤져,조 존스톤,,씨제이이앤엠(주),씨제이이앤엠(주),2011-07-28,개봉영화,장편,미국,363.0,4163130500.0,514417.0,1590831500.0,184678.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
발레리안천개행성의도시,뤽 베송,,판씨네마(주),판씨네마(주),2017-08-30,개봉영화,장편,프랑스,629.0,4047756408.0,511931.0,1318056208.0,157111.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
먹고기도하고사랑하라,라이언 머피,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-30,개봉영화,장편,미국,280.0,3738208724.0,509623.0,1794986000.0,234267.0,드라마,15세이상관람가,일반영화,,,,,,,,,,left_only
곰돌이푸다시만나행복해,마크 포스터,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-10-03,개봉영화,장편,미국,536.0,4076578860.0,490307.0,1514773210.0,175858.0,어드벤처,전체관람가,일반영화,,,,,,,,,,left_only
잠베지아신비한나무섬의비밀,웨인 쏜리,,블루미지,롯데쇼핑㈜롯데엔터테인먼트,2012-12-25,개봉영화,장편,남아프리카공화국,273.0,3333947000.0,472692.0,658609000.0,87536.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
슈퍼에이트,J.J. 에이브럼스,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-16,개봉영화,장편,미국,411.0,3622835500.0,472118.0,1389410500.0,172316.0,SF,12세이상관람가,일반영화,,,,,,,,,,left_only
식객2김치전쟁,"백동훈,김길형",㈜이룸영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-01-28,개봉영화,장편,한국,357.0,3298814209.0,471103.0,958627500.0,127932.0,드라마,전체관람가,일반영화,,,,,,,,,,left_only
적인걸측천무후의비밀,서극,후아위 브라더스 미디어,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2010-10-06,개봉영화,장편,중국,286.0,3399300731.0,468273.0,1072773500.0,140934.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
카2,존 라세터,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-07-20,개봉영화,장편,미국,379.0,3681142000.0,465607.0,1175354000.0,135474.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
생텀,앨리스터 그리어슨,,(유)마스엔터테인먼트코리아,(주)시너지하우스 (시너지),2011-02-10,개봉영화,장편,미국,323.0,4825063000.0,464607.0,1576162500.0,141082.0,어드벤처,15세이상관람가,일반영화,,,,,,,,,,left_only
언스토퍼블,토니 스콧,이십세기폭스필름코퍼레이션,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-11-10,개봉영화,장편,미국,309.0,3325136489.0,459535.0,1046015000.0,136364.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
세얼간이,라즈쿠마르 히라니,,(주)씨네마드마농,필라멘트픽쳐스,2011-08-18,개봉영화,장편,인도,232.0,3352570500.0,458988.0,1491279000.0,195629.0,코미디,12세이상관람가,독립/예술영화,,,,,,,,,,left_only
파라노말액티비티,오렌 펠리,브름하우스 프로덕션,㈜코리아스크린,(주)넥스트엔터테인먼트월드(NEW),2010-01-13,개봉영화,장편,미국,187.0,3265135449.0,446510.0,1234133000.0,159569.0,공포(호러),12세이상관람가,일반영화,,,,,,,,,,left_only
헌츠맨윈터스워,세딕 니콜라스 트로얀,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-04-13,개봉영화,장편,미국,557.0,3544262706.0,445009.0,988467906.0,118684.0,액션,12세이상관람가,일반영화,,,,,,,,,,left_only
익스펜더블2,사이먼 웨스트,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-09-06,개봉영화,장편,미국,393.0,3206144228.0,444045.0,794739189.0,105302.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
시즌오브더위치마녀호송단,도미닉 세나,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2011-01-13,개봉영화,장편,미국,218.0,3277434500.0,435201.0,936385500.0,118501.0,어드벤처,15세이상관람가,일반영화,,,,,,,,,,left_only
늑대소년확장판,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-12-06,개봉영화,장편,한국,278.0,2868302500.0,414083.0,767129500.0,105940.0,멜로/로맨스,15세이상관람가,일반영화,,,,,,,,,,left_only
주온끝의시작,오치아이 마사유키,,(주)엔케이컨텐츠,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,개봉영화,장편,일본,394.0,3071127231.0,410644.0,695266031.0,88552.0,공포(호러),15세이상관람가,일반영화,,,,,,,,,,left_only
넛잡2,캘런 브런커,"(주)레드로버,툰박스 엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,개봉영화,장편,한국,526.0,3038945100.0,407727.0,513530500.0,66475.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
니코산타비행단의모험,"캐리 주스넌,요르겐 레르담",,데이지엔터테인먼트,씨너스엔터테인먼트(주),2012-12-25,개봉영화,장편,핀란드,306.0,2786834000.0,407264.0,630429500.0,88120.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
나의소녀시대,프랭키 첸,,오드,오드,2016-05-12,개봉영화,장편,대만,176.0,3292020500.0,406284.0,1109174800.0,134427.0,멜로/로맨스,15세이상관람가,독립/예술영화,,,,,,,,,,left_only
나인,롭 마샬,,데이지엔터테인먼트,(주)시너지하우스 (시너지),2009-12-31,개봉영화,장편,미국,332.0,3100429837.0,405787.0,1369659000.0,172683.0,멜로/로맨스,15세이상관람가,일반영화,,,,,,,,,,left_only
섹스앤더시티2,마이클 패트릭 킹,"뉴라인 시네마,HBO필름",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-06-10,개봉영화,장편,미국,238.0,3074026799.0,405580.0,1683672000.0,214021.0,드라마,청소년관람불가,일반영화,,,,,,,,,,left_only
피터래빗,윌 글럭,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,개봉영화,장편,미국,599.0,3006258100.0,388300.0,598557400.0,74077.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
론레인저,고어 버빈스키,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07-04,개봉영화,장편,미국,401.0,2750149500.0,387527.0,981855500.0,134579.0,액션,15세이상관람가,일반영화,,,,,,,,,,left_only
천재강아지미스터피바디,롭 민코프,,씨제이이앤엠(주),씨제이이앤엠(주),2014-04-24,개봉영화,장편,미국,533.0,2859791400.0,385552.0,752045900.0,96612.0,애니메이션,전체관람가,일반영화,,,,,,,,,,left_only
내이름은칸,카란 조하르,,프리비젼엔터테인먼트,필라멘트픽쳐스,2011-03-24,개봉영화,장편,인도,84.0,2820922500.0,381243.0,1210673500.0,157628.0,드라마,12세이상관람가,독립/예술영화,,,,,,,,,,left_only
