OPEN_WEEK,SHOW_TM,NATION_NM,TOP_COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
3.43398720448515,4.85203026391962,한국,씨제이이앤엠(주),사극,15세이상관람가,0,7.42237370098682,9.52068861492688,16.6841865443637,15.8876526843086,17613682,7941817.28555274
1.38629436111989,4.70953020131233,한국,씨제이이앤엠(주),코미디,15세이상관람가,0,5.24174701505964,6.40191719672719,16.604408250507,14.8422370918638,16263083,2791911.63180471
3.93182563272433,4.93447393313069,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,1,8.33351070898294,10.9542042767611,16.4834852913813,15.6393994025795,14410754,6195906.57779191
3.93182563272433,4.83628190695148,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.11395610956603,9.45594966800606,16.4719865831301,15.60020633903,14245998,5957767.2062715
3.46573590279973,4.81218435537242,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,6.52941883826223,9.20552881497896,16.4104219224038,15.4012256359213,13395400,4882781.70000043
3.40119738166216,4.90527477843843,한국,(주)쇼박스,범죄,15세이상관람가,0,6.55393340402581,0,16.3791767848735,15.6164776719174,12983330,6055500.99294547
1.38629436111989,4.84418708645859,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,6.64639051484773,0,16.3658308146406,15.3215965040432,12811206,4509047.55505028
3.40119738166216,4.93447393313069,한국,(주)쇼박스,드라마,15세이상관람가,0,6.8134445995109,9.94491736229927,16.3575612696374,15.7398213467826,12705700,6850425.64855203
3.61091791264422,4.87519732320115,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,5.62762111369064,0,16.326697340054,15.0927735119821,12319542,3586809.01694688
3.43398720448515,4.94875989037817,한국,기타,드라마,12세이상관람가,1,6.18208490671663,8.52178264375005,16.321301521057,14.85583406701,12253247,2830132.43971411
3.43398720448515,4.91998092582813,한국,(주)쇼박스,드라마,15세이상관람가,0,8.17075142375753,10.7277287828121,16.3087136138699,15.9285465519513,12099971,8273320.94715847
3.36729582998647,4.77068462446567,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0,8.54539184577492,11.0501278102148,16.2635005981126,15.4353007814468,11565078,5052030.40805074
3.93182563272433,4.83628190695148,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,10.1899438740621,0,16.2467044097778,15.5884188778306,11372451,5887952.53372469
2.83321334405622,5.00394630594546,미국,기타,SF,12세이상관람가,1,7.18538701558042,10.7010848344525,16.2324844883911,15.9155458417868,11211880,8166458.05134105
2.83321334405622,4.94875989037817,미국,기타,SF,12세이상관람가,1,7.9665866976384,11.4739351252789,16.1663617730798,15.9694185931979,10494499,8618473.9689057
1.09861228866811,4.68213122712422,미국,기타,가족,전체관람가,1,6.97541392745595,0,16.1472758378448,15.0253735434942,10296101,3353025.20810252
3.80666248977032,5.12989871492307,미국,워너브러더스 코리아(주),SF,12세이상관람가,0,6.69456205852109,9.35123211067366,16.14510781521,15.477671390558,10273803,5270687.62196906
3.78418963391826,4.89783979995091,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0,4.92725368515721,7.02019070831193,16.1126942898358,14.0970350566135,9946132,1325148.46027118
1.6094379124341,4.83628190695148,한국,(주)쇼박스,범죄,15세이상관람가,0,6.60800062529609,10.7555810383651,16.0875428308447,15.5545668812238,9699091.99999999,5691969.50821928
3.61091791264422,4.93447393313069,한국,(주)쇼박스,드라마,15세이상관람가,0,7.36897040219479,0,16.0275784265702,15.4455202964809,9134586,5103924.42294764
2.83321334405622,4.86753445045558,미국,기타,SF,12세이상관람가,1,8.08948247436075,0,16.0128805691689,15.4840644004092,9001309.00000001,5304491.11776949
3.43398720448515,4.8283137373023,기타,씨제이이앤엠(주),SF,15세이상관람가,0,8.37101068123816,0,16.0032284227009,15.1696699759879,8914844.99999999,3873503.59047976
2.83321334405622,4.99043258677874,미국,기타,SF,12세이상관람가,1,7.03966034986208,10.9242103692095,15.976215100918,15.8800636644023,8677249,7881774.79607418
1.38629436111989,4.82028156560504,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,7.3004728142678,0,15.9738091431572,15.4026903205642,8656397,4889938.67544765
3.46573590279973,4.85981240436167,한국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세이상관람가,1,7.41276401742656,8.50532301884575,15.972695010966,15.327485916259,8646758,4535681.54709801
1.09861228866811,4.8283137373023,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.41836493593621,9.19816657104447,15.8718684607111,15.1680312392325,7817446,3867161.13599976
3.25809653802148,5.02388052084628,미국,씨제이이앤엠(주),액션,12세이상관람가,1,7.49609734517596,0,15.8676845716777,15.3923970682183,7784806.99999999,4839863.46322928
3.93182563272433,4.84418708645859,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,6.30261897574491,9.52464003233223,15.8644249774821,15.4236879382479,7759473,4993701.30993256
3.91202300542815,4.88280192258637,미국,씨제이이앤엠(주),액션,15세이상관람가,1,5.74939298590825,0,15.8404825821858,14.9065944830099,7575899.00000001,2977499.7105821
3.58351893845611,4.93447393313069,미국,워너브러더스 코리아(주),액션,15세이상관람가,0,6.0913098820777,9.54652685348758,15.8287515314045,15.2536299110366,7487545,4212765.63764666
