영화명,영문명,감독명,개봉일,키워드,줄거리,수상내역
은밀하게 위대하게,"Secretly, Greatly (eun-mil-ha-ge wi-dae-ha-ge)",장철수,2013-06-05,"간첩,국정원,남파간첩,달동네,바보,북한,비밀임무,세남자,신분위장,위장간첩,구멍가게,공화국,웹툰원작,임무,만화원작,한국만화원작","공화국에선 혁명전사,이 곳에선 간첩.들개로 태어나 괴물로 길러진 내 남파임무는어이없지만 동네 바보입니다.북한의 남파특수공작 5446 부대. 20000:1의 경쟁률을 뚫은 최고 엘리트 요원 원류환, 공화국 최고위층 간부의 아들이자 류환 못지 않은 실력자 리해랑, 공화국 사상 최연소 남파간첩 리해진. 세 사람은 5446부대의 전설 같은 존재이다.하지만 조국통일이라는 원대한 사명을 안고 남파된 그들이 맡은 임무는 어처구니 없게도 달동네 바보, 가수지망생, 고등학생이다. 전달되는 명령도 없이 시간은 흘러만 가고 남한 최하층 달동네 사람들과 부대끼며 살아가는 일상에 익숙해져 간다. 그러던 어느 날 그들에게 전혀 뜻밖의 은밀하고 위대한 임무가 내려진다.",부천국제판타스틱영화제(2013) : 같이의 가치 NH 농협 관객상 - 장철수|백상예술대상(2014) : 영화 남자신인연기상 - 김수현|백상예술대상(2014) : 영화 남자인기상 - 김수현|대종상 영화제(2013) : 신인남우상 - 김수현
아스트로 보이-아톰의 귀환,,데이빗 보워스,2010-01-13,"아톰, 슈퍼히어로, 로봇, 만화원작, 합작","메트로시티 최고의 과학자, 텐마 박사는 로봇 시험 가동 중 사고로 아들, 토비를 잃는다. 자신의 실수로 아들을 잃고 괴로워하던 텐마 박사는 토비의 DNA를 이식해 인간의 감성과 하이테크놀로지가 결합된 최고의 로봇 아스트로를 만들어낸다. 하지만 아스트로의 존재를 알게 된 독재자 스톤 총리는 아스트로의 생명 에너지를 차지하기 위해 군대를 동원해 공격을 시작한다. 불의의 공격을 받고 메트로시티 아래로 떨어진 아스트로. 아스트로는 그곳에서 값나가는 부품을 얻기 위해 로봇을 사냥하는 코라 일행과 친구가 되지만 아이들의 대부, 햄에그의 계략으로 상대를 죽여야만 끝나는 로봇 서바이벌에 나가게 된다. 한편, 대결중인 아스트로의 에너지를 감지한 스톤 총리는 아스트로를 죽이기 위해 최강의 전투 로콧 피스키퍼를 가동시킨다.",
언더 워터,,자움 콜렛 세라,2016-07-13,,,
인플루언스,,이재규,2010-08-19,"디지털영화,광고홍보,광고영화,시리즈,웹툰,CF,에피소드,위스키","미스터리한 공간 DJC의 안내자 W. 그와 영원히 함께하기 위해 거대한 수조 속에 갇힌 아름다운 여인 J로부터 초대받은 앵커 김우경, 옥셔니스트 최동훈은 돌이킬 수 없는 선택의 기로에 놓이게 된다. W는 어느 날부터 정체불명의 사나이의 집요한 추적을 받게 되고, 100년의 시간을 초월해 유리벽 사이로 서로를 바라봐야 하는 W와 J의 숨겨진 과거가 서서히 드러나기 시작하는데...",
리딕,,데이비드 토이,2013-11-28,"음모,복수,행성,감금,외계인",우주 최강의 전사에게 닥친 최대의 위기!동료의 배신으로 인해 생명체가 존재할 수 없는 척박한 행성에 버려진 리딕(빈 디젤)은 물조차 구하기 힘든 극한의 환경과 잔혹한 에일리언으로부터 벗어나기 위해 현상금 사냥꾼들에게 자신의 위치를 스스로 노출시킨다. 그의 계획대로 현상금 사냥꾼들은 우주 최고의 현상금이 걸린 범죄자 리딕을 잡기 위해 몰려들지만 예상치 못한 에일리언의 공격으로 모두 전멸할 위기에 몰리는데… 과연 리딕은 죽음의 행성에서 탈출 할 수 있을까?,
아마존의 눈물,Tears in the Amazon (Amajonui Nunmul),"김진만,김현철",2010-03-25,"TV시리즈원작,원주민,아마존,밀림,자연파괴,문명비판","총 5부작으로 방영된 MBC 다큐멘터리 아마존의 눈물 은 마지막 원시의 땅 아마존, 태초의 자연 속 태고의 부족들이 뿜어내는 원초적인 생명력과 역동적인 에너지를 담은 다큐 블록버스터로 방영 내내 다큐 사상 최고의 시청률인 20%(22.5%TNS미디어코리아 전국기준)를 돌파하며 연일 화제를 모아왔다. 영화 아마존의 눈물 은 TV에서는 다 볼 수 없었던 미공개 오리지널 버전 영상.",
