영화제목,개봉일,키워드,수상내역
괴물의 아이,2015-11-25,,
괴테,2016-11-30,,
괴테스쿨의 사고뭉치들,2014-11-20,,
교수와 여제자 2,2012-03-28,"세 여인,정신분석,오르가슴",
교주전: 천공의 눈,2017-09-21,,
교환,,,
교회오빠,2019-05-16,"암환자,말기암,어머니의죽음,부부,기도,기독교정신,기독교인,삶과죽음,집사",
구르믈 버서난 달처럼,2010-04-29,"검객,만화원작,반란,반란군,왜구,임진왜란,장님,조선시대,추격,역사바탕,한국만화원작,사극",부일영화상(2010) : 미술상 - 강승용
"구름의 저편, 약속의 장소",2017-02-28,"비행선, 탑, 전쟁",서울국제만화애니메이션페스티벌(2005) : 우수상(장편) - 신카이 마코토
구세주: 리턴즈,2017-09-14,"사채빚,사채업자,IMF,사기,구세주,티격태격",
구스 베이비,2019-01-16,"새로운 가족,오리,새끼오리",
구스범스,2016-01-14,,
구스범스: 몬스터의 역습,2018-11-07,"할로윈,몬스터,모험판타지",
구울,2015-09-10,,
구층요탑: 전설의 부활,2017-04-27,,
구화영웅,2014-06-26,"홍콩,크리스마스",
국가대표 2,2016-08-10,"아이스하키,도전,현실,평창올림픽",
국가부도의 날,2018-11-28,"IMF,국가 부도,국가의 위기,사람들,인간사회,1990년대,경제위기,한국은행",
국경의 왕,2019-02-28,"영화속영화,유럽여행,낯선땅,낯선나라에서,낯선 곳,영화학도,모험담",서울독립영화제(2017) : 집행위원회 특별상 - 임정환|대전독립영화제(2018) : 일반대학 심사위원특별언급 - 임정환|제20회 대전독립영화제 일반대학 심사위원특별언급
국정교과서 516일 : 끝나지 않은 역사전쟁,2017-11-23,,
국제시장,2014-12-17,"6.25,6.25,625,현대사,한국전쟁,부산,부산광역시","황금촬영상 시상식(2015) : 작품상 -|황금촬영상 시상식(2015) : 연기대상 - 황정민|황금촬영상 시상식(2015) : 촬영상-금상 -|황금촬영상 시상식(2015) : 감독상 -|청룡영화상(2015) : 한국영화 최다관객상 -|청룡영화상(2015) : 미술상 - 류성희|청룡영화상(2015) : 남우조연상 - 오달수|대종상 영화제(2015) : 녹음상 - 이승철, 한명환|대종상 영화제(2015) : 기술상 - 한태정, 송승현, 김대준, 김정수, 아키라카이|대종상 영화제(2015) : 기획상 -|대종상 영화제(2015) : 편집상 - 이진|대종상 영화제(2015) : 촬영상 - 최영환|대종상 영화제(2015) : 남우조연상 - 오달수|대종상 영화제(2015) : 남우주연상 - 황정민|대종상 영화제(2015) : 최우수작품상 - 윤제균|대종상 영화제(2015) : 감독상 - 윤제균|대종상 영화제(2015) : 시나리오상 - 박수진|춘사영화제(2015) : 각본상 - 박수진|춘사영화제(2015) : 관객선정 최고영화상(특별상) -|부일영화상(2015) : 부일독자심사단상 -|한국영화제작가협회상(2015) : 남우조연상 - 오달수|한국영화제작가협회상(2015) : 남우주연상 - 황정민|한국영화제작가협회상(2015) : 음악상 - 이병우"
국회의원 아가씨,2013-09-12,"호스티스,국회의원,출마,선거,국회의원선거",
군도:민란의 시대,2014-07-23,"도적,복수,세도가,액션,의적,조선시대,착취,탐관오리,활극,민란,조선후기,의적단,철종조,1860년대,부패관리",청룡영화상(2014) : 조명상 - 유영종|청룡영화상(2014) : 음악상 - 조영욱|청룡영화상(2014) : 촬영상 - 최찬민|대종상 영화제(2014) : 의상상 - 조상경|춘사영화제(2015) : 남자연기상 - 하정우|한국영화평론가협회상 (영평상)(2014) : 음악상 - 조영욱|한국영화평론가협회상 (영평상)(2014) : 촬영상 - 최찬민|시네마테크KOFA가 주목한 한국영화(2015) : 선정작 -|부일영화상(2014) : 음악상 - 조영욱|한국영화제작가협회상(2014) : 음악상 - 조영욱|한국영화제작가협회상(2014) : 여우조연상 - 윤지혜
군사통제구역 팔이공지대,2013-07-25,"접경지대,수색대,총성,실종,혼란",
군산: 거위를 노래하다,2018-11-08,"부산국제영화제,즉흥여행,감정교류,묘한감정,현재와 과거,꿈과현실,시작",시네마테크KOFA가 주목한 한국영화(2019) : 선정작 - 장률
군중낙원,2017-12-26,,
군함도,2017-07-26,"일제강점기,일제시대,하시마,탄광,일제말기,일제말엽,강제징용,탈출","청룡영화상(2017) : 미술상 - 이후경|청룡영화상(2017) : 인기스타상 - 김수안|한국영화평론가협회상 (영평상)(2017) : 기술상 - 이후경|시네마테크KOFA가 주목한 한국영화(2018) : 선정작 - 류승완|부일영화상(2017) : 미술상 - 이후경|부일영화상(2017) : 여우조연상 - 김수안|시체스 국제판타스틱 영화제(2017) : 오피셜 판타스틱-오르비타 최우수 작품상 - 류승완|한국영화제작가협회상(2017) : 음악상 - 방준석|한국영화제작가협회상(2017) : 미술상 - 이후경|제 1회 더 서울어워즈 영화 여우조연상 (이정현), 특별배우상 (김수안)  수상"
굿 다이노,2016-01-07,,
굿 매너스,2018-05-03,"늑대소년,늑대아이,늑대인간,보름달,가정부,임산부,영화제수상작","시체스 국제판타스틱 영화제(2017) : Jose Luis Guarner 비평가상 - 줄리아나 로야스, 마르코 두트라|로카르노국제영화제(2017) : 특별심사위원상 - 줄리아나 로야스, 마르코 두트라|2017 리우데자네이루국제영화제 최고의 장편상  2018 제라르메국제판타스틱영화제 심사위원상"
굿 윌 헌팅,2016-08-17,"교사, 정신과의사, 천재, 우정","골든글로브 시상식(1998) : 각본상 - 맷 데이먼, 벤 애플랙|아카데미 시상식(1998) : 각본상 - 맷 데이먼, 벤 에플렉|아카데미 시상식(1998) : 남우조연상 - 로빈 윌리엄스|베를린국제영화제(1998) : 공헌상 - 맷 데이먼|미국배우조합상(1998) : 영화부문 남우조연상 - 로빈 윌리엄스(Robin Williams)"
굿 파이터,2017-06-01,,
굿닥터,2012-12-06,"의사,환자,치료,퇴원",
굿모닝 맨하탄,2014-02-06,"영어,주부,학원",
굿모닝 에브리원,2011-03-17,"PD,아침프로,시청률,방송사고,앵커",
굿모닝 하트에이크,2014-01-09,"사랑,이별,연애,아이,로맨스",
굿바이 그리고 헬로우,2015-12-24,"수영,트라우마,성장,아버지와아들,수영선수",
굿바이 마이 러브NK: 붉은 청춘,2019-05-02,"고향,한국전쟁,북한,모스크바,유학,망명,고려인,영화인,삶,여정,카자흐스탄,모스크바 8진,특별한여정,조국애",
굿바이 마이 스마일,2011-03-26,"무대,방황,연극,연기지망생,재수생,진로고민,극단,연극단원,연기,연기연습,배우,배우지망생,연극배우",
굿바이 버클리,2016-03-10,,
굿바이 보이,2011-06-02,"1980년대,가출,소년,술집여자,신문배달,알콜중독,가족,가족부양,가족불화,성장,성장기,성장과정,성장영화,유년,유년기,유년시절,세상사,가난",
굿바이 싱글,2016-06-29,"연예인,스캔들,톱스타,임신,여배우",
굿바이 홈런,2013-02-14,"경기장,고교야구,고등학생,관중,스포츠,야구경기,야구선수,야구장,고교야구부,10년",DMZ국제다큐멘터리영화제(2011) : 관객상 - 이정호
"굿바이, 평양",2011-03-03,"국가,북한,사회주의,일상,자본주의,자유,정치,조총련계 조선인,조카,국민,재일교포,재일조선인,조총련계",부산국제영화제(2006) : 재외동포재단펀드 - 양영희|[영화제 초청 내역]  2009년 부산국제영화제 / 2009년 베를린국제영화제 / 2010년 핫독다큐멘터리영화제 / 2010년 닛폰 커넥션
굿타임,2018-01-04,"지적장애인,은행강도,탈옥",
궁합,2018-02-28,"인연,궁합,조선시대,부마 간택,혼사,사주팔자",
권법형사 : 차이나타운,2015-07-09,,
권태기:잠든 조카 옆에서 아내와,2017-11-10,,
귀鬼,2010-06-10,"입시경쟁,학생회장,출구,우정,귀신,첫사랑,소녀귀신",
귀담백경,2016-10-19,,
귀신을 보는 눈: 동안,2014-04-24,,
귀접,2014-05-29,"교통사고,귀신,자매,귀접,악몽,미스터리",
귀타귀,2014-03-06,"아내,불륜,정부,마술사,강시,무당",
귀향,2016-02-24,"소녀,일본군위안부,일제강점기,고향,일제시대,일제치하",황금촬영상 시상식(2016) : 신인여우상 - 서미지|황금촬영상 시상식(2016) : 촬영상-신인상 - 강상협|황금촬영상 시상식(2016) : 신인감독상 - 조정래|대종상 영화제(2016) : 신인감독상 - 조정래|춘사영화제(2016) : 관객이 뽑은 최고인기영화상 - 조정래|한국영화제작가협회상(2016) : kreative thinking상 - 제이오엔터테인먼트
"귀향, 끝나지 않은 이야기",2017-09-14,"일본군,위안부,성노예,피해자,약속,일본군위안부",
그 강아지 그 고양이,2013-12-12,"개,고양이,남자,여자,연애,남녀차이,아이폰",
그 남자가 아내에게,2010-08-26,"부부권태,사진작가,내조,아이,여행,오키나와,결혼반지,사고",
그 남자와의 밀애,2010-08-17,"사장,여직원,불륜",
그 남자의 사랑법,2013-05-09,"운명,사랑,이중생활,로맨틱코미디",
"그 놈, 그녀를 만나다",2015-08-06,,
그 사람 그 사랑 그 세상,2015-03-26,,
그 사람 추기경,2014-08-07,"추기경,휴먼다큐,추모",
"그 시절, 우리가 좋아했던 소녀",2012-08-23,"고등학교,모범생,문제아,청춘,친구,첫사랑",
그 아이의 포로,2019-04-25,"사춘기소녀,사춘기소년,사춘기,십대커플,십대소녀,삼각관계,짝사랑",
그 여름의 정사,2014-07-10,,
그 참을 수 없는 맛,2014-07-09,,
그 후,2017-07-06,"흑백영화,소문,가족",부산영화평론가협회상(2017) : 대상 - 홍상수|부산영화평론가협회상(2017) : 남우주연상 - 권해효|시네마테크KOFA가 주목한 한국영화(2018) : 선정작 - 홍상수|들꽃영화상(2018) : 극영화 감독상 - 홍상수
그것,2017-09-06,,
그것: 광대의 저주,2018-04-05,"미치광이,살인마,광대,퇴치,사투",
그것만이 내 세상,2018-01-17,"권투,형제애,서번트증후군,전직복서",황금촬영상 시상식(2018) : 연기대상 - 이병헌|황금촬영상 시상식(2018) : 촬영상-금상 - 김태성
그곳에서만 빛난다,2017-03-30,,
그날 본 꽃의 이름을 우리는 아직 모른다,2014-02-20,"단짝친구,소원,재회,첫사랑,TV애니메이션원작",
"그날, 바다",2018-04-12,"세월호참사,진실,팩트,사회고발,고발영화,자로",
그날의 분위기,2016-01-14,"기차여행,기차,KTX,로맨틱코미디",
그녀,2014-05-22,"사랑의상처,소통 부재,소통불가능,대필작가,인공지능,진실한사랑,사랑과 관계,마음",LA비평가협회상(2013) : 작품상 - 스파이크 존즈|LA비평가협회상(2013) : 미술상 - K.K. 바렛|골든글로브 시상식(2014) : 각본상 - 스파이크 존즈|아카데미 시상식(2014) : 각본상 - 스파이크 존즈
"그녀, 잉그리드 버그만",2015-10-15,,
그녀가 떠날 때,2012-03-29,"터키,가정폭력,아들,친정,독일,가부장사회",
그녀가 부른다,2013-12-26,"어머니,어머니의죽음,인생,타인",
그녀가 죽은 밤,2016-01-28,"여배우,호기심,시체,사진,네크로필리아(necrophilia,시체애호증)",
그녀는 거짓말을 너무 사랑해,2018-01-17,,
그녀에게,2010-05-13,"부산,아버지,여행,오토바이,감독,시력상실증,시력장애,딸,시나리오,과거",
그녀에게,2015-12-31,"간호사, 작가, 기자, 투우사, 우정, 혼수상태, 영화 속 영화",LA비평가협회상(2002) : 감독상 - 페드로 알모도바르(Pedro Almodovar)|골든글로브 시상식(2003) : 외국어영화상 -|아카데미 시상식(2003) : 각본상 - 페드로 알모도바르
그녀와 그녀의 고양이: 흘러가는 시간들,2016-05-21,"고양이,단편애니메이션,TV시리즈",
그녀의 비밀,2013-12-18,"유혹,상경,형부,욕망,아르바이트",
그녀의 비밀애,2011-11-24,"공원,드라이브,배회,이별,육체탐닉",
그녀의 섹스 테크닉,2016-07-20,"배우지망생,매니저,성관계,복수극",
그녀의 연기,2013-06-13,"단편,소원,아버지,제주도,가짜애인,계약연애,계약커플,위장,애인대행",
그녀의 인생은 잘못이 없어,2018-04-19,"후쿠시마,일본소설원작,소설원작,동일본대지진,콜걸,성장영화,트라우마,어머니의죽음,쓰나미",
그녀의 죽이는 상상,2011-10-27,"공원,권태기,노래방,불륜,상상,권태,부부권태,불륜,섹스,외도,남편,아내와남편",
그놈이다,2015-10-28,"실화바탕,여동생,실종,살해,살해범",
그대 이름은 장미,2019-01-16,"반전,과거의 비밀,과거여행,1970년대,1980년대,1990년대",
그대를 사랑합니다,2011-02-17,"강풀,고독,노인,만화원작,인터넷만화원작,커플,황혼,웹툰원작,노부부,치매,치매노인,독거노인,노년부부,부부,부부애,노년,노년의사랑,사랑,가족",청룡영화상(2011) : 여우조연상 - 김수미
그댄 나의 뱀파이어,2014-06-12,작가지망생,
그들이 죽었다,2015-12-10,"단역배우,무명배우,영화촬영,독립영화,종말론,휴대폰카메라,노래방,연말연시",
그들이 진심으로 엮을 때,2017-11-16,,베를린국제영화제(2017) : 테디심사위원상 - 오기가미 나오코
그때 그들,2019-03-07,"인생,3부작,총리,트러블메이커,블랙코미디,부정부패,실화바탕,욕망",
그라운드의 이방인,2015-03-19,"스포츠,야구,야구선수,재일교포,재일동포,1980년대,고교야구부,야구부,야구장,봉황대기전국고교야구대회,야구영화,고교야구,재일조선인,재일한국인",
그랑 블루,2013-07-25,"로맨스, 바다, 우정, 스쿠버다이빙, 돌고래, 구조, 피아노, 이탈리아",
그랑프리,2010-09-16,"경마,낙마,제주도,재기,말,기수,경주,경주마,용기,레이스,꿈,사고",
그랑프리,2010-09-09,"라이벌,챔피온,카레이서,카레이스,자동차경주","아카데미 시상식(1967) : 편집상 - 프레데릭 스테인캠프, 헨리 버맨, Stewart Linder, 프랭크 산틸로|아카데미 시상식(1967) : 음향효과상 - Gordon Daniel|아카데미 시상식(1967) : 음향상 - Franklin E. Milton"
"그래, 가족",2017-02-15,"삼남매,동생,가족,가족관계,가족애",
그래도 좋아해,2018-10-11,"미식가,요리사,새로운사랑",
그래버스,2013-12-19,,
그래비티,2013-10-17,"미아,우주,우주과학자,우주비행사,우주센터,우주정거장,재난,재난영화,지구,착륙,태아,호수,우주탐사,아닌강,무중력,롱테이크,우주배경,낙오/고립","LA비평가협회상(2013) : 작품상 - 알폰소 쿠아론|LA비평가협회상(2013) : 감독상 - 알폰소 쿠아론|LA비평가협회상(2013) : 촬영상 - 엠마누엘 루베즈키|LA비평가협회상(2013) : 편집상 - 알폰소 쿠아론, 마크 생어|골든글로브 시상식(2014) : 감독상 - 알폰소 쿠아론|아카데미 시상식(2014) : 촬영상 - 엠마누엘 루베즈키|아카데미 시상식(2014) : 편집상 - 알폰소 쿠아론, 마크 생어|아카데미 시상식(2014) : 작곡상 - 스티븐 프라이스|아카데미 시상식(2014) : 감독상 - 알폰소 쿠아론|아카데미 시상식(2014) : 음향믹싱상 - 스킵 리브세이, 니브 아디리, 크리스토퍼 벤스태드, 크리스 문로|아카데미 시상식(2014) : 음향편집상 - 글렌 프리맨틀|아카데미 시상식(2014) : 시각효과상 - 팀 웨버, 크리스 로렌스, 데이비드 시르크, 네일 코볼드|올해의 영화상(2014) : 외국어영화상 -"
그랜드 부다페스트 호텔,2014-03-20,"모험,살인사건,상속,용의자,유산상속,유품,재산상속,지배인,피살,호텔,기차","전미비평가협회상(2015) : 각본상 - 웨스 앤더슨|뉴욕비평가협회상(2014) : 각본상 - 웨스 앤더슨|LA비평가협회상(2014) : 각본상 - 웨스 앤더슨|LA비평가협회상(2014) : 미술상 - 애덤 스톡하우젠|골든글로브 시상식(2015) : 작품상(뮤지컬/코미디) -|아카데미 시상식(2015) : 작곡상 - 알렉상드르 데스플라|아카데미 시상식(2015) : 분장상 - Frances Hannon, 마크 콜리어|아카데미 시상식(2015) : 의상상 - 밀레나 카노네로|아카데미 시상식(2015) : 미술상 - 애덤 스톡하우젠|베를린국제영화제(2014) : 은곰상:심사위원대상 - 웨스 앤더슨"
그랜드 센트럴,2014-09-18,"원자력발전소,약혼녀,위험,사랑",
그랜드 피아노,2014-04-17,"연주,피아노,피아니스트,트라우마",
그랜드파더,2016-08-31,"참전용사,베트남전참전군인,버스운전사,버스기사,셔틀버스,출근버스,자살,장례식,장례식장,손녀,노장,노인,실화바탕,가족갈등,혈육,부조리,전쟁트라우마",부천국제판타스틱영화제(2016) : 남우주연상(코리안 판타스틱 장편) - 박근형
그런날 사이에 어떤날,2015-04-09,,
그럼에도 불구하고,2017-08-24,"영도,영도다리,사람들,변화,삶",서울환경영화제(2016) : 한국환경영화상 대상 -|서울환경영화제(2016) : 관객심사단상 -|DMZ국제다큐멘터리영화제(2016) : 한국경쟁 심사위원 특별상 - 김영조|들꽃영화상(2018) : 다큐멘터리 신인감독상 - 김영조
그렇게 아버지가 된다,2013-12-19,"가족,소송,아들,아버지,양아들,자식,친아들,바뀜,아빠,산부인과",칸국제영화제(2013) : 심사위원상 - 고레에다 히로카즈
그레이브 인카운터,2012-08-01,"리얼리티쇼,정신병원,폐쇄,유령",
그레이스 오브 모나코,2014-06-18,"그레이스켈리,실존인물,실화바탕,실화바탕,실화바탕,실화바탕,여배우,왕비,전기영화,모나코",
그레이의 50가지 그림자,2015-02-26,,
그레이트 뷰티,2014-06-12,"기억,로마,사교계,상류사회,상류층,아름다움,이탈리아,작가,중년,인터뷰어,인생의전환점,콜로세움",골든글로브 시상식(2014) : 외국어영화상 -|아카데미 시상식(2014) : 외국어영화상 -
그레이트 월,2017-02-16,,
그레이티스트,2011-01-06,"교통사고,중년부부,임신",
그렌델,2017-11-23,,황금촬영상 시상식(2018) : 신인촬영상 - 황성운
그로우: 인피니트의 리얼 청춘 라이프,2014-12-04,,
그루지:죽은 자의 저주,2018-08-09,"원혼,저주받은집,탈출,정체불명",
그리고 싶은 것,2013-08-15,"일본군위안부,과거,상처,한중일 프로젝트",
그리다,2017-10-26,옴니버스영화,
그리울 련,2015-08-13,,
그리움의 종착역,2012-05-24,"부부,이민,1960년대,간호사,독일,고향,귀국,독일마을,그리움,모국,1970년대,독일이민,교포",
그린 북,2019-01-09,"인종차별,1960년대,피아니스트,순회공연","골든글로브 시상식(2019) : 각본상 - 브라이언 커리, 피터 파렐리, 니크 발레온가|골든글로브 시상식(2019) : 남우조연상 - 마허샬라 알리|골든글로브 시상식(2019) : 작품상-뮤지컬코미디 - 피터 파렐리|아카데미 시상식(2019) : 남우조연상 - 마허샬라 알리|아카데미 시상식(2019) : 작품상 - 피터 파렐리|아카데미 시상식(2019) : 각본상 - 브라이언 커리, 피터 파렐리, 니크 발레온가"
그린 인페르노,2017-07-13,,
그린 존,2010-03-25,"이라크전,군인,대량살상,세계평화,음모,은폐",
그린 호넷,2011-01-27,"슈퍼히어로,여비서,영웅,재벌2세,아버지의죽음,부패검사,커피",
그린랜턴: 반지의 선택,2011-06-16,"반지,우주,은하계,후계자,만화원작,미국만화원작,영웅",
그린치,2018-12-19,"크리스마스,예측불허,어드벤처,몬스터",
그림자 애인,2013-04-25,"상속녀,가장,사랑,대행",
그림자 킬러,2019-01-17,"스토커,살인사건,고속도로,에피소드",
그림자들의 섬,2016-08-25,"마음,그림자,조선소,조선소맨,죽음,일터",서울독립영화제(2014) : 대상 - 김정근|부산영화평론가협회상(2016) : 심사위원특별상 - 김정근|들꽃영화상(2017) : 다큐멘터리 감독상 - 김정근
그물,2016-10-06,"어부,표류,남북분단,북한",
그여자 그남자의 속사정,2013-01-31,"로맨스,세남자,첫경험,연애,연애담,연인,남녀관계,성관계,사랑,순수한사랑,스킨십",
그을린 사랑,2011-07-21,"쌍둥이,아버지의부재,잃어버린아들,중동,유언장,뿌리",
극비수사,2015-06-18,"실화바탕,실화바탕,부산,유괴,유괴사건,사주,형사,도사,실존인물,실화바탕,역술가,납치,납치사건",시네마테크KOFA가 주목한 한국영화(2016) : 선정작 - 곽경택|부일영화상(2015) : 최우수 감독상 - 곽경택
극장판 가면라이더 vs 파워레인저 슈퍼히어로 대전,2014-01-23,"슈퍼히어로,히어로,액션",
극장판 가면라이더 이그제이드: 트루 엔딩,2018-10-09,"가면영웅,VR게임,바이러스,슈퍼히어로",
극장판 공룡메카드: 타이니소어의 섬,2019-01-10,"TV애니메이션원작,극장판,공룡,3D",
극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,"꼬마버스,버스,구출작전",
극장판 꽃이 피는 첫걸음: 홈 스위트 홈,2014-07-17,"엄마,이해,학창시절,과거,출생의비밀,가족",
극장판 나루토 질풍전: 로드 투 닌자,2013-02-21,"수수께끼,닌자,봉인,부모",
극장판 날아라! 호빵맨 : 구하라! 코코링과 기적의 별,2013-02-07,"우주,도움,영웅,위기",
극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,2014-06-19,"바나나,섬,호빵맨",
극장판 논논비요리: 베케이션,2019-04-09,"TV애니메이션원작,극장판,시골소녀,오키나와,행복한일상,여름방학,시골분교",
극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,2015-09-17,,
극장판 도라에몽 진구와 기적의 섬 : 애니멀 어드벤처,2012-07-26,"섬,곤충,기적,도라에몽",
극장판 도라에몽 진구의 아프리카 모험 : 베코와 5인의 탐험대,2014-09-04,아프리카,
극장판 도라에몽: 진구와 철인군단 날아라 천사들,2011-07-28,"외계인,지구,로봇,거울,도라에몽",
극장판 도라에몽: 진구의 남극 꽁꽁 대모험,2017-08-10,,
극장판 도라에몽: 진구의 보물섬,2018-08-15,"도라에몽,보물섬,보물찾기,해적단,납치,비밀장소",
극장판 도라에몽: 진구의 비밀도구 박물관,2013-07-25,"도라에몽,모험,박물관,방울,괴도,추리",
극장판 도라에몽: 진구의 인어대해전,2010-07-29,,
극장판 도라에몽:신 진구의 버스 오브 재팬,2016-12-21,,
극장판 또봇: 로봇군단의 습격,2017-04-27,"제주도,쌍둥이형제,악당,악당로봇,음모",
극장판 뚝딱뚝딱 밥아저씨: 메가 머신의 역습,2018-04-19,"3D애니메이션,TV시리즈,bbc,극장판",
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라,2014-08-07,,
극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,"슈퍼히어로,히어로,변신소녀,변신영웅,극장판,TV시리즈원작,TV시리즈",
극장판 루팡 3세 VS 명탐정 코난,2014-05-29,"루팡,코난,대결,보물",
극장판 마법소녀 마도카 마기카(신편): 반역의 이야기,2018-03-15,"마법소녀,세계,극장판,마법학교,마녀,TV애니메이션원작",
극장판 마이 리틀 포니: 이퀘스트리아 걸스,2017-05-03,,
극장판 메이저 - 우정의 강속구,2011-10-20,"양아버지,후쿠오카,야구선수",
극장판 메탈베이블레이드 VS 태양 : 작열의 침략자 솔블레이즈,2011-01-06,"아틀란티스,부활,지구방위대",
극장판 명탐정 코난: 탐정들의 진혼가,2014-02-13,"의뢰인,초대,인질,위협,탐정,제한시간",
극장판 베르세르크: 황금 시대편Ⅲ - 강림,2013-04-11,"지하감옥,야망,봉인,제물",
극장판 빰바라빤쮸: 바나나 왕국의 비밀,2017-02-22,,
극장판 셀렉터: 디스트럭티드 위크로스,2016-08-24,,
극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,,
극장판 숲의 요정 페어리루 ~크리스마스의 기적:마법의 날개~,2017-12-14,,
극장판 슈타인즈 게이트: 부하영역의 데자뷰,2013-12-05,"메일,과거,미래,시간",
극장판 썬더일레븐 GO : 궁극의 우정 그리폰,2012-05-24,"축구,중학교,수수께끼,훈련",
극장판 썬더일레븐 GO VS 골판지전사 W,2013-06-05,"축구,대결,로봇",
극장판 아따맘마3D : 엄마는 초능력자,2011-09-08,"초능력,엄마,번개,변장,슈퍼히어로",
극장판 아이엠스타: 꿈의 오디션!,2016-02-11,,
극장판 안녕 자두야,2016-05-04,"어린이날,꿈의 랜드,동화책,모험",
극장판 암살교실: 365일의 시간,2017-03-23,,
극장판 어드벤처 타임: 비밀의 아일랜드,2017-04-13,,
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,2017-09-07,,
극장판 요괴워치 섀도사이드 : 도깨비왕의 부활,2018-09-20,"인류멸망,바이러스,도깨비,소년소녀",
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,,
극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,,
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,,
극장판 요술공주 밍키 - 꿈속의 윤무,2013-11-14,"애니메이션,극장판",
극장판 울려라! 유포니엄,2016-09-01,"관악부,고등학생,여고생",
극장판 울트라맨 우주 몬스터 대결전,2016-04-13,,
극장판 위 베어 베어스: 곰 브라더스,2017-08-24,,
극장판 유희왕 : 시공을 초월한 우정,2011-02-24,"미래,수수께끼,가면,몬스터,드래곤,음모,마지막결투",
극장판 유희왕 더 다크 사이드 오브 디멘션즈,2016-06-09,,
극장판 일곱 개의 대죄: 천공의 포로,2018-11-29,"일본만화원작,세계평화,TV애니메이션원작,부천국제애니메이션페스티벌,블록버스터",
극장판 쥬얼펫: 스위트댄스 프린세스,2013-11-07,"극장판,생일파티,축하공연,음모,파괴,위기",
극장판 진격의 거인 2기: 각성의 포효,2018-10-31,"거인,습격,전사,만화원작,TV애니메이션원작,인간vs거인",
극장판 짱구는 못말려: 습격!! 외계인 덩덩이,2017-07-20,,
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈~라면대란~,2018-12-19,"짱구는 못말려,극장판,엽기폭소 애니메이션,쿵푸,라면",
극장판 테니스의 왕자 : 영국식 테니스성 결전,2011-12-15,"테니스,윔블던,코트,고성,함정",
극장판 토리코 : 미식신의 스페셜메뉴,2013-11-28,"섬,수수께끼,싸움,미식가",
극장판 토미카 하이퍼레스큐 드라이브헤드,2018-10-03,"인류평화,변신로봇,지구멸망,악당",
극장판 파워레인저 갤럭시포스 VS 스페이스 스쿼드,2018-12-06,"슈퍼히어로,우주용사,TV시리즈원작",
"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",2014-10-02,,
극장판 파워레인저 트레인포스VS 다이노포스 THE MOVIE,2015-11-26,,
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016-11-03,,
극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017-11-09,,
극장판 파워레인저: 엔진포스 vs 와일드 스피릿,2010-01-07,"가면,세계평화,쌍절곤,악당,특수촬영,슈퍼히어로,히어로,전대물",
극장판 파워레인저:캡틴포스 VS 미라클포스 199 히어로 대결전,2012-12-13,"악당,부활,보물,파워레인저",
극장판 파이널 하늘의 유실물 : 영원한 나의 새장,2015-01-01,,
극장판 페어리 테일: 드래곤 크라이,2018-05-31,,
극장판 포켓 몬스터 DP - 환영의 패왕 조로아크,2010-12-23,포켓몬스터,
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,2014-08-13,,
극장판 포켓몬스터 AG - 포켓몬레인저와 바다의 왕자 마나피,2015-07-22,"시리즈, 바다, 사막, 탐험, 친구, 왕자, 포켓몬",
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,,
극장판 포켓몬스터 너로 정했다!,2017-12-21,,
극장판 포켓몬스터 모두의 이야기,2018-12-19,"우리말 더빙,포켓몬스터,모험,위기,탐험,바람",
극장판 포켓몬스터 베스트위시 : 빅티니와 백의 영웅 레시라무,2011-12-22,"피카츄,포켓몬스터,모험,축제",
극장판 포켓몬스터 베스트위시 : 빅티니와 흑의 영웅 제크로무,2011-12-22,"피카츄,포켓몬스터,여행,축제",
"극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,"애니메이션,시리즈,포켓몬스터,극장판",
극장판 포켓몬스터 베스트위시 : 큐레무 VS 성검사 케르디오,2012-12-19,"포켓몬스터,후계자,의식불명,습격",
극장판 포켓몬스터 베스트위시 메로엣타의 반짝반짝 음악회,2012-12-19,"포켓몬스터,보름달,음악회,바람",
극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018-06-06,"피카츄,지우,포켓몬,포켓몬스터",
극장판 푸른 강철의 아르페지오 - 아르스 노바 - DC,2015-06-18,,
