MOVIE_NM,OPEN_DT,GENRE_NM,SP_LANG,GENRE_NM_sorted,SP_LANG_sorted
당신의세상은지금몇시,2015-11-19,드라마,fa,드라마,fa
외사경찰,2012-11-08,액션/스릴러/범죄,,범죄/스릴러/액션,
황제암살단,2014-10-08,액션/사극/드라마,,드라마/사극/액션,
메이지가알고있었던일,2014-03-27,드라마,,드라마,
무사노보우최후의결전,2014-06-05,전쟁/드라마,,드라마/전쟁,
아이다,2018-04-04,공연/드라마/멜로/로맨스,,공연/드라마/로맨스/멜로,
파리오페라,2018-05-17,다큐멘터리,,다큐멘터리,
잠못드는밤,2013-05-30,드라마,ko,드라마,ko
바다의뚜껑,2016-09-29,드라마,ja,드라마,ja
반드시크게들을것2wilddays,2012-11-22,다큐멘터리,ko,다큐멘터리,ko
다니엘바렌보임과서동시집오케스트라,2012-09-06,다큐멘터리,,다큐멘터리,
미스진은예쁘다,2013-03-14,드라마,,드라마,
하루,2015-08-06,드라마,,드라마,
원나잇온리,2014-07-03,기타,ko,기타,ko
로스트인베이징,2012-07-12,드라마,,드라마,
페르소나,2013-07-25,드라마,,드라마,
두부요괴,2013-11-28,애니메이션,,애니메이션,
리턴드,2014-10-30,공포(호러)/스릴러,,공포(호러)/스릴러,
아프리칸닥터,2016-11-03,코미디/드라마,fr/ln,드라마/코미디,fr/ln
쇼트피스,2014-04-17,애니메이션,,애니메이션,
우리만난적있나요,2010-11-25,멜로/로맨스/판타지,ko,로맨스/멜로/판타지,ko
나미야잡화점의기적또하나의이야기,2018-11-08,판타지/드라마,zh,드라마/판타지,zh
땡큐포유어서비스,2017-12-07,드라마/전쟁,,드라마/전쟁,
벨라키스,2014-07-30,공포(호러)/미스터리/스릴러,,공포(호러)/미스터리/스릴러,
브라더후드,2010-11-18,액션/드라마,,드라마/액션,
시선사이,2016-06-09,드라마,ko,드라마,ko
미친개들,2016-07-07,액션/드라마/스릴러,fr,드라마/스릴러/액션,fr
배드캅,2017-11-07,코미디,,코미디,
킹스글레이브파이널판타지xv,2016-08-25,애니메이션,,애니메이션,
한강에게,2019-04-04,드라마/멜로/로맨스,ko,드라마/로맨스/멜로,ko
불안한외출,2015-12-10,다큐멘터리,,다큐멘터리,
거꾸로된파테마,2014-04-17,애니메이션,ja,애니메이션,ja
오슬로의이상한밤,2011-02-10,코미디/드라마,,드라마/코미디,
투라이프,2015-05-07,드라마,,드라마,
스시장인지로의꿈,2012-09-27,다큐멘터리,ja,다큐멘터리,ja
바르샤드림스,2016-05-04,다큐멘터리,,다큐멘터리,
파파오랑후탄,2018-04-19,다큐멘터리,,다큐멘터리,
은어,2011-09-29,멜로/로맨스,,로맨스/멜로,
지휘자를위한1분,2014-12-04,다큐멘터리,,다큐멘터리,
불륜의시대,2013-02-14,멜로/로맨스/드라마,ko,드라마/로맨스/멜로,ko
드리프트,2013-08-22,드라마,,드라마,
레이징피닉스,2010-03-25,액션/멜로/로맨스,th,로맨스/멜로/액션,th
지렁이,2017-04-20,드라마,ko,드라마,ko
애즈갓커맨즈,2010-04-01,드라마,,드라마,
웨이스트랜드,2014-04-03,다큐멘터리,,다큐멘터리,
삼손,2018-04-19,액션/드라마,,드라마/액션,
백사대전,2011-11-17,액션,zh,액션,zh
나는아들을사랑하지않는다,2017-11-30,드라마,en/es/no,드라마,en/es/no
홀리워킹데이,2016-06-30,다큐멘터리,ko,다큐멘터리,ko
올리브올리브,2017-07-13,다큐멘터리,ar,다큐멘터리,ar
라보엠,2014-08-02,공연,,공연,
사랑의묘약,2018-07-07,공연,,공연,
