,?MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
86,님아그강을건너지마오,2014-11-27,한국,(주)대명문화공장/CGV아트하우스
87,조선명탐정각시투구꽃의비밀,2011-01-27,한국,(주)쇼박스
88,군도민란의시대,2014-07-23,한국,(주)쇼박스
89,범죄와의전쟁나쁜놈들전성시대,2012-02-02,한국,(주)쇼박스
90,주토피아,2016-02-17,미국,월트디즈니컴퍼니코리아(주)
91,엣지오브투모로우,2014-06-04,미국,워너브러더스 코리아(주)
92,신세계,2013-02-21,한국,(주)넥스트엔터테인먼트월드(NEW)
93,신비한동물사전,2016-11-16,미국/영국,워너브러더스 코리아(주)
94,도가니,2011-09-22,한국,씨제이이앤엠(주)
95,내아내의모든것,2012-05-17,한국,(주)넥스트엔터테인먼트월드(NEW)
96,판도라,2016-12-07,한국,(주)넥스트엔터테인먼트월드(NEW)
97,연가시,2012-07-05,한국,씨제이이앤엠(주)
98,아이언맨2,2010-04-29,미국,씨제이엔터테인먼트
99,강철비,2017-12-14,한국,(주)넥스트엔터테인먼트월드(NEW)
100,해리포터와죽음의성물2,2011-07-13,미국,워너브러더스 코리아(주)
101,엑스맨데이즈오브퓨처패스트,2014-05-22,미국,이십세기폭스코리아(주)
102,아가씨,2016-06-01,한국,씨제이이앤엠(주)
103,어메이징스파이더맨2,2014-04-23,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
104,용의자,2013-12-24,한국,(주)쇼박스
105,건축학개론,2012-03-22,한국,롯데쇼핑㈜롯데엔터테인먼트
106,댄싱퀸,2012-01-18,한국,씨제이이앤엠(주)
107,꾼,2017-11-22,한국,(주)쇼박스
108,혹성탈출반격의서막,2014-07-10,미국,이십세기폭스코리아(주)
109,타짜신의손,2014-09-03,한국,(주)싸이더스/롯데쇼핑㈜롯데엔터테인먼트
110,쿵푸팬더3,2016-01-28,미국,씨제이이앤엠(주)
111,캡틴아메리카윈터솔져,2014-03-26,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
112,박수건달,2013-01-09,한국,(주)쇼박스
113,베놈,2018-10-03,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
114,조선명탐정사라진놉의딸,2015-02-11,한국,(주)쇼박스
115,역린,2014-04-30,한국,롯데쇼핑㈜롯데엔터테인먼트
116,매드맥스분노의도로,2015-05-14,미국/호주,워너브러더스 코리아(주)
117,남한산성,2017-10-03,한국,씨제이이앤엠(주)
118,데드풀2,2018-05-16,미국,이십세기폭스코리아(주)
119,암수살인,2018-10-03,한국,(주)쇼박스
120,국가부도의날,2018-11-28,한국,씨제이이앤엠(주)
121,미이라,2017-06-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
122,분노의질주더익스트림,2017-04-12,미국/일본/캐나다/프랑스,유니버설픽쳐스인터내셔널 코리아(유)
123,너의이름은,2017-01-04,일본,메가박스중앙(주)플러스엠
124,인턴,2015-09-24,미국,워너브러더스 코리아(주)
125,라라랜드,2016-12-07,미국,판씨네마(주)
126,귀향,2016-02-24,한국,(주)와우픽쳐스
127,리얼스틸,2011-10-12,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
128,신의한수,2014-07-03,한국,(주)쇼박스
129,코코,2018-01-11,미국,월트디즈니컴퍼니코리아 유한책임회사
130,부러진화살,2012-01-18,한국,(주)넥스트엔터테인먼트월드(NEW)
131,끝까지간다,2014-05-29,한국,(주)쇼박스
132,비긴어게인,2014-08-13,미국,판씨네마(주)
133,스파이,2013-09-05,태국/한국,씨제이이앤엠(주)
134,그것만이내세상,2018-01-17,한국,씨제이이앤엠(주)
135,이끼,2010-07-14,한국,씨제이엔터테인먼트
136,돈,2019-03-20,한국,(주)쇼박스
137,포화속으로,2010-06-16,한국,롯데쇼핑㈜롯데엔터테인먼트
138,맨인블랙3,2012-05-24,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
139,어바웃타임,2013-12-05,영국,유니버설픽쳐스인터내셔널 코리아(유)
140,슈퍼배드3,2017-07-26,미국,유니버설픽쳐스인터내셔널 코리아(유)
141,데드풀,2016-02-17,미국,이십세기폭스코리아(주)
142,아이캔스피크,2017-09-21,한국,(주)리틀빅픽쳐스/롯데쇼핑㈜롯데엔터테인먼트
143,스타워즈깨어난포스,2015-12-17,미국,월트디즈니컴퍼니코리아(주)
144,분노의질주더세븐,2015-04-01,미국,유니버설픽쳐스인터내셔널 코리아(유)
145,터미네이터제니시스,2015-07-02,미국,롯데쇼핑㈜롯데엔터테인먼트
146,그래비티,2013-10-17,미국,워너브러더스 코리아(주)/주식회사 해리슨앤컴퍼니
147,마녀,2018-06-27,한국,워너브러더스 코리아(주)
148,악인전,2019-05-15,한국,(주)에이스메이커무비웍스/(주)키위미디어그룹
149,탐정리턴즈,2018-06-13,한국,씨제이이앤엠(주)
