MOVIE_NM,OPEN_DT,NATION_NM,COMPANY_NM
쥬라기월드폴른킹덤,2018-06-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
청년경찰,2017-08-09,한국,롯데쇼핑㈜롯데엔터테인먼트
숨바꼭질,2013-08-14,한국,(주)넥스트엔터테인먼트월드(NEW)
덕혜옹주,2016-08-03,한국,롯데쇼핑㈜롯데엔터테인먼트
더테러라이브,2013-07-31,한국,롯데쇼핑㈜롯데엔터테인먼트
쥬라기월드,2015-06-11,미국,유니버설픽쳐스인터내셔널 코리아(유)
캡틴마블,2019-03-06,미국,월트디즈니컴퍼니코리아 유한책임회사
의형제,2010-02-04,한국,(주)쇼박스
감시자들,2013-07-03,한국,(주)넥스트엔터테인먼트월드(NEW)
앤트맨과와스프,2018-07-04,미국,월트디즈니컴퍼니코리아 유한책임회사
닥터스트레인지,2016-10-26,미국,월트디즈니컴퍼니코리아(주)
검은사제들,2015-11-05,한국,씨제이이앤엠(주)
안시성,2018-09-19,한국,(주)넥스트엔터테인먼트월드(NEW)
블랙팬서,2018-02-14,미국,월트디즈니컴퍼니코리아 유한책임회사
더킹,2017-01-18,한국,(주)넥스트엔터테인먼트월드(NEW)
완득이,2011-10-20,한국,씨제이이앤엠(주)
트랜스포머사라진시대,2014-06-25,미국,씨제이이앤엠(주)
완벽한타인,2018-10-31,한국,롯데컬처웍스(주)롯데엔터테인먼트
월드워z,2013-06-20,미국,롯데쇼핑㈜롯데엔터테인먼트
타워,2012-12-25,한국,씨제이이앤엠(주)
미녀와야수,2017-03-16,미국,월트디즈니컴퍼니코리아 유한책임회사
독전,2018-05-22,한국,(주)넥스트엔터테인먼트월드(NEW)
쿵푸팬더2,2011-05-26,미국,씨제이이앤엠(주)
아쿠아맨,2018-12-19,미국/호주,워너브러더스 코리아(주)
공작,2018-08-08,한국,씨제이이앤엠(주)
인사이드아웃,2015-07-09,미국,월트디즈니컴퍼니코리아(주)
킹스맨골든서클,2017-09-27,미국/영국,이십세기폭스코리아(주)
바람과함께사라지다,2012-08-08,한국,(주)넥스트엔터테인먼트월드(NEW)
마션,2015-10-08,미국,이십세기폭스코리아(주)
토르라그나로크,2017-10-25,미국,월트디즈니컴퍼니코리아 유한책임회사
어메이징스파이더맨,2012-06-28,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
님아그강을건너지마오,2014-11-27,한국,CGV아트하우스/(주)대명문화공장
조선명탐정각시투구꽃의비밀,2011-01-27,한국,(주)쇼박스
군도민란의시대,2014-07-23,한국,(주)쇼박스
범죄와의전쟁나쁜놈들전성시대,2012-02-02,한국,(주)쇼박스
주토피아,2016-02-17,미국,월트디즈니컴퍼니코리아(주)
엣지오브투모로우,2014-06-04,미국,워너브러더스 코리아(주)
신세계,2013-02-21,한국,(주)넥스트엔터테인먼트월드(NEW)
신비한동물사전,2016-11-16,미국/영국,워너브러더스 코리아(주)
도가니,2011-09-22,한국,씨제이이앤엠(주)
내아내의모든것,2012-05-17,한국,(주)넥스트엔터테인먼트월드(NEW)
판도라,2016-12-07,한국,(주)넥스트엔터테인먼트월드(NEW)
연가시,2012-07-05,한국,씨제이이앤엠(주)
아이언맨2,2010-04-29,미국,씨제이엔터테인먼트
강철비,2017-12-14,한국,(주)넥스트엔터테인먼트월드(NEW)
해리포터와죽음의성물2,2011-07-13,미국,워너브러더스 코리아(주)
엑스맨데이즈오브퓨처패스트,2014-05-22,미국,이십세기폭스코리아(주)
아가씨,2016-06-01,한국,씨제이이앤엠(주)
어메이징스파이더맨2,2014-04-23,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
용의자,2013-12-24,한국,(주)쇼박스
건축학개론,2012-03-22,한국,롯데쇼핑㈜롯데엔터테인먼트
댄싱퀸,2012-01-18,한국,씨제이이앤엠(주)
꾼,2017-11-22,한국,(주)쇼박스
혹성탈출반격의서막,2014-07-10,미국,이십세기폭스코리아(주)
타짜신의손,2014-09-03,한국,롯데쇼핑㈜롯데엔터테인먼트/(주)싸이더스
쿵푸팬더3,2016-01-28,미국,씨제이이앤엠(주)
캡틴아메리카윈터솔져,2014-03-26,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
박수건달,2013-01-09,한국,(주)쇼박스
베놈,2018-10-03,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
조선명탐정사라진놉의딸,2015-02-11,한국,(주)쇼박스
역린,2014-04-30,한국,롯데쇼핑㈜롯데엔터테인먼트
매드맥스분노의도로,2015-05-14,미국/호주,워너브러더스 코리아(주)
남한산성,2017-10-03,한국,씨제이이앤엠(주)
데드풀2,2018-05-16,미국,이십세기폭스코리아(주)
암수살인,2018-10-03,한국,(주)쇼박스
국가부도의날,2018-11-28,한국,씨제이이앤엠(주)
미이라,2017-06-06,미국,유니버설픽쳐스인터내셔널 코리아(유)
분노의질주더익스트림,2017-04-12,미국/일본/프랑스/캐나다,유니버설픽쳐스인터내셔널 코리아(유)
너의이름은,2017-01-04,일본,메가박스중앙(주)플러스엠
인턴,2015-09-24,미국,워너브러더스 코리아(주)
라라랜드,2016-12-07,미국,판씨네마(주)
귀향,2016-02-24,한국,(주)와우픽쳐스
리얼스틸,2011-10-12,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
신의한수,2014-07-03,한국,(주)쇼박스
코코,2018-01-11,미국,월트디즈니컴퍼니코리아 유한책임회사
부러진화살,2012-01-18,한국,(주)넥스트엔터테인먼트월드(NEW)
끝까지간다,2014-05-29,한국,(주)쇼박스
비긴어게인,2014-08-13,미국,판씨네마(주)
스파이,2013-09-05,한국/태국,씨제이이앤엠(주)
그것만이내세상,2018-01-17,한국,씨제이이앤엠(주)
이끼,2010-07-14,한국,씨제이엔터테인먼트
돈,2019-03-20,한국,(주)쇼박스
포화속으로,2010-06-16,한국,롯데쇼핑㈜롯데엔터테인먼트
맨인블랙3,2012-05-24,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
어바웃타임,2013-12-05,영국,유니버설픽쳐스인터내셔널 코리아(유)
슈퍼배드3,2017-07-26,미국,유니버설픽쳐스인터내셔널 코리아(유)
데드풀,2016-02-17,미국,이십세기폭스코리아(주)
아이캔스피크,2017-09-21,한국,롯데쇼핑㈜롯데엔터테인먼트/(주)리틀빅픽쳐스
스타워즈깨어난포스,2015-12-17,미국,월트디즈니컴퍼니코리아(주)
분노의질주더세븐,2015-04-01,미국,유니버설픽쳐스인터내셔널 코리아(유)
터미네이터제니시스,2015-07-02,미국,롯데쇼핑㈜롯데엔터테인먼트
그래비티,2013-10-17,미국,주식회사 해리슨앤컴퍼니/워너브러더스 코리아(주)
마녀,2018-06-27,한국,워너브러더스 코리아(주)
악인전,2019-05-15,한국,(주)에이스메이커무비웍스/(주)키위미디어그룹
탐정리턴즈,2018-06-13,한국,씨제이이앤엠(주)
캐리비안의해적낯선조류,2011-05-19,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
퀵,2011-07-20,한국,씨제이이앤엠(주)
감기,2013-08-14,한국,아이러브시네마
나우유씨미2,2016-07-13,미국,롯데쇼핑㈜롯데엔터테인먼트
하모니,2010-01-28,한국,씨제이엔터테인먼트
캐리비안의해적죽은자는말이없다,2017-05-24,미국,월트디즈니컴퍼니코리아 유한책임회사
스물,2015-03-25,한국,(주)넥스트엔터테인먼트월드(NEW)
토르다크월드,2013-10-30,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
방자전,2010-06-02,한국,씨제이엔터테인먼트
인크레더블2,2018-07-18,미국,월트디즈니컴퍼니코리아 유한책임회사
레드더레전드,2013-07-18,미국,롯데쇼핑㈜롯데엔터테인먼트
오싹한연애,2011-12-01,한국,씨제이이앤엠(주)
드래곤길들이기2,2014-07-23,미국,씨제이이앤엠(주)
형,2016-11-23,한국,씨제이이앤엠(주)
친구2,2013-11-14,한국,롯데쇼핑㈜롯데엔터테인먼트
26년,2012-11-29,한국,(주)인벤트스톤/영화사청어람(주)
서치,2018-08-29,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
고지전,2011-07-20,한국,(주)쇼박스
엑스맨아포칼립스,2016-05-25,미국,이십세기폭스코리아(주)
프리즌,2017-03-23,한국,(주)쇼박스
솔트,2010-07-29,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
헬로우고스트,2010-12-22,한국,(주)넥스트엔터테인먼트월드(NEW)
극비수사,2015-06-18,한국,(주)쇼박스
표적,2014-04-30,한국,씨제이이앤엠(주)
앤트맨,2015-09-03,미국/영국,월트디즈니컴퍼니코리아(주)
호빗다섯군대전투,2014-12-17,미국/뉴질랜드,워너브러더스 코리아(주)
너의결혼식,2018-08-22,한국,메가박스중앙(주)플러스엠
호빗뜻밖의여정,2012-12-13,미국/뉴질랜드,워너브러더스 코리아(주)
메이즈러너,2014-09-18,미국,이십세기폭스코리아(주)
말모이,2019-01-09,한국,롯데컬처웍스(주)롯데엔터테인먼트
해리포터와죽음의성물1,2010-12-15,미국,워너브러더스 코리아(주)
빅히어로,2015-01-21,미국,월트디즈니컴퍼니코리아(주)
덩케르크,2017-07-20,미국/영국,워너브러더스 코리아(주)
혹성탈출진화의시작,2011-08-17,미국,이십세기폭스코리아(주)
부당거래,2010-10-28,한국,씨제이엔터테인먼트
메이즈러너스코치트라이얼,2015-09-16,미국,이십세기폭스코리아(주)
가디언즈오브갤럭시vol2,2017-05-03,미국,월트디즈니컴퍼니코리아 유한책임회사
시라노연애조작단,2010-09-16,한국,롯데쇼핑㈜롯데엔터테인먼트
내가살인범이다,2012-11-08,한국,(주)쇼박스
나우유씨미마술사기단,2013-08-22,미국,롯데쇼핑㈜롯데엔터테인먼트
미스페레그린과이상한아이들의집,2016-09-28,미국/벨기에/영국,이십세기폭스코리아(주)
타이탄,2010-04-01,미국,워너브러더스 코리아(주)
곤지암,2018-03-28,한국,(주)쇼박스
소원,2013-10-02,한국,롯데쇼핑㈜롯데엔터테인먼트
살인자의기억법,2017-09-06,한국,(주)쇼박스
브레이킹던part2,2012-11-15,미국,(주)넥스트엔터테인먼트월드(NEW)
탐정더비기닝,2015-09-24,한국,씨제이이앤엠(주)
미니언즈,2015-07-29,미국,유니버설픽쳐스인터내셔널 코리아(유)
후궁제왕의첩,2012-06-06,한국,롯데쇼핑㈜롯데엔터테인먼트
트랜스포머최후의기사,2017-06-21,미국,롯데쇼핑㈜롯데엔터테인먼트
제이슨본,2016-07-27,미국,유니버설픽쳐스인터내셔널 코리아(유)
드래곤길들이기,2010-05-20,미국,유니버설픽쳐스인터내셔널 코리아(유)/씨제이엔터테인먼트
지금만나러갑니다,2018-03-14,한국,롯데쇼핑㈜롯데엔터테인먼트
도리를찾아서,2016-07-06,미국,월트디즈니컴퍼니코리아(주)
위험한상견례,2011-03-31,한국,롯데쇼핑㈜롯데엔터테인먼트
아수라,2016-09-28,한국,씨제이이앤엠(주)
보안관,2017-05-03,한국,롯데쇼핑㈜롯데엔터테인먼트
기술자들,2014-12-24,한국,롯데쇼핑㈜롯데엔터테인먼트
퍼시픽림,2013-07-11,미국,워너브러더스 코리아(주)
엑스맨퍼스트클래스,2011-06-02,미국,이십세기폭스코리아(주)
정글북,2016-06-09,미국,월트디즈니컴퍼니코리아(주)
목격자,2018-08-15,한국,(주)넥스트엔터테인먼트월드(NEW)
마이펫의이중생활,2016-08-03,미국,유니버설픽쳐스인터내셔널 코리아(유)
